"","V1","V2"
"result.1","Yes","0.00322308834926158"
"result.2","No","0.193808885314214"
"result.3","Yes","0.000135322657284552"
"result.4","Yes","8.73828128267863e-06"
"result.5","Yes","0.0033307553631299"
"result.6","Yes","0.00148710937977014"
"result.7","Yes","3.61206070629353e-05"
"result.8","Yes","0.00173013722935604"
"result.9","Yes","5.18471908373498e-06"
"result.10","Yes","9.37214999165791e-06"
"result.11","Yes","3.18093509507911e-07"
"result.12","Yes","0.00350791333493887"
"result.13","Yes","6.0236355933572e-05"
"result.14","No","0.119667321938258"
"result.15","Yes","5.73372145587982e-05"
"result.16","Yes","1.99025733367677e-05"
"result.17","Yes","0.000149961353364574"
"result.18","Yes","7.19993402685137e-05"
"result.19","Yes","1.35453027501221e-05"
"result.20","Yes","0.000187082350926268"
"result.21","Yes","0.0190829228889828"
"result.22","No","0.256096935277153"
"result.23","Yes","7.95695070235306e-06"
"result.24","Yes","0.000784522545562064"
"result.25","Yes","0.0238539078829688"
"result.26","No","0.484057044882817"
"result.27","Yes","0.000382187846685815"
"result.28","Yes","0.00775487047711583"
"result.29","Yes","2.17227782234547e-06"
"result.30","Yes","0.000679433092260588"
"result.31","Yes","0.0011762208368628"
"result.32","Yes","0.00901385058381617"
"result.33","Yes","0.00157513108815501"
"result.34","Yes","0.00696871469931028"
"result.35","No","0.331207962203856"
"result.36","Yes","0.000862336250790851"
"result.37","No","0.137212807612667"
"result.38","Yes","0.0344933110170974"
"result.39","No","0.138773082611392"
"result.40","Yes","4.77218555353201e-08"
"result.41","Yes","0.00930046384710718"
"result.42","No","0.103721034044963"
"result.43","Yes","0.0268067694214522"
"result.44","Yes","7.78991795570943e-07"
"result.45","Yes","0.00036431908301901"
"result.46","Yes","0.000744208152492925"
"result.47","No","0.0860206674472959"
"result.48","No","0.062278160867735"
"result.49","Yes","0.0109582785994638"
"result.50","Yes","0.000209822580914967"
"result.51","Yes","0.00158353710761629"
"result.52","Yes","0.00775613676354089"
"result.53","Yes","0.00967238435208187"
"result.54","Yes","0.00186930818991958"
"result.55","Yes","0.000219495251348158"
"result.56","Yes","0.000378622024068989"
"result.57","No","0.361008830996457"
"result.58","Yes","3.71824422025813e-05"
"result.59","Yes","0.000475030907126766"
"result.60","Yes","0.000703292311497854"
