"","V1","V2"
"result.1","No","0.934558630625913"
"result.2","No","0.219224387221773"
"result.3","No","0.421640486895559"
"result.4","Yes","0.0288306386522267"
"result.5","No","0.112113488563682"
"result.6","No","0.272884105895622"
"result.7","Yes","0.01049904762793"
"result.8","No","0.587613719028538"
"result.9","Yes","0.00034098488115118"
"result.10","Yes","0.00339698566087575"
"result.11","No","0.380553746874912"
"result.12","No","0.872562189863819"
"result.13","No","0.462542753467581"
"result.14","No","0.926934058369513"
"result.15","No","0.833225944185481"
"result.16","No","0.254096087235242"
"result.17","No","0.210828616874462"
"result.18","Yes","0.0107725130232883"
"result.19","No","0.0713703125400243"
"result.20","No","0.0967371072410618"
"result.21","No","0.10941020736772"
"result.22","No","0.476106405620555"
"result.23","No","0.801030191256457"
"result.24","Yes","0.0302332631592162"
"result.25","No","0.665465209824878"
"result.26","No","0.639704162220209"
"result.27","No","0.199805583829643"
"result.28","Yes","0.0338761415682926"
"result.29","No","0.0867042311474659"
"result.30","No","0.332571295046945"
"result.31","Yes","0.0123547785688968"
"result.32","No","0.727212042394735"
"result.33","No","0.890228481647125"
"result.34","No","0.1406885962468"
"result.35","No","0.308425826407894"
"result.36","No","0.150260051750835"
"result.37","No","0.333385636846626"
"result.38","Yes","0.0274359915785276"
"result.39","No","0.336711396803271"
"result.40","No","0.0592464808636899"
"result.41","No","0.0571843740359436"
"result.42","No","0.79541104897777"
"result.43","No","0.658315226242725"
"result.44","No","0.0862571220921443"
"result.45","No","0.312933021591208"
"result.46","Yes","0.0144928454702982"
"result.47","No","0.239501821435449"
"result.48","No","0.380263555071112"
"result.49","No","0.397410457324033"
"result.50","No","0.770117742930045"
"result.51","No","0.688954581512724"
"result.52","No","0.151364367235979"
"result.53","No","0.805923985028004"
"result.54","No","0.159240108772225"
"result.55","No","0.675582075561476"
"result.56","No","0.0821461952417582"
"result.57","No","0.4734200637293"
"result.58","No","0.391275370813288"
"result.59","No","0.530654176250057"
"result.60","No","0.683019097720744"
"result.61","No","0.571318398473399"
"result.62","Yes","0.000189611138450737"
"result.63","No","0.0704733173855983"
"result.64","No","0.282589358862647"
"result.65","Yes","0.0181038510593017"
"result.66","No","0.462719945753209"
"result.67","Yes","0.00231593549935797"
"result.68","No","0.907942458916819"
"result.69","No","0.555575299024882"
"result.70","No","0.336167085780941"
"result.71","No","0.410632661251563"
"result.72","No","0.21681546079599"
"result.73","Yes","0.0132712515386036"
"result.74","No","0.501313880864706"
"result.75","No","0.501763815443299"
"result.76","No","0.124155500545633"
"result.77","No","0.143982055158996"
"result.78","No","0.100137008641063"
"result.79","No","0.915829566327383"
"result.80","No","0.596114089470419"
"result.81","No","0.078840149144397"
"result.82","No","0.215217851102843"
"result.83","No","0.0677664232425499"
"result.84","No","0.257259173519917"
"result.85","Yes","0.0436928525051793"
"result.86","No","0.614699103633935"
"result.87","No","0.959038379195085"
"result.88","No","0.977875853540392"
"result.89","No","0.584261264695546"
"result.90","No","0.727654938038619"
"result.91","No","0.595866181235182"
"result.92","No","0.265370784674687"
"result.93","No","0.382454197351584"
"result.94","No","0.568094701225339"
"result.95","No","0.508799325352389"
"result.96","No","0.95712430866404"
"result.97","No","0.221404322262989"
"result.98","No","0.381602625457128"
"result.99","No","0.266549262429041"
"result.100","No","0.175387154096394"
"result.101","No","0.317144953767057"
"result.102","No","0.0538506321511941"
"result.103","No","0.626990288434429"
"result.104","No","0.320897885704482"
"result.105","No","0.264179629913468"
"result.106","No","0.277536802381033"
"result.107","No","0.269715001710435"
"result.108","No","0.149893366837163"
"result.109","No","0.29748731624879"
"result.110","No","0.144247962591621"
"result.111","No","0.0806606103884673"
"result.112","No","0.160865279962781"
"result.113","No","0.79393879283324"
"result.114","No","0.925460886965044"
"result.115","No","0.181414544446675"
"result.116","No","0.379912290628387"
"result.117","No","0.45048208872327"
"result.118","No","0.827949605045631"
"result.119","No","0.344109093399968"
"result.120","No","0.538661695116842"
"result.121","No","0.348532916203978"
"result.122","No","0.71544297083024"
"result.123","No","0.86018733282271"
"result.124","Yes","0.0270333608917736"
"result.125","No","0.380254443375267"
"result.126","Yes","0.00412029485901547"
"result.127","Yes","0.0215312187468315"
"result.128","Yes","0.0346216001081638"
"result.129","No","0.300515900453958"
"result.130","No","0.27650943989243"
"result.131","No","0.115520594272619"
"result.132","No","0.515576756323844"
"result.133","Yes","0.0194258950547381"
"result.134","No","0.250230873688012"
"result.135","No","0.71129196978474"
"result.136","No","0.331588623638554"
"result.137","No","0.685472463535395"
"result.138","No","0.750336899419953"
"result.139","No","0.889484443035022"
"result.140","No","0.815728037252322"
"result.141","No","0.872441487288282"
"result.142","No","0.265702882616954"
"result.143","No","0.321967763567785"
"result.144","No","0.132504228441035"
"result.145","No","0.107491105801127"
"result.146","No","0.347615856542516"
"result.147","No","0.628663237258397"
"result.148","No","0.0568977776603823"
"result.149","Yes","0.0064859066889281"
"result.150","No","0.102568918273623"
"result.151","No","0.501123683333729"
"result.152","No","0.620958174572547"
"result.153","No","0.458081584605058"
"result.154","No","0.0689612578772356"
"result.155","No","0.544779672466134"
"result.156","No","0.117791332212987"
"result.157","No","0.127800261692145"
"result.158","No","0.361092756188657"
"result.159","No","0.15680145708935"
"result.160","No","0.767987868804452"
"result.161","No","0.193724481347694"
"result.162","No","0.0962150637586674"
"result.163","No","0.0568815604798936"
"result.164","Yes","0.00191987877491479"
"result.165","No","0.568435295986728"
"result.166","No","0.127746271177888"
"result.167","Yes","0.0128624851854066"
"result.168","No","0.820244103659039"
