"","V1","V2"
"result.1","Yes","0.0167656003016062"
"result.2","No","0.475588448704414"
"result.3","No","0.083430821008466"
"result.4","No","0.4360901631488"
"result.5","No","0.506329899781918"
"result.6","No","0.516104337720383"
"result.7","No","0.484559464089761"
"result.8","No","0.335440579304554"
"result.9","No","0.403514229650172"
"result.10","No","0.410550994690257"
"result.11","No","0.702648201554299"
"result.12","Yes","0.0260780712013203"
"result.13","Yes","0.0412385700912158"
"result.14","Yes","0.0102971304920301"
"result.15","No","0.298353660265207"
"result.16","No","0.0623816389770893"
"result.17","No","0.988090500375698"
"result.18","No","0.602384507191382"
"result.19","No","0.64615243869401"
"result.20","No","0.544258344452783"
"result.21","No","0.528452422355405"
"result.22","No","0.675408322906377"
"result.23","No","0.195143930030338"
"result.24","No","0.720970398318822"
"result.25","No","0.301464198853448"
"result.26","Yes","0.0137060126732522"
"result.27","No","0.667580135266063"
"result.28","No","0.746343761338444"
"result.29","Yes","0.000206278792534866"
"result.30","No","0.168342639127416"
"result.31","No","0.317984306806515"
"result.32","Yes","0.0102015915227067"
"result.33","No","0.194268302210194"
"result.34","No","0.95622964146135"
"result.35","Yes","0.00855742922430646"
"result.36","No","0.877473637767642"
"result.37","No","0.431925572856588"
"result.38","No","0.429473923520875"
"result.39","Yes","0.00163117081358136"
"result.40","No","0.430797848287807"
"result.41","No","0.445361016314318"
"result.42","No","0.3366389504149"
"result.43","No","0.066083026462921"
"result.44","No","0.892241644388619"
"result.45","No","0.0681374501912977"
"result.46","No","0.37383819376572"
"result.47","No","0.579805419959698"
"result.48","No","0.530960613683594"
"result.49","No","0.452311361468001"
"result.50","Yes","0.0191404078014263"
"result.51","No","0.0727267735434028"
"result.52","No","0.86825170110334"
"result.53","No","0.0652155385364774"
"result.54","No","0.223265431487059"
"result.55","No","0.5109041485474"
"result.56","No","0.648946671349578"
"result.57","No","0.0717683352311961"
"result.58","Yes","0.0117063847501596"
"result.59","Yes","0.038064088694714"
"result.60","No","0.159310512420894"
"result.61","No","0.128747486965047"
"result.62","No","0.269569005240077"
"result.63","No","0.399754387528633"
"result.64","No","0.620316219207591"
"result.65","No","0.63202205252198"
"result.66","No","0.297359788412349"
"result.67","No","0.377409631012694"
"result.68","No","0.0804652301389817"
"result.69","Yes","0.0221502002148502"
"result.70","No","0.690303798492429"
"result.71","No","0.0984885876517441"
"result.72","No","0.0691493733614027"
"result.73","No","0.823604915924399"
"result.74","No","0.075331177409084"
"result.75","Yes","0.00287978983519839"
"result.76","No","0.856961640522888"
"result.77","No","0.946640876283935"
"result.78","No","0.17789816638567"
"result.79","No","0.0835219782388614"
"result.80","No","0.210011888393389"
"result.81","No","0.535711962117648"
"result.82","No","0.275633920513693"
"result.83","No","0.789789242999599"
"result.84","No","0.476188926671714"
"result.85","No","0.62689352439784"
"result.86","Yes","0.00155278558802919"
"result.87","No","0.0528922279938252"
"result.88","Yes","0.0312147807400408"
"result.89","No","0.662636603975793"
"result.90","No","0.0620178359065939"
"result.91","No","0.147981929561429"
"result.92","No","0.417423211691611"
"result.93","Yes","0.0433536233287374"
"result.94","No","0.143972691369948"
