"","V1","V2"
"result.1","Yes","0.0459762396552485"
"result.2","No","0.105000749428242"
"result.3","Yes","0.0170374344425495"
"result.4","Yes","0.0016900575940551"
"result.5","Yes","0.00467778841654883"
"result.6","Yes","0.00273830901586481"
"result.7","Yes","0.00018275046890547"
"result.8","No","0.204219191216258"
"result.9","Yes","7.34360727915041e-05"
"result.10","Yes","1.42202672024648e-07"
"result.11","No","0.186352693787683"
"result.12","No","0.111152334838967"
"result.13","Yes","0.0484809388833773"
"result.14","No","0.335453718643939"
"result.15","Yes","0.0212442194271986"
"result.16","Yes","0.00719316007201564"
"result.17","No","0.0592173235621003"
"result.18","Yes","0.000453366326093699"
"result.19","Yes","0.000120219893524716"
"result.20","Yes","0.000131067809087107"
"result.21","Yes","0.00181056630485339"
"result.22","No","0.074213408069911"
"result.23","Yes","0.0382315374476327"
"result.24","Yes","6.02099334075229e-05"
"result.25","No","0.0703871682506366"
"result.26","No","0.623176499985203"
"result.27","Yes","0.00573285577679409"
"result.28","No","0.0784948252604099"
"result.29","No","0.984261185389592"
"result.30","Yes","0.0132731447449862"
"result.31","Yes","0.0010102289832252"
"result.32","No","0.0727882460269435"
"result.33","No","0.662498797980395"
"result.34","Yes","0.000402703208758721"
"result.35","No","0.79069738727293"
"result.36","Yes","0.017451455940934"
"result.37","Yes","0.0246286937943692"
"result.38","Yes","0.00167605357967055"
"result.39","No","0.645815711225988"
"result.40","Yes","0.000263982280397312"
"result.41","Yes","0.0212144352083608"
"result.42","Yes","0.00221703993390161"
"result.43","No","0.651339294732113"
"result.44","Yes","0.00196303838852124"
"result.45","No","0.108659955650023"
"result.46","Yes","0.000159573145338666"
"result.47","Yes","0.0165526691763364"
"result.48","Yes","0.0298728077866946"
"result.49","Yes","0.0224377220760106"
"result.50","Yes","0.0329664002981662"
"result.51","No","0.0690906375804067"
"result.52","Yes","0.000913497566173215"
"result.53","No","0.204526246321355"
"result.54","Yes","0.00693478850823714"
"result.55","No","0.320627949647066"
"result.56","Yes","0.0133242923265503"
"result.57","No","0.854956627785955"
"result.58","No","0.143465818360331"
"result.59","No","0.105864881150844"
"result.60","Yes","0.0418039969297147"
"result.61","No","0.05675517514942"
"result.62","Yes","2.91501335068721e-08"
"result.63","Yes","0.00033556373508695"
"result.64","Yes","0.0326981364414372"
"result.65","Yes","0.00126414755046638"
"result.66","Yes","0.0161703228582153"
"result.67","Yes","0.000218216741324159"
"result.68","No","0.241706307088613"
"result.69","Yes","0.0274599725658938"
"result.70","Yes","0.00182344638648313"
"result.71","No","0.0882304770648306"
"result.72","Yes","0.00566847922550336"
"result.73","Yes","0.00090631002010508"
"result.74","Yes","0.0381802059100191"
"result.75","No","0.193318982966492"
"result.76","Yes","0.00186603158692867"
"result.77","Yes","0.000151057531379948"
"result.78","Yes","0.000155790014229496"
"result.79","Yes","0.0430912493745059"
"result.80","No","0.349676495480718"
"result.81","Yes","0.000223560714906258"
"result.82","Yes","0.0106540303456898"
"result.83","Yes","0.0341000490203736"
"result.84","Yes","0.00211684475949006"
"result.85","Yes","0.000885064055541652"
"result.86","No","0.193092930381443"
"result.87","No","0.134992445839925"
"result.88","No","0.0723764070941316"
"result.89","No","0.0807636010127458"
"result.90","No","0.0557579194111043"
"result.91","No","0.230518412025281"
"result.92","No","0.183394027483358"
"result.93","No","0.689169532677231"
"result.94","No","0.0962143872069927"
"result.95","No","0.0646527994235014"
"result.96","Yes","0.0339189362880856"
"result.97","Yes","0.0130486363942374"
"result.98","No","0.0735394188867522"
"result.99","Yes","0.0335643796634101"
"result.100","Yes","0.0320661767909506"
"result.101","Yes","0.0109250000848065"
"result.102","Yes","0.0275186316740301"
"result.103","No","0.155298950906505"
"result.104","No","0.0626896743036533"
"result.105","No","0.829644500500097"
"result.106","Yes","0.0029898686717667"
"result.107","Yes","0.0117637476538412"
"result.108","Yes","0.0245247079410298"
"result.109","Yes","0.0296946288437698"
"result.110","Yes","0.0470342193789293"
"result.111","Yes","0.029847710874167"
"result.112","Yes","0.0298351644634823"
"result.113","No","0.217555995152861"
"result.114","No","0.367807802277513"
"result.115","Yes","0.0282018045768011"
"result.116","Yes","0.00694738336863197"
"result.117","Yes","0.0243908761681921"
"result.118","No","0.081472728787001"
"result.119","Yes","0.00936372330770079"
"result.120","No","0.127071932386615"
"result.121","Yes","0.0246626897837413"
"result.122","No","0.547418134478866"
"result.123","No","0.0543821061709379"
"result.124","Yes","0.00206400853304227"
"result.125","No","0.110980969019969"
"result.126","Yes","3.09083133750747e-05"
"result.127","Yes","0.000222567233361904"
"result.128","Yes","0.00247598350674163"
"result.129","No","0.0719738219372462"
"result.130","No","0.444376382065332"
"result.131","Yes","0.00330242959203174"
"result.132","No","0.222751597034795"
"result.133","Yes","0.000222774330278177"
"result.134","Yes","0.0302285336763527"
"result.135","No","0.0821365339635549"
"result.136","Yes","0.0303826821490558"
"result.137","Yes","0.039769723864825"
"result.138","No","0.269176180895791"
"result.139","No","0.0676052216697489"
"result.140","No","0.117826952467351"
"result.141","No","0.673396186656008"
"result.142","Yes","0.0102377810579323"
"result.143","No","0.0788745543131173"
"result.144","Yes","0.0155789732250214"
"result.145","Yes","0.00637947364260105"
"result.146","Yes","0.0216447920964326"
"result.147","Yes","0.0252118882279883"
"result.148","Yes","0.0163230097453675"
"result.149","Yes","0.00577762991377012"
"result.150","Yes","0.00134991780750396"
"result.151","Yes","0.0384569841103446"
"result.152","No","0.207228968518216"
"result.153","No","0.142209621640556"
"result.154","Yes","0.013493213253436"
"result.155","No","0.932728129392969"
"result.156","Yes","0.00223836987986974"
"result.157","Yes","0.0169727719851601"
"result.158","Yes","0.049720549595171"
"result.159","Yes","0.00733666977183991"
"result.160","No","0.260006326032284"
"result.161","Yes","0.0300450477009151"
"result.162","Yes","0.00526556432503332"
"result.163","Yes","0.00446868774127703"
"result.164","Yes","7.82165873663587e-06"
"result.165","Yes","0.0276687550767685"
"result.166","Yes","0.030779282556707"
"result.167","Yes","5.3830846621017e-06"
"result.168","No","0.0587466403119718"
"result.169","No","0.279693467160986"
"result.170","Yes","0.000110719622087757"
"result.171","Yes","0.00528352290315239"
"result.172","Yes","0.0380681515297659"
"result.173","No","0.311423483181294"
"result.174","Yes","0.00104854999108515"
"result.175","No","0.417590217210184"
"result.176","Yes","0.00124106550883602"
"result.177","Yes","0.00142397719829935"
"result.178","No","0.724545292777421"
"result.179","No","0.160897126723838"
"result.180","Yes","0.00762722911210933"
"result.181","Yes","0.00143394077746017"
"result.182","Yes","0.0474745291185844"
"result.183","Yes","0.0227414716415974"
"result.184","No","0.286425316113811"
"result.185","Yes","0.00756202652665489"
"result.186","Yes","0.00378541149390557"
"result.187","No","0.532199933481625"
"result.188","Yes","0.0337356553213637"
"result.189","Yes","0.0400706003836859"
"result.190","No","0.252224831700889"
"result.191","Yes","1.69867722404603e-06"
"result.192","Yes","0.000955687368993263"
"result.193","Yes","0.0484505181154536"
"result.194","Yes","0.0096727112756839"
"result.195","Yes","0.0330360341296341"
"result.196","Yes","0.000226419791042376"
"result.197","Yes","8.91200941683963e-05"
"result.198","Yes","0.000957865145750111"
"result.199","Yes","0.00973824934567944"
"result.200","No","0.168957579547852"
"result.201","Yes","0.0436601503930313"
"result.202","No","0.418408604782682"
"result.203","Yes","0.0320142757263302"
"result.204","Yes","0.00150260658483261"
"result.205","No","0.148329154003298"
"result.206","Yes","0.00476947743233291"
"result.207","Yes","0.0058065623653073"
"result.208","No","0.352457910518994"
"result.209","Yes","0.00431096793689015"
"result.210","Yes","0.0135610165328008"
"result.211","Yes","0.000100412829480552"
"result.212","Yes","0.00557478979152497"
"result.213","No","0.253024217308726"
"result.214","Yes","0.0403027256987984"
"result.215","Yes","0.00681078777452107"
"result.216","No","0.179935544033243"
"result.217","Yes","5.48526660595481e-05"
"result.218","Yes","0.0287278299484362"
"result.219","Yes","0.0015053036556183"
"result.220","No","0.0850403263997073"
"result.221","Yes","0.00379185905030843"
"result.222","Yes","0.0168473944064433"
"result.223","Yes","0.00344885385969162"
"result.224","Yes","0.0322619176279433"
"result.225","Yes","0.0116371139839674"
"result.226","No","0.176770174775325"
"result.227","Yes","0.00897352998984103"
"result.228","Yes","0.0113610365759138"
"result.229","No","0.131017983873063"
"result.230","Yes","0.000521269206715346"
"result.231","Yes","0.00166827371395408"
"result.232","Yes","0.0461599377747132"
"result.233","No","0.0596335409204924"
"result.234","Yes","0.000755829117725667"
"result.235","No","0.109744323734768"
"result.236","Yes","0.0111240498980803"
"result.237","No","0.0736905192961992"
"result.238","No","0.0735230345612294"
"result.239","Yes","0.00171999366660434"
"result.240","No","0.393493424034237"
"result.241","No","0.0874315740621616"
"result.242","No","0.295091643720159"
"result.243","Yes","0.0467338360304387"
"result.244","Yes","0.0410110343049138"
"result.245","Yes","0.0033893215922427"
"result.246","Yes","4.57827959407939e-05"
"result.247","Yes","0.000843427361123332"
"result.248","No","0.229479821392229"
"result.249","Yes","9.10819174122628e-05"
"result.250","Yes","0.0251643301247813"
"result.251","Yes","0.014594179122922"
"result.252","Yes","0.005692811565187"
"result.253","Yes","0.0378820481341199"
"result.254","Yes","0.0399036123401081"
"result.255","No","0.0811310309488453"
"result.256","Yes","0.0348061578192211"
"result.257","Yes","0.0202651119007087"
"result.258","No","0.143660250972523"
"result.259","No","0.595087891490035"
"result.260","Yes","0.000270905139036348"
"result.261","No","0.446389902572098"
"result.262","Yes","0.0268122762949157"
"result.263","Yes","0.0103149074562642"
"result.264","No","0.258373852022365"
"result.265","Yes","4.25655977714093e-05"
"result.266","No","0.0878629786457268"
"result.267","No","0.0654049310694242"
"result.268","Yes","0.00647054995414158"
"result.269","Yes","0.00880166936311176"
"result.270","No","0.621006453494055"
"result.271","No","0.0754807589539453"
"result.272","Yes","0.0265063510485944"
"result.273","Yes","0.00793368042996144"
"result.274","Yes","0.00184082431032607"
"result.275","Yes","0.0115718319971997"
"result.276","No","0.0659931124546057"
"result.277","Yes","0.013385812808474"
"result.278","Yes","0.0132145828387885"
"result.279","No","0.0589054368417783"
"result.280","Yes","0.0194328438772478"
"result.281","No","0.289228701084422"
"result.282","Yes","0.000415859884414503"
"result.283","Yes","0.00514853754888626"
"result.284","No","0.506803164041529"
"result.285","No","0.112449606419415"
"result.286","Yes","0.00558780765212159"
"result.287","No","0.0811777130748213"
"result.288","Yes","0.0075087097178793"
"result.289","No","0.248988356960831"
"result.290","No","0.317258429546745"
"result.291","Yes","0.014923067102917"
"result.292","No","0.29658694518583"
"result.293","Yes","4.15010566777165e-05"
"result.294","No","0.158665075320878"
"result.295","Yes","0.0425637912445434"
"result.296","Yes","0.0126807648683128"
"result.297","No","0.0589669834274761"
"result.298","Yes","0.0289164871354888"
"result.299","No","0.299908276607782"
"result.300","Yes","0.0491999413269835"
"result.301","Yes","0.0178983884757336"
"result.302","No","0.0703422606519951"
"result.303","No","0.20542158946313"
"result.304","Yes","0.0477526030923716"
"result.305","No","0.19172157911231"
"result.306","No","0.0508085306465391"
"result.307","Yes","0.000296531226209732"
"result.308","No","0.0632843354151692"
"result.309","Yes","0.00794263116167436"
"result.310","No","0.190826245360521"
"result.311","No","0.908592592980949"
"result.312","Yes","0.02080572700014"
"result.313","No","0.109181523399772"
"result.314","Yes","0.0054123394860058"
"result.315","Yes","0.0280783838013682"
"result.316","Yes","2.09024101920828e-05"
"result.317","No","0.155885866143983"
"result.318","No","0.303268238095192"
"result.319","No","0.0550616870923782"
"result.320","No","0.17202524732609"
"result.321","No","0.721293516787204"
"result.322","No","0.158632353020983"
"result.323","No","0.051150067095189"
"result.324","No","0.536530424224948"
"result.325","Yes","0.0117438586498006"
"result.326","Yes","0.0318906797312156"
"result.327","Yes","0.00762276615332278"
"result.328","Yes","0.0119097114655679"
"result.329","No","0.103914422979612"
"result.330","No","0.106500873031469"
"result.331","Yes","0.0093662555242744"
"result.332","No","0.081955407821218"
"result.333","No","0.432197666109549"
"result.334","No","0.189498514945178"
"result.335","Yes","0.00168422287383792"
"result.336","No","0.678706927598558"
"result.337","Yes","0.000252295811351203"
"result.338","Yes","0.0030905846707341"
"result.339","Yes","0.0253951180087642"
"result.340","No","0.235127031146724"
"result.341","No","0.0534786198587499"
"result.342","Yes","0.00069066577759942"
"result.343","Yes","0.000118965991216628"
"result.344","Yes","0.00465706671797481"
"result.345","Yes","0.00495839755256798"
"result.346","Yes","0.00906150991979797"
"result.347","No","0.84365221056336"
"result.348","No","0.478737941287057"
"result.349","Yes","0.0361766980725828"
"result.350","No","0.573692296329425"
"result.351","Yes","0.00143521044203988"
"result.352","Yes","0.0226489236585068"
"result.353","Yes","0.015994868409356"
"result.354","No","0.17911735514375"
"result.355","No","0.172083287510476"
"result.356","No","0.0765184895857262"
"result.357","Yes","0.000551466103487461"
"result.358","Yes","0.00703445471142444"
"result.359","Yes","0.00235841346617538"
"result.360","No","0.341661304986891"
"result.361","No","0.0682587206016729"
"result.362","No","0.091109775668423"
"result.363","No","0.081454585356919"
"result.364","No","0.0649089448092294"
"result.365","No","0.271985126644223"
"result.366","No","0.221299107478828"
"result.367","Yes","0.0489456280508499"
"result.368","No","0.0704701553011024"
"result.369","No","0.152449302538057"
"result.370","Yes","0.0064691070846704"
"result.371","No","0.578272274634299"
"result.372","Yes","0.0178880870688318"
"result.373","No","0.154804256040526"
"result.374","No","0.0748513074879476"
"result.375","Yes","0.00702913779405278"
"result.376","No","0.0625900200862207"
"result.377","No","0.146273934862858"
"result.378","Yes","0.00144199099320226"
"result.379","No","0.0709493100399868"
"result.380","Yes","0.028902294768196"
"result.381","Yes","0.00170787778236128"
"result.382","No","0.0516226528658785"
"result.383","Yes","0.0242494819122989"
"result.384","Yes","6.34725304428032e-05"
"result.385","Yes","0.0122264638674918"
"result.386","No","0.31537873084444"
"result.387","Yes","0.0206911096306344"
"result.388","Yes","0.0127041971337868"
"result.389","No","0.0689409836487195"
"result.390","Yes","0.0239684569689844"
"result.391","Yes","0.0242436432975618"
