"","V1","V2"
"result.1","No","0.0773319876108352"
"result.2","No","0.683709933466841"
"result.3","No","0.0630541033653729"
"result.4","Yes","0.00398502244835845"
"result.5","No","0.0596494560329712"
"result.6","Yes","0.0190345842220132"
"result.7","Yes","0.00298007938943912"
"result.8","No","0.647988710339338"
"result.9","Yes","4.68099573951302e-06"
"result.10","Yes","3.55179188003755e-05"
"result.11","No","0.088567116636148"
"result.12","No","0.119426674503529"
"result.13","No","0.235348413229425"
"result.14","No","0.3001450766399"
"result.15","No","0.0656777359445784"
"result.16","No","0.181265124397274"
"result.17","No","0.407122802313238"
"result.18","Yes","0.00253506357537913"
"result.19","Yes","0.00038002735602162"
"result.20","Yes","0.00647622968720946"
"result.21","Yes","0.0293317097637076"
"result.22","No","0.066923766185679"
"result.23","No","0.368652926531911"
"result.24","Yes","0.00447059534757727"
"result.25","No","0.545764557947502"
"result.26","No","0.872510830478163"
"result.27","No","0.050600699323868"
"result.28","No","0.190141937528147"
"result.29","No","0.973301719361328"
"result.30","No","0.351386037459823"
"result.31","Yes","0.0227970224641444"
"result.32","No","0.90579233074857"
"result.33","No","0.917414136249689"
"result.34","Yes","0.00810760014318367"
"result.35","No","0.965076233241071"
"result.36","Yes","0.0327561246829933"
"result.37","No","0.126722462838469"
"result.38","Yes","0.00709163678422799"
"result.39","No","0.532858033282477"
"result.40","Yes","0.0103390455812307"
"result.41","No","0.117196009174537"
"result.42","No","0.0501996892101578"
"result.43","No","0.993583395981355"
"result.44","Yes","0.038852427964"
"result.45","No","0.179615473539048"
"result.46","Yes","8.97024829810463e-05"
"result.47","No","0.134039057683347"
"result.48","No","0.173055124986734"
"result.49","Yes","0.0469931265572842"
"result.50","No","0.175571279064633"
"result.51","No","0.178135348258851"
"result.52","Yes","0.00428061620251963"
"result.53","No","0.365531739289277"
"result.54","Yes","0.00531895918308202"
"result.55","No","0.933255830463862"
"result.56","No","0.0560710169931677"
"result.57","No","0.419979376592578"
"result.58","No","0.294307512922231"
"result.59","No","0.475074667421112"
"result.60","No","0.526475745279264"
"result.61","No","0.260209427253294"
"result.62","Yes","2.63414884396987e-05"
"result.63","Yes","0.0448687820810477"
"result.64","No","0.248264272019056"
"result.65","Yes","0.0239569631841486"
"result.66","Yes","0.0135815666275497"
"result.67","Yes","0.00288028796929491"
"result.68","No","0.396496457259555"
"result.69","No","0.190994083127591"
"result.70","No","0.108677772332137"
"result.71","No","0.164826660388314"
"result.72","Yes","0.0203433980770704"
"result.73","Yes","0.00856116495252173"
"result.74","No","0.525189585772844"
"result.75","No","0.374746758712165"
"result.76","Yes","0.0205992727390435"
"result.77","Yes","0.0246334862454712"
"result.78","Yes","0.0112074908570472"
"result.79","No","0.296383737967141"
"result.80","No","0.358464693457442"
"result.81","Yes","0.00870510863891665"
"result.82","No","0.265031285637567"
"result.83","Yes","0.016427965304089"
"result.84","Yes","0.0216469556756264"
"result.85","Yes","0.00967886657308996"
"result.86","No","0.148208242582736"
"result.87","No","0.523738102260237"
"result.88","No","0.314727046179057"
"result.89","No","0.340646423865194"
"result.90","No","0.679253153631293"
"result.91","No","0.828532324067696"
"result.92","No","0.349676912368426"
"result.93","No","0.847431430471912"
"result.94","No","0.418878011373157"
"result.95","No","0.69318388566679"
"result.96","No","0.150378274398697"
"result.97","No","0.111703414220447"
"result.98","No","0.504709821472146"
"result.99","No","0.22576736144645"
"result.100","No","0.160976719064452"
"result.101","No","0.693327685890466"
"result.102","Yes","0.00832889230014414"
"result.103","No","0.515070365051484"
"result.104","No","0.21242193558039"
"result.105","No","0.696409684645453"
"result.106","Yes","0.0383149947600864"
"result.107","No","0.134876783176756"
"result.108","No","0.0847277508416047"
"result.109","No","0.0519936221680777"
"result.110","Yes","0.0410598574918197"
"result.111","No","0.10350663115"
"result.112","No","0.319508166354519"
"result.113","No","0.748718735143552"
"result.114","No","0.382162222394147"
"result.115","Yes","0.0369737606116193"
"result.116","No","0.220496073303569"
"result.117","Yes","0.0293665708443771"
"result.118","No","0.388946875649886"
"result.119","Yes","0.0379108157037624"
"result.120","No","0.62786053188978"
"result.121","Yes","0.0321395216277068"
"result.122","No","0.605115033893453"
"result.123","No","0.499730503508598"
"result.124","Yes","0.00958403485192134"
"result.125","No","0.545853761577465"
"result.126","Yes","0.00177455409225464"
