"","V1","V2"
"result.1","No","0.376745780710525"
"result.2","No","0.0834532728454168"
"result.3","No","0.295963097515882"
"result.4","No","0.105670570554785"
"result.5","No","0.773944320685813"
"result.6","No","0.749208336056536"
"result.7","No","0.173750598176389"
"result.8","No","0.589480392986749"
"result.9","No","0.0751864109396035"
"result.10","No","0.336140582267685"
"result.11","No","0.182134905264868"
"result.12","No","0.295815593402894"
"result.13","No","0.252418139693641"
"result.14","No","0.496707416933394"
"result.15","No","0.583584018981035"
"result.16","No","0.508075136867782"
"result.17","No","0.58650959067405"
"result.18","No","0.44981556614403"
"result.19","No","0.134549224363398"
"result.20","No","0.996398927497962"
"result.21","No","0.694058582797565"
"result.22","No","0.0507676994452586"
"result.23","No","0.725200874903292"
"result.24","No","0.897286409359029"
"result.25","No","0.229659505283449"
"result.26","No","0.0567145493348472"
"result.27","No","0.769472780416154"
"result.28","No","0.611596227134819"
"result.29","No","0.30353743339344"
"result.30","No","0.487161814987225"
"result.31","No","0.902959839012571"
"result.32","No","0.40609788044691"
"result.33","No","0.933051507310421"
"result.34","No","0.294296169472233"
"result.35","Yes","0.00457271457542632"
"result.36","No","0.753142203872268"
"result.37","No","0.554754414323011"
"result.38","No","0.549869228379331"
"result.39","No","0.288590426161752"
"result.40","No","0.0753195830819975"
"result.41","No","0.433398455509251"
"result.42","Yes","0.0202866993473847"
"result.43","No","0.578040997053434"
"result.44","No","0.155768539610915"
"result.45","No","0.191323862290967"
"result.46","No","0.958707267489798"
"result.47","No","0.230150250293742"
"result.48","No","0.239165317218376"
"result.49","No","0.299658105564023"
"result.50","No","0.811865603084291"
"result.51","No","0.992921012537284"
"result.52","No","0.895626887321249"
"result.53","No","0.778278558393701"
"result.54","No","0.561807088030596"
"result.55","No","0.620817829395919"
"result.56","No","0.988479988305433"
"result.57","Yes","0.034927708702344"
"result.58","No","0.937231466636084"
"result.59","No","0.843803196804143"
"result.60","No","0.315485573324835"
"result.61","No","0.530465837192545"
"result.62","No","0.722242581314016"
"result.63","Yes","0.0164026591459388"
"result.64","No","0.797262891848169"
"result.65","No","0.116935273678859"
"result.66","No","0.955250098932305"
"result.67","No","0.740916255160156"
"result.68","No","0.734202414158007"
"result.69","No","0.605570093463187"
"result.70","No","0.584530039073665"
"result.71","No","0.957711494984794"
"result.72","No","0.482964926915907"
"result.73","No","0.985348774920429"
"result.74","No","0.154309144687759"
"result.75","No","0.561453940826167"
"result.76","No","0.922750041342087"
"result.77","No","0.441947513038004"
"result.78","No","0.474334678436742"
"result.79","No","0.122961209094642"
"result.80","No","0.909972314449192"
"result.81","No","0.591911828314022"
"result.82","No","0.806789372739898"
"result.83","No","0.837600792196112"
"result.84","No","0.528949397465558"
"result.85","No","0.618771432173679"
"result.86","No","0.738535173353488"
"result.87","No","0.251048001487287"
"result.88","Yes","0.041435881483464"
"result.89","No","0.402625883489188"
"result.90","No","0.477776188371744"
"result.91","No","0.822227995628922"
"result.92","No","0.602581303833964"
"result.93","No","0.833467823846357"
"result.94","No","0.886059692294961"
"result.95","No","0.847356166568277"
"result.96","No","0.898530068607926"
"result.97","No","0.150129714400028"
"result.98","No","0.972981361461234"
"result.99","No","0.645576652706892"
"result.100","No","0.0600436585070979"
"result.101","No","0.728437407088164"
"result.102","No","0.523464931250316"
"result.103","No","0.766238349621561"
"result.104","No","0.972937869730282"
"result.105","No","0.791040146232706"
"result.106","No","0.818163485865163"
"result.107","No","0.576882801052427"
"result.108","No","0.880030356598853"
"result.109","No","0.542293139658685"
"result.110","No","0.284932415115362"
"result.111","No","0.716091082188669"
"result.112","No","0.516317853984023"
"result.113","No","0.209951829148898"
"result.114","No","0.589271977161281"
"result.115","No","0.277950380101315"
"result.116","No","0.681082776033578"
"result.117","No","0.424019992320709"
"result.118","No","0.505584252318469"
"result.119","No","0.765752147539917"
"result.120","No","0.111215573916077"
"result.121","Yes","0.0442917277667224"
"result.122","No","0.872077929035139"
"result.123","No","0.136151642125915"
"result.124","No","0.585460692338397"
"result.125","No","0.892605896664184"
"result.126","No","0.317093612865013"
"result.127","Yes","0.00907353592705586"
"result.128","No","0.50692819385182"
"result.129","No","0.649156762137069"
"result.130","No","0.103807257699623"
"result.131","No","0.984793117001804"
"result.132","No","0.862744457964471"
"result.133","No","0.764462821573257"
"result.134","No","0.71880233835979"
"result.135","No","0.65992722175162"
"result.136","No","0.12493866484207"
"result.137","No","0.0515442812076079"
"result.138","No","0.111508731561883"
"result.139","No","0.368460850671194"
"result.140","No","0.676468773860838"
"result.141","No","0.526995741317668"
"result.142","No","0.518690874914897"
"result.143","Yes","0.0263292513525675"
"result.144","No","0.134056131877822"
"result.145","No","0.147593160254958"
"result.146","No","0.079177527943577"
"result.147","No","0.332517644022866"
"result.148","No","0.392962434667691"
"result.149","No","0.985540180714177"
"result.150","No","0.605057583796919"
"result.151","No","0.240327368034018"
"result.152","No","0.0704872088599024"
"result.153","No","0.679526694197867"
"result.154","No","0.729833232942924"
"result.155","No","0.506622114626495"
"result.156","No","0.542183397908791"
"result.157","No","0.84444529448339"
"result.158","No","0.142072044988592"
"result.159","No","0.942854890094684"
"result.160","Yes","0.0011892020480326"
"result.161","No","0.101175769027125"
"result.162","No","0.211988941612965"
"result.163","No","0.120718268920544"
"result.164","No","0.285234652676276"
"result.165","No","0.601255167733551"
"result.166","No","0.611438766201842"
"result.167","No","0.437538089356612"
"result.168","No","0.997613799009609"
"result.169","Yes","0.0400092232782148"
"result.170","No","0.901478051087643"
"result.171","No","0.443031739010758"
"result.172","No","0.294325647449166"
"result.173","No","0.418696781065653"
"result.174","No","0.645375311626215"
"result.175","No","0.734919831511521"
"result.176","No","0.723679525285705"
"result.177","No","0.899324716703339"
"result.178","No","0.954657333697433"
"result.179","No","0.96670592220535"
"result.180","No","0.589453594534859"
"result.181","No","0.959297502990701"
"result.182","No","0.783940292849738"
"result.183","No","0.936142020709392"
"result.184","No","0.0761331891005822"
"result.185","No","0.350392201045831"
"result.186","No","0.347377264829893"
"result.187","No","0.670022355859454"
"result.188","Yes","0.00950219880326457"
"result.189","No","0.35876308475231"
"result.190","No","0.543186008879925"
"result.191","No","0.234055047669445"
"result.192","No","0.132390162674586"
"result.193","Yes","0.0264611779457422"
"result.194","No","0.443109121675738"
"result.195","No","0.562811792557664"
"result.196","No","0.48226081107826"
"result.197","No","0.73001184601386"
"result.198","No","0.0901882287656969"
"result.199","No","0.143243542934072"
"result.200","No","0.638197223881005"
"result.201","No","0.716325004250774"
"result.202","No","0.765393128212841"
"result.203","No","0.655734124422907"
"result.204","No","0.182227657104344"
"result.205","No","0.537100266209479"
"result.206","No","0.196401437304727"
"result.207","No","0.429619465338312"
"result.208","No","0.27085078970961"
"result.209","No","0.759272293399471"
"result.210","No","0.119254359511707"
"result.211","No","0.443125865718871"
"result.212","No","0.237199287795313"
"result.213","No","0.418826820690933"
"result.214","No","0.328363604502824"
"result.215","No","0.680778142945044"
"result.216","No","0.718633805912358"
"result.217","Yes","0.0493905243457777"
"result.218","No","0.380708174238949"
"result.219","No","0.0601048364015729"
"result.220","No","0.856659369167392"
"result.221","No","0.683825786225824"
"result.222","No","0.462290190734333"
"result.223","No","0.816737350833814"
"result.224","No","0.783596610419605"
"result.225","No","0.878369761503217"
"result.226","No","0.735711361081681"
"result.227","No","0.534129562507322"
"result.228","No","0.293442263561873"
"result.229","No","0.677034492195755"
"result.230","No","0.77756977612081"
"result.231","No","0.810976494329786"
"result.232","No","0.63473865790246"
"result.233","No","0.269405983817926"
"result.234","No","0.790956370585447"
"result.235","No","0.320408273489328"
"result.236","No","0.60923037539747"
"result.237","No","0.355973898165601"
"result.238","No","0.874351468907176"
"result.239","No","0.210274539555554"
"result.240","No","0.482773474292144"
"result.241","No","0.220387376886284"
"result.242","No","0.195941211885893"
"result.243","No","0.744637204874157"
"result.244","No","0.942603093199386"
"result.245","No","0.833291854853086"
"result.246","No","0.749252260028441"
"result.247","No","0.642795536665235"
"result.248","No","0.331545734261038"
"result.249","No","0.510314385714558"
