"","V1","V2"
"result.1","Yes","6.49763587666091e-05"
"result.2","Yes","0.00125849055375073"
"result.3","No","0.180763329792874"
"result.4","No","0.148264744894331"
"result.5","No","0.117500254516021"
"result.6","Yes","0.0362199156117352"
"result.7","No","0.0627220223587005"
"result.8","No","0.140557357674532"
"result.9","No","0.365356424981866"
"result.10","No","0.190122041965359"
"result.11","No","0.0978371109669709"
"result.12","Yes","5.74829758245896e-05"
"result.13","No","0.0977038052646803"
"result.14","Yes","0.00141476927116018"
"result.15","No","0.0926803353987415"
"result.16","No","0.0606101597530026"
"result.17","No","0.31670611182785"
"result.18","No","0.253420245516766"
"result.19","No","0.176913573465186"
"result.20","Yes","0.01474346855737"
"result.21","Yes","0.00271571870088129"
"result.22","Yes","0.000768132114454609"
"result.23","No","0.062731730430126"
"result.24","No","0.0886394740838432"
"result.25","Yes","5.24932968067981e-05"
"result.26","Yes","8.30631377327258e-05"
"result.27","Yes","0.0214825786354784"
"result.28","Yes","0.00505979020051402"
"result.29","No","0.103046227061008"
"result.30","Yes","0.0315694589373704"
"result.31","Yes","0.00634890486971352"
"result.32","Yes","5.40133758638606e-05"
"result.33","Yes","0.0322378831474881"
"result.34","Yes","0.0273863123594234"
"result.35","Yes","3.65274473302335e-08"
"result.36","Yes","0.00382603684793538"
"result.37","Yes","0.0252757940484152"
"result.38","Yes","0.007499702346168"
"result.39","Yes","0.000202332169828869"
"result.40","No","0.932131699711993"
"result.41","Yes","0.00605205110800035"
"result.42","Yes","2.28981269642901e-06"
"result.43","Yes","0.0031587560129522"
"result.44","No","0.456299382958967"
"result.45","No","0.575445924163272"
"result.46","Yes","0.00656487944858287"
"result.47","Yes","0.00405455612719012"
"result.48","Yes","0.000532683546041047"
"result.49","Yes","0.00656675428274764"
"result.50","Yes","0.0223394540559532"
"result.51","Yes","0.0133362001089869"
"result.52","Yes","0.0398840904207116"
"result.53","Yes","0.00150842570863357"
"result.54","Yes","0.00227786810681494"
"result.55","No","0.328657004298038"
"result.56","Yes","0.0103519703434243"
"result.57","Yes","0.000469821564252598"
"result.58","Yes","0.0482970570844697"
"result.59","No","0.0996643494523049"
"result.60","No","0.523705769092055"
"result.61","Yes","0.000638036895114447"
"result.62","Yes","0.0200188580449839"
"result.63","No","0.438502983580364"
"result.64","Yes","0.0426770377654256"
"result.65","Yes","0.00103142149221529"
"result.66","No","0.0835176100330562"
"result.67","Yes","0.0107412101060001"
"result.68","Yes","0.00358815916987178"
"result.69","No","0.0536683129701716"
"result.70","Yes","0.00195002437149261"
"result.71","Yes","0.0129838277701568"
"result.72","Yes","0.0122975576822078"
"result.73","Yes","0.0114325733100029"
"result.74","No","0.332147608964846"
"result.75","Yes","5.98783809889125e-05"
"result.76","Yes","0.00125498842220329"
"result.77","Yes","0.00257129274155924"
"result.78","Yes","0.0128433505845287"
"result.79","Yes","0.00025837117154641"
"result.80","Yes","0.00474519939562408"
"result.81","No","0.106772872051284"
"result.82","Yes","0.00428250936818802"
"result.83","Yes","0.00559224676250936"
"result.84","Yes","0.0410416103240467"
"result.85","No","0.0618651117565324"
"result.86","Yes","0.0150737416117484"
"result.87","No","0.540611958821139"
"result.88","Yes","1.48892341957429e-05"
"result.89","No","0.182449194280478"
"result.90","Yes","0.0319161973842834"
"result.91","Yes","0.0473607917009676"
"result.92","Yes","0.0091564209341059"
"result.93","Yes","0.00941502294927749"
"result.94","Yes","0.0375187384605571"
"result.95","Yes","0.0318728896432214"
"result.96","Yes","0.00338045182873875"
"result.97","Yes","0.000611081971959415"
"result.98","Yes","0.0102159054644374"
"result.99","Yes","0.010280665618012"
"result.100","No","0.40812897400179"
"result.101","Yes","0.0278343533014299"
"result.102","Yes","0.0159758532069078"
"result.103","Yes","0.00189171815457757"
"result.104","Yes","0.0210750822901182"
"result.105","Yes","0.0368590839934454"
"result.106","Yes","0.00907790583238278"
"result.107","No","0.305459255087477"
"result.108","Yes","0.0105829402082642"
"result.109","Yes","0.00657622389676824"
"result.110","Yes","3.27487920558915e-06"
"result.111","No","0.0569427529496251"
"result.112","No","0.230140039414304"
"result.113","Yes","0.000470708453352368"
"result.114","Yes","0.00300503294783918"
"result.115","No","0.0665237256146577"
"result.116","Yes","0.0403825697039602"
"result.117","Yes","0.000111999071143002"
"result.118","No","0.0586898404595829"
"result.119","No","0.0634871976523161"
"result.120","Yes","2.15181469477725e-05"
"result.121","No","0.882412913781602"
"result.122","Yes","0.000861633349065703"
"result.123","Yes","0.000367639722355991"
"result.124","Yes","0.0226791299819814"
"result.125","Yes","0.0086214584646522"
"result.126","No","0.170496745634862"
"result.127","No","0.515955807137144"
"result.128","Yes","0.032554073584534"
"result.129","Yes","0.00486199723233328"
"result.130","Yes","1.23090547370293e-05"
"result.131","Yes","0.049749008802173"
"result.132","No","0.121346954923138"
"result.133","Yes","0.000876476085547275"
"result.134","Yes","0.0318864489789377"
"result.135","Yes","0.00223495217604542"
"result.136","Yes","0.000965202761944622"
"result.137","Yes","1.62491786436532e-05"
"result.138","Yes","0.000203910057928925"
"result.139","Yes","0.0251287106101973"
"result.140","Yes","0.00824115951747222"
"result.141","No","0.077889838329868"
"result.142","Yes","0.00185789911219117"
"result.143","No","0.259389281967758"
"result.144","No","0.139124957599915"
"result.145","No","0.316573910944716"
"result.146","No","0.36438380086807"
"result.147","Yes","0.000688480551974435"
"result.148","No","0.164104903755373"
"result.149","Yes","0.0108785715483525"
"result.150","No","0.0878857009573051"
"result.151","Yes","0.000668545792260889"
"result.152","Yes","0.00122702512383942"
"result.153","Yes","0.00706514757009589"
"result.154","Yes","0.0062239793407946"
"result.155","Yes","0.00328808784004205"
"result.156","Yes","0.00209157458083096"
"result.157","Yes","0.0150994236865952"
"result.158","Yes","1.73801239939079e-05"
"result.159","Yes","0.00160948128587426"
"result.160","Yes","1.47736722090632e-05"
"result.161","No","0.377984824687"
"result.162","Yes","5.34418154309735e-06"
"result.163","No","0.309516862105943"
"result.164","No","0.193711443915006"
"result.165","Yes","0.0268100620909359"
"result.166","No","0.148474604238541"
"result.167","Yes","0.00521198791356836"
"result.168","Yes","0.0063343913371776"
"result.169","Yes","2.73742357888096e-05"
"result.170","No","0.0581190729870839"
"result.171","Yes","0.00313001580711894"
"result.172","Yes","0.000480115639296331"
"result.173","No","0.131251462843019"
"result.174","Yes","0.0114958627968368"
"result.175","Yes","0.0319754047174659"
"result.176","Yes","0.00685118891622417"
"result.177","Yes","0.00152580838144081"
"result.178","Yes","0.0386995262416574"
"result.179","No","0.0609124516011663"
"result.180","Yes","0.00165552816080206"
"result.181","Yes","0.0205281917100137"
"result.182","Yes","0.0140617258348023"
"result.183","Yes","0.00172152356807317"
"result.184","Yes","1.39928889310916e-05"
"result.185","Yes","0.000822606409159432"
"result.186","Yes","0.0340763768887025"
"result.187","Yes","0.0139631752542128"
"result.188","No","0.681626622414649"
"result.189","No","0.15180543984627"
"result.190","Yes","0.00362131675024564"
"result.191","No","0.211734389086586"
"result.192","No","0.984832479606962"
"result.193","No","0.574529086307475"
"result.194","Yes","0.0133644677304921"
"result.195","Yes","0.00374441341664215"
"result.196","No","0.0969104671085336"
"result.197","Yes","0.00379047673151442"
"result.198","No","0.237320613479614"
"result.199","No","0.328332358676942"
"result.200","Yes","0.0143685637937836"
"result.201","Yes","0.0110827065236719"
"result.202","Yes","0.0251572446492801"
"result.203","Yes","0.00199814586741807"
"result.204","Yes","0.0105572597470388"
"result.205","No","0.0903911998001711"
"result.206","No","0.0739466015516748"
"result.207","Yes","0.00790961743358363"
"result.208","Yes","0.00401626670867803"
"result.209","Yes","0.0164044169329704"
"result.210","No","0.427858924098935"
"result.211","Yes","0.00823732742383593"
"result.212","No","0.107557622402746"
"result.213","Yes","0.0022654665965141"
"result.214","Yes","0.000347773598710112"
"result.215","Yes","0.037356118482347"
"result.216","No","0.107737975985919"
"result.217","No","0.729514656015415"
"result.218","Yes","0.00247381205451381"
"result.219","No","0.202308066987901"
"result.220","No","0.0617218475377525"
"result.221","Yes","0.0467702610355964"
"result.222","No","0.182482151384006"
"result.223","No","0.0845325740204752"
"result.224","Yes","0.0300491602405054"
"result.225","Yes","0.0377356461513522"
"result.226","No","0.0546663905259449"
"result.227","Yes","0.0147253520845103"
"result.228","Yes","8.70225771935386e-05"
"result.229","Yes","0.00537649162631824"
"result.230","No","0.143505875352858"
"result.231","Yes","0.00690808205096295"
"result.232","No","0.126358244322969"
"result.233","No","0.306427045386219"
"result.234","Yes","0.0262399355319099"
"result.235","Yes","0.000580056201114199"
"result.236","Yes","0.000567758465220075"
"result.237","Yes","0.0457639880432141"
"result.238","Yes","0.0382999407532026"
"result.239","Yes","0.0408597605329238"
"result.240","Yes","0.000812333802251861"
"result.241","No","0.227910733027667"
"result.242","No","0.294819272725006"
"result.243","Yes","0.00660062776116465"
"result.244","Yes","0.00663618054730959"
"result.245","Yes","0.00783284679130557"
"result.246","Yes","0.00462244920276886"
"result.247","Yes","0.019970034201163"
"result.248","No","0.220896846648462"
"result.249","Yes","0.00427033115689555"
"result.250","Yes","0.00310712116116902"
"result.251","No","0.0577875152148519"
"result.252","Yes","0.00257797552100596"
"result.253","Yes","0.00104736057072072"
"result.254","Yes","3.37598224204744e-05"
"result.255","No","0.0802292561690206"
"result.256","No","0.0536285996367265"
"result.257","No","0.402227661898245"
"result.258","No","0.120464456438009"
"result.259","No","0.0534569582301125"
"result.260","Yes","2.2029146791439e-05"
"result.261","No","0.213217940262678"
"result.262","Yes","0.0112381441992102"
"result.263","Yes","2.7304592470945e-05"
"result.264","Yes","0.000305035702020579"
"result.265","No","0.390229661289114"
"result.266","Yes","0.000313419769908366"
"result.267","Yes","0.00518464304030913"
"result.268","Yes","0.029431345631877"
"result.269","No","0.0735725177947045"
"result.270","Yes","0.00120280537654945"
"result.271","Yes","0.00802788119725853"
"result.272","Yes","0.000163286866964245"
"result.273","Yes","0.031951192402613"
"result.274","No","0.247722558035553"
"result.275","No","0.308353584425751"
"result.276","No","0.0536774307468248"
"result.277","No","0.197598462324423"
"result.278","No","0.345789064051748"
"result.279","Yes","0.00437064607369705"
"result.280","No","0.172543783365859"
"result.281","No","0.164599173583677"
"result.282","Yes","0.0128342441960729"
"result.283","No","0.223072640182824"
"result.284","No","0.10785451069772"
"result.285","Yes","0.0382190886161482"
"result.286","No","0.050090246482579"
"result.287","No","0.0681596573556081"
"result.288","No","0.249383408433257"
"result.289","Yes","0.0250918492030007"
"result.290","Yes","0.000570189218037648"
"result.291","Yes","0.00541613770395063"
"result.292","Yes","0.000593043307537869"
"result.293","No","0.378110186231522"
"result.294","Yes","0.0472366853108066"
"result.295","Yes","0.00113358542422579"
"result.296","No","0.264169091945355"
"result.297","Yes","0.000945944005119255"
"result.298","No","0.423019178406521"
"result.299","No","0.99911543318863"
"result.300","Yes","0.00117746142376119"
"result.301","No","0.234892419556824"
"result.302","Yes","0.0126539673972343"
"result.303","No","0.167126062974249"
"result.304","Yes","0.000908490720847504"
"result.305","Yes","0.0277491585168309"
"result.306","No","0.5222350976075"
"result.307","No","0.239030766974982"
"result.308","Yes","0.00743562743383943"
"result.309","Yes","0.0100186177308636"
"result.310","Yes","0.00337178246373787"
"result.311","Yes","0.0279519326567607"
"result.312","No","0.1499918722175"
"result.313","Yes","0.010813296301339"
"result.314","No","0.207187724830566"
"result.315","No","0.727576590717587"
"result.316","No","0.177795809006169"
"result.317","Yes","0.000650854047809986"
"result.318","No","0.111604522234517"
"result.319","Yes","0.000967157784962114"
"result.320","No","0.119507414266909"
"result.321","Yes","3.27885527879079e-05"
"result.322","Yes","0.000280856544153967"
"result.323","Yes","2.60078450636696e-06"
"result.324","Yes","0.00017118116859041"
"result.325","Yes","0.00773484732249828"
"result.326","No","0.0826901096189085"
"result.327","No","0.235835399313516"
"result.328","Yes","0.000223010347281539"
"result.329","Yes","0.00132370759619757"
"result.330","Yes","0.000731117202280157"
"result.331","Yes","0.017884661027875"
"result.332","No","0.0585481955372993"
"result.333","Yes","0.0109968223702577"
"result.334","No","0.0621698963884723"
"result.335","No","0.166988398386035"
"result.336","Yes","0.000831145249453115"
"result.337","No","0.0641166096034039"
"result.338","No","0.612266836163855"
"result.339","Yes","4.52310387154174e-05"
"result.340","Yes","0.00018367334865722"
"result.341","Yes","0.0160050292079912"
"result.342","Yes","0.00865694474299154"
"result.343","Yes","0.042961481981295"
"result.344","No","0.166645000894537"
"result.345","No","0.96290749637934"
"result.346","Yes","0.00946857920563519"
"result.347","Yes","0.0121760414703307"
"result.348","Yes","0.0104043111569017"
"result.349","No","0.438611697162269"
"result.350","Yes","0.000299080950688079"
"result.351","No","0.705957813945544"
"result.352","No","0.109678498108226"
"result.353","Yes","0.000144620141707225"
"result.354","Yes","1.43809908044317e-05"
"result.355","Yes","5.98472230540649e-05"
"result.356","Yes","8.03052418231188e-05"
"result.357","No","0.0530810169105844"
"result.358","Yes","0.000330385504277691"
