"","V1","V2","V3","V4"
"result.1","No","0.0673307200963877","0.85228746420319","0.590677341246953"
"result.2","No","2.28810341901253e-05","-0.00690500633204685","0.59876550506495"
"result.3","No","0.104439357789757","1.09932573143485","0.586523908754355"
"result.4","Yes","0.00187286804293552","1.65362233051743","0.591026743823932"
"result.5","Yes","0.037295733083347","1.05692408074298","0.571662966987166"
"result.6","Yes","2.32518509120094e-05","1.27110614274877","0.572762347526001"
"result.7","Yes","0.00240344321781472","1.53871049372256","0.576669326502713"
"result.8","No","0.004972390759861","-0.0422258018786308","0.58972915049102"
"result.9","Yes","4.27498313348984e-06","2.64667902843099","0.573283366774402"
"result.10","Yes","1.44086123089471e-05","2.33923473988167","0.595213464810517"
"result.11","Yes","0.0324867448732575","0.861867059459031","0.595994158939271"
"result.12","Yes","0.00352120989123073","0.745762433610445","0.584416840329519"
"result.13","Yes","0.0224197634155217","0.336042561552003","0.568613259112367"
"result.14","No","0.14967626628557","0.514951001212331","0.576838770362281"
"result.15","Yes","0.0293077582286675","1.14082803591923","0.610560017440392"
"result.16","No","0.15651022519477","0.573662511243527","0.589193639391841"
"result.17","Yes","1.06783065345617e-05","0.385464597302147","0.563787843195828"
"result.18","Yes","0.000173605769820506","1.45051281454605","0.551858540569289"
"result.19","Yes","9.29637812002726e-05","2.08283018186416","0.580555111532382"
"result.20","Yes","1.83156824844488e-05","1.22748875430846","0.593269920911799"
"result.21","Yes","0.000596141973198572","0.98695502980619","0.583663141578718"
"result.22","Yes","0.0349414798664154","1.05146944547567","0.584014688030985"
"result.23","No","0.0846002655413841","0.362991667839337","0.582918132189894"
"result.24","Yes","3.88219466944673e-05","1.47336824339294","0.586422394963662"
"result.25","Yes","0.000669120544940283","0.273608860917935","0.551448844073874"
"result.26","No","0.0192820566896613","-0.227602415391103","0.595703756083824"
"result.27","Yes","2.2382915280339e-05","0.979487811572565","0.601927987870832"
"result.28","Yes","1.32263583809689e-05","0.38990646008215","0.574861923028542"
"result.29","No","0.685811908905726","0.071998095232833","0.593592309560957"
"result.30","Yes","0.00221883283247903","0.296686862587654","0.562383422799238"
"result.31","Yes","4.09258679778812e-06","0.983233085945473","0.551536975571933"
"result.32","No","0.0424915892457473","-0.240560912796328","0.576431317460957"
"result.33","No","0.752872269928669","-0.131157098532901","0.578671074611229"
"result.34","Yes","0.000360056527314745","1.29347043718933","0.576957332795144"
"result.35","No","0.111465245121389","-0.160413659469875","0.601208833136447"
"result.36","Yes","0.000327365702167404","1.00329944594533","0.60998889590154"
"result.37","Yes","6.75898145695575e-05","0.766866223165767","0.59057027183186"
"result.38","Yes","0.00116053018323203","1.56112100225534","0.584893214138519"
"result.39","No","0.293976939653761","-0.336534818775842","0.587220996488346"
"result.40","Yes","0.000159054964010807","1.31237618262194","0.567086483277197"
"result.41","Yes","0.0122539410623905","0.695451505239027","0.594114506535244"
"result.42","Yes","0.00285252348788267","1.10070051741049","0.612306385549229"
"result.43","No","0.307376905438978","-0.100281430059423","0.590288720930415"
"result.44","Yes","0.00257788518154789","0.801146930834955","0.58859651815474"
"result.45","No","0.182665331492167","0.609178626305287","0.575445980209875"
"result.46","Yes","0.00014473914335067","2.12039627367533","0.573235012646108"
"result.47","Yes","0.00107635508800441","0.955753927040534","0.579807347439856"
"result.48","Yes","0.045525053952676","0.689957260590652","0.589529329334715"
"result.49","Yes","0.00202896354066151","1.1292447227163","0.575868994483885"
"result.50","Yes","0.0318506062494298","0.591821864885863","0.559859381492727"
"result.51","Yes","0.000564378133314003","0.621851918310864","0.568051107977448"
"result.52","Yes","0.00169842719327151","1.57529377131813","0.571837517532026"
"result.53","Yes","0.00339605137313981","0.391499736143357","0.574565644442925"
"result.54","Yes","0.00681322111958793","1.62876280604011","0.586550862509605"
"result.55","No","0.00640323307102864","-0.0684906995665918","0.588299228132189"
"result.56","Yes","0.0261979801907741","0.85207641842275","0.563105057948248"
"result.57","No","0.116697455046846","-0.649206612568078","0.606407063234431"
"result.58","No","0.316030817244166","0.863196177022323","0.578683243058663"
"result.59","Yes","0.0361913347131673","0.375226979563517","0.586358104768648"
"result.60","Yes","0.0248554623343135","0.292974278254708","0.56648867882792"
"result.61","Yes","0.0456064371278272","0.307029520968678","0.57533776000853"
"result.62","Yes","2.24612634551757e-05","2.36521805052886","0.579158278015001"
"result.63","Yes","5.77141688344884e-05","0.755374779038101","0.590826250408973"
"result.64","No","0.166129668246199","0.658508617814421","0.58818082406378"
"result.65","Yes","0.00357317877756091","1.10706657049197","0.575507259570773"
"result.66","Yes","0.0373967133088562","1.48230197759836","0.58359058239074"
"result.67","Yes","1.80740423521009e-05","1.52310515456562","0.575630468604137"
"result.68","No","0.0506588796043823","0.717232194789272","0.575427550094454"
"result.69","Yes","0.0367044087927747","0.480108184107504","0.579745292479242"
"result.70","Yes","0.00224659337253252","0.822718664467817","0.585623216171876"
"result.71","No","0.303050349642779","0.904154017235135","0.579008887834367"
"result.72","Yes","0.00340906882410674","1.20104016412176","0.545684468119591"
"result.73","Yes","0.0200772150083752","1.36022811096616","0.593307302093319"
"result.74","Yes","0.00364812762687161","0.0264472293569678","0.597407507179459"
