"","V1","V2","V3","V4"
"result.1","No","0.624516495162895","-0.37918123230674","0.607833102188257"
"result.2","No","0.0140646806695927","-1.16770992304489","0.608213373074192"
"result.3","No","0.565392441621264","0.51479661928725","0.594389634930785"
"result.4","No","0.316837817870483","0.914567552963581","0.593793171151979"
"result.5","No","0.63951290440648","0.0856089659970242","0.580080004217029"
"result.6","Yes","0.0154861017399235","0.0683209982342356","0.604676323346095"
"result.7","No","0.504002395690758","0.655651267483691","0.616336925589873"
"result.8","No","0.231561206967393","0.322493707509182","0.577636019350183"
"result.9","No","0.214378993370253","0.949146837727491","0.56231217323001"
"result.10","No","0.158377256562309","0.78179105064081","0.572359733009308"
"result.11","No","0.079247213261579","0.686598922225923","0.603102741178776"
"result.12","No","0.368522483003735","-0.807205058161022","0.564087002698489"
"result.13","No","0.324625161202314","0.483714758426326","0.596860019813539"
"result.14","No","0.266596112224838","-0.512321138559968","0.59344246763881"
"result.15","No","0.799127706614138","0.296812100547521","0.584142802535549"
"result.16","No","0.695499347950105","0.389032281537275","0.607741900595388"
"result.17","Yes","0.00619136564172562","0.0236268219062428","0.598319204807564"
"result.18","No","0.787074519738729","0.429230423962802","0.622389413617108"
"result.19","No","0.168519293172368","1.03448882962428","0.576840308966738"
"result.20","No","0.144120826345635","-0.237086776478933","0.586016059409266"
"result.21","No","0.883750937294133","-0.268590714027571","0.595661944636229"
"result.22","No","0.178313407090904","-1.09111792324735","0.58141027089291"
"result.23","No","0.387277984397052","0.31048270510342","0.591359296340711"
"result.24","No","0.740541834893694","0.132403589926138","0.567880621711482"
"result.25","No","0.2758789507008","-0.943259499890618","0.55194496390893"
"result.26","No","0.0463239027124077","-1.14942433078631","0.589766170849874"
"result.27","No","0.89780587565988","-0.155326318748508","0.578349382123936"
"result.28","No","0.646523654801876","-0.229947547567986","0.579532186293288"
"result.29","No","0.608534898893398","0.574103896145298","0.593525547480742"
"result.30","No","0.138805381436127","0.550212258526456","0.586496265539956"
"result.31","No","0.128567958918066","-0.176324939395466","0.584370270455182"
"result.32","No","0.517471218058385","-0.544208600388475","0.58593391258286"
"result.33","No","0.800611918953035","-0.0131550088092803","0.592330883267845"
"result.34","No","0.158451400116789","-0.715067383934093","0.573095752655002"
"result.35","No","0.00849649841601896","-1.67878609005903","0.580946782062988"
"result.36","No","0.403648387657709","-0.377908048631709","0.5792879808894"
"result.37","No","0.0651129733950102","-0.538964929646611","0.582341485314689"
"result.38","No","0.761283364830177","-0.149229813466348","0.602789853981341"
"result.39","No","0.391947275921202","-0.791340137723317","0.594273706302398"
"result.40","No","0.0766421230506955","0.953498154877754","0.582185288636479"
"result.41","No","0.56802106378229","-0.212168716376429","0.574825506645662"
"result.42","No","0.07005304956132","-1.31893945355792","0.5835801059862"
"result.43","No","0.819662118566501","-0.348829735604377","0.573796484438963"
"result.44","No","0.107494122864822","0.678283769856757","0.576824251067186"
"result.45","No","0.521879440214462","0.471912931216035","0.58217095183061"
"result.46","No","0.968066289590109","-0.0357321877857451","0.594708751935581"
"result.47","No","0.292893181548168","-0.803620532207747","0.594944429617493"
"result.48","No","0.134599433961746","-0.924441578092497","0.586400717667554"
"result.49","No","0.618169989022128","-0.515333482975159","0.607393231653394"
"result.50","No","0.89943724852487","0.136564476138548","0.590013259181413"
"result.51","No","0.248589060754456","-0.281796963941194","0.577126697800333"
"result.52","No","0.150716087545613","-0.069475198504779","0.595979454993823"
"result.53","No","0.910105820850212","-0.0884794203626338","0.593607101651766"
"result.54","No","0.306303328192337","-0.460922011979783","0.616849855266751"
"result.55","No","0.793310702793281","0.335251909019926","0.583380966637719"
"result.56","No","0.997987842572965","-0.0130197567525441","0.593313549485832"
"result.57","No","0.143575697274029","-1.14912526387186","0.610680564126566"
"result.58","No","0.315636342197105","-0.00330783268855862","0.599842832935254"
"result.59","No","0.717744930038598","0.0990711789704132","0.610801963289931"
"result.60","No","0.570966376656099","0.602572174823893","0.559935689309503"
"result.61","No","0.788654299331795","-0.252955021875582","0.607592557651342"
"result.62","No","0.938041076212375","-0.190858573572498","0.5728580321871"
"result.63","No","0.0655341873902654","1.33590724365181","0.585429055708518"
"result.64","No","0.967965503047489","0.120570973488151","0.58426451521031"
"result.65","No","0.179978174008514","-1.11416353363495","0.567028058567832"
"result.66","No","0.873157840248428","0.236251591059913","0.599064536791166"
"result.67","No","0.154637536172813","-0.0771995660411218","0.562712977009237"
"result.68","No","0.41550910152551","-0.123802436552937","0.570739257951285"
"result.69","No","0.762134976402536","0.263376766835545","0.600104368579361"
"result.70","No","0.776161335875683","-0.410062507691811","0.603599046807662"
"result.71","No","0.152929336455624","0.125391639512499","0.581728951383035"
"result.72","No","0.799871671321655","0.367002806714068","0.580584401990938"
"result.73","No","0.952339635660987","0.0589944929979811","0.573301400271565"
"result.74","No","0.419550529453056","0.694406322894629","0.598857436522942"
"result.75","No","0.544440942601268","-0.238784714780711","0.604688969813665"
"result.76","No","0.631238930450446","0.0742347377547151","0.578071217218299"
"result.77","No","0.42927801705968","-0.408950279058545","0.558090998177347"
"result.78","No","0.419188635915371","-0.198736155083754","0.605057545166995"
"result.79","No","0.0129331078451232","-1.24004419020514","0.615678073141436"
"result.80","No","0.947184007307781","-0.140657243287723","0.600808922456389"
"result.81","No","0.737585218925458","0.357234925422358","0.591732106172847"
"result.82","No","0.674713621477235","-0.0215495990801763","0.560068966847005"
"result.83","No","0.913256811597547","0.00269720040528335","0.56565454903521"
"result.84","No","0.835576802557257","-0.316851578670459","0.59834845012414"
"result.85","No","0.502094799216422","0.388115862535219","0.607791680118514"
"result.86","No","0.349433782385275","0.0268853205490782","0.564855238256384"
"result.87","No","0.366026955710911","0.749742312775139","0.561020199085852"
"result.88","No","0.097663701987142","-1.2625005776281","0.590731495117126"
"result.89","No","0.442476326820565","0.249177182247032","0.629411971782101"
"result.90","No","0.201262148666065","-0.594540779365316","0.595440048609244"
"result.91","No","0.835631519589126","0.101239067540371","0.58368434668154"
"result.92","No","0.842462543023046","-0.302384503763808","0.602693858578205"
"result.93","No","0.975728569727147","-0.128535406658399","0.60720490274718"
"result.94","No","0.990345428066211","0.0511552945967463","0.577171755537271"
"result.95","No","0.960238045505709","0.0730945135170689","0.599289396772952"
"result.96","No","0.925905271847498","-0.022396352208616","0.597362994174935"
"result.97","No","0.290768370105324","-0.663284914287243","0.59646140379071"
"result.98","No","0.851480113490375","0.202601618074329","0.587642583371295"
"result.99","No","0.718944554434778","-0.378815410912315","0.586952385238936"
"result.100","No","0.213663466352522","0.97673477707555","0.594205915895938"
"result.101","No","0.196637766633749","0.156328948188945","0.576854680066042"
"result.102","No","0.72558606133051","0.442460473542906","0.575507795777162"
"result.103","No","0.939812742431198","-0.206152630837566","0.583409427315876"
"result.104","No","0.522073638567355","0.0199689724098989","0.593265790945921"
"result.105","No","0.238746165415381","0.089786580118759","0.569430197527316"
"result.106","No","0.690762827838756","0.169071072464895","0.566613790450409"
"result.107","No","0.788302179469315","0.195675704143142","0.573819798945804"
"result.108","No","0.0673051383921285","-0.270692564503896","0.590110124938044"
"result.109","No","0.516945968237282","-0.184015212376617","0.611410768800847"
"result.110","No","0.221155472296492","-0.512114364040846","0.594017482925728"
"result.111","No","0.296879537033286","-0.316222378053402","0.580771895400679"
"result.112","No","0.3138460063978","0.219182346033754","0.576497839059729"
"result.113","No","0.021610838620667","-0.757840584835949","0.594537244286802"
"result.114","No","0.346205589616329","-0.416803547904206","0.544661498596493"
"result.115","No","0.442494103420091","0.361383515624989","0.614151113748081"
"result.116","No","0.555169915663278","0.399062356445616","0.600160422615596"
"result.117","No","0.32895017899526","-0.48940272908944","0.565756128569696"
"result.118","No","0.911029178584759","0.228394994126678","0.589839669222332"
"result.119","No","0.561057780809633","0.290460971259161","0.572892227532049"
"result.120","No","0.207832633548776","-1.04000969371521","0.597185785889042"
"result.121","No","0.110070552618779","1.15094888575276","0.59930161681708"
"result.122","No","0.721170191499959","-0.162453806186006","0.585562244863412"
"result.123","No","0.429480967222505","-0.650895869389275","0.578316678472396"
"result.124","No","0.346513134048413","0.210034507172768","0.570257265111015"
"result.125","No","0.898939490102716","0.106345628432559","0.573170535461899"
"result.126","No","0.188955608450685","0.526088749237552","0.604648192784289"
"result.127","Yes","0.0365042595288887","1.39006734937906","0.596113594826006"
"result.128","No","0.835406115584301","0.164854732330172","0.591368614742163"
"result.129","No","0.758894459480606","-0.37895150521901","0.603081382726419"
"result.130","No","0.34113722005236","-0.848115822448148","0.58664273177622"
"result.131","No","0.974218778674647","-0.0116225916368601","0.571864738572904"
"result.132","No","0.841310610637135","0.029804089060373","0.580514722308305"
"result.133","No","0.262419625586866","-0.266657968966864","0.5770662393879"
"result.134","No","0.610771532159149","0.262730564716387","0.592400213102304"
"result.135","No","0.726683120272691","-0.164309446724766","0.581973719775275"
"result.136","No","0.343074470635896","-0.839936699142978","0.60412477698652"
"result.137","No","0.132594083848016","-0.965255780452165","0.569125364596543"
"result.138","No","0.481570519176959","-0.663242028336623","0.588722645812651"
"result.139","No","0.0825863348626616","0.575764111942648","0.596052631769725"
"result.140","No","0.812029907913611","-0.375298702914996","0.589262071442566"
"result.141","No","0.339974258373496","0.484638477074339","0.557970466304334"
"result.142","No","0.796736322234403","-0.347833020522372","0.575324923252841"
"result.143","No","0.102071275113203","1.24131668612573","0.585428111194567"
"result.144","No","0.402616524738866","0.796686426792658","0.592745141317556"
"result.145","No","0.214957561199617","0.993844724199055","0.595112416571894"
"result.146","No","0.0906996038530916","1.03098717042842","0.609073693254271"
"result.147","No","0.255439122638372","-0.697733745403558","0.58559335090678"
"result.148","No","0.781717528373574","0.312138528099782","0.564740168903663"
"result.149","No","0.971195869576501","-0.124894667091075","0.566185325890736"
"result.150","No","0.699171929198646","0.465000326913855","0.608292698061059"
"result.151","No","0.395055086604932","-0.680012636642778","0.580391470815397"
"result.152","No","0.310621319345831","-0.854760013647324","0.589262292296672"
"result.153","No","0.837542315423388","0.131827651624712","0.605889533064412"
"result.154","No","0.129276441802473","-0.0636068712195174","0.609828096095266"
"result.155","No","0.537325336475283","-0.419600930414394","0.608281461899855"
"result.156","No","0.737489635025506","-0.327149647215468","0.591284309491786"
"result.157","No","0.791156311201954","0.0689399802829048","0.581349603608028"
"result.158","No","0.181283110154914","-0.68417067473389","0.619957877991619"
"result.159","No","0.606594683996661","0.108632838758208","0.607785749591157"
"result.160","No","0.00336961222882881","-1.9879635000842","0.562991119482942"
"result.161","No","0.348632719962243","0.793289701837191","0.593360076651225"
"result.162","No","0.503765729448042","-0.536596928077357","0.579983469041467"
"result.163","No","0.237201897374447","0.691768364152107","0.590458304030196"
"result.164","No","0.391355426785191","0.569086773230163","0.569421921377108"
"result.165","No","0.832313712833241","0.358721470214568","0.580767035817842"
"result.166","No","0.871375068651658","0.257819359720397","0.603254715884507"
"result.167","No","0.536246063015071","-0.648976394786676","0.593098539848386"
"result.168","No","0.919178058336295","0.174554223876732","0.618703611109693"
"result.169","No","0.125380290223341","-1.16730237169516","0.57489938089838"
"result.170","No","0.955504441784835","-0.0806122141723393","0.584094848873671"
"result.171","No","0.46642832222337","-0.50893823377195","0.583734793802228"
"result.172","No","0.3760933679001","-0.739003423795041","0.582571544705449"
"result.173","No","0.715448090638333","0.390462180592211","0.580738715341811"
"result.174","No","0.664166980415605","-0.323519049847336","0.586363185549674"
"result.175","No","0.379142662568935","0.116411207391681","0.600918714735579"
"result.176","No","0.905101586152484","0.151442574481557","0.588118919661173"
"result.177","No","0.864700044772307","-0.0370217283047481","0.579365707200042"
"result.178","No","0.644766074491157","0.0328146516578259","0.586040945071114"
"result.179","No","0.357889937358468","-0.14557556972437","0.586858526271399"
"result.180","No","0.398315823263777","-0.201945302988148","0.598988293656802"
"result.181","No","0.527890331247709","-0.0742275900951013","0.587023817092351"
"result.182","No","0.991298914874585","-0.00222714562303236","0.580587432969738"
"result.183","No","0.94340135373649","0.223263311435607","0.585951029181391"
"result.184","No","0.0883632710771812","-1.11855296627026","0.61300193596206"
"result.185","No","0.651051991853881","-0.499830600307115","0.582756754004173"
"result.186","No","0.128773752942056","0.613214963345847","0.586267805919438"
"result.187","No","0.859437949987068","0.35303678551655","0.59326161469075"
"result.188","Yes","0.00675716589491426","1.23887388549637","0.563805361572794"
"result.189","No","0.572882715092657","0.370446980316628","0.602845590306847"
"result.190","No","0.798478859170929","0.368379407776743","0.580391637420089"
"result.191","No","0.507742173163274","0.617988711213586","0.585787949565081"
"result.192","No","0.304475302782841","0.875368911955781","0.601034735712148"
"result.193","No","0.0702657915378651","1.22366540879726","0.576050362959762"
"result.194","No","0.430642897387915","0.54611074482378","0.62318965560323"
"result.195","No","0.657075527556974","-0.151928155234989","0.582687990370637"
"result.196","No","0.732192799420926","0.391661019788285","0.58407302280999"
"result.197","No","0.681642432618203","-0.412852555912386","0.596429929227989"
"result.198","No","0.262313355497321","0.903719041738711","0.601545293958561"
"result.199","No","0.334514758494403","0.75229520841029","0.602791214977685"
"result.200","No","0.704560976032047","-0.39329200800461","0.559886386886139"
"result.201","No","0.918964569960149","-0.181410032936281","0.580843244636478"
"result.202","No","0.427925966077678","0.241819651402143","0.582627190817033"
"result.203","No","0.108880876065486","0.200538511700413","0.597733625744142"
"result.204","Yes","0.0229810350831791","1.15370966769888","0.594649145765773"
"result.205","No","0.660244921611567","0.211549896112878","0.602424253141281"
"result.206","No","0.600555878329045","0.584952338870442","0.599564844692835"
"result.207","No","0.38961447940932","-0.558124489632","0.584169728690235"
"result.208","No","0.450477939992812","-0.560831355118001","0.622554321345126"
"result.209","No","0.190387744072079","0.0847996242643295","0.585488110702754"
"result.210","No","0.310742717268399","0.864755099700781","0.59267190000095"
"result.211","No","0.512893730729016","0.621408137777955","0.594371059043248"
"result.212","No","0.173070713924461","0.535857967975171","0.600598722916413"
"result.213","No","0.701341527963428","-0.509255338764841","0.588924918453621"
"result.214","No","0.531497138477257","-0.5431674944305","0.582247308708355"
"result.215","No","0.89067298995965","0.280358954788556","0.591517818039577"
"result.216","No","0.190414798302745","0.137925628447473","0.598788785264131"
"result.217","No","0.189455376555806","1.07962804912004","0.589185258852289"
"result.218","No","0.169247921148804","-0.344482890286429","0.582796244348874"
