"","V1","V2","V3","V4","V5","V6"
"result.1",0.94675,1,-0.17972715823799,0.0720603083139323,0.11012816682594,0.0137785786157985
"result.2",0.9705,0.68675,-0.212359759261137,0.00652185387438838,0.110935744844941,0.0138906758052824
"result.3",1,0.9865,-0.404890301811287,0.0300667191077482,0.107092024450095,0.0137814231699979
"result.4",0.99975,0.99425,-0.38356159600334,0.0369689198909824,0.108237195151139,0.0137143983574455
"result.5",0.99825,0.469,-0.318403355676309,-0.00108408929884723,0.109824248374508,0.0135847493347133
"result.6",1,0.72675,-0.512670748736297,0.00804880551633255,0.111555740238078,0.013734824294108
"result.7",0.9995,1,-0.359228563585958,0.0626392768434711,0.112562748751771,0.0134455815599584
"result.8",1,0.54125,-0.417487923352314,0.00129256663317498,0.108745034038912,0.0139093994891825
"result.9",0.99975,1,-0.380474069983701,0.0464237227550466,0.111632710323598,0.0137696442324336
"result.10",1,1,-0.398877137496662,0.0657375005529756,0.110301741238482,0.0139739017379413
"result.11",0.99975,1,-0.355578871977967,0.0811099028866173,0.110647558830977,0.0134300432735585
"result.12",0.96975,1,-0.20729342775197,0.0537914675955225,0.112412977656344,0.0133503793617901
"result.13",1,0.9185,-0.477791409301107,0.0185170994422978,0.108696887355861,0.0134890013519457
"result.14",0.6275,1,-0.0371545534019714,0.0617611458780042,0.113420345498804,0.0133861992667603
"result.15",0.99875,0.9995,-0.335426697297076,0.0460133159476967,0.111756074339801,0.0132629958086606
"result.16",1,0.9955,-0.434826741381197,0.0342262043378337,0.108166848781775,0.0138754873823125
"result.17",1,0.81425,-0.510397186853155,0.0121468676427357,0.114008473880293,0.0134222521670524
"result.18",0.9995,0.9985,-0.345611992174725,0.0369494454255328,0.10953791675497,0.0131662411600144
"result.19",1,0.9945,-0.480253320491781,0.0340939616000186,0.111508871541426,0.0132083888617545
"result.20",0.99975,0.99475,-0.389429719246762,0.0340103478367885,0.111353516217101,0.0135905980669178
"result.21",0.981,0.63775,-0.229059615620673,0.00484143947987063,0.109758999198874,0.0135911843318934
"result.22",0.806,0.974,-0.0956708839451881,0.0258419710175011,0.10908769079609,0.0135457320488198
"result.23",0.99975,1,-0.347571370735031,0.0649902413195457,0.110839247657629,0.0137769286405256
"result.24",0.99875,0.7895,-0.37634429796643,0.0108297137588023,0.111385388969572,0.0138768351282694
"result.25",0.95175,0.933,-0.18310070713125,0.0204394117185515,0.110686702819393,0.0136908956931307
"result.26",0.95675,0.0865,-0.193110045910283,-0.0191589519974672,0.11204592187044,0.0137301384584059
"result.27",0.995,0.94475,-0.295982523704439,0.0214164356320405,0.112336844350076,0.0134525368373954
"result.28",0.9945,0.84975,-0.275218862771994,0.0138437126722189,0.110158941480438,0.0136186237426915
"result.29",1,1,-0.420122994047628,0.0513706502916483,0.107446494694409,0.0140842582478936
"result.30",0.99475,1,-0.263164109668109,0.0531384063538768,0.110968755018759,0.013818165093772
"result.31",0.9995,0.6235,-0.36687190495028,0.00407911348374521,0.110934231885624,0.0136362420251024
"result.32",0.9885,1,-0.242161354806167,0.0553214321355271,0.111191219018549,0.0131317677712331
"result.33",0.973,1,-0.20348342307262,0.0553583558788136,0.108652524613489,0.0138813097139406
"result.34",1,0.958,-0.365046044599297,0.0236006944611281,0.114118270468731,0.0136335233088424
"result.35",0.4655,0.97625,0.010057175556969,0.0273259619362287,0.10987040961728,0.0139347865891086
"result.36",0.99925,0.9825,-0.331364902629332,0.0285518899266546,0.108707097071165,0.0135250073165829
"result.37",0.98075,0.73025,-0.230903159118124,0.00826600894419849,0.109315435691241,0.0134131701532916
"result.38",0.96525,0.988,-0.20291027939174,0.0302421173489196,0.111977724311511,0.0133153367381998
"result.39",0.9145,0.97125,-0.1483591946284,0.0263997922853227,0.107599716755593,0.0138261939252884
"result.40",1,0.99975,-0.600117940210152,0.0519902927762435,0.11390954394825,0.0138088070627747
"result.41",0.97475,0.9995,-0.207216073128387,0.0462691617378484,0.109875831117627,0.0136491691057743
"result.42",0.86075,0.9945,-0.121671762895292,0.0354383683271485,0.110579550833522,0.0140402838428448
"result.43",0.96625,0.999,-0.202538287670129,0.0440703287600388,0.109271421834349,0.0135257355911011
"result.44",1,0.99025,-0.513405471940964,0.0322301848817861,0.109665265652004,0.0135304657388103
"result.45",0.999,0.97875,-0.361559893475342,0.0276924402822277,0.111808983056975,0.0137088226943382
"result.46",0.9965,0.99925,-0.276390444471792,0.0405480274622339,0.106738706076128,0.013712715613975
"result.47",0.97325,0.80275,-0.209312489919043,0.0120077759595352,0.108664554927052,0.0142120025816594
"result.48",0.956,0.9405,-0.186950202781238,0.0211209259612031,0.10932475416736,0.0134638125827446
"result.49",0.97475,0.8845,-0.213727383364435,0.0167456622682268,0.108596889940852,0.0139904810716231
"result.50",0.999,0.97625,-0.326538621388496,0.026965913304861,0.109738255899971,0.0134837305057997
"result.51",0.9995,1,-0.334595657266413,0.0498936147495525,0.108949000431492,0.0134904514717636
"result.52",1,0.04775,-0.400350185684336,-0.0232919844224091,0.107495183170386,0.0139298946172307
"result.53",0.98225,0.999,-0.227389342813139,0.0425582026646973,0.108837821896827,0.0134180486762509
"result.54",0.99675,0.90125,-0.304727098802856,0.0180959427586692,0.109911817927608,0.0139033387131692
"result.55",0.99925,0.994,-0.33764913323716,0.0370256237393604,0.111423716433878,0.0142850335813792
"result.56",0.9965,0.99475,-0.298369708518653,0.0339176549555688,0.112695499354022,0.0132137993063943
