"","V1","V2","V3","V4","V5","V6"
"result.1",0.98475,0.15225,-0.24973699116004,-0.014925678638534,0.111821946082399,0.0143559481766644
"result.2",0.999,0,-0.322463770615602,-0.106348258074812,0.108537042177151,0.0144756187599543
"result.3",0.978,0.86075,-0.226144180705492,0.015558508953366,0.112107627549205,0.0144279181785747
"result.4",0.9995,0.6415,-0.389089647448002,0.00505817630800696,0.112042392344599,0.0145825102839531
"result.5",0.9935,0.34975,-0.28261609012869,-0.00584469439848084,0.112048537353722,0.0147310660128751
"result.6",1,0.00025,-0.457601871069267,-0.0563396373579122,0.109804322211781,0.0143886748908302
"result.7",0.9995,0.541,-0.382934332416713,0.00161955726033507,0.111435723715362,0.0149130104696509
"result.8",0.97975,0,-0.218044148428306,-0.0756852417133027,0.107597710187581,0.0144765679332124
"result.9",1,0.999,-0.534800317730988,0.0435876860022777,0.115358414520395,0.0143978150730022
"result.10",1,0.86425,-0.515624164240239,0.0163818633406687,0.111610715326695,0.0150721655857433
"result.11",0.9945,0.05875,-0.275504176069224,-0.0222275116403908,0.110052137169926,0.0141592240713992
"result.12",0.999,0,-0.323993314363635,-0.0466908610746866,0.111610580818545,0.0145351912104998
"result.13",0.982,0.00025,-0.233226922403707,-0.0501573073443701,0.111286558941267,0.0147885545581501
"result.14",0.95725,0.04675,-0.193876120934364,-0.0239273415637371,0.112655727957026,0.0144643453741046
"result.15",0.99375,0.41575,-0.287402802764905,-0.00327403753749231,0.107807806937873,0.015001780212193
"result.16",0.97175,0.09625,-0.20114207320025,-0.0190596285425457,0.109242753774167,0.014724408942901
"result.17",1,0,-0.397929381578533,-0.0947047473575658,0.112491136521647,0.0143761319222337
"result.18",1,0.00975,-0.436993834864894,-0.0337234470564124,0.110138672026185,0.014571452382286
"result.19",1,0.691,-0.467937141248822,0.00751241337016531,0.110331067668617,0.0149740828805001
"result.20",1,0,-0.473878233458164,-0.0545733634804923,0.111031378116791,0.0146790150248849
"result.21",0.99975,0.001,-0.383519885979787,-0.0486508128508204,0.110209219010322,0.0146627559749495
"result.22",0.9935,0.28675,-0.280560732698396,-0.00835499587671402,0.108406498546156,0.014711743256537
"result.23",0.968,0.00275,-0.202973301962941,-0.0379156762277715,0.109672862654984,0.0144860618788324
"result.24",1,0.0035,-0.479840689125308,-0.0386766113238971,0.109660352026676,0.0143762201946937
"result.25",0.99725,0,-0.321789494333547,-0.077892812611012,0.113725240446476,0.0144244052053088
"result.26",0.944,0,-0.166496693701257,-0.0717145874210725,0.108253833834443,0.014279205186997
"result.27",1,0,-0.458284208708519,-0.063393684837966,0.110770012613627,0.0143657747428095
"result.28",0.99975,0,-0.388869882113237,-0.0920122443330634,0.112146404338531,0.0143642245809687
