"","V1","V2","V3","V4","V5","V6"
"result.1",0.16225,1,0.11196112157297,0.0517150483645921,0.108354544956008,0.0137192006517069
"result.2",0.44825,0.083,0.0131284893404273,-0.0195201094614174,0.110219170013695,0.0139067983281286
"result.3",0.85575,0.2535,-0.114617604523195,-0.00897492545633043,0.106834826413051,0.0137514133358244
"result.4",0.814,0.691,-0.100602050283299,0.00732106356507584,0.108664047814986,0.0144714999225389
"result.5",0.7665,0.0035,-0.0737453694152783,-0.0382556913381591,0.103917015124603,0.0138232844788461
"result.6",0.96675,0.01475,-0.208283754527855,-0.0307791129344951,0.111238552138099,0.0138121418511967
"result.7",0.85175,0.99775,-0.114436893718779,0.0371837666012057,0.109674198045775,0.0135091582485675
"result.8",0.91825,0.00825,-0.152841261716585,-0.0340654329695388,0.108921633184901,0.0146073904813714
"result.9",0.78625,0.578,-0.0856149453007327,0.00282003676860125,0.106398740114676,0.0143179931697178
"result.10",0.67575,0.96075,-0.0478593835472154,0.0260493672690801,0.105076640832124,0.0143557612021294
"result.11",0.49025,1,0.00196583948591591,0.054981476076766,0.105833957870353,0.0138761598946855
"result.12",0.1525,0.90475,0.108811995143323,0.0181540321278429,0.10533034888558,0.0140618719237399
"result.13",0.92175,0.223,-0.147651932739083,-0.0110639184878542,0.105481170852866,0.014323151056904
"result.14",0.055,0.94775,0.181192036878331,0.0224203047305924,0.113827510876446,0.0136102700696483
"result.15",0.6075,0.93075,-0.0263596898236497,0.0198318549968794,0.105523435419438,0.0137068292072127
"result.16",0.78025,0.802,-0.0824507410435924,0.0122721007390739,0.107339347657584,0.0140830566712051
"result.17",0.97775,0.2705,-0.217853251318953,-0.00841292124611098,0.107158442691031,0.0136964790119767
"result.18",0.7255,0.8295,-0.0633823425946681,0.0133905858305801,0.105420339967759,0.0142247465929655
"result.19",0.95,0.256,-0.182736415598979,-0.0092334456671035,0.111543612823063,0.0137128182305523
"result.20",0.79375,0.40025,-0.0901043252433532,-0.00322626623213625,0.109248048149592,0.0137750244493644
"result.21",0.36125,0.022,0.0387395338904647,-0.0282971828190196,0.109493225234155,0.013900774253397
"result.22",0.06175,0.05525,0.157441505140735,-0.0223417187012405,0.104783476140441,0.0142856287738185
"result.23",0.40375,0.97625,0.0288109152736535,0.027277690642817,0.109789810245691,0.0140166805431547
"result.24",0.748,0.14,-0.0699965480731603,-0.0150997968128292,0.106659736792154,0.014208455239747
"result.25",0.1195,0.025,0.129581622322283,-0.0270055616902847,0.106845317621238,0.0136089998598282
"result.26",0.27075,0.00025,0.06928361283311,-0.0458801092612808,0.111169070320472,0.0140260979099369
"result.27",0.31775,0.0315,0.0515925083424875,-0.0263520119894319,0.107374485837033,0.0138684558975157
"result.28",0.55725,0.04475,-0.0135345259570214,-0.0242128253068521,0.10754716394331,0.0143442675183616
"result.29",0.7525,0.859,-0.0715212010257756,0.0155506108513069,0.105389576819437,0.0143072502915601
"result.30",0.3885,0.912,0.0289083563997312,0.0197164045484599,0.105002990207343,0.0146684443507183
"result.31",0.833,0.0205,-0.103712179370526,-0.0277784139603158,0.108472112733481,0.0136255542967403
"result.32",0.14775,0.88875,0.116900377684698,0.0163511454761344,0.110093854757307,0.0134586387616886
"result.33",0.34075,0.9365,0.0444146871142997,0.0218329090515369,0.109071614174481,0.014099083582258
"result.34",0.51175,0.1095,-0.00235737443577127,-0.0175023394789596,0.109172215077411,0.0139456146131021
"result.35",0.003,0.37825,0.312719706874111,-0.00416241536098113,0.106892338114579,0.0142936764459385
"result.36",0.5825,0.218,-0.0228685331559689,-0.0108513005211022,0.105514896215544,0.0139414973936337
"result.37",0.61525,0.0655,-0.0319996386812065,-0.0208249239069262,0.109744835019079,0.0138520573784234
"result.38",0.2935,0.25225,0.0601459953970337,-0.0094914872550706,0.110479614363985,0.0142351936829025
"result.39",0.23125,0.497,0.0796272969525934,0.000131981941907956,0.108815334760661,0.0140856444489172
"result.40",0.98175,0.98475,-0.229210391143009,0.0304902533092461,0.110032813099854,0.0140760471389718
"result.41",0.1655,0.73625,0.103241798026458,0.00926067232235208,0.106668468323884,0.0145804482314388
"result.42",0.025,0.40025,0.211924240770436,-0.00369827031056349,0.106460521319674,0.014364914743903
"result.43",0.2925,0.799,0.0574157972530336,0.0116515782506547,0.10727085626248,0.0140512762003174
"result.44",0.9725,0.6405,-0.212018265817075,0.0050098423647344,0.10871562852497,0.0136749573557431
"result.45",0.858,0.3035,-0.118207634158964,-0.00689029633099963,0.110153482612289,0.0138949464279352
"result.46",0.429,0.56625,0.0180323439835613,0.00234290606429725,0.10700399988111,0.0139112628204187
"result.47",0.32875,0.04875,0.0448273271821214,-0.0237190157911852,0.104340815522754,0.0143683699624415
"result.48",0.28,0.04775,0.065885900233584,-0.0232791748066788,0.108811443007952,0.0140477463544067
"result.49",0.14775,0.12825,0.10940442442286,-0.0162580890523847,0.105950793141297,0.0143866546308839
"result.50",0.645,0.39525,-0.0419113180208889,-0.00366731037379125,0.11124860529275,0.0141261670459098
"result.51",0.70225,0.80975,-0.0585467104166815,0.0130995541361249,0.108414888525604,0.0147543441819312
"result.52",0.845,0,-0.109576982726376,-0.0611664407895452,0.106893862909214,0.0142504207459442
"result.53",0.38375,0.731,0.0329018403257722,0.00850011973841068,0.110193928130907,0.0142468289356457
