"","V1","V2","V3"
"result.1",0.99685052996986,0.26,0.095
"result.2",0.950939386119257,0.157,0.095
"result.3",0.999805055493228,0.337,0.095
"result.4",0.999996755738148,0.4,0.095
"result.5",0.998549729774738,0.283,0.095
"result.6",0.999983021167053,0.385,0.095
"result.7",1,0.426,0.096
"result.8",0.998091186751273,0.275,0.095
"result.9",1,0.44,0.095
"result.10",0.99999241212819,0.394,0.095
"result.11",1,0.426,0.096
"result.12",0.998589494011853,0.284,0.095
"result.13",0.999978510991733,0.381,0.095
"result.14",0.945796841250669,0.153,0.095
"result.15",0.999877749849105,0.347,0.095
"result.16",1,0.435,0.096
"result.17",1,0.413,0.095
"result.18",0.999914607484911,0.355,0.095
"result.19",1,0.414,0.095
"result.20",0.999588195706012,0.318,0.095
"result.21",0.976570586411695,0.189,0.095
"result.22",0.902485643034962,0.123,0.095
"result.23",0.999998994784057,0.405,0.096
"result.24",0.999731880032086,0.328,0.095
"result.25",0.976884460459267,0.189,0.095
"result.26",0.820753508550903,0.087,0.095
"result.27",0.999204804514521,0.301,0.095
"result.28",0.982559980374973,0.201,0.096
"result.29",1,0.452,0.096
"result.30",0.9993191403956,0.305,0.095
"result.31",0.999290413814301,0.304,0.095
"result.32",0.994613941955861,0.243,0.095
"result.33",0.997762690966115,0.27,0.095
"result.34",0.995208319309656,0.246,0.095
"result.35",0.743009021861726,0.062,0.095
"result.36",0.999446313410164,0.31,0.095
"result.37",0.878794836647233,0.111,0.095
"result.38",0.984431794881681,0.205,0.095
"result.39",0.906647801458626,0.125,0.095
"result.40",1,0.479,0.096
"result.41",0.992562203852838,0.231,0.095
"result.42",0.937804001176314,0.146,0.095
"result.43",0.990223598833989,0.221,0.095
"result.44",1,0.509,0.096
"result.45",0.999821704126348,0.338,0.095
"result.46",0.999463289238065,0.311,0.095
"result.47",0.938008094748663,0.146,0.095
"result.48",0.980276645389947,0.195,0.095
"result.49",0.998450218208524,0.281,0.095
"result.50",0.999437021191384,0.309,0.095
"result.51",0.999603503513348,0.319,0.095
"result.52",0.997755321797577,0.27,0.095
"result.53",0.996818839425342,0.259,0.095
"result.54",0.999192549034324,0.3,0.095
"result.55",0.999696386711595,0.325,0.095
"result.56",0.999833051275026,0.34,0.095
"result.57",0.801274823960619,0.08,0.095
"result.58",1,0.433,0.096
"result.59",0.999882525482718,0.348,0.095
"result.60",0.998798252311975,0.288,0.095
"result.61",0.985985605158122,0.209,0.095
"result.62",0.99607415144421,0.252,0.095
"result.63",1,0.517,0.096
"result.64",0.971680429453888,0.181,0.095
"result.65",0.816923262782975,0.086,0.095
"result.66",0.999941963978075,0.363,0.095
"result.67",1,0.46,0.096
"result.68",0.992967321955732,0.233,0.095
"result.69",1,0.435,0.096
"result.70",0.998629599922296,0.286,0.095
"result.71",0.983531148234268,0.202,0.095
"result.72",0.996165391407246,0.253,0.095
"result.73",0.98962732691501,0.219,0.095
"result.74",1,0.433,0.096
"result.75",0.997793186372972,0.271,0.095
"result.76",0.997407162406904,0.265,0.095
"result.77",0.972972306613361,0.183,0.095
"result.78",0.988336883369213,0.215,0.095
"result.79",0.936266581371762,0.145,0.095
"result.80",0.992395598536532,0.23,0.095
"result.81",0.999721043228814,0.327,0.095
"result.82",0.999065708055656,0.296,0.095
"result.83",0.99945027316082,0.31,0.095
"result.84",0.966552172359723,0.174,0.095
"result.85",0.9990877303704,0.296,0.095
"result.86",0.993530737163895,0.236,0.095
"result.87",0.999476115891537,0.311,0.095
"result.88",0.978579409209407,0.193,0.095
"result.89",0.999846663930984,0.342,0.095
"result.90",0.994502335503224,0.241,0.095
"result.91",0.995958505312983,0.252,0.095
"result.92",0.993043189336795,0.233,0.095
"result.93",0.999400416199408,0.308,0.095
"result.94",0.995549569659488,0.249,0.095
"result.95",0.98694521216854,0.211,0.095
"result.96",0.998171032494708,0.276,0.095
"result.97",0.99353744193766,0.236,0.095
"result.98",0.998079050761349,0.275,0.095
"result.99",0.988309349077768,0.215,0.095
"result.100",0.999936501074963,0.361,0.095
"result.101",0.998067698498749,0.275,0.095
"result.102",0.999994759724917,0.397,0.095
"result.103",0.999879701182285,0.348,0.095
"result.104",0.996990585088833,0.261,0.095
"result.105",0.99921567071551,0.301,0.095
"result.106",0.999443141301742,0.31,0.095
"result.107",0.999900057582633,0.352,0.095
"result.108",0.999758252541992,0.331,0.095
"result.109",0.997723959806526,0.27,0.095
"result.110",0.943315016923397,0.15,0.095
"result.111",0.985517477156027,0.207,0.095
"result.112",0.999899200694455,0.352,0.095
"result.113",0.992901176374768,0.233,0.095
"result.114",0.998650153196942,0.286,0.095
