"","V1","V2","V3"
"result.1",0.00197874771835111,-0.275,0.096
"result.2",0.250951386844439,-0.064,0.095
"result.3",0.0238653447036152,-0.189,0.095
"result.4",0.651924091526436,0.037,0.095
"result.5",0.123695782648686,-0.11,0.095
"result.6",0.240247033380954,-0.067,0.095
"result.7",0.66238992928654,0.04,0.095
"result.8",0.0909635116323314,-0.128,0.096
"result.9",0.730418569594013,0.058,0.095
"result.10",0.76029113274687,0.067,0.096
"result.11",0.200124695465353,-0.08,0.095
"result.12",0.00526803920959139,-0.244,0.096
"result.13",0.00353582546173048,-0.257,0.095
"result.14",0.00146551436218956,-0.284,0.095
"result.15",0.117995585015652,-0.113,0.095
"result.16",0.0219681699691714,-0.193,0.096
"result.17",0.418361236545474,-0.02,0.095
"result.18",0.499267152187582,0,0.096
"result.19",0.317807513717557,-0.045,0.096
"result.20",0.135376316633082,-0.105,0.095
"result.21",0.267394595583591,-0.059,0.095
"result.22",0.334755491611671,-0.041,0.095
"result.23",0.0902236960379295,-0.128,0.095
"result.24",0.566435781802578,0.016,0.095
"result.25",0.0671665647403267,-0.142,0.095
"result.26",0.00217947932451389,-0.272,0.095
"result.27",0.155984768733597,-0.096,0.095
"result.28",0.443410977159724,-0.014,0.095
"result.29",0.000180697608082122,-0.34,0.096
"result.30",0.0847443777975831,-0.131,0.096
"result.31",0.892389108395263,0.118,0.095
"result.32",0.00265086619990562,-0.266,0.095
"result.33",0.0614039822780327,-0.147,0.095
"result.34",0.213020331541331,-0.076,0.095
"result.35",0.00188099369349421,-0.277,0.096
"result.36",0.260279296451303,-0.062,0.096
"result.37",0.172420644512841,-0.09,0.095
"result.38",0.672123697108243,0.042,0.095
"result.39",0.000130158118252934,-0.348,0.096
"result.40",0.696067820508478,0.049,0.095
"result.41",0.221034153830324,-0.073,0.095
"result.42",0.205071858987376,-0.079,0.096
"result.43",0.0157531740940415,-0.205,0.095
"result.44",0.309594151634885,-0.048,0.095
"result.45",0.01979404112139,-0.196,0.095
"result.46",0.680064820929265,0.044,0.095
"result.47",0.18199670834434,-0.087,0.095
"result.48",0.201971904981393,-0.08,0.095
"result.49",0.250645966383847,-0.064,0.095
"result.50",0.00101930615469914,-0.295,0.096
"result.51",0.0402307568201297,-0.167,0.096
"result.52",0.298801926810302,-0.051,0.096
"result.53",0.0661555035021667,-0.144,0.095
"result.54",0.0478038731317427,-0.159,0.095
"result.55",0.203461183994527,-0.079,0.095
"result.56",0.566485600723539,0.016,0.095
"result.57",0.027551818801841,-0.183,0.095
"result.58",0.0102412649715598,-0.221,0.096
"result.59",0.00382084529736313,-0.255,0.096
"result.60",0.0795422580008924,-0.134,0.095
"result.61",0.0276453203113413,-0.183,0.095
"result.62",0.714894944823549,0.054,0.095
"result.63",0.223329807394485,-0.073,0.095
"result.64",0.144832723814792,-0.102,0.096
"result.65",0.317025561757286,-0.046,0.095
"result.66",0.0354702093669168,-0.173,0.096
"result.67",0.738079881465114,0.06,0.095
"result.68",0.0543254385173836,-0.153,0.095
"result.69",0.00291619030994137,-0.263,0.095
"result.70",0.279973386371516,-0.056,0.096
"result.71",0.0335130587172334,-0.175,0.095
"result.72",0.0109889050357832,-0.219,0.095
"result.73",0.39740507863221,-0.025,0.095
"result.74",0.0318975262221746,-0.178,0.096
"result.75",0.00049632455021009,-0.315,0.096
"result.76",0.200707032695011,-0.08,0.095
"result.77",0.414750744857512,-0.021,0.095
"result.78",0.155493085872955,-0.097,0.095
"result.79",0.017909008901512,-0.2,0.095
"result.80",0.0639226916677697,-0.145,0.095
"result.81",0.14212082521217,-0.102,0.095
"result.82",0.0737482956014919,-0.138,0.095
"result.83",0.432449612497029,-0.016,0.095
"result.84",0.135210886442129,-0.105,0.095
"result.85",0.171032560674146,-0.091,0.095
"result.86",1.79547153064475e-05,-0.386,0.096
"result.87",0.024451840263288,-0.188,0.095
"result.88",0.0128026003364991,-0.213,0.095
"result.89",0.485372868482744,-0.004,0.095
"result.90",0.0105361517701343,-0.22,0.096
"result.91",0.133091428582064,-0.106,0.095
"result.92",0.121909025493073,-0.111,0.095
"result.93",0.00759364864674036,-0.232,0.096
"result.94",0.0257263054324563,-0.186,0.095
"result.95",0.045676975947591,-0.161,0.095
