"","V1","V2","V3"
"result.1",0.967248679922861,0.175,0.095
"result.2",0.832018045866983,0.091,0.095
"result.3",0.97037681870841,0.179,0.095
"result.4",0.998665810000013,0.285,0.095
"result.5",0.962688264280455,0.169,0.095
"result.6",0.997764176630516,0.27,0.095
"result.7",0.998658316212715,0.285,0.095
"result.8",0.700547138740242,0.05,0.095
"result.9",1,0.428,0.095
"result.10",1,0.436,0.095
"result.11",0.985109123963071,0.206,0.095
"result.12",0.962304664947476,0.169,0.095
"result.13",0.899859972405245,0.122,0.095
"result.14",0.78480803676615,0.075,0.095
"result.15",0.968858824424656,0.177,0.095
"result.16",0.970323627889711,0.179,0.095
"result.17",0.937672406379666,0.146,0.095
"result.18",0.998972524581257,0.293,0.095
"result.19",0.999785798476852,0.334,0.095
"result.20",0.994806870428918,0.244,0.095
"result.21",0.993453353504423,0.235,0.095
"result.22",0.963418637872795,0.17,0.095
"result.23",0.886685873544271,0.114,0.095
"result.24",0.99945941424987,0.31,0.095
"result.25",0.788436384798577,0.076,0.095
"result.26",0.512096333050557,0.003,0.095
"result.27",0.943711318827033,0.15,0.095
"result.28",0.894380230714457,0.118,0.095
"result.29",0.491352319971708,-0.002,0.095
"result.30",0.87351845973469,0.108,0.095
"result.31",0.998193699254763,0.276,0.095
"result.32",0.749113382294666,0.063,0.095
"result.33",0.553665671550958,0.013,0.095
"result.34",0.992980458785194,0.233,0.095
"result.35",0.621079482754957,0.029,0.095
"result.36",0.988464198756062,0.215,0.095
"result.37",0.965239698087257,0.172,0.095
"result.38",0.996525073294286,0.256,0.095
"result.39",0.217249945024629,-0.074,0.095
"result.40",0.998236971304421,0.277,0.095
"result.41",0.98494761296926,0.206,0.095
"result.42",0.981196996409246,0.197,0.095
"result.43",0.572380833766026,0.017,0.095
"result.44",0.988054528316634,0.214,0.095
"result.45",0.959123129594651,0.165,0.095
"result.46",0.999996018789249,0.399,0.095
"result.47",0.971741815575802,0.181,0.095
"result.48",0.947277980881395,0.153,0.095
"result.49",0.990484323015954,0.222,0.095
"result.50",0.877628039286895,0.11,0.095
"result.51",0.941601015436763,0.149,0.095
"result.52",0.998577231174239,0.283,0.095
"result.53",0.933642881765783,0.143,0.095
"result.54",0.996291575352904,0.254,0.095
"result.55",0.676141292096423,0.043,0.095
"result.56",0.979282492564693,0.193,0.095
"result.57",0.40637696583365,-0.023,0.095
"result.58",0.921756615758855,0.134,0.095
"result.59",0.750563497984235,0.064,0.095
"result.60",0.81808241513442,0.086,0.095
"result.61",0.871958369567722,0.108,0.095
"result.62",0.999965980907651,0.374,0.095
"result.63",0.995428601357847,0.247,0.095
"result.64",0.931652658473732,0.141,0.095
"result.65",0.99438640109835,0.24,0.095
"result.66",0.986636717794279,0.21,0.095
"result.67",0.999798533650772,0.336,0.095
"result.68",0.866729741294627,0.105,0.095
"result.69",0.862544757323644,0.104,0.095
"result.70",0.974585141174866,0.185,0.095
"result.71",0.94218095231631,0.149,0.095
"result.72",0.989837356566418,0.22,0.095
"result.73",0.998076511696627,0.274,0.095
"result.74",0.878836324100803,0.111,0.095
"result.75",0.803242913731366,0.081,0.095
"result.76",0.990427563011045,0.222,0.095
"result.77",0.989508578827288,0.219,0.095
"result.78",0.999343103533625,0.305,0.095
"result.79",0.912652603713253,0.129,0.095
