"","V1","V2","V3"
"result.1",0.227666864323032,-0.071,0.095
"result.2",0.103473346788052,-0.12,0.095
"result.3",0.785428803908445,0.075,0.095
"result.4",0.928360542236037,0.139,0.095
"result.5",0.694494915229258,0.048,0.095
"result.6",0.855147815527423,0.101,0.095
"result.7",0.966922442314543,0.175,0.095
"result.8",0.663813871243622,0.04,0.095
"result.9",0.973411392657674,0.184,0.095
"result.10",0.781793289102738,0.074,0.095
"result.11",0.752516997630776,0.065,0.095
"result.12",0.249175434876968,-0.065,0.095
"result.13",0.893253414843713,0.118,0.095
"result.14",0.26485192963251,-0.06,0.095
"result.15",0.622732007754685,0.029,0.095
"result.16",0.841053763545891,0.095,0.095
"result.17",0.902699197441943,0.123,0.095
"result.18",0.777529013318323,0.073,0.095
"result.19",0.942984179685546,0.15,0.095
"result.20",0.435284108564829,-0.016,0.095
"result.21",0.244681166834175,-0.066,0.095
"result.22",0.0608719510533646,-0.147,0.095
"result.23",0.587796992573064,0.021,0.095
"result.24",0.632613957791686,0.032,0.095
"result.25",0.0911164826962488,-0.127,0.095
"result.26",0.0545476941645883,-0.153,0.095
"result.27",0.334912766350441,-0.041,0.095
"result.28",0.170488012502437,-0.091,0.096
"result.29",0.86388347237009,0.104,0.095
"result.30",0.724598242526706,0.057,0.095
"result.31",0.602804281378643,0.025,0.095
"result.32",0.197497798205441,-0.081,0.095
"result.33",0.386803985908795,-0.028,0.095
"result.34",0.152462263732204,-0.098,0.095
"result.35",0.00159381355551708,-0.281,0.095
"result.36",0.420888220771263,-0.019,0.095
"result.37",0.211720970501442,-0.076,0.095
"result.38",0.36884724505183,-0.032,0.095
"result.39",0.100416415888042,-0.122,0.095
"result.40",0.943327542041831,0.15,0.095
"result.41",0.180501220303805,-0.087,0.095
"result.42",0.0159827559982717,-0.205,0.096
"result.43",0.35154732330386,-0.036,0.095
"result.44",0.975012119463434,0.186,0.095
"result.45",0.902744849263756,0.123,0.095
"result.46",0.445269361572042,-0.013,0.095
"result.47",0.087985173160753,-0.129,0.095
"result.48",0.200601692676437,-0.08,0.095
"result.49",0.233666735909717,-0.069,0.095
"result.50",0.486042981500802,-0.004,0.095
"result.51",0.643773940143571,0.035,0.095
"result.52",0.551054979601202,0.012,0.095
"result.53",0.461017271348694,-0.009,0.095
"result.54",0.325624829492561,-0.043,0.095
"result.55",0.593255192470437,0.022,0.095
"result.56",0.594636794498465,0.023,0.095
"result.57",0.0207030949840477,-0.194,0.095
"result.58",0.724001370211134,0.056,0.095
"result.59",0.646154719264181,0.036,0.095
"result.60",0.812162675019778,0.084,0.095
"result.61",0.289468122237778,-0.053,0.095
"result.62",0.374981751365991,-0.03,0.095
"result.63",0.99281882564296,0.233,0.095
"result.64",0.476443759546551,-0.006,0.095
"result.65",0.0440047329385492,-0.163,0.095
"result.66",0.621792820302739,0.029,0.095
"result.67",0.817180196014459,0.086,0.095
"result.68",0.282737176734934,-0.055,0.095
"result.69",0.664786238651512,0.04,0.095
"result.70",0.363010762363413,-0.034,0.095
"result.71",0.375236001379567,-0.03,0.095
"result.72",0.687819086714851,0.046,0.095
"result.73",0.551377984916746,0.012,0.095
"result.74",0.925343937041024,0.137,0.095
"result.75",0.268369796573052,-0.059,0.095
"result.76",0.415205106821577,-0.021,0.095
"result.77",0.1469838007655,-0.1,0.095
"result.78",0.189473902795926,-0.084,0.095
"result.79",0.123693592406839,-0.11,0.095
"result.80",0.351285927386734,-0.036,0.095
"result.81",0.724191403869964,0.056,0.095
"result.82",0.527257824718576,0.006,0.095
"result.83",0.403059872930578,-0.024,0.095
"result.84",0.236477826085025,-0.068,0.095
"result.85",0.655333623408898,0.038,0.095
"result.86",0.386685701619912,-0.028,0.095
"result.87",0.828814697998972,0.09,0.095
"result.88",0.0232358312270575,-0.19,0.095
"result.89",0.879723631684979,0.111,0.095
"result.90",0.167124840391315,-0.092,0.095
"result.91",0.652304159208205,0.037,0.095
"result.92",0.249353060860936,-0.065,0.095
"result.93",0.505280175185285,0.001,0.095
"result.94",0.414190755316411,-0.021,0.095
"result.95",0.442676533666974,-0.014,0.095
"result.96",0.503323228512126,0.001,0.095
"result.97",0.101143326617551,-0.122,0.095
"result.98",0.408071325164153,-0.022,0.095
"result.99",0.250278178633529,-0.064,0.095
"result.100",0.967330946211495,0.175,0.095
"result.101",0.577826977614667,0.018,0.095
"result.102",0.789044830353774,0.076,0.095
"result.103",0.431454101089551,-0.017,0.095
"result.104",0.484914550254865,-0.004,0.095
"result.105",0.657660822283363,0.038,0.095
"result.106",0.488755074066924,-0.003,0.095
"result.107",0.69216983624975,0.048,0.095
"result.108",0.53197652174284,0.007,0.095
"result.109",0.29232015746606,-0.052,0.095
"result.110",0.0888895515922793,-0.129,0.095
"result.111",0.361674003377393,-0.034,0.095
"result.112",0.889223834132535,0.116,0.095
"result.113",0.17329804540698,-0.09,0.095
"result.114",0.337137093807991,-0.04,0.095
"result.115",0.752490325405874,0.065,0.095
"result.116",0.72096525885735,0.056,0.095
"result.117",0.378989741147172,-0.03,0.095
"result.118",0.582953294059424,0.02,0.095
"result.119",0.497227542958242,-0.001,0.095
"result.120",0.0773299709422613,-0.136,0.095
"result.121",0.958044439129227,0.164,0.095
"result.122",0.402968921233283,-0.024,0.095
"result.123",0.0534038960220479,-0.154,0.095
"result.124",0.865116032118007,0.105,0.095
"result.125",0.421672901583857,-0.019,0.095
"result.126",0.903188047696895,0.123,0.095
"result.127",0.997668639522303,0.27,0.096
"result.128",0.668089849632041,0.041,0.095
"result.129",0.349789645664977,-0.037,0.095
"result.130",0.153011164628624,-0.098,0.095
"result.131",0.582947361448986,0.02,0.095
"result.132",0.573904755576917,0.018,0.095
"result.133",0.584091425417818,0.02,0.095
"result.134",0.68369188681887,0.045,0.095
