"","V1","V2","V3"
"result.1",0.447968197220622,-0.012,0.092
"result.2",0.902124450308153,0.119,0.092
"result.3",0.794517574156755,0.076,0.092
"result.4",0.987133466379594,0.206,0.092
"result.5",0.945350498270503,0.147,0.092
"result.6",0.855140141807848,0.098,0.092
"result.7",0.995080725683864,0.238,0.092
"result.8",0.704445347763614,0.049,0.093
"result.9",0.999845555084787,0.33,0.092
"result.10",0.99844002183254,0.274,0.093
"result.11",0.780726282797703,0.071,0.092
"result.12",0.42561689794143,-0.018,0.092
"result.13",0.749538022726363,0.062,0.092
"result.14",0.443095647510617,-0.013,0.092
"result.15",0.589785915640686,0.021,0.093
"result.16",0.864243594879758,0.101,0.092
"result.17",0.904037471807741,0.12,0.092
"result.18",0.994789284830119,0.236,0.093
"result.19",0.968967755332357,0.173,0.093
"result.20",0.955618647778095,0.157,0.092
"result.21",0.933646234269161,0.139,0.092
"result.22",0.751385577137896,0.062,0.092
"result.23",0.600578541977204,0.023,0.092
"result.24",0.982895484277088,0.195,0.092
"result.25",0.670195652935784,0.04,0.092
"result.26",0.320067472535034,-0.043,0.092
"result.27",0.905218470592804,0.12,0.092
"result.28",0.990039282338742,0.213,0.092
"result.29",0.0405258595500656,-0.162,0.093
"result.30",0.836205227273823,0.09,0.092
"result.31",0.995735087135428,0.242,0.092
"result.32",0.332196910877309,-0.04,0.092
"result.33",0.431731784987318,-0.016,0.092
"result.34",0.925779634809624,0.133,0.092
"result.35",0.146430864653367,-0.098,0.093
"result.36",0.927781082965036,0.135,0.093
"result.37",0.824724471771546,0.086,0.092
"result.38",0.982894456605727,0.195,0.092
"result.39",0.163331544877934,-0.091,0.092
"result.40",0.969790409723307,0.173,0.092
"result.41",0.972861109126405,0.177,0.092
"result.42",0.590930351905296,0.021,0.092
"result.43",0.687262734543222,0.045,0.092
"result.44",0.952604564297963,0.154,0.092
"result.45",0.840668629180359,0.092,0.092
"result.46",0.992487771993043,0.224,0.092
"result.47",0.871040203186245,0.104,0.092
"result.48",0.797129853794423,0.076,0.092
"result.49",0.81339338883754,0.082,0.092
"result.50",0.640908044225921,0.033,0.092
"result.51",0.685842502504638,0.045,0.092
"result.52",0.931249690791657,0.138,0.093
"result.53",0.574765737526306,0.017,0.092
"result.54",0.932961351143678,0.138,0.092
"result.55",0.322191022942483,-0.043,0.092
"result.56",0.964669282616187,0.166,0.092
"result.57",0.187091559867666,-0.082,0.092
"result.58",0.171674608259104,-0.088,0.093
"result.59",0.268433528438265,-0.057,0.092
"result.60",0.673235599245227,0.041,0.092
"result.61",0.690621171971312,0.046,0.092
"result.62",0.999921730716444,0.345,0.092
"result.63",0.969333162962671,0.172,0.092
"result.64",0.852940529117198,0.097,0.092
"result.65",0.991442886546731,0.22,0.092
"result.66",0.769047819313364,0.068,0.093
"result.67",0.999239196844707,0.293,0.092
"result.68",0.465207212457933,-0.008,0.092
"result.69",0.733477828440638,0.057,0.092
"result.70",0.826548627724845,0.087,0.093
"result.71",0.778604441288095,0.071,0.092
"result.72",0.894422955849097,0.115,0.092
"result.73",0.992171334640231,0.222,0.092
"result.74",0.743547840444151,0.06,0.093
"result.75",0.225049190365111,-0.07,0.092
"result.76",0.926798783422027,0.133,0.092
"result.77",0.925521535763894,0.133,0.092
"result.78",0.962206707893177,0.164,0.092
"result.79",0.514529567801487,0.003,0.092
"result.80",0.68698766582155,0.045,0.092
"result.81",0.958171196698389,0.16,0.093
"result.82",0.910651083195269,0.124,0.092
"result.83",0.969839005787193,0.172,0.092
"result.84",0.872510013807076,0.105,0.092
"result.85",0.978917157320435,0.187,0.092
"result.86",0.268576312979585,-0.057,0.092
"result.87",0.461245789921558,-0.009,0.092
"result.88",0.488386692246805,-0.003,0.092
"result.89",0.691104470737708,0.046,0.092
"result.90",0.332178971647955,-0.04,0.092
"result.91",0.68223761571287,0.043,0.092
"result.92",0.862827618803076,0.101,0.092
"result.93",0.186132667088305,-0.083,0.093
"result.94",0.713173445365907,0.052,0.092
"result.95",0.733871057118998,0.057,0.092
"result.96",0.523495523447288,0.005,0.092
"result.97",0.900899684207131,0.119,0.093
"result.98",0.817187784384784,0.083,0.092
"result.99",0.873642855254395,0.106,0.093
"result.100",0.90523643708386,0.12,0.092
"result.101",0.815053197548043,0.083,0.092
"result.102",0.974477553705154,0.18,0.092
"result.103",0.301601681590019,-0.048,0.092
"result.104",0.839767444717631,0.092,0.092
"result.105",0.121758945124203,-0.108,0.093
"result.106",0.851901409136723,0.096,0.092
"result.107",0.854710902989312,0.097,0.092
"result.108",0.934212748340931,0.139,0.092
"result.109",0.847848355707263,0.094,0.092
"result.110",0.940091245432896,0.143,0.092
"result.111",0.961711050763599,0.163,0.092
"result.112",0.927895816338171,0.134,0.092
"result.113",0.609030120226074,0.025,0.092
"result.114",0.455216119378971,-0.011,0.092
"result.115",0.905772038954304,0.121,0.092
"result.116",0.80309262605086,0.079,0.092
"result.117",0.789312893827307,0.074,0.093
"result.118",0.609521411565263,0.025,0.092
"result.119",0.81881858524164,0.084,0.092
"result.120",0.746149397805323,0.061,0.092
"result.121",0.832858179069288,0.089,0.092
"result.122",0.342829847482508,-0.038,0.092
"result.123",0.541919894111817,0.01,0.092
"result.124",0.989668584738548,0.213,0.092
"result.125",0.805851844394066,0.079,0.092
"result.126",0.997596075885234,0.26,0.092
"result.127",0.988356220638183,0.209,0.092
"result.128",0.984439027057775,0.199,0.092
"result.129",0.851383235804592,0.096,0.092
"result.130",0.123405774539317,-0.107,0.092
"result.131",0.950528739734175,0.152,0.092
"result.132",0.734648858459105,0.058,0.092
"result.133",0.991049551088645,0.218,0.092
"result.134",0.864770664627483,0.101,0.092
"result.135",0.635527046501472,0.032,0.092
"result.136",0.813026548264935,0.082,0.092
"result.137",0.642443038185585,0.033,0.092
"result.138",0.377798194645225,-0.029,0.092
"result.139",0.571367974259014,0.016,0.092
"result.140",0.57428732726196,0.017,0.092
"result.141",0.419744945574754,-0.019,0.093
"result.142",0.893033933322251,0.114,0.092
"result.143",0.852779955770986,0.096,0.092
"result.144",0.932565313431339,0.138,0.092
"result.145",0.942295017453665,0.145,0.092
"result.146",0.821975888914519,0.085,0.092
"result.147",0.679369972356427,0.043,0.092
"result.148",0.970681752595243,0.174,0.092
"result.149",0.996847325955218,0.252,0.092
"result.150",0.945998557715064,0.148,0.092
"result.151",0.723547768618253,0.055,0.092
"result.152",0.309969974105106,-0.046,0.092
"result.153",0.765659446010384,0.067,0.092
"result.154",0.958747682206121,0.16,0.092
"result.155",0.304051957617372,-0.048,0.092
"result.156",0.945550092741898,0.148,0.093
"result.157",0.919755899962866,0.129,0.092
"result.158",0.835941518230733,0.09,0.092
"result.159",0.912256313312643,0.125,0.092
"result.160",0.599084961506707,0.023,0.092
"result.161",0.904911824197282,0.121,0.092
"result.162",0.938173226777619,0.141,0.092
"result.163",0.97903715069342,0.188,0.092
"result.164",0.999165219169703,0.289,0.092
"result.165",0.723870485381028,0.054,0.092
"result.166",0.941032532035038,0.144,0.092
"result.167",0.993605611394384,0.229,0.092
"result.168",0.602007960924461,0.024,0.092
"result.169",0.31392727392402,-0.045,0.092
"result.170",0.975558937284405,0.182,0.092
"result.171",0.888455343804448,0.112,0.092
"result.172",0.97983846142696,0.189,0.092
"result.173",0.364360851462729,-0.032,0.092
"result.174",0.947362190088999,0.149,0.092
"result.175",0.290314593641745,-0.051,0.092
"result.176",0.821432850076082,0.085,0.092
"result.177",0.989565611651522,0.213,0.092
"result.178",0.0547924425081417,-0.147,0.092
"result.179",0.721400046841192,0.054,0.092
"result.180",0.958449088971266,0.159,0.092
"result.181",0.873265489569437,0.105,0.092
"result.182",0.877529099580724,0.107,0.092
"result.183",0.906236328761373,0.121,0.092
"result.184",0.834111335189854,0.089,0.092
"result.185",0.714039321072786,0.052,0.092
"result.186",0.966843856896533,0.169,0.092
"result.187",0.592446516263004,0.021,0.092
"result.188",0.94838317630756,0.149,0.092
"result.189",0.959860327842772,0.16,0.092
"result.190",0.433736834371331,-0.016,0.092
"result.191",0.99941730317449,0.3,0.093
"result.192",0.99419772323197,0.233,0.092
"result.193",0.877763789678657,0.107,0.092
"result.194",0.629142829747505,0.03,0.092
"result.195",0.789691078674119,0.074,0.092
"result.196",0.997693552949237,0.262,0.093
