"","V1","V2","V3"
"result.1",0.978230327034479,0.185,0.092
"result.2",0.952694758019551,0.153,0.092
"result.3",0.992016645218467,0.221,0.092
"result.4",0.999125661913557,0.287,0.092
"result.5",0.998373783461367,0.269,0.092
"result.6",0.999075360846996,0.286,0.092
"result.7",0.999917450421418,0.343,0.092
"result.8",0.889796634118202,0.112,0.092
"result.9",0.999979352960738,0.367,0.092
"result.10",1,0.497,0.092
"result.11",0.904227277701102,0.119,0.091
"result.12",0.95207762691268,0.152,0.092
"result.13",0.972627970462009,0.176,0.092
"result.14",0.846543442035872,0.093,0.092
"result.15",0.991520458287612,0.219,0.092
"result.16",0.996299580114666,0.245,0.092
"result.17",0.975248615970891,0.18,0.092
"result.18",0.999781686872742,0.323,0.092
"result.19",0.999962969803334,0.36,0.092
"result.20",0.999949447378386,0.353,0.092
"result.21",0.998986313608263,0.283,0.092
"result.22",0.962899557039844,0.164,0.092
"result.23",0.9826276363405,0.193,0.092
"result.24",0.999977562695648,0.366,0.092
"result.25",0.970177927603189,0.172,0.091
"result.26",0.685400285430185,0.044,0.092
"result.27",0.998092240908164,0.264,0.091
"result.28",0.975325631549404,0.179,0.091
"result.29",0.509248840733309,0.002,0.092
"result.30",0.993159383540885,0.226,0.092
"result.31",0.999679026674418,0.313,0.092
"result.32",0.962417868276615,0.163,0.091
"result.33",0.641900989869056,0.033,0.092
"result.34",0.999859353472989,0.332,0.092
"result.35",0.609564229768061,0.025,0.092
"result.36",0.99302662889595,0.226,0.092
"result.37",0.987643924616308,0.207,0.092
"result.38",0.999240357087791,0.291,0.092
"result.39",0.328643797375044,-0.041,0.092
"result.40",0.999894866953556,0.338,0.092
"result.41",0.989465192675463,0.211,0.092
"result.42",0.999134608384082,0.287,0.092
"result.43",0.71622638248521,0.052,0.092
"result.44",0.99923937757547,0.291,0.092
"result.45",0.946497647367441,0.148,0.092
"result.46",0.999941086474309,0.35,0.092
"result.47",0.993364855070177,0.227,0.092
"result.48",0.984965258960216,0.198,0.092
"result.49",0.990619095384413,0.215,0.092
"result.50",0.988149393523064,0.207,0.091
"result.51",0.973756558371916,0.178,0.092
"result.52",0.999711609859988,0.316,0.092
"result.53",0.891965503033778,0.114,0.092
"result.54",0.99712192325407,0.253,0.092
"result.55",0.83008339180686,0.087,0.092
"result.56",0.993432340221256,0.226,0.091
"result.57",0.391217051805966,-0.026,0.092
"result.58",0.926520092419329,0.133,0.092
"result.59",0.949502780597672,0.15,0.092
"result.60",0.985234531802568,0.199,0.092
"result.61",0.971843277505141,0.174,0.091
"result.62",1,0.514,0.092
"result.63",0.999895202942891,0.338,0.092
"result.64",0.982227567509162,0.193,0.092
"result.65",0.999562953349473,0.306,0.092
"result.66",0.992330156892296,0.222,0.092
"result.67",0.99993435239491,0.349,0.092
"result.68",0.889007011033854,0.112,0.092
"result.69",0.98755264136108,0.205,0.092
"result.70",0.999058559392852,0.285,0.092
"result.71",0.952921575135423,0.153,0.092
"result.72",0.997866987821538,0.262,0.092
"result.73",0.999515630549618,0.302,0.092
"result.74",0.984278232790334,0.198,0.092
"result.75",0.904247231784569,0.12,0.092
"result.76",0.999001366803442,0.282,0.092
"result.77",0.999948342379583,0.353,0.092
"result.78",0.99997875949626,0.367,0.092
"result.79",0.9805436254335,0.189,0.091
"result.80",0.834710059800058,0.089,0.092
"result.81",0.999928755312497,0.347,0.092
"result.82",0.996109043862489,0.244,0.092
"result.83",0.986571644993016,0.202,0.091
"result.84",0.999168452074839,0.288,0.092
"result.85",0.999624426374292,0.309,0.092
"result.86",0.90392511798519,0.119,0.091
"result.87",0.938035693472375,0.141,0.092
"result.88",0.968822274047359,0.171,0.092
"result.89",0.955519959269763,0.156,0.092
"result.90",0.974753542842045,0.179,0.092
"result.91",0.879135860731148,0.107,0.091
"result.92",0.909408071046682,0.123,0.092
"result.93",0.670072919241515,0.04,0.092
"result.94",0.953588073085389,0.154,0.092
"result.95",0.96786405698799,0.169,0.092
"result.96",0.985194721579734,0.199,0.092
"result.97",0.994879928106711,0.236,0.092
"result.98",0.968400829454962,0.17,0.092
"result.99",0.986421262824813,0.203,0.092
"result.100",0.984516575689878,0.197,0.092
"result.101",0.99423963501621,0.231,0.092
"result.102",0.9886726464562,0.209,0.092
"result.103",0.919465821860825,0.128,0.092
"result.104",0.967140884058443,0.169,0.092
"result.105",0.589442553699507,0.021,0.092
"result.106",0.999122897299742,0.287,0.092
"result.107",0.994544848747891,0.233,0.092
"result.108",0.989928354937812,0.213,0.092
"result.109",0.986534702384894,0.202,0.092
"result.110",0.982460225834966,0.192,0.091
"result.111",0.988607969639753,0.209,0.092
"result.112",0.987432288606139,0.205,0.092
"result.113",0.893209507461559,0.114,0.092
"result.114",0.825257677940352,0.085,0.091
"result.115",0.98785621592609,0.206,0.092
"result.116",0.996859881383871,0.251,0.092
"result.117",0.991505452907058,0.219,0.092
"result.118",0.966042476710645,0.167,0.092
"result.119",0.995267258282233,0.238,0.092
"result.120",0.945409211721046,0.146,0.091
"result.121",0.989979466393849,0.213,0.092
"result.122",0.726931924983352,0.055,0.092
"result.123",0.970844541878403,0.173,0.091
"result.124",0.999461446470677,0.3,0.092
"result.125",0.959577788324443,0.16,0.092
"result.126",0.999993666385087,0.381,0.092
"result.127",0.999906096308237,0.341,0.092
"result.128",0.999261329474662,0.291,0.092
"result.129",0.967817736621155,0.169,0.092
"result.130",0.757013705127962,0.064,0.091
"result.131",0.999121939741218,0.288,0.092
"result.132",0.876621077087257,0.106,0.092
"result.133",0.999924429174699,0.344,0.092
"result.134",0.982945702334831,0.193,0.091
"result.135",0.959570271042563,0.16,0.092
"result.136",0.982651793035004,0.193,0.092
"result.137",0.982057000981118,0.192,0.092
"result.138",0.868746996445042,0.103,0.092
"result.139",0.971425308400994,0.174,0.091
"result.140",0.948586671069683,0.149,0.092
"result.141",0.701090091128894,0.048,0.092
"result.142",0.996664285757584,0.248,0.091
"result.143",0.967665775334903,0.169,0.092
"result.144",0.993342201986192,0.228,0.092
"result.145",0.99695644723401,0.252,0.092
"result.146",0.988393724267969,0.208,0.092
"result.147",0.990817580576931,0.216,0.092
"result.148",0.993688928023347,0.228,0.092
"result.149",0.99707819705414,0.253,0.092
"result.150",0.99910860127949,0.286,0.092
"result.151",0.975641095528613,0.181,0.092
"result.152",0.904525510866962,0.12,0.092
"result.153",0.928559172059936,0.134,0.092
"result.154",0.994551875031859,0.233,0.092
"result.155",0.557999667768447,0.013,0.092
"result.156",0.999235675658813,0.292,0.092
"result.157",0.991370247586995,0.217,0.091
"result.158",0.980465563580021,0.189,0.092
"result.159",0.995856206681899,0.242,0.092
"result.160",0.863429761471685,0.1,0.091
"result.161",0.985829313711727,0.2,0.092
"result.162",0.99673213548078,0.248,0.091
"result.163",0.998435806612474,0.272,0.092
"result.164",1,0.421,0.092
"result.165",0.986064179681404,0.2,0.091
"result.166",0.988359319474125,0.208,0.092
"result.167",1,0.427,0.092
"result.168",0.975423976998572,0.181,0.092
"result.169",0.857690315999489,0.098,0.092
"result.170",0.999969336340142,0.362,0.092
"result.171",0.99786457502318,0.262,0.092
"result.172",0.983745432340721,0.196,0.092
"result.173",0.816848243941813,0.082,0.091
"result.174",0.999610192408329,0.307,0.092
"result.175",0.799242553751575,0.077,0.092
"result.176",0.999607960141374,0.308,0.092
"result.177",0.999341691028496,0.295,0.092
"result.178",0.393875423942706,-0.025,0.092
"result.179",0.935850878303529,0.139,0.092
"result.180",0.996523124153665,0.247,0.092
"result.181",0.999218024521249,0.29,0.092
"result.182",0.975369283943421,0.18,0.092
"result.183",0.990337960631362,0.214,0.092
"result.184",0.831064517787955,0.088,0.092
"result.185",0.99570740918081,0.24,0.092
"result.186",0.997818281919953,0.261,0.092
"result.187",0.76632997896015,0.066,0.092
"result.188",0.984496152267102,0.197,0.091
"result.189",0.982277761505474,0.192,0.092
"result.190",0.879006597396024,0.107,0.092
"result.191",1,0.455,0.092
"result.192",0.999538004045339,0.304,0.092
"result.193",0.977664306047637,0.184,0.092
"result.194",0.995983323682695,0.243,0.092
"result.195",0.986062809904759,0.202,0.092
"result.196",0.999929544819732,0.348,0.092
"result.197",0.999979312957963,0.368,0.092
"result.198",0.999606306055307,0.307,0.092
"result.199",0.995210921321152,0.236,0.091
"result.200",0.927151276044239,0.133,0.091
"result.201",0.984254965368221,0.197,0.092
"result.202",0.806896444674717,0.079,0.091
"result.203",0.98237171014094,0.193,0.092
"result.204",0.999316764808828,0.293,0.092
"result.205",0.93710397183577,0.14,0.092
"result.206",0.997688627127218,0.26,0.092
"result.207",0.997477111867901,0.257,0.092
"result.208",0.780043376049841,0.071,0.092
"result.209",0.998213829571679,0.267,0.092
"result.210",0.994243045644002,0.232,0.092
"result.211",0.999979142926317,0.368,0.092
"result.212",0.997719240884497,0.259,0.092
"result.213",0.872538939479314,0.104,0.092
"result.214",0.980840519071809,0.19,0.092
"result.215",0.996722012069662,0.249,0.092
"result.216",0.930887260551939,0.135,0.091
"result.217",0.999995985752075,0.386,0.092
"result.218",0.988259569847308,0.208,0.092
"result.219",0.999418298260302,0.298,0.092
"result.220",0.963328109577519,0.165,0.092
"result.221",0.998939845217585,0.281,0.092
"result.222",0.993116801160502,0.226,0.092
"result.223",0.998656318717431,0.276,0.092
"result.224",0.984438034246194,0.198,0.092
"result.225",0.994054405512834,0.23,0.092
"result.226",0.919798140256309,0.128,0.091
"result.227",0.996682338809765,0.249,0.092
"result.228",0.996829208549271,0.249,0.092
"result.229",0.942736835067319,0.144,0.091
"result.230",0.999822739399878,0.326,0.092
"result.231",0.999372676278538,0.296,0.092
"result.232",0.9834299271507,0.195,0.092
"result.233",0.975990472709222,0.181,0.092
"result.234",0.999729315865321,0.316,0.092
"result.235",0.955418853772529,0.156,0.092
"result.236",0.995233768602295,0.237,0.092
"result.237",0.964948859786288,0.166,0.092
"result.238",0.963672660574042,0.165,0.092
"result.239",0.999447450396963,0.298,0.092
"result.240",0.764057267532503,0.066,0.092
"result.241",0.95669137511819,0.157,0.092
"result.242",0.842588515715935,0.092,0.092
"result.243",0.973754307808484,0.177,0.092
"result.244",0.980371296080286,0.188,0.092
"result.245",0.998706029986817,0.278,0.092
"result.246",0.999994076596272,0.384,0.092
"result.247",0.999592835732261,0.307,0.092
"result.248",0.890980789675605,0.113,0.092
"result.249",0.999969817757866,0.363,0.092
"result.250",0.989492865878061,0.211,0.092
"result.251",0.993701247624509,0.228,0.092
"result.252",0.997461506843385,0.257,0.092
"result.253",0.981492897736633,0.191,0.092
"result.254",0.979517058650575,0.187,0.092
"result.255",0.975371177953381,0.18,0.092
"result.256",0.986204902355209,0.201,0.092
"result.257",0.992159401522088,0.22,0.091
"result.258",0.929156654499405,0.134,0.091
"result.259",0.728979463394221,0.055,0.091
"result.260",0.999911399181955,0.342,0.092
"result.261",0.788762109485504,0.073,0.091
"result.262",0.990274818845666,0.214,0.092
"result.263",0.994555412681848,0.232,0.091
"result.264",0.875787963230112,0.106,0.092
"result.265",0.9999942860151,0.384,0.092
"result.266",0.967310707817207,0.169,0.092
"result.267",0.970459155604031,0.173,0.092
"result.268",0.996776043877166,0.25,0.092
"result.269",0.99544229777195,0.239,0.092
"result.270",0.663718767677455,0.039,0.092
"result.271",0.959533704724716,0.16,0.092
"result.272",0.988387992045773,0.208,0.092
"result.273",0.995631028626687,0.24,0.092
"result.274",0.99912461462989,0.287,0.092
"result.275",0.994802409539439,0.235,0.092
"result.276",0.971463954847814,0.174,0.092
"result.277",0.994939540740638,0.236,0.092
"result.278",0.994469837521579,0.232,0.092
"result.279",0.975962233206357,0.181,0.092
"result.280",0.991779910183044,0.219,0.092
"result.281",0.865992393233522,0.102,0.092
"result.282",0.999853439479372,0.331,0.092
"result.283",0.997812770877104,0.261,0.092
"result.284",0.76696467789486,0.066,0.091
"result.285",0.950734179005307,0.151,0.091
"result.286",0.997509571780839,0.256,0.091
"result.287",0.970956594266143,0.174,0.092
"result.288",0.997181663978253,0.255,0.092
"result.289",0.887907926625344,0.111,0.092
"result.290",0.841565875196553,0.091,0.091
"result.291",0.993965521742587,0.23,0.092
"result.292",0.88347749599633,0.109,0.092
"result.293",0.999997916551529,0.39,0.092
"result.294",0.937015493348285,0.14,0.092
"result.295",0.980248682138712,0.188,0.091
"result.296",0.99462307830804,0.235,0.092
"result.297",0.97347079401243,0.177,0.092
"result.298",0.984830356665757,0.199,0.092
"result.299",0.852149223523623,0.096,0.092
"result.300",0.971541182826218,0.174,0.092
"result.301",0.993404335346531,0.229,0.092
"result.302",0.967124516641255,0.168,0.091
"result.303",0.9031261444191,0.119,0.092
"result.304",0.979131439917703,0.187,0.092
"result.305",0.896861990854843,0.115,0.091
"result.306",0.978680964843278,0.186,0.092
"result.307",0.999898107114876,0.339,0.092
"result.308",0.978050947335334,0.184,0.092
"result.309",0.995633010145305,0.241,0.092
"result.310",0.898009050438251,0.116,0.092
"result.311",0.528840738286547,0.006,0.092
"result.312",0.991919435759432,0.22,0.092
"result.313",0.954830673904531,0.155,0.092
"result.314",0.997355625621259,0.255,0.092
"result.315",0.988184812857506,0.207,0.092
"result.316",0.999993743163115,0.38,0.092
"result.317",0.917669100617441,0.128,0.092
"result.318",0.825343924236447,0.086,0.092
"result.319",0.976637325295971,0.182,0.092
"result.320",0.91113518552669,0.123,0.092
"result.321",0.358524568841109,-0.033,0.092
"result.322",0.934050543573011,0.138,0.092
"result.323",0.981126469292293,0.19,0.091
"result.324",0.771778673391273,0.068,0.092
"result.325",0.99460459742574,0.233,0.092
"result.326",0.983465343347526,0.196,0.092
"result.327",0.996509134722688,0.247,0.092
"result.328",0.994565808175437,0.233,0.092
"result.329",0.949148099808866,0.15,0.092
"result.330",0.94462597386623,0.146,0.092
"result.331",0.996076324445884,0.244,0.092
"result.332",0.967527797311137,0.169,0.091
"result.333",0.796000060541812,0.075,0.091
"result.334",0.912665142015976,0.124,0.092
"result.335",0.999188289479478,0.289,0.092
"result.336",0.678399464318131,0.042,0.092
"result.337",0.999920176953635,0.344,0.092
"result.338",0.998900704865511,0.28,0.092
"result.339",0.985716760050886,0.2,0.091
"result.340",0.869273484093891,0.103,0.092
"result.341",0.976696937329385,0.182,0.092
"result.342",0.999667797343456,0.312,0.092
"result.343",0.999964301922795,0.359,0.092
"result.344",0.998148170888863,0.265,0.091
"result.345",0.997218126873944,0.255,0.092
"result.346",0.996450550463189,0.246,0.092
"result.347",0.562659201946988,0.014,0.092
"result.348",0.750137147880917,0.062,0.092
"result.349",0.983101324447297,0.194,0.092
"result.350",0.7265557089376,0.055,0.092
"result.351",0.999408725170919,0.297,0.092
"result.352",0.9865032969742,0.204,0.092
"result.353",0.993898398706795,0.229,0.092
"result.354",0.920814947129211,0.129,0.092
"result.355",0.922478411753104,0.13,0.091
"result.356",0.964619650226573,0.165,0.092
"result.357",0.999792485767836,0.323,0.092
"result.358",0.997554877144222,0.257,0.092
"result.359",0.998716393015179,0.276,0.092
"result.360",0.8400754876867,0.091,0.092
"result.361",0.962653468802865,0.163,0.092
"result.362",0.958104868471335,0.158,0.092
"result.363",0.965452124634073,0.167,0.092
"result.364",0.963632367136933,0.164,0.091
"result.365",0.854998482173324,0.097,0.092
"result.366",0.886862126295623,0.111,0.092
"result.367",0.971552264497872,0.174,0.092
"result.368",0.96732440030882,0.169,0.092
"result.369",0.926464452036027,0.133,0.092
"result.370",0.99699419806302,0.251,0.092
"result.371",0.32392569257243,-0.042,0.092
"result.372",0.992830393584747,0.224,0.092
"result.373",0.944767135063999,0.146,0.092
"result.374",0.967433231289974,0.169,0.092
"result.375",0.996942767013667,0.251,0.092
"result.376",0.969718276870654,0.172,0.092
"result.377",0.931786278308756,0.137,0.092
"result.378",0.999452681142386,0.299,0.092
"result.379",0.969389740344085,0.171,0.092
"result.380",0.986329768194958,0.202,0.092
"result.381",0.999269437100388,0.292,0.092
"result.382",0.975468862376371,0.181,0.092
"result.383",0.99176756970514,0.219,0.092
"result.384",0.999985720565586,0.373,0.092
"result.385",0.994464799715713,0.233,0.092
"result.386",0.820193426796175,0.084,0.092
"result.387",0.991808163168271,0.219,0.092
"result.388",0.995740877667953,0.24,0.091
"result.389",0.970520861887253,0.173,0.092
"result.390",0.985955062329843,0.201,0.092
"result.391",0.987802221908138,0.206,0.092
"result.392",0.979995866685964,0.188,0.092
"result.393",0.999236659489901,0.291,0.092
"result.394",0.99768777412366,0.258,0.091
"result.395",0.916382373495102,0.126,0.092
"result.396",0.917654317474695,0.127,0.092
"result.397",0.999888541321502,0.337,0.092
"result.398",0.872660123006989,0.104,0.091
"result.399",1,0.419,0.092
"result.400",0.959733750067979,0.16,0.092
"result.401",0.854465490771533,0.096,0.091
"result.402",0.807800060294621,0.08,0.092
"result.403",0.955102108733336,0.155,0.092
"result.404",0.91034129169599,0.123,0.092
"result.405",0.998441758525167,0.271,0.092
"result.406",0.99975236191133,0.319,0.092
"result.407",0.980601523232798,0.189,0.092
"result.408",0.995840460670213,0.242,0.092
"result.409",0.860508091904005,0.099,0.092
"result.410",0.956216928270494,0.156,0.091
"result.411",0.94134474313774,0.143,0.092
"result.412",0.917215890568912,0.127,0.092
"result.413",0.946541600475906,0.147,0.091
"result.414",0.957891032060055,0.158,0.092
"result.415",0.711748002597768,0.051,0.091
"result.416",1,0.413,0.092
"result.417",0.939816830681492,0.142,0.092
"result.418",0.999738974665164,0.318,0.092
"result.419",0.988653297970846,0.208,0.092
"result.420",0.967873267725347,0.169,0.092
"result.421",0.999876226837912,0.336,0.092
"result.422",0.944563345036863,0.146,0.092
"result.423",0.992703775260055,0.223,0.092
"result.424",0.999306358908724,0.293,0.092
"result.425",0.797525638328779,0.076,0.092
"result.426",0.976539917414739,0.182,0.092
"result.427",0.999205720590011,0.29,0.092
"result.428",0.999434519715781,0.298,0.092
"result.429",0.972695843167382,0.177,0.092
"result.430",0.976365880424581,0.181,0.092
"result.431",0.962609602148588,0.163,0.092
"result.432",0.966069200602325,0.167,0.092
"result.433",0.9938106415229,0.23,0.092
"result.434",0.944714223968213,0.146,0.091
"result.435",0.959574877237175,0.161,0.092
"result.436",0.965765172736538,0.167,0.092
"result.437",0.855942102180928,0.097,0.092
"result.438",0.893710852967279,0.115,0.092
"result.439",0.998235164450028,0.267,0.092
"result.440",0.944250035346413,0.146,0.092
"result.441",0.981056746109534,0.19,0.092
"result.442",0.958368976489751,0.159,0.092
"result.443",0.999300132477812,0.292,0.092
"result.444",0.999961867052482,0.358,0.092
"result.445",0.99394071674934,0.23,0.092
"result.446",0.970544579705005,0.173,0.091
"result.447",0.98417419108581,0.197,0.092
"result.448",0.999130759823281,0.286,0.092
"result.449",0.999553940428018,0.304,0.092
"result.450",0.992667546833058,0.224,0.092
"result.451",0.630349563347758,0.03,0.092
"result.452",0.98897921774533,0.209,0.091
"result.453",0.999965495437141,0.359,0.092
"result.454",0.999988650307843,0.376,0.092
"result.455",0.999994710463371,0.382,0.092
"result.456",0.958109544204507,0.159,0.092
"result.457",0.985107802489828,0.199,0.092
"result.458",0.903032866128947,0.119,0.091
"result.459",0.905837549486479,0.121,0.092
"result.460",0.987074297749824,0.204,0.092
"result.461",0.979059722000296,0.186,0.092
"result.462",0.749544004575802,0.061,0.092
"result.463",0.999681060794681,0.313,0.092
"result.464",0.996330305046466,0.245,0.092
"result.465",0.999734173724278,0.318,0.092
"result.466",0.974049045759007,0.178,0.092
"result.467",0.976619860565782,0.182,0.092
"result.468",0.995224136677112,0.237,0.092
"result.469",0.99999327168416,0.382,0.092
"result.470",0.996782319559685,0.25,0.092
"result.471",0.988984793228156,0.21,0.092
"result.472",0.973523144652216,0.177,0.091
"result.473",0.999625775983487,0.308,0.092
"result.474",0.968684945177093,0.171,0.092
