"","V1","V2","V3"
"result.1",1.8882219056899e-07,-0.411,0.094
"result.2",0.000343383295320581,-0.32,0.094
"result.3",0.0691508891789805,-0.141,0.095
"result.4",0.0510778218879906,-0.155,0.095
"result.5",0.0525795455111005,-0.153,0.094
"result.6",0.00998317982923008,-0.22,0.095
"result.7",0.0155560265706287,-0.203,0.094
"result.8",0.0788112665165755,-0.133,0.094
"result.9",0.153384965699739,-0.097,0.095
"result.10",0.078251124322381,-0.135,0.095
"result.11",0.0234664562368608,-0.187,0.094
"result.12",1.88862789053201e-07,-0.424,0.095
"result.13",0.0350266595861064,-0.171,0.094
"result.14",0.000132412701957857,-0.341,0.094
"result.15",0.0351253236739674,-0.17,0.094
"result.16",0.0206051785208639,-0.194,0.095
"result.17",0.14670774402487,-0.099,0.094
"result.18",0.0849845556097272,-0.131,0.095
"result.19",0.0877509837468739,-0.128,0.094
"result.20",0.00465558891792799,-0.244,0.094
"result.21",0.000995286171908184,-0.291,0.094
"result.22",7.76316506262859e-05,-0.353,0.094
"result.23",0.0228609474756037,-0.188,0.094
"result.24",0.0347402152782501,-0.171,0.094
"result.25",1.88840495051076e-07,-0.41,0.094
"result.26",7.4568754420588e-06,-0.39,0.094
"result.27",0.00573295048510919,-0.238,0.094
"result.28",0.00170362994976494,-0.277,0.095
"result.29",0.0364781908923911,-0.17,0.095
"result.30",0.00951747322992389,-0.223,0.095
"result.31",0.00171299973232471,-0.277,0.095
"result.32",1.88876391234748e-07,-0.423,0.095
"result.33",0.0104161639865838,-0.217,0.094
"result.34",0.00849415873629814,-0.223,0.094
"result.35",1.88932481042614e-07,-0.562,0.095
"result.36",0.000905508125776132,-0.298,0.095
"result.37",0.0108653298484415,-0.215,0.094
"result.38",0.00224050350318115,-0.268,0.094
"result.39",1.96187087471832e-05,-0.382,0.095
"result.40",0.518588196025737,0.004,0.094
"result.41",0.00112499811763463,-0.291,0.095
"result.42",1.88865740211875e-07,-0.493,0.095
"result.43",0.000686234141704702,-0.301,0.094
"result.44",0.210203629306394,-0.076,0.095
"result.45",0.217120745490525,-0.074,0.095
"result.46",0.00179327965176175,-0.275,0.095
"result.47",0.00113903631054313,-0.288,0.095
"result.48",4.92280994173344e-05,-0.361,0.094
"result.49",0.00198505405388683,-0.273,0.095
"result.50",0.00990082895982261,-0.219,0.094
"result.51",0.00323138481875643,-0.257,0.095
"result.52",0.0165276869761607,-0.202,0.095
"result.53",0.000480795452226565,-0.31,0.094
"result.54",0.000573457481355032,-0.308,0.095
"result.55",0.135903138526835,-0.104,0.095
"result.56",0.00272757122297661,-0.261,0.094
"result.57",9.36013444717494e-05,-0.351,0.095
"result.58",0.0160744071056874,-0.202,0.094
"result.59",0.0307765630477449,-0.177,0.095
"result.60",0.242111130142545,-0.066,0.094
"result.61",0.000130783665559064,-0.343,0.094
"result.62",0.00665102512386224,-0.233,0.094
"result.63",0.21134529912953,-0.076,0.095
"result.64",0.0125046513685279,-0.212,0.095
"result.65",0.000145804819946627,-0.342,0.095
"result.66",0.0287837609498202,-0.18,0.095
"result.67",0.00272114232918605,-0.262,0.094
"result.68",0.000868324364029705,-0.295,0.094
"result.69",0.0177881223926494,-0.199,0.095
"result.70",0.000277971057274909,-0.326,0.095
"result.71",0.00331662555000377,-0.256,0.094
"result.72",0.00332962141234767,-0.256,0.094
"result.73",0.0031529472767028,-0.258,0.095
"result.74",0.147345042596501,-0.1,0.095
"result.75",1.88808271553523e-07,-0.413,0.095
"result.76",0.000221751891065707,-0.332,0.095
"result.77",0.000519640175556558,-0.31,0.095
"result.78",0.0040919662762132,-0.25,0.095
"result.79",3.06625953714008e-05,-0.37,0.094
"result.80",0.00102522944235764,-0.291,0.095
"result.81",0.0442446281621416,-0.161,0.094
"result.82",0.00120012148411122,-0.285,0.094
"result.83",0.00214921009060539,-0.271,0.095
"result.84",0.0112953006320631,-0.215,0.095
"result.85",0.0184374665241018,-0.198,0.095
"result.86",0.00349351228127406,-0.255,0.095
"result.87",0.293423431163585,-0.051,0.094
"result.88",1.88862076719059e-07,-0.446,0.094
"result.89",0.0562606495056497,-0.15,0.094
"result.90",0.00979604246797975,-0.22,0.094
"result.91",0.0107696775440286,-0.217,0.094
"result.92",0.00260658812584648,-0.264,0.095
"result.93",0.00314497586135007,-0.258,0.095
"result.94",0.0146886882547284,-0.206,0.095
"result.95",0.0111325603003649,-0.216,0.095
"result.96",0.0006687975867557,-0.302,0.094
"result.97",7.70725426027022e-05,-0.356,0.095
"result.98",0.00537764626070925,-0.24,0.094
"result.99",0.00340502980149562,-0.256,0.095
"result.100",0.14886849647482,-0.098,0.094
"result.101",0.00471986805958168,-0.245,0.094
"result.102",0.00431973453524363,-0.249,0.095
"result.103",0.000340496001311403,-0.32,0.094
"result.104",0.00642088131490129,-0.235,0.094
"result.105",0.0124078905170615,-0.212,0.095
"result.106",0.0020822101324131,-0.27,0.094
"result.107",0.117033134024088,-0.112,0.094
"result.108",0.00401850540735497,-0.251,0.095
"result.109",0.00164817715575757,-0.278,0.095
"result.110",1.88862495445899e-07,-0.483,0.096
"result.111",0.0203890739853965,-0.193,0.094
"result.112",0.109717435569303,-0.116,0.094
"result.113",0.000155482956279984,-0.338,0.094
