"","post_prob_death_BM","post_prob_extubation_surv","trt_death_BM","trt_extubation_surv","sd_death_BM","sd_extubation_surv"
"result.1","0.988463713708823","0.998949147482578","-0.25","0.2","0.11","0.065"
"result.2","0.998325460241873","0.991237222369084","-0.322","0.154","0.11","0.065"
"result.3","0.980407534855046","0.998889559196977","-0.226","0.2","0.11","0.065"
"result.4","0.999813550377737","0.999791909993228","-0.388","0.234","0.11","0.067"
"result.5","0.994822425684793","0.997434793103092","-0.282","0.182","0.11","0.065"
"result.6","0.999995774777537","0.999641444111017","-0.457","0.222","0.11","0.066"
"result.7","0.999755977442127","0.999999810724959","-0.385","0.299","0.111","0.065"
"result.8","0.976827460021643","0.979627841522791","-0.216","0.135","0.109","0.066"
"result.9","1","0.999999809845189","-0.534","0.366","0.113","0.065"
"result.10","1","0.999999810105658","-0.512","0.351","0.11","0.067"
"result.11","0.993904228975503","0.997029930167718","-0.277","0.179","0.111","0.065"
"result.12","0.998249576323101","0.9976170452348","-0.321","0.184","0.11","0.065"
"result.13","0.98419681898118","0.965570205958997","-0.236","0.119","0.11","0.065"
"result.14","0.960701117764836","0.971992063345607","-0.194","0.124","0.11","0.065"
"result.15","0.996092507288997","0.999371072588713","-0.287","0.214","0.108","0.066"
"result.16","0.964802488162771","0.981443839759557","-0.199","0.136","0.11","0.065"
"result.17","0.999838420109726","0.997735939188143","-0.397","0.184","0.111","0.065"
"result.18","0.99997739762825","0.999993545533037","-0.434","0.274","0.109","0.066"
"result.19","1","0.999999810034882","-0.468","0.327","0.109","0.066"
"result.20","0.99999988249269","0.999999809335345","-0.474","0.277","0.112","0.065"
"result.21","0.999746500818475","0.999513349908648","-0.38","0.214","0.11","0.065"
"result.22","0.995055209912034","0.995364011662982","-0.28","0.172","0.109","0.066"
"result.23","0.968196407883903","0.992020441159379","-0.204","0.158","0.11","0.066"
"result.24","1","0.999999810232904","-0.479","0.301","0.111","0.066"
"result.25","0.997805528466377","0.99974399121579","-0.32","0.221","0.113","0.064"
"result.26","0.934528838826791","0.947316779284758","-0.166","0.106","0.11","0.066"
"result.27","0.999987722092229","0.999907422288327","-0.458","0.239","0.113","0.064"
"result.28","0.999766574696806","0.999785580746624","-0.388","0.224","0.112","0.064"
"result.29","0.735859077220345","0.786365656557816","-0.068","0.053","0.108","0.067"
"result.30","0.99468272639919","0.995492152320822","-0.278","0.17","0.109","0.065"
"result.31","1","0.999937549120849","-0.481","0.247","0.111","0.065"
"result.32","0.903734121397505","0.910345289791224","-0.144","0.087","0.111","0.065"
"result.33","0.60782539549163","0.907429470888348","-0.029","0.087","0.109","0.066"
"result.34","0.999949638813028","0.999886661773601","-0.422","0.24","0.11","0.066"
"result.35","0.845012803144746","0.878233873760938","-0.11","0.077","0.108","0.066"
"result.36","0.999829907096199","0.996141910102924","-0.387","0.176","0.109","0.066"
"result.37","0.999859074814023","0.988256831589294","-0.392","0.15","0.109","0.066"
"result.38","0.999890369518306","0.999962009110684","-0.402","0.256","0.11","0.066"
"result.39","0.671135855078055","0.745974500031338","-0.048","0.044","0.109","0.066"
"result.40","0.999975501074985","0.999969001814613","-0.437","0.256","0.111","0.065"
"result.41","0.995984153628753","0.998291884484236","-0.292","0.191","0.111","0.065"
"result.42","0.999431583295076","0.999618273995795","-0.355","0.22","0.11","0.066"
"result.43","0.80294754989244","0.9175141867983","-0.092","0.092","0.109","0.066"
"result.44","0.998944275326714","0.998733589186307","-0.335","0.198","0.109","0.066"
"result.45","0.960311332712368","0.962821882376729","-0.192","0.116","0.11","0.065"
"result.46","0.999994886120141","0.999988786049913","-0.458","0.268","0.11","0.066"
"result.47","0.999597267272379","0.996027902196776","-0.366","0.175","0.11","0.066"
"result.48","0.989598147651033","0.99368456699374","-0.254","0.162","0.11","0.065"
"result.49","0.999574829507714","0.99695330865439","-0.365","0.18","0.11","0.066"
"result.50","0.989949744069252","0.998324368258253","-0.258","0.19","0.111","0.065"
"result.51","0.999029525152203","0.995518294845658","-0.338","0.171","0.109","0.066"
"result.52","0.999831211046055","0.999962511935597","-0.387","0.261","0.109","0.067"
"result.53","0.995258580109091","0.990271052555875","-0.284","0.152","0.11","0.065"
"result.54","0.999066943540228","0.999780930506364","-0.341","0.23","0.11","0.066"
"result.55","0.974669375452852","0.931518116013823","-0.213","0.098","0.109","0.066"
"result.56","0.995248367976226","0.994874417007204","-0.292","0.164","0.113","0.064"
"result.57","0.591824406807379","0.653548264896046","-0.025","0.026","0.109","0.066"
"result.58","0.912229943148767","0.926340072398808","-0.147","0.097","0.108","0.067"
"result.59","0.978655238671803","0.983733717238691","-0.222","0.139","0.11","0.065"
"result.60","0.981383818560607","0.984484439872312","-0.228","0.142","0.11","0.066"
"result.61","0.974414221254498","0.983925921675242","-0.216","0.138","0.111","0.065"
"result.62","1","0.999999809270207","-0.501","0.372","0.112","0.065"
"result.63","0.999912781712334","0.999489842611801","-0.411","0.213","0.111","0.065"
"result.64","0.966017427719384","0.955156490492074","-0.198","0.113","0.109","0.067"
"result.65","0.999370929128702","0.999894109785962","-0.351","0.244","0.109","0.066"
"result.66","0.985872917732645","0.996973259044236","-0.239","0.182","0.109","0.066"
"result.67","1","0.999999809444759","-0.494","0.286","0.11","0.066"
"result.68","0.988313603776069","0.996800640948039","-0.249","0.178","0.11","0.065"
"result.69","0.985559795378152","0.998550495272466","-0.241","0.192","0.111","0.065"
"result.70","0.99919030511099","0.999539486800749","-0.343","0.22","0.109","0.067"
"result.71","0.921422015700557","0.995621158372454","-0.156","0.17","0.11","0.065"
"result.72","0.999478312608186","0.999778226154716","-0.359","0.228","0.11","0.065"
"result.73","0.997313787747751","0.999746574989875","-0.308","0.227","0.111","0.065"
"result.74","0.98356521754026","0.983756688521793","-0.231","0.141","0.109","0.066"
"result.75","0.878429321099996","0.995434177451331","-0.127","0.171","0.109","0.066"
"result.76","0.998246481783934","0.996012632998981","-0.324","0.173","0.112","0.065"
"result.77","0.998648400791558","0.999986663889166","-0.328","0.267","0.11","0.066"
"result.78","0.999890290909474","0.999964384239836","-0.406","0.253","0.111","0.065"
"result.79","0.996552882289282","0.999099490724804","-0.299","0.201","0.111","0.064"
"result.80","0.983120292211516","0.992736612705179","-0.233","0.159","0.11","0.065"
"result.81","0.995615979439307","0.999972105771787","-0.285","0.261","0.109","0.066"
"result.82","0.995084609840759","0.996858674730421","-0.28","0.181","0.109","0.066"
"result.83","0.998745340756551","0.999921127925481","-0.336","0.24","0.112","0.064"
"result.84","0.995861192912424","0.999930600129153","-0.289","0.247","0.11","0.065"
"result.85","0.999800636437236","0.999761138786897","-0.386","0.231","0.11","0.067"
"result.86","0.895787273866685","0.989321294164124","-0.14","0.149","0.111","0.065"
"result.87","0.981264271342104","0.995689543198572","-0.228","0.171","0.11","0.065"
"result.88","0.960573864504665","0.990865844198388","-0.191","0.154","0.109","0.066"
"result.89","0.996408306288128","0.890140400525515","-0.294","0.081","0.11","0.066"
"result.90","0.99570807511914","0.937102893120569","-0.289","0.1","0.11","0.065"
"result.91","0.916878634077805","0.915083745966334","-0.155","0.088","0.112","0.064"
"result.92","0.79293636392565","0.978512968002178","-0.089","0.134","0.109","0.066"
"result.93","0.876247899286905","0.893614738979449","-0.126","0.082","0.109","0.066"
"result.94","0.932665976134527","0.992110295669062","-0.165","0.157","0.11","0.065"
"result.95","0.930039103385974","0.971592828882773","-0.161","0.125","0.109","0.066"
"result.96","0.998589780462485","0.998664047420182","-0.328","0.196","0.11","0.065"
"result.97","0.992182144089903","0.99975172260874","-0.261","0.231","0.108","0.067"
"result.98","0.982230992325141","0.998840092924953","-0.23","0.198","0.11","0.065"
"result.99","0.999056557873592","0.996955249293808","-0.335","0.182","0.108","0.066"
"result.100","0.994877234304136","0.995847349971887","-0.282","0.172","0.11","0.065"
"result.101","0.958370208828588","0.972587264482149","-0.189","0.127","0.109","0.066"
"result.102","0.999770179697944","0.999900292246139","-0.378","0.245","0.109","0.066"
"result.103","0.941288644022451","0.855071866528602","-0.172","0.069","0.11","0.065"
"result.104","0.994006798157307","0.996598666698487","-0.272","0.179","0.109","0.066"
"result.105","0.943498476393581","0.878480998830165","-0.172","0.078","0.108","0.066"
"result.106","0.998710972127573","0.999559585738612","-0.331","0.215","0.11","0.065"
"result.107","0.992633590277899","0.997773882358461","-0.267","0.184","0.11","0.065"
"result.108","0.999058236743031","0.999488974727248","-0.339","0.214","0.11","0.065"
"result.109","0.996289158854772","0.999845117760247","-0.296","0.232","0.111","0.065"
"result.110","0.999480962904302","0.998542332692477","-0.365","0.193","0.112","0.065"
"result.111","0.993201423088383","0.999166212573876","-0.269","0.205","0.11","0.065"
"result.112","0.99785630138082","0.993177449432066","-0.316","0.16","0.111","0.065"
"result.113","0.98212399711751","0.938855924772057","-0.23","0.101","0.11","0.065"
"result.114","0.983633140937891","0.988703301291078","-0.241","0.146","0.113","0.064"
"result.115","0.999961649631903","0.999555764272042","-0.431","0.216","0.111","0.065"
"result.116","0.995072911609185","0.99776786568284","-0.281","0.187","0.109","0.066"
"result.117","0.999699308542916","0.999129745695508","-0.371","0.207","0.109","0.066"
"result.118","0.997192636095165","0.980054523482156","-0.303","0.134","0.11","0.065"
"result.119","0.983776886756433","0.990887713369768","-0.234","0.154","0.11","0.065"
"result.120","0.98973550996287","0.994443697768999","-0.259","0.164","0.112","0.065"
"result.121","0.999923678942709","0.999768615525168","-0.416","0.225","0.111","0.065"
"result.122","0.966585313703555","0.97653914200744","-0.2","0.13","0.109","0.065"
"result.123","0.899397527199294","0.983277931529137","-0.142","0.138","0.111","0.065"
"result.124","0.999999769892286","0.999940934064959","-0.466","0.251","0.11","0.066"
"result.125","0.995054226846845","0.993264916474855","-0.283","0.161","0.11","0.065"
"result.126","0.999998520416473","0.999902099634717","-0.47","0.241","0.112","0.065"
"result.127","1","0.999886585807454","-0.476","0.24","0.111","0.066"
"result.128","0.9999621886214","0.999848788454148","-0.428","0.234","0.11","0.065"
"result.129","0.995019958585928","0.997067607121446","-0.283","0.179","0.11","0.065"
"result.130","0.82719590849276","0.972538932405794","-0.104","0.123","0.111","0.064"
"result.131","0.999619678865755","0.999950061186024","-0.365","0.253","0.109","0.066"
"result.132","0.990831812776342","0.981677325401458","-0.255","0.138","0.109","0.066"
"result.133","0.99988212351111","0.999920355783964","-0.404","0.243","0.111","0.065"
"result.134","0.998324721601696","0.99829203560864","-0.327","0.188","0.112","0.064"
"result.135","0.98360615710296","0.992670421911061","-0.234","0.16","0.11","0.066"
"result.136","0.996201939875154","0.998113504034002","-0.293","0.189","0.11","0.065"
"result.137","0.999235138549939","0.99966253596042","-0.35","0.22","0.111","0.065"
"result.138","0.961158497482894","0.954893932355595","-0.192","0.112","0.109","0.066"
"result.139","0.923172318737443","0.992339052267221","-0.158","0.156","0.111","0.065"
"result.140","0.997504787424085","0.998514128108757","-0.31","0.193","0.111","0.065"
"result.141","0.898671282957722","0.959030514511189","-0.139","0.115","0.109","0.066"
"result.142","0.999874654857967","0.999788456657892","-0.408","0.226","0.113","0.064"
"result.143","0.988889103442845","0.993712739034602","-0.254","0.16","0.111","0.064"
"result.144","0.997285114653142","0.999021024665448","-0.301","0.206","0.109","0.067"
"result.145","0.999285597525857","0.994936594574878","-0.346","0.17","0.109","0.066"
"result.146","0.999357263123261","0.998709036312434","-0.353","0.197","0.11","0.065"
"result.147","0.999906248112977","0.999807005292466","-0.406","0.231","0.11","0.066"
"result.148","0.993158358271505","0.995780010127063","-0.271","0.172","0.11","0.065"
"result.149","0.999462467730152","0.999992858046104","-0.356","0.273","0.109","0.066"
"result.150","1","0.999989538933024","-0.485","0.265","0.112","0.065"
"result.151","0.997307073445967","0.995608606797556","-0.305","0.171","0.11","0.065"
"result.152","0.998340413241498","0.958433914553402","-0.32","0.114","0.109","0.065"
"result.153","0.999536784528914","0.996295847470912","-0.365","0.173","0.111","0.065"
"result.154","0.999013249324363","0.998744258997798","-0.34","0.197","0.11","0.065"
"result.155","0.83127354406904","0.906910872500779","-0.104","0.088","0.109","0.066"
"result.156","0.999382397774698","0.999999792421662","-0.349","0.282","0.108","0.067"
"result.157","0.98876334015811","0.999611459974725","-0.253","0.217","0.111","0.065"
"result.158","0.983081622929337","0.993718626044956","-0.231","0.165","0.109","0.066"
"result.159","0.999113548298365","0.995829351149778","-0.341","0.173","0.11","0.066"
"result.160","0.895908283245186","0.891306632989273","-0.138","0.08","0.11","0.065"
"result.161","0.982435750833651","0.997201148565421","-0.233","0.18","0.111","0.065"
"result.162","0.999159739355883","0.999996274786045","-0.352","0.27","0.112","0.065"
"result.163","0.999790882028761","0.999457254121367","-0.385","0.213","0.11","0.066"
"result.164","1","0.999999810186453","-0.541","0.332","0.112","0.065"
"result.165","0.988415107664891","0.995158593178383","-0.254","0.166","0.112","0.064"
"result.166","0.997042205083346","0.998753220376767","-0.299","0.198","0.109","0.066"
"result.167","0.999990934486259","0.999999809987446","-0.455","0.302","0.111","0.065"
"result.168","0.995829326585421","0.996179609980357","-0.289","0.175","0.11","0.066"
"result.169","0.971185461536819","0.887904281600503","-0.208","0.08","0.11","0.065"
"result.170","0.999993282507625","0.999955871540218","-0.453","0.256","0.11","0.066"
"result.171","0.999650421366216","0.999620878586684","-0.372","0.22","0.111","0.066"
"result.172","0.999745924408197","0.996758075957796","-0.379","0.179","0.11","0.066"
"result.173","0.962731390163282","0.847090903096447","-0.197","0.067","0.111","0.065"
"result.174","0.999456054059233","0.999291287819662","-0.361","0.207","0.111","0.065"
"result.175","0.966446629858575","0.968515206694559","-0.201","0.121","0.11","0.065"
"result.176","0.999978588441552","0.999870268262971","-0.44","0.236","0.111","0.065"
"result.177","0.999511337832171","0.999332559952838","-0.361","0.211","0.11","0.066"
"result.178","0.807462539079493","0.843488474743631","-0.096","0.065","0.11","0.065"
"result.179","0.965955796957333","0.976945581581175","-0.199","0.13","0.109","0.065"
"result.180","0.99961015713596","0.998031444009536","-0.37","0.188","0.111","0.065"
"result.181","0.999312830256255","0.999223156591947","-0.352","0.207","0.11","0.066"
"result.182","0.996125410015168","0.999355941272653","-0.293","0.209","0.111","0.065"
"result.183","0.999955271928612","0.999109124099933","-0.423","0.205","0.11","0.066"
"result.184","0.866651333030576","0.941365736864409","-0.12","0.103","0.109","0.066"
"result.185","0.99848834968584","0.998729643017687","-0.329","0.196","0.112","0.065"
"result.186","0.999242843962307","0.999882945062191","-0.349","0.239","0.11","0.065"
"result.187","0.708486436988991","0.920169707095198","-0.06","0.092","0.109","0.065"
"result.188","0.996820997277821","0.998509678229288","-0.303","0.193","0.112","0.065"
"result.189","0.998454539138061","0.999759829314459","-0.329","0.224","0.112","0.065"
"result.190","0.767474812666924","0.974481929111575","-0.08","0.127","0.11","0.065"
"result.191","1","0.999999809704576","-0.599","0.327","0.11","0.066"
"result.192","0.999994702332811","0.999998523397345","-0.457","0.278","0.11","0.066"
"result.193","0.999821465724373","0.994798346757693","-0.394","0.166","0.111","0.065"
"result.194","0.987843720571966","0.999907527917754","-0.247","0.242","0.11","0.065"
"result.195","0.945445335236259","0.991118819142055","-0.174","0.156","0.109","0.066"
"result.196","1","0.999999809690844","-0.494","0.301","0.109","0.067"
"result.197","0.99981060827064","0.999911874675477","-0.387","0.245","0.11","0.066"
"result.198","0.999947854048093","0.999940090505482","-0.427","0.248","0.112","0.065"
"result.199","0.999077171475644","0.998136287377438","-0.346","0.186","0.111","0.064"
"result.200","0.971413786360453","0.980265827470474","-0.21","0.134","0.11","0.065"
"result.201","0.999043417095967","0.999473467594236","-0.337","0.215","0.109","0.066"
"result.202","0.757089874105064","0.922115991120661","-0.077","0.091","0.111","0.064"
"result.203","0.917449081179956","0.999295431257962","-0.153","0.209","0.11","0.066"
"result.204","0.999871548301303","0.999999810553677","-0.404","0.278","0.112","0.065"
"result.205","0.992194268439741","0.977768161364611","-0.263","0.133","0.109","0.066"
"result.206","0.996580814108114","0.999925277473378","-0.295","0.246","0.11","0.066"
"result.207","0.985721884233363","0.99890763425583","-0.237","0.202","0.109","0.066"
"result.208","0.82513359671819","0.782725752980509","-0.102","0.052","0.109","0.066"
"result.209","0.999120606093403","0.99927790666179","-0.343","0.209","0.11","0.066"
"result.210","0.999860637123782","0.999107066811252","-0.398","0.205","0.11","0.066"
"result.211","1","0.999999809873637","-0.548","0.32","0.111","0.065"
"result.212","0.996776309780999","0.998744521805064","-0.3","0.196","0.111","0.065"
"result.213","0.964822464047687","0.980889519122735","-0.198","0.135","0.11","0.065"
"result.214","0.989279766268895","0.994156854568243","-0.249","0.167","0.108","0.066"
"result.215","0.995611472662612","0.99907161839679","-0.285","0.205","0.109","0.066"
"result.216","0.835829532398539","0.976373987188178","-0.109","0.128","0.111","0.065"
"result.217","1","0.999998020741749","-0.484","0.28","0.109","0.067"
"result.218","0.998608579577709","0.995469115799242","-0.327","0.171","0.11","0.066"
"result.219","0.999945550542294","0.999968315857675","-0.42","0.255","0.11","0.065"
"result.220","0.995027444904498","0.989635099256486","-0.277","0.154","0.108","0.067"
"result.221","0.992498701406538","0.986899431549583","-0.267","0.144","0.11","0.065"
"result.222","0.99955731504744","0.999138065944067","-0.364","0.206","0.11","0.066"
"result.223","0.999937257418297","0.999821312180916","-0.414","0.234","0.11","0.066"
"result.224","0.964581885790454","0.976660553764141","-0.195","0.132","0.108","0.066"
"result.225","0.999199271219239","0.998194121390082","-0.345","0.191","0.11","0.066"
"result.226","0.996353116632029","0.991833257336044","-0.296","0.156","0.111","0.065"
"result.227","0.999955907675257","0.999649543085106","-0.418","0.225","0.109","0.067"
"result.228","0.987917932608846","0.992451713632656","-0.25","0.158","0.111","0.065"
"result.229","0.994673581504451","0.991068285988055","-0.283","0.154","0.111","0.065"
"result.230","0.999971562565244","0.999958144693938","-0.435","0.255","0.111","0.066"
"result.231","0.999830779653108","0.999659504302443","-0.392","0.223","0.11","0.066"
"result.232","0.998129954021834","0.997966219089788","-0.32","0.185","0.111","0.065"
"result.233","0.998720653579382","0.998297512586656","-0.338","0.189","0.112","0.065"
"result.234","0.999997594583479","0.999976768774722","-0.467","0.259","0.112","0.065"
"result.235","0.999688784089177","0.999382597290777","-0.37","0.212","0.109","0.066"
"result.236","0.989767028168533","0.996662250735314","-0.255","0.176","0.11","0.065"
"result.237","0.99697563544793","0.991148448413695","-0.299","0.156","0.109","0.066"
"result.238","0.993436341398871","0.9952213447749","-0.272","0.171","0.11","0.066"
"result.239","0.990581689839169","0.999353453190589","-0.26","0.209","0.111","0.065"
"result.240","0.972833496279378","0.971527813781336","-0.21","0.125","0.109","0.065"
"result.241","0.921685200276843","0.984220893608794","-0.153","0.143","0.108","0.067"
"result.242","0.966224586369671","0.976622283783745","-0.2","0.132","0.109","0.066"
"result.243","0.993355902771157","0.992136495489354","-0.271","0.158","0.11","0.066"
"result.244","0.993865459298793","0.999371794499774","-0.277","0.208","0.111","0.065"
"result.245","0.999892045235807","0.999373907929695","-0.399","0.212","0.109","0.066"
"result.246","1","0.999999809077513","-0.54","0.333","0.11","0.066"
"result.247","0.999914618056866","0.999863431150948","-0.409","0.236","0.11","0.065"
"result.248","0.951954866695447","0.969455150732091","-0.181","0.124","0.109","0.066"
"result.249","0.999954029329585","0.999970991184605","-0.422","0.262","0.11","0.067"
"result.250","0.99953684233893","0.999997361478919","-0.365","0.274","0.111","0.065"
"result.251","0.999791847838143","0.999531071061934","-0.388","0.215","0.111","0.065"
"result.252","0.977837902378412","0.999226579698761","-0.219","0.21","0.109","0.067"
"result.253","0.983501830576896","0.995070878186434","-0.234","0.17","0.11","0.066"
"result.254","0.997064438561946","0.999158277298252","-0.303","0.203","0.111","0.065"
"result.255","0.982290679602977","0.977804307365379","-0.23","0.132","0.11","0.066"
"result.256","0.994982160648012","0.996830843942603","-0.283","0.178","0.11","0.065"
"result.257","0.999958429533965","0.999959838732718","-0.433","0.251","0.112","0.065"
"result.258","0.958049060756878","0.989594386008585","-0.193","0.148","0.112","0.064"
"result.259","0.953517846726764","0.974196307441009","-0.189","0.124","0.113","0.064"
"result.260","0.999943284163939","0.999957943677805","-0.417","0.256","0.11","0.066"
"result.261","0.918245580847354","0.900585639745702","-0.156","0.083","0.112","0.065"
"result.262","0.992600514891211","0.999605974745381","-0.266","0.221","0.109","0.066"
"result.263","0.99942262313987","0.999684975247365","-0.362","0.219","0.112","0.064"
"result.264","0.97287449095381","0.989796705383287","-0.21","0.152","0.109","0.066"
"result.265","1","0.999999810324134","-0.524","0.347","0.109","0.067"
"result.266","0.983521161841816","0.981428979022479","-0.232","0.136","0.109","0.065"
"result.267","0.974971108608956","0.983091536287474","-0.212","0.141","0.108","0.067"
"result.268","0.999815314985584","0.999842097569567","-0.385","0.238","0.109","0.067"
"result.269","0.942012466904966","0.997368775954774","-0.171","0.183","0.109","0.066"
"result.270","0.922896518834195","0.966760570411648","-0.156","0.12","0.109","0.065"
"result.271","0.988876406736696","0.99777922158688","-0.251","0.185","0.11","0.065"
"result.272","0.997687708890922","0.993855352443976","-0.31","0.164","0.11","0.066"
"result.273","0.993843331270333","0.999710248889223","-0.274","0.225","0.11","0.066"
"result.274","0.999902067014723","0.99999980993045","-0.406","0.286","0.11","0.066"
"result.275","0.999488732710825","0.995126453966863","-0.358","0.171","0.109","0.066"
"result.276","0.996959475140869","0.983749754244756","-0.302","0.139","0.111","0.065"
"result.277","0.999769093554204","0.999992286745955","-0.382","0.27","0.11","0.066"
"result.278","0.998135507401528","0.993363933239137","-0.319","0.162","0.11","0.065"
"result.279","0.923023208585893","0.960728135285592","-0.155","0.116","0.109","0.066"
"result.280","0.999642921727489","0.997465160068642","-0.376","0.181","0.112","0.065"
"result.281","0.911446647131417","0.918317142321512","-0.148","0.092","0.11","0.066"
"result.282","0.999526515322453","0.998788515578182","-0.363","0.2","0.11","0.066"
"result.283","0.99980036581858","0.998891289145454","-0.391","0.198","0.111","0.065"
"result.284","0.908299665250426","0.966498664283907","-0.147","0.119","0.111","0.065"
"result.285","0.972290959420918","0.9809918541609","-0.212","0.134","0.111","0.065"
"result.286","0.993670226475333","0.991500281712375","-0.278","0.154","0.112","0.065"
"result.287","0.999678924655096","0.99893487783312","-0.374","0.201","0.11","0.066"
"result.288","0.999395290251028","0.999744523864554","-0.352","0.229","0.109","0.066"
"result.289","0.961247709942124","0.952562838916074","-0.194","0.109","0.11","0.065"
"result.290","0.690823147018702","0.955936177729898","-0.056","0.109","0.112","0.064"
"result.291","0.999917958248471","0.999506001947901","-0.41","0.215","0.11","0.065"
"result.292","0.806017112442824","0.95550591833174","-0.094","0.112","0.109","0.066"
"result.293","1","0.99999455436008","-0.471","0.278","0.108","0.067"
"result.294","0.991363594517907","0.996679420666725","-0.262","0.176","0.11","0.065"
"result.295","0.997657600103486","0.98741381431666","-0.316","0.144","0.112","0.064"
"result.296","0.963554835500843","0.992539386678577","-0.192","0.163","0.107","0.067"
"result.297","0.992527863133188","0.994276014095684","-0.27","0.163","0.111","0.064"
"result.298","0.928136581306535","0.999692912970756","-0.159","0.226","0.109","0.066"
"result.299","0.834577564038913","0.942962099498239","-0.106","0.104","0.109","0.066"
"result.300","0.989054537527121","0.992371836612669","-0.25","0.158","0.109","0.065"
"result.301","0.999939057306706","0.999840402383345","-0.412","0.239","0.109","0.067"
"result.302","0.996822105531074","0.992987982781297","-0.303","0.159","0.111","0.065"
"result.303","0.556159436276361","0.832234404895711","-0.015","0.064","0.109","0.066"
"result.304","0.988907074035857","0.990523272531868","-0.251","0.154","0.11","0.066"
"result.305","0.997776473166715","0.996393069822021","-0.314","0.173","0.111","0.065"
"result.306","0.999075378285139","0.999182908544334","-0.343","0.205","0.111","0.065"
"result.307","0.999951181535141","0.999999809883484","-0.424","0.287","0.111","0.066"
"result.308","0.997488592866617","0.999715294962718","-0.308","0.224","0.11","0.065"
"result.309","0.99299631118825","0.998655883161504","-0.266","0.198","0.109","0.066"
"result.310","0.949682524109011","0.93249202072837","-0.18","0.098","0.11","0.065"
"result.311","0.970203301608155","0.817442774263503","-0.205","0.06","0.109","0.066"
"result.312","0.999884463082042","0.99976629615459","-0.398","0.229","0.109","0.066"
"result.313","0.998380254233497","0.998673583070998","-0.322","0.196","0.11","0.065"
"result.314","0.999727973173202","0.999871545489119","-0.381","0.237","0.111","0.065"
"result.315","0.999962194706828","0.99928151702845","-0.428","0.208","0.11","0.066"
"result.316","0.999974274381408","0.999999810191559","-0.443","0.297","0.112","0.064"
"result.317","0.95441637485774","0.973990181614167","-0.181","0.131","0.107","0.067"
"result.318","0.761570947622877","0.92076523182634","-0.077","0.094","0.108","0.066"
"result.319","0.986970176806132","0.990940420940351","-0.243","0.155","0.11","0.066"
"result.320","0.982435215452394","0.979049740723016","-0.232","0.133","0.11","0.065"
"result.321","0.564422894365127","0.776298601296805","-0.018","0.05","0.109","0.065"
"result.322","0.991429423004852","0.994453662703725","-0.261","0.166","0.11","0.065"
