"","post_prob_death_BM","post_prob_extubation_surv","trt_death_BM","trt_extubation_surv","sd_death_BM","sd_extubation_surv"
"result.1","0.121543068575383","0.463421017569493","0.125","-0.006","0.107","0.067"
"result.2","0.866620212770307","0.876321456699527","-0.12","0.077","0.108","0.066"
"result.3","0.187269452997074","0.755548137617945","0.096","0.047","0.107","0.067"
"result.4","0.816861302286658","0.985673148651907","-0.097","0.148","0.107","0.068"
"result.5","0.686286907415992","0.909823374911217","-0.052","0.089","0.108","0.066"
"result.6","0.902902598493558","0.835551511270036","-0.138","0.066","0.107","0.068"
"result.7","0.813244641736024","0.939458552548716","-0.096","0.104","0.108","0.067"
"result.8","0.438087209262824","0.546402710083968","0.017","0.008","0.107","0.067"
"result.9","0.992003873132551","0.999826309940989","-0.263","0.236","0.109","0.066"
"result.10","0.936118857996653","0.997815125761451","-0.162","0.194","0.106","0.068"
"result.11","0.365343369895654","0.787965915167693","0.037","0.053","0.108","0.066"
"result.12","0.356064430223749","0.515248681182672","0.04","0.003","0.107","0.067"
"result.13","0.326302033441802","0.512925774986702","0.049","0.002","0.108","0.066"
"result.14","0.185438922627614","0.33920253309614","0.097","-0.027","0.108","0.067"
"result.15","0.328159707744596","0.606365642032716","0.047","0.019","0.106","0.069"
"result.16","0.284736466054519","0.687085603680146","0.061","0.032","0.108","0.066"
"result.17","0.919896314429206","0.941631173289366","-0.152","0.103","0.109","0.066"
"result.18","0.937465075706905","0.97358271766105","-0.163","0.131","0.107","0.068"
"result.19","0.866404003721105","0.915630106656276","-0.118","0.094","0.106","0.068"
"result.20","0.86031074179162","0.884348019928572","-0.116","0.08","0.108","0.067"
"result.21","0.777138722024553","0.827947742857099","-0.082","0.063","0.107","0.067"
"result.22","0.655882764849342","0.692934826832555","-0.043","0.034","0.107","0.068"
"result.23","0.170802063958463","0.584698292449225","0.102","0.015","0.107","0.067"
"result.24","0.925132131097143","0.985929223436839","-0.155","0.147","0.108","0.067"
"result.25","0.455517665296323","0.735181726446378","0.012","0.041","0.109","0.066"
"result.26","0.235938817406701","0.488268283541579","0.078","-0.002","0.108","0.067"
"result.27","0.916115139496853","0.930729274167619","-0.15","0.097","0.109","0.066"
"result.28","0.95025790121644","0.937031169120915","-0.18","0.1","0.109","0.065"
"result.29","0.0420206445121786","0.0587386353973977","0.183","-0.107","0.106","0.068"
"result.30","0.58762633439292","0.575964890861541","-0.024","0.013","0.107","0.067"
"result.31","0.983651214070151","0.992803329992078","-0.231","0.162","0.108","0.066"
"result.32","0.0425486087562005","0.308804878453774","0.186","-0.033","0.108","0.066"
"result.33","0.0272574012288267","0.295522525441856","0.206","-0.036","0.107","0.067"
"result.34","0.697970271562503","0.846600545019313","-0.055","0.069","0.107","0.068"
"result.35","0.0421307953987745","0.133956775911069","0.184","-0.075","0.106","0.068"
"result.36","0.832997673382741","0.69282608572527","-0.103","0.034","0.106","0.068"
"result.37","0.904978246269509","0.823385164847809","-0.139","0.063","0.107","0.067"
"result.38","0.939646876642095","0.981414834743003","-0.167","0.14","0.108","0.067"
"result.39","0.0513829524538547","0.232132304941982","0.175","-0.049","0.107","0.067"
"result.40","0.894365829066793","0.894773705975922","-0.134","0.084","0.107","0.067"
"result.41","0.624702174706918","0.951015728090466","-0.034","0.11","0.108","0.066"
"result.42","0.525311911636051","0.435218463361003","-0.007","-0.011","0.107","0.068"
"result.43","0.147168684508274","0.487998136699153","0.113","-0.002","0.107","0.067"
"result.44","0.728218348009515","0.811434383729631","-0.065","0.06","0.107","0.067"
"result.45","0.269970445589364","0.619963431969877","0.066","0.02","0.107","0.066"
"result.46","0.821096911725243","0.933375324378019","-0.098","0.101","0.107","0.067"
"result.47","0.818790630578146","0.84550441302835","-0.098","0.069","0.107","0.067"
"result.48","0.401576140967452","0.55071183392963","0.027","0.009","0.108","0.067"
"result.49","0.593731028080985","0.702780753218058","-0.025","0.036","0.107","0.067"
"result.50","0.201589506410591","0.634418388876734","0.09","0.023","0.108","0.067"
"result.51","0.584002443863955","0.577862727291993","-0.022","0.013","0.107","0.067"
"result.52","0.681246670118322","0.952623312667725","-0.05","0.115","0.106","0.069"
"result.53","0.602022590006765","0.598875889996819","-0.027","0.017","0.108","0.067"
"result.54","0.537694655697783","0.890560599173226","-0.01","0.083","0.107","0.067"
"result.55","0.285540917571974","0.359592625213545","0.061","-0.024","0.107","0.067"
"result.56","0.449964934549811","0.704650474924415","0.014","0.035","0.109","0.065"
"result.57","0.0470433915466917","0.202390733913358","0.18","-0.056","0.107","0.067"
"result.58","0.060543857939131","0.217095941214052","0.165","-0.054","0.106","0.069"
"result.59","0.0849369074349711","0.26977095709796","0.147","-0.041","0.107","0.067"
"result.60","0.366121555208152","0.765211609058917","0.037","0.049","0.107","0.067"
"result.61","0.223537924219339","0.403790725649215","0.083","-0.016","0.108","0.066"
