"","post_prob_death_BM","post_prob_extubation_surv","trt_death_BM","trt_extubation_surv","sd_death_BM","sd_extubation_surv"
"result.1","0.00012222452940214","0.0135190252804255","0.385","-0.152","0.106","0.069"
"result.2","0.166591211959243","0.31493476172112","0.103","-0.032","0.107","0.067"
"result.3","0.000517385420902608","0.0492509355646461","0.347","-0.113","0.106","0.069"
"result.4","0.174111640016989","0.810787071803318","0.099","0.061","0.106","0.069"
"result.5","0.029273640437681","0.201534086280639","0.201","-0.057","0.106","0.068"
"result.6","0.28983613870108","0.176405868214619","0.059","-0.064","0.105","0.069"
"result.7","0.11430808740189","0.483666695824854","0.128","-0.003","0.106","0.068"
"result.8","0.0163713697064317","0.13047151865423","0.226","-0.077","0.106","0.069"
"result.9","0.355273004965398","0.831412116177655","0.04","0.065","0.107","0.068"
"result.10","0.162977981401081","0.731766044310141","0.103","0.044","0.105","0.07"
"result.11","0.0340146916685513","0.256695218541182","0.195","-0.044","0.107","0.068"
"result.12","0.00347842937557214","0.0252044636625484","0.285","-0.135","0.106","0.069"
"result.13","0.000946086430281487","0.00417326514469119","0.329","-0.18","0.106","0.068"
"result.14","0.000474941247320824","0.00318993912385379","0.35","-0.186","0.106","0.069"
"result.15","0.0210864542716471","0.212968415003023","0.214","-0.055","0.105","0.07"
"result.16","0.00025951730868203","0.00823914953614424","0.367","-0.164","0.106","0.069"
"result.17","0.377557223254974","0.593867909125586","0.034","0.016","0.107","0.067"
"result.18","0.202345027746658","0.501490254903435","0.088","0","0.105","0.069"
"result.19","0.101759003899815","0.297434022832277","0.133","-0.037","0.105","0.07"
"result.20","0.0684159138529658","0.25313070505135","0.158","-0.045","0.106","0.068"
"result.21","0.0528170152748025","0.0990611175601621","0.171","-0.088","0.106","0.069"
"result.22","0.165163868437635","0.19354738752565","0.103","-0.059","0.106","0.069"
"result.23","0.00254326599363417","0.131275527853885","0.297","-0.077","0.106","0.069"
"result.24","0.147702097341896","0.734885326783405","0.111","0.043","0.106","0.069"
"result.25","0.0454251878107744","0.158125272157916","0.183","-0.067","0.108","0.067"
"result.26","0.00196956186729774","0.020310532917588","0.307","-0.14","0.106","0.069"
"result.27","0.166362218655582","0.463143983980948","0.104","-0.006","0.107","0.067"
"result.28","0.385963592004822","0.449266607719191","0.031","-0.008","0.107","0.066"
"result.29","5.4466975046383e-05","9.4793666272297e-05","0.402","-0.26","0.105","0.071"
"result.30","0.0123633100309688","0.029262243879413","0.237","-0.13","0.105","0.069"
"result.31","0.54503189099764","0.856395762532665","-0.012","0.072","0.106","0.067"
"result.32","3.80978620063989e-05","0.00386249203540168","0.415","-0.181","0.107","0.068"
"result.33","0.000563087041791766","0.0634994474478102","0.346","-0.104","0.107","0.068"
"result.34","0.118970339675045","0.411248995239843","0.125","-0.015","0.106","0.069"
"result.35","0.000119142164509754","0.00294586374442329","0.385","-0.19","0.106","0.069"
"result.36","0.110545671404955","0.160914695382738","0.129","-0.068","0.105","0.069"
"result.37","0.223895063783179","0.156617911010417","0.08","-0.069","0.105","0.069"
"result.38","0.350133197413645","0.812378141647017","0.041","0.06","0.106","0.068"
"result.39","1.91474949582918e-05","0.00102845110025296","0.425","-0.212","0.106","0.069"
"result.40","0.360773266470895","0.55403088183814","0.038","0.009","0.106","0.068"
"result.41","0.0105984546216783","0.26679842527156","0.245","-0.042","0.106","0.068"
"result.42","0.0303552384791164","0.157808052543746","0.198","-0.069","0.105","0.069"
"result.43","0.000775778049905104","0.0146824872129976","0.335","-0.15","0.106","0.069"
"result.44","0.0664783056951426","0.253341515790783","0.159","-0.046","0.106","0.069"
"result.45","0.000445705091515526","0.00659784334424152","0.351","-0.17","0.106","0.069"
"result.46","0.236349981544983","0.413425926270726","0.076","-0.015","0.106","0.069"
"result.47","0.120312373569069","0.222501526762847","0.124","-0.052","0.106","0.069"
"result.48","0.0182115960826392","0.142435110018761","0.223","-0.072","0.106","0.068"
"result.49","0.0619797992826664","0.146326944849767","0.163","-0.072","0.106","0.069"
"result.50","0.000187427857730952","0.0204726660403615","0.376","-0.14","0.106","0.069"
"result.51","0.0184032145684223","0.0377380651413244","0.22","-0.122","0.105","0.069"
"result.52","0.0618956537185197","0.578135626777487","0.162","0.014","0.105","0.07"
"result.53","0.0182129119764475","0.068025439455175","0.222","-0.101","0.106","0.068"
"result.54","0.00644487444109897","0.122005781988619","0.262","-0.08","0.105","0.069"
"result.55","0.072692735878392","0.229652893751073","0.155","-0.05","0.106","0.068"
"result.56","0.0277318303998685","0.3442052736292","0.207","-0.026","0.108","0.066"
"result.57","0.000414007230571283","0.0252068164900975","0.355","-0.133","0.107","0.068"
"result.58","0.000473367749961984","0.00699573871694092","0.348","-0.172","0.105","0.07"
