"","post_prob_death_BM","post_prob_extubation_surv","trt_death_BM","trt_extubation_surv","sd_death_BM","sd_extubation_surv"
"result.1",0.988463496849242,0.963344565231589,-0.25,0.117,0.11,0.066
"result.2",0.998325460241873,0.97176145633999,-0.322,0.124,0.11,0.065
"result.3",0.980407534855046,0.988767774703736,-0.226,0.15,0.11,0.066
"result.4",0.999813550377737,0.999376286259839,-0.388,0.214,0.11,0.067
"result.5",0.994822637360063,0.996636838243445,-0.282,0.176,0.11,0.065
"result.6",0.999995774777537,0.999630771155659,-0.457,0.221,0.11,0.066
"result.7",0.999755977442127,0.999227871526812,-0.385,0.207,0.111,0.066
"result.8",0.976827460021643,0.843580160120231,-0.216,0.067,0.109,0.066
"result.9",1,0.999976041902099,-0.534,0.261,0.113,0.066
"result.10",1,0.999999810027735,-0.512,0.345,0.11,0.067
"result.11",0.993904228975503,0.900558598606499,-0.277,0.084,0.111,0.066
"result.12",0.998249873688659,0.968102045481591,-0.321,0.121,0.11,0.065
"result.13",0.98419681898118,0.912976242252655,-0.236,0.089,0.11,0.065
"result.14",0.960700618791217,0.765519485376945,-0.194,0.047,0.11,0.065
"result.15",0.996092507288997,0.992968762661509,-0.287,0.164,0.108,0.067
"result.16",0.96480186111452,0.978586214814845,-0.199,0.132,0.11,0.065
"result.17",0.999838420109726,0.993754126686853,-0.397,0.162,0.111,0.065
"result.18",0.99997739762825,0.999081319443309,-0.434,0.206,0.109,0.066
"result.19",1,0.999835309224311,-0.468,0.238,0.109,0.067
"result.20",0.99999988249269,0.999651717931361,-0.474,0.219,0.112,0.065
"result.21",0.999746500818475,0.992052453449034,-0.38,0.158,0.11,0.066
"result.22",0.995055209912034,0.977351321928482,-0.28,0.132,0.109,0.066
"result.23",0.968196010420748,0.988335983958724,-0.204,0.149,0.11,0.066
"result.24",1,0.999999810216557,-0.479,0.279,0.111,0.066
"result.25",0.997805528466377,0.985121795029546,-0.32,0.14,0.113,0.064
"result.26",0.934528838826791,0.891710030647478,-0.166,0.081,0.11,0.066
"result.27",0.999987722092229,0.999193947020035,-0.458,0.203,0.113,0.064
"result.28",0.999766574696806,0.910812875998602,-0.388,0.087,0.112,0.065
"result.29",0.735859077220345,0.673809268676417,-0.068,0.03,0.108,0.067
"result.30",0.994682479944185,0.974515431174682,-0.278,0.128,0.109,0.066
"result.31",1,0.999639410428193,-0.481,0.22,0.111,0.065
"result.32",0.903733112258555,0.966434807967183,-0.144,0.118,0.111,0.064
"result.33",0.607828171861945,0.589616631032884,-0.029,0.015,0.109,0.066
"result.34",0.999949638813028,0.99932205152094,-0.422,0.21,0.11,0.066
"result.35",0.845012803144745,0.597463506647694,-0.11,0.016,0.108,0.066
"result.36",0.999829907096199,0.934171402838039,-0.387,0.1,0.109,0.066
"result.37",0.999859074814023,0.989578470580434,-0.392,0.152,0.109,0.066
"result.38",0.999890369518306,0.999614802590436,-0.402,0.221,0.11,0.066
"result.39",0.671135855078055,0.416891396731192,-0.048,-0.014,0.109,0.066
"result.40",0.999975501074985,0.998985692175019,-0.437,0.202,0.111,0.065
"result.41",0.995984153628753,0.980684328836612,-0.292,0.136,0.111,0.066
"result.42",0.999431583295076,0.99864783014264,-0.355,0.197,0.11,0.066
"result.43",0.80294754989244,0.587676380214163,-0.092,0.015,0.109,0.066
"result.44",0.998944275326714,0.994211086763289,-0.335,0.166,0.109,0.066
"result.45",0.960311332712368,0.813695777003256,-0.192,0.059,0.11,0.066
"result.46",0.999994886120141,0.998099888779203,-0.458,0.19,0.11,0.066
"result.47",0.999597267272379,0.995499771450916,-0.366,0.171,0.11,0.066
"result.48",0.989598147651033,0.97276477977319,-0.254,0.126,0.11,0.065
"result.49",0.999574866736994,0.980557693471819,-0.365,0.136,0.11,0.066
"result.50",0.989949744069252,0.983375423579293,-0.258,0.139,0.111,0.065
"result.51",0.999029525152203,0.96437918221481,-0.338,0.119,0.109,0.066
"result.52",0.999831211046055,0.999835079055351,-0.387,0.239,0.109,0.067
"result.53",0.995258580109091,0.943468979562244,-0.284,0.104,0.11,0.066
"result.54",0.999066943540228,0.992102007689046,-0.341,0.159,0.11,0.066
"result.55",0.974669375452851,0.913490944708259,-0.213,0.09,0.109,0.066
"result.56",0.995248367976226,0.931764293818462,-0.292,0.096,0.113,0.064
"result.57",0.591824406807379,0.462139955222981,-0.025,-0.006,0.109,0.066
"result.58",0.912229943148767,0.942968992954368,-0.147,0.105,0.108,0.067
"result.59",0.978655238671803,0.959502523998138,-0.222,0.114,0.11,0.065
"result.60",0.981383818560607,0.992285902798047,-0.228,0.159,0.11,0.066
"result.61",0.974414221254498,0.888695517985466,-0.216,0.079,0.111,0.065
"result.62",1,0.999999809307353,-0.501,0.351,0.112,0.065
"result.63",0.999912781712334,0.9991258943403,-0.411,0.203,0.111,0.065
"result.64",0.966017427719384,0.940640118543526,-0.198,0.104,0.109,0.066
"result.65",0.999370929128702,0.998893663336727,-0.351,0.203,0.109,0.066
"result.66",0.985872917732645,0.961831221240081,-0.239,0.118,0.109,0.067
"result.67",1,0.999877534187654,-0.494,0.24,0.11,0.066
"result.68",0.988313603776069,0.952065831378968,-0.249,0.109,0.11,0.066
"result.69",0.985559795378152,0.959742728401354,-0.241,0.114,0.111,0.065
"result.70",0.99919030511099,0.9995840359761,-0.343,0.221,0.109,0.066
"result.71",0.921422015700557,0.946359071850816,-0.156,0.105,0.11,0.065
"result.72",0.999478312608186,0.995460894274947,-0.359,0.171,0.11,0.066
"result.73",0.997313787747751,0.99837808032182,-0.308,0.192,0.111,0.065
"result.74",0.98356521754026,0.914777693561226,-0.231,0.091,0.109,0.066
"result.75",0.878429321099996,0.915936194609938,-0.127,0.092,0.109,0.066
"result.76",0.998246481783934,0.999011922522533,-0.324,0.2,0.112,0.065
"result.77",0.998648400791558,0.999891293731264,-0.328,0.241,0.11,0.066
"result.78",0.999890290909474,0.999474432588939,-0.406,0.212,0.111,0.065
"result.79",0.996552882289282,0.974549111747691,-0.299,0.126,0.111,0.065
"result.80",0.98312069438552,0.745510991072322,-0.233,0.044,0.11,0.066
"result.81",0.995616357691011,0.999697487862273,-0.285,0.227,0.109,0.066
"result.82",0.995084609840759,0.995783619853718,-0.28,0.174,0.109,0.066
"result.83",0.998745340756551,0.966308699480554,-0.336,0.119,0.112,0.065
"result.84",0.995861192912424,0.997311586670038,-0.289,0.183,0.11,0.066
"result.85",0.999800636437236,0.999736585320555,-0.386,0.229,0.11,0.066
"result.86",0.895787273866685,0.865701715102188,-0.14,0.072,0.111,0.065
"result.87",0.981264271342104,0.900841464326051,-0.228,0.084,0.11,0.065
"result.88",0.960573864504665,0.968171365538828,-0.191,0.122,0.109,0.066
"result.89",0.996408306288128,0.923440336077919,-0.294,0.094,0.11,0.065
"result.90",0.99570807511914,0.974892157173188,-0.289,0.127,0.11,0.065
"result.91",0.916878634077805,0.794923577395489,-0.155,0.053,0.112,0.064
"result.92",0.79293636392565,0.860651859871667,-0.089,0.072,0.109,0.067
"result.93",0.876247899286905,0.704460406749138,-0.126,0.036,0.109,0.066
"result.94",0.932665976134527,0.916408389604912,-0.165,0.091,0.11,0.066
"result.95",0.930039103385974,0.960994256513636,-0.161,0.115,0.109,0.065
"result.96",0.998589780462485,0.99238652213613,-0.328,0.158,0.11,0.065
"result.97",0.992182144089903,0.996394498294104,-0.261,0.18,0.108,0.067
"result.98",0.982230992325141,0.979194948417478,-0.23,0.133,0.11,0.065
"result.99",0.999056557873592,0.980238669396211,-0.335,0.137,0.108,0.067
"result.100",0.994877234304136,0.978559380633768,-0.282,0.133,0.11,0.065
"result.101",0.958367970807444,0.993686010468263,-0.189,0.163,0.109,0.066
"result.102",0.999770179697944,0.979441308272224,-0.378,0.137,0.109,0.067
"result.103",0.941288644022451,0.888059975652433,-0.172,0.079,0.11,0.065
"result.104",0.994006798157307,0.968421490752985,-0.272,0.124,0.109,0.067
