"","post_prob_death_BM","post_prob_extubation_surv","trt_death_BM","trt_extubation_surv","sd_death_BM","sd_extubation_surv"
"result.1","0.00012222452940214","0.000212807443639385","0.385","-0.244","0.106","0.07"
"result.2","0.166591211959243","0.0619581960873427","0.103","-0.104","0.107","0.068"
"result.3","0.000517385420902608","0.00272818377543305","0.347","-0.192","0.106","0.069"
"result.4","0.174111640016989","0.329400215837737","0.099","-0.03","0.106","0.069"
"result.5","0.029273640437681","0.0702971095268369","0.201","-0.1","0.106","0.068"
"result.6","0.28983613870108","0.109492590498204","0.059","-0.085","0.105","0.069"
"result.7","0.11430808740189","0.165332225405766","0.128","-0.067","0.106","0.069"
"result.8","0.0163713697064317","0.00967325196411573","0.226","-0.162","0.106","0.069"
"result.9","0.355273004965398","0.486822748600318","0.04","-0.002","0.107","0.068"
"result.10","0.162977981401081","0.547608881003211","0.103","0.009","0.105","0.07"
"result.11","0.0340146916685513","0.0124376867836791","0.195","-0.153","0.107","0.068"
"result.12","0.00347842937557214","0.00116545811835944","0.285","-0.21","0.106","0.069"
"result.13","0.000946086430281487","0.000177811488289992","0.329","-0.244","0.106","0.069"
"result.14","0.000474941247320824","0.000325844066693337","0.35","-0.233","0.106","0.069"
"result.15","0.0210864542716471","0.0307161193984913","0.214","-0.131","0.105","0.07"
"result.16","0.00025951730868203","0.001236452022913","0.367","-0.208","0.106","0.069"
"result.17","0.377557223254974","0.162733903098796","0.034","-0.066","0.107","0.067"
"result.18","0.202345027746658","0.0884199117868508","0.088","-0.094","0.105","0.07"
"result.19","0.101759003899815","0.038590762427244","0.133","-0.124","0.105","0.07"
"result.20","0.0684159138529658","0.0106666902459753","0.158","-0.158","0.106","0.069"
"result.21","0.0528170152748025","0.0171801968171504","0.171","-0.145","0.106","0.069"
"result.22","0.165163868437635","0.196460186750996","0.103","-0.058","0.106","0.068"
"result.23","0.00254326599363417","0.0293408802987545","0.297","-0.13","0.106","0.069"
"result.24","0.147702097341896","0.127478859753033","0.111","-0.079","0.106","0.069"
"result.25","0.0454251878107744","0.0198043613056388","0.183","-0.138","0.108","0.067"
"result.26","0.00196956186729774","0.00275086820965031","0.307","-0.19","0.106","0.069"
"result.27","0.166362218655582","0.197120765039475","0.104","-0.057","0.107","0.067"
"result.28","0.385963592004822","0.0204923785798995","0.031","-0.137","0.107","0.067"
"result.29","5.4466975046383e-05","0.000113857891385516","0.402","-0.255","0.105","0.07"
