"","post_prob_death_BM","post_prob_extubation_surv","trt_death_BM","trt_extubation_surv","sd_death_BM","sd_extubation_surv"
"result.1",0.988463496849242,0.341468987917437,-0.25,-0.027,0.11,0.065
"result.2",0.998325460241873,0.00212317128391315,-0.322,-0.188,0.11,0.066
"result.3",0.980407534855046,0.492574051112705,-0.226,-0.001,0.11,0.066
"result.4",0.999813550377737,0.755726515225397,-0.388,0.046,0.11,0.066
"result.5",0.994822637360063,0.484533750182528,-0.282,-0.002,0.11,0.065
"result.6",0.999995774777537,0.0557534293892625,-0.457,-0.105,0.11,0.066
"result.7",0.999755977442127,0.379518331734218,-0.385,-0.02,0.111,0.066
"result.8",0.976827460021643,0.013089460372148,-0.216,-0.148,0.109,0.067
"result.9",1,0.955238236599231,-0.534,0.111,0.113,0.065
"result.10",1,0.609990502995392,-0.512,0.019,0.11,0.067
"result.11",0.993904228975503,0.268949894137776,-0.277,-0.04,0.111,0.065
"result.12",0.998249873688659,0.12841592131739,-0.321,-0.074,0.11,0.065
"result.13",0.98419681898118,0.0275400508643885,-0.236,-0.126,0.11,0.066
"result.14",0.960700618791217,0.220796017327065,-0.194,-0.05,0.11,0.065
"result.15",0.996092507288997,0.54811743876021,-0.287,0.008,0.108,0.067
"result.16",0.96480186111452,0.139668586595007,-0.199,-0.071,0.11,0.065
"result.17",0.999838420109726,0.00749685414836121,-0.397,-0.159,0.111,0.065
"result.18",0.99997739762825,0.143197114086838,-0.434,-0.071,0.109,0.067
"result.19",1,0.590047323535685,-0.468,0.015,0.109,0.066
"result.20",0.99999988249269,0.0235236309667102,-0.474,-0.13,0.112,0.065
"result.21",0.999746500818475,0.0389197676127464,-0.38,-0.116,0.11,0.066
"result.22",0.995055209912034,0.536413520098919,-0.28,0.006,0.109,0.066
"result.23",0.968196010420748,0.156431218397314,-0.204,-0.067,0.11,0.066
"result.24",1,0.196654466621955,-0.479,-0.056,0.111,0.066
"result.25",0.997805528466377,0.0244929558132271,-0.32,-0.128,0.113,0.065
"result.26",0.934528838826791,0.0897736730376367,-0.166,-0.088,0.11,0.066
"result.27",0.999987722092229,0.0658627737574766,-0.458,-0.098,0.113,0.065
"result.28",0.999766574696806,0.001393203460895,-0.388,-0.194,0.112,0.065
"result.29",0.735859077220345,0.432011322158876,-0.068,-0.011,0.108,0.066
"result.30",0.994682479944185,0.00230977527445275,-0.278,-0.187,0.109,0.066
"result.31",1,0.0165016140020389,-0.481,-0.14,0.111,0.066
"result.32",0.903733112258555,0.0264991663184638,-0.144,-0.126,0.111,0.065
"result.33",0.607828171861945,0.287655577286567,-0.029,-0.037,0.109,0.066
"result.34",0.999949638813028,0.226595181206915,-0.422,-0.049,0.11,0.066
"result.35",0.845012803144745,0.0253501096300652,-0.11,-0.129,0.108,0.066
"result.36",0.999829907096199,0.0328671241262712,-0.387,-0.122,0.109,0.066
"result.37",0.999859074814023,0.0126902193547259,-0.392,-0.148,0.109,0.066
"result.38",0.999890369518306,0.412587604921487,-0.402,-0.014,0.11,0.066
"result.39",0.671135855078055,0.0928866046208299,-0.048,-0.087,0.109,0.066
"result.40",0.999975501074985,0.0712853764958891,-0.437,-0.096,0.111,0.066
"result.41",0.995984153628753,0.126607644598965,-0.292,-0.075,0.111,0.066
"result.42",0.999431583295076,0.0987734856586404,-0.355,-0.085,0.11,0.066
"result.43",0.80294754989244,0.114187500106818,-0.092,-0.08,0.109,0.066
"result.44",0.998944275326714,0.0659093057061177,-0.335,-0.1,0.109,0.066
"result.45",0.960311332712368,0.255776072987008,-0.192,-0.043,0.11,0.066
"result.46",0.999994886120141,0.596401279657698,-0.458,0.016,0.11,0.066
"result.47",0.999597267272379,0.0702049420406797,-0.366,-0.098,0.11,0.066
"result.48",0.989598147651033,0.184422758773983,-0.254,-0.059,0.11,0.065
"result.49",0.999574866736994,0.163750109081796,-0.365,-0.064,0.11,0.066
"result.50",0.989949744069252,0.263059062327797,-0.258,-0.041,0.111,0.065
"result.51",0.999029525152203,0.0195385477913049,-0.338,-0.136,0.109,0.066
"result.52",0.999831211046055,0.563178448581687,-0.387,0.011,0.109,0.067
"result.53",0.995258580109091,0.0268609592699929,-0.284,-0.126,0.11,0.065
"result.54",0.999066943540228,0.698966482488276,-0.341,0.034,0.11,0.066
"result.55",0.974669375452851,0.0454864871267499,-0.213,-0.111,0.109,0.066
"result.56",0.995248367976226,0.195738082148166,-0.292,-0.055,0.113,0.064
"result.57",0.591824406807379,0.0469736239089737,-0.025,-0.111,0.109,0.066
"result.58",0.912229943148767,0.753963747196123,-0.147,0.046,0.108,0.067
"result.59",0.978655238671803,0.115644086283063,-0.222,-0.078,0.11,0.066
"result.60",0.981383818560607,0.0833790196665496,-0.228,-0.091,0.11,0.066
"result.61",0.974414221254498,0.0592391868171581,-0.216,-0.101,0.111,0.065
"result.62",1,0.813039241603716,-0.501,0.059,0.112,0.066
"result.63",0.999912781712334,0.0154520158835192,-0.411,-0.142,0.111,0.066
"result.64",0.966017427719384,0.207745876158295,-0.198,-0.054,0.109,0.067
"result.65",0.999370929128702,0.210124275739674,-0.351,-0.054,0.109,0.067
"result.66",0.985872917732645,0.904309365514268,-0.239,0.087,0.109,0.066
"result.67",1,0.124449929852598,-0.494,-0.076,0.11,0.066
"result.68",0.988313603776069,0.271918008481086,-0.249,-0.04,0.11,0.066
"result.69",0.985559795378152,0.0884588319152483,-0.241,-0.088,0.111,0.065
"result.70",0.99919030511099,0.0789659633039106,-0.343,-0.094,0.109,0.067
"result.71",0.921422015700557,0.632853444979802,-0.156,0.022,0.11,0.065
"result.72",0.999478312608186,0.236292948780444,-0.359,-0.047,0.11,0.066
"result.73",0.997313787747751,0.65781879256357,-0.308,0.027,0.111,0.066
"result.74",0.98356521754026,0.00241625775400378,-0.231,-0.189,0.109,0.067
"result.75",0.878429321099996,0.564425598440042,-0.127,0.011,0.109,0.067
"result.76",0.998246481783934,0.654387066503142,-0.324,0.026,0.112,0.065
"result.77",0.998648400791558,0.216627577358429,-0.328,-0.052,0.11,0.067
"result.78",0.999890290909474,0.106215786260769,-0.406,-0.081,0.111,0.065
"result.79",0.996552882289282,0.0168726200279483,-0.299,-0.138,0.111,0.065
"result.80",0.98312069438552,0.0581256351555897,-0.233,-0.103,0.11,0.066
"result.81",0.995616357691011,0.610285773243074,-0.285,0.019,0.109,0.067
"result.82",0.995084609840759,0.0663947380780096,-0.28,-0.1,0.109,0.067
"result.83",0.998745340756551,0.56417773041448,-0.336,0.011,0.112,0.064
"result.84",0.995861192912424,0.488243473162929,-0.289,-0.002,0.11,0.066
"result.85",0.999800636437236,0.617430292334454,-0.386,0.02,0.11,0.067
"result.86",0.895787273866685,0.893619813393724,-0.14,0.081,0.111,0.065
"result.87",0.981264271342104,0.0404744770464195,-0.228,-0.115,0.11,0.066
"result.88",0.960573864504665,0.237561411493803,-0.191,-0.047,0.109,0.066
"result.89",0.996408306288128,0.0153072654204781,-0.294,-0.141,0.11,0.065
"result.90",0.99570807511914,0.00209991751883731,-0.289,-0.188,0.11,0.066
"result.91",0.916878634077805,0.0210771453984306,-0.155,-0.131,0.112,0.065
"result.92",0.79293636392565,0.646470352284738,-0.089,0.025,0.109,0.067
"result.93",0.876247899286905,0.24619226542449,-0.126,-0.045,0.109,0.066
"result.94",0.932665976134527,0.167100303582199,-0.165,-0.063,0.11,0.066
"result.95",0.930039103385974,0.0434048182221252,-0.161,-0.113,0.109,0.066
"result.96",0.998589780462485,0.0236401344854116,-0.328,-0.131,0.11,0.066
"result.97",0.992182144089903,0.324277720175651,-0.261,-0.03,0.108,0.067
"result.98",0.982230992325141,0.0570171103092169,-0.23,-0.104,0.11,0.066
"result.99",0.999056557873592,0.0088933597462304,-0.335,-0.159,0.108,0.067
"result.100",0.994877234304136,0.112522184677759,-0.282,-0.079,0.11,0.066
"result.101",0.958367970807444,0.0147364843464999,-0.189,-0.144,0.109,0.066
"result.102",0.999770179697944,0.439245707263349,-0.378,-0.01,0.109,0.067
"result.103",0.941288644022451,0.118080787617122,-0.172,-0.077,0.11,0.065
"result.104",0.994006798157307,0.072619381176227,-0.272,-0.097,0.109,0.067
"result.105",0.943498476393581,0.0376048900187589,-0.172,-0.118,0.108,0.066
"result.106",0.998710972127573,0.131776896346561,-0.331,-0.073,0.11,0.066
"result.107",0.992633340931858,0.0575305652924323,-0.267,-0.103,0.11,0.066
"result.108",0.999058236743031,0.0287478570011344,-0.339,-0.125,0.11,0.066
"result.109",0.996289158854772,0.605641098526831,-0.296,0.018,0.111,0.065
"result.110",0.999480962904302,0.31138081158059,-0.365,-0.032,0.112,0.065
"result.111",0.993201423088383,0.167862957923765,-0.269,-0.063,0.11,0.066
"result.112",0.99785630138082,0.030527611950993,-0.316,-0.122,0.111,0.065
"result.113",0.98212399711751,0.018749413641753,-0.23,-0.136,0.11,0.065
"result.114",0.983633140937891,0.312400427855206,-0.241,-0.031,0.113,0.064
"result.115",0.999961649631903,0.102794778302385,-0.431,-0.082,0.111,0.065
"result.116",0.995072957940222,0.0104197998474577,-0.281,-0.154,0.109,0.067
"result.117",0.999699308542916,0.3457615510879,-0.371,-0.026,0.109,0.066
"result.118",0.997192312126403,0.0328456824186281,-0.303,-0.12,0.11,0.065
"result.119",0.983776886756433,0.628163136888473,-0.234,0.022,0.11,0.065
"result.120",0.98973550996287,0.0759068173208164,-0.259,-0.093,0.112,0.065
"result.121",0.999923678942709,0.207827707517406,-0.416,-0.053,0.111,0.065
"result.122",0.966585313703555,0.123060445084567,-0.2,-0.076,0.109,0.066
"result.123",0.899396920418287,0.34999975677649,-0.142,-0.025,0.111,0.065
"result.124",0.999999769892286,0.0906645749138465,-0.466,-0.089,0.11,0.067
"result.125",0.995054226846845,0.00678651363853855,-0.283,-0.162,0.11,0.066
"result.126",0.999998520416473,0.129731545238481,-0.47,-0.074,0.112,0.065
"result.127",1,0.36234944228171,-0.476,-0.023,0.111,0.066
"result.128",0.999962197789752,0.297249665976543,-0.428,-0.035,0.11,0.066
"result.129",0.995019958585928,0.0328566842515857,-0.283,-0.121,0.11,0.066
"result.130",0.82719590849276,0.0955636861062519,-0.104,-0.084,0.111,0.065
"result.131",0.999619679036373,0.00671453861777394,-0.365,-0.166,0.109,0.067
"result.132",0.990831812776342,0.103800582190377,-0.255,-0.083,0.109,0.066
"result.133",0.999882110904912,0.0935397834280975,-0.404,-0.086,0.111,0.065
"result.134",0.998324721601696,0.0173339325725597,-0.327,-0.136,0.112,0.065
"result.135",0.98360615710296,0.162474300310731,-0.234,-0.065,0.11,0.066
"result.136",0.996201939875154,0.146791005766867,-0.293,-0.069,0.11,0.066
"result.137",0.999235149716802,0.283671441908828,-0.35,-0.037,0.111,0.065
"result.138",0.961158497482894,0.0529660252357751,-0.192,-0.107,0.109,0.066
"result.139",0.923172218555215,0.296564726204072,-0.158,-0.035,0.111,0.065
"result.140",0.997504787424085,0.110139185092976,-0.31,-0.08,0.111,0.065
