"","post_prob_death_BM","post_prob_extubation_surv","trt_death_BM","trt_extubation_surv","sd_death_BM","sd_extubation_surv"
"result.1",0.121543068575383,0.786338744032804,0.125,0.054,0.107,0.067
"result.2",0.866620212770307,0.0534330229462123,-0.12,-0.107,0.108,0.067
"result.3",0.187269452997074,0.799163903795655,0.096,0.057,0.107,0.067
"result.4",0.816861302286658,0.969054548951214,-0.097,0.126,0.107,0.068
"result.5",0.686286907415992,0.689483402581684,-0.052,0.033,0.108,0.067
"result.6",0.902902598493558,0.0569803338360164,-0.138,-0.107,0.107,0.068
"result.7",0.813244641736024,0.965006132906207,-0.096,0.121,0.108,0.067
"result.8",0.438087209262824,0.50299400828562,0.017,0.001,0.107,0.068
"result.9",0.992003536587603,0.997707115032258,-0.263,0.187,0.109,0.066
"result.10",0.936118857996653,0.981462452760717,-0.162,0.143,0.106,0.069
"result.11",0.365343369895654,0.429374844818438,0.037,-0.012,0.108,0.067
"result.12",0.356064430223749,0.138857219092966,0.04,-0.073,0.107,0.068
"result.13",0.326302033441802,0.289620316268435,0.049,-0.037,0.108,0.067
"result.14",0.185438922627614,0.716111195262157,0.097,0.038,0.108,0.066
"result.15",0.328159707744596,0.674048781706945,0.047,0.031,0.106,0.068
"result.16",0.284736466054519,0.58979006177601,0.061,0.015,0.108,0.067
"result.17",0.919896314429206,0.0459498191389304,-0.152,-0.112,0.109,0.066
"result.18",0.937463628063615,0.182442880039258,-0.163,-0.062,0.107,0.068
"result.19",0.866404003721105,0.616878833883502,-0.118,0.02,0.106,0.068
"result.20",0.86031074179162,0.0340969535313987,-0.116,-0.122,0.108,0.067
"result.21",0.777138722024553,0.291732986529463,-0.082,-0.037,0.107,0.067
"result.22",0.655882764849342,0.594974025518601,-0.043,0.016,0.107,0.067
"result.23",0.170802063958463,0.745020315982421,0.102,0.045,0.107,0.067
"result.24",0.925132131097143,0.511235749843855,-0.155,0.002,0.108,0.068
"result.25",0.455517665296323,0.388612759749833,0.012,-0.019,0.109,0.066
"result.26",0.235938817406701,0.345198937816409,0.078,-0.027,0.108,0.067
"result.27",0.916115812779644,0.644211684600772,-0.15,0.024,0.109,0.066
"result.28",0.95025790121644,0.0385278052801566,-0.18,-0.116,0.109,0.066
"result.29",0.0420206445121786,0.312327282805828,0.183,-0.033,0.106,0.068
"result.30",0.58762633439292,0.523048577391664,-0.024,0.004,0.107,0.067
"result.31",0.983651214070151,0.288983964609936,-0.231,-0.037,0.108,0.067
"result.32",0.0425486087562005,0.481640403239011,0.186,-0.003,0.108,0.067
"result.33",0.0272574012288267,0.807598160849386,0.206,0.059,0.107,0.068
"result.34",0.697970271562503,0.129073397152321,-0.055,-0.077,0.107,0.068
"result.35",0.0421301395147994,0.058176985733938,0.184,-0.107,0.106,0.068
"result.36",0.832997673382741,0.0859980657639683,-0.103,-0.093,0.106,0.068
"result.37",0.904978246269509,0.266998010804463,-0.139,-0.042,0.107,0.067
"result.38",0.939645502911142,0.833710722731153,-0.167,0.065,0.108,0.067
"result.39",0.0513829524538547,0.207626930333539,0.175,-0.055,0.107,0.068
"result.40",0.894365829066793,0.629682274215541,-0.134,0.022,0.107,0.067
"result.41",0.624702174706918,0.901331236331957,-0.034,0.086,0.108,0.067
"result.42",0.525311911636051,0.603692197631877,-0.007,0.018,0.107,0.067
"result.43",0.147168684508274,0.339045765969311,0.113,-0.028,0.107,0.068
"result.44",0.728218348009515,0.539986660113776,-0.065,0.007,0.107,0.067
"result.45",0.269970445589364,0.352991731597808,0.066,-0.025,0.107,0.067
"result.46",0.821096755184222,0.496441228796166,-0.098,0,0.107,0.068
"result.47",0.818790630578146,0.328337457704357,-0.098,-0.03,0.107,0.067
"result.48",0.401576140967452,0.331300254666982,0.027,-0.029,0.108,0.067
"result.49",0.593714624236829,0.176923081674846,-0.025,-0.063,0.107,0.068
"result.50",0.201589506410591,0.525559898733511,0.09,0.004,0.108,0.067
"result.51",0.584002443863955,0.21547669281093,-0.022,-0.053,0.107,0.067
"result.52",0.681246670118322,0.6109193602109,-0.05,0.02,0.106,0.069
"result.53",0.60202260131189,0.245065881255095,-0.027,-0.046,0.108,0.067
"result.54",0.537694655697783,0.533238546438515,-0.01,0.006,0.107,0.068
"result.55",0.285540312395653,0.187057014039743,0.061,-0.06,0.107,0.067
"result.56",0.449964934549811,0.644362372983117,0.014,0.024,0.109,0.065
"result.57",0.0470433915466917,0.446680412936764,0.18,-0.009,0.107,0.067
"result.58",0.060543857939131,0.580664520486744,0.165,0.014,0.106,0.069
"result.59",0.0849359361022867,0.178784319444429,0.147,-0.062,0.107,0.068
"result.60",0.366121555208152,0.686315254947641,0.037,0.033,0.107,0.067
"result.61",0.223537924219339,0.65462783234138,0.083,0.026,0.108,0.066
"result.62",0.978747101265975,0.951521998912376,-0.22,0.111,0.109,0.067
"result.63",0.838504439776196,0.400504267081633,-0.106,-0.017,0.108,0.067
"result.64",0.351265444919004,0.709372353318733,0.041,0.038,0.107,0.068
"result.65",0.878039094662149,0.823605920951428,-0.125,0.063,0.107,0.068
"result.66",0.137156290212023,0.890873096704708,0.117,0.085,0.106,0.069
"result.67",0.98391281760195,0.273304813555528,-0.23,-0.04,0.107,0.067
"result.68",0.385675067819439,0.540559870541658,0.032,0.007,0.108,0.067
"result.69",0.246622310107701,0.575662180561614,0.074,0.013,0.108,0.067
"result.70",0.548051302860786,0.557251961475453,-0.013,0.01,0.106,0.069
"result.71",0.160211150851287,0.628364266532467,0.108,0.022,0.108,0.067
"result.72",0.745599283090236,0.361350866085106,-0.071,-0.024,0.107,0.067
"result.73",0.682119665176058,0.973586793659024,-0.051,0.129,0.108,0.067
"result.74",0.30291766811713,0.276982249827795,0.055,-0.04,0.106,0.068
"result.75",0.0272109347448753,0.934466730105029,0.205,0.103,0.107,0.068
"result.76",0.660301131771889,0.627860124924105,-0.045,0.022,0.108,0.066
"result.77",0.546615560357945,0.913744290860329,-0.012,0.092,0.107,0.068
"result.78",0.736565781861885,0.649451660295756,-0.068,0.026,0.107,0.067
"result.79",0.255349387681457,0.268109879275329,0.071,-0.041,0.108,0.067
"result.80",0.378385308601707,0.767443263974878,0.034,0.049,0.108,0.066
"result.81",0.446387408357738,0.890508734124484,0.015,0.084,0.106,0.068
"result.82",0.781219972903751,0.845498198878989,-0.083,0.068,0.107,0.067
"result.83",0.74140420583013,0.541281165746699,-0.07,0.007,0.109,0.066
"result.84",0.322813573917883,0.932383721774865,0.049,0.101,0.107,0.067
"result.85",0.826355713256895,0.732472721309854,-0.1,0.043,0.107,0.068
"result.86",0.0125352249831021,0.922524222395866,0.242,0.096,0.108,0.067
"result.87",0.243403185097164,0.615974831532333,0.075,0.02,0.107,0.067
"result.88",0.336591310615317,0.656954892931223,0.045,0.027,0.107,0.067
"result.89",0.597580997862492,0.204214628875429,-0.026,-0.055,0.107,0.067
"result.90",0.436885967951152,0.11162105729032,0.017,-0.081,0.107,0.067
"result.91",0.272773511063072,0.697041367448171,0.067,0.034,0.11,0.065
"result.92",0.160926626704893,0.927505968115171,0.106,0.099,0.107,0.068
"result.93",0.0581292126752031,0.092532243431983,0.168,-0.09,0.107,0.068
"result.94",0.0829603835711008,0.876997445527729,0.149,0.078,0.107,0.067
"result.95",0.269278224676689,0.76510635334464,0.066,0.049,0.107,0.067
"result.96",0.358020765342835,0.13915213177831,0.039,-0.073,0.107,0.067
"result.97",0.590717708686024,0.598036467754886,-0.024,0.017,0.106,0.069
"result.98",0.436409790210442,0.730902209336657,0.018,0.041,0.107,0.067
"result.99",0.674394859012311,0.0997254767523299,-0.048,-0.088,0.106,0.069
"result.100",0.647285252743829,0.673726784084326,-0.041,0.03,0.108,0.067
"result.101",0.273871653561084,0.735895908978615,0.065,0.042,0.107,0.067
"result.102",0.958404379698707,0.76289981593505,-0.185,0.049,0.107,0.068
"result.103",0.0951421646987455,0.226430055109835,0.141,-0.05,0.107,0.067
"result.104",0.612550504565525,0.342879646320584,-0.03,-0.027,0.107,0.068
"result.105",0.284939719667313,0.0147515536720161,0.061,-0.148,0.107,0.068
"result.106",0.546969493037719,0.710445462586155,-0.013,0.037,0.107,0.067
"result.107",0.408306562883987,0.421305156614981,0.025,-0.013,0.107,0.067
"result.108",0.769521207149738,0.116852866760744,-0.079,-0.08,0.107,0.067
"result.109",0.506454383103984,0.464679298635188,-0.001,-0.006,0.108,0.067
"result.110",0.793689086675924,0.277848017466623,-0.089,-0.039,0.109,0.066
"result.111",0.643505622495117,0.539745669201887,-0.039,0.007,0.107,0.067
"result.112",0.772848453561346,0.213481301740422,-0.081,-0.052,0.108,0.066
