"","V1","V2","V3"
"result.1","No","0.0982560709938631","0.577725574439254"
"result.2","No","0.312272038820738","0.215026294945805"
"result.3","Yes","0.0461568934150308","0.735221747183125"
"result.4","No","0.702114086687766","-0.229160999909332"
"result.5","No","0.327324112870978","0.195113235756864"
"result.6","No","0.233959729997458","0.316666785594508"
"result.7","Yes","0.0382682508676711","0.783499288762446"
"result.8","Yes","0.0162632276455901","0.939968280835509"
"result.9","No","0.0779273980295299","0.619415832005464"
"result.10","No","0.0773681473257886","0.63041472032206"
"result.11","No","0.134600450644775","0.493247807937648"
"result.12","Yes","0.0207725322670207","0.894274444497819"
"result.13","No","0.360642362075666","0.155903034789045"
"result.14","No","0.853130742898701","-0.462673382299512"
"result.15","Yes","0.00925121756930384","1.048"
"result.16","Yes","0.0050942906049455","1.13968261881319"
"result.17","No","0.316396230021875","0.208432370546436"
"result.18","No","0.398060088797355","0.114984065558843"
"result.19","Yes","0.000743854111698183","1.40574554819616"
"result.20","No","0.652825528191269","-0.171848443689065"
"result.21","Yes","4.21093557682839e-05","1.72936369503875"
"result.22","No","0.550133992593016","-0.0553973508166852"
"result.23","No","0.423468471034335","0.0850744490344653"
"result.24","Yes","0.0373541447785052","0.805283757338552"
"result.25","Yes","0.0112805453703143","1.00038097543955"
"result.26","No","0.0991329938720986","0.570519203413939"
"result.27","No","0.304271270341026","0.226073722165722"
"result.28","No","0.365223542162086","0.150998013230884"
"result.29","No","0.112470866937143","0.534340532352921"
"result.30","Yes","0.0237768607033469","0.872888615038313"
"result.31","Yes","0.0407853814493277","0.760731387527077"
"result.32","No","0.0958107283045316","0.560327343888988"
"result.33","Yes","0.0459746748540622","0.733036984352774"
"result.34","Yes","0.00441924100625905","1.13810677405036"
"result.35","No","0.150679509088929","0.457844616523374"
"result.36","No","0.623621836441779","-0.139296508514798"
"result.37","Yes","0.00734277303337164","1.07027624230376"
"result.38","No","0.538006845393137","-0.0423119626487498"
"result.39","No","0.0974184559998877","0.579102516861854"
"result.40","No","0.0793450177787642","0.629333333333333"
"result.41","Yes","0.0418092715998221","0.755774824616436"
"result.42","No","0.266313763293425","0.279302987197724"
"result.43","No","0.203209198719865","0.367698010116605"
"result.44","No","0.728580431928788","-0.270321038251366"
"result.45","Yes","0.0459367434927925","0.743062952208387"
"result.46","No","0.181297422950828","0.402151639344263"
"result.47","No","0.0520808026436625","0.711704376363334"
"result.48","Yes","0.0135113588936374","0.972848360655739"
"result.49","No","0.0886439021169247","0.58893605367657"
