"","V1","V2"
"result.1","Yes","0.00396152126118293"
"result.2","Yes","0.0341481450267314"
"result.3","Yes","0.000789437508907583"
"result.4","No","0.259730354170626"
"result.5","Yes","0.0297101829226718"
"result.6","Yes","0.0110004188161387"
"result.7","Yes","0.00061065459647656"
"result.8","Yes","0.00027001295273253"
"result.9","Yes","0.00290770758168608"
"result.10","Yes","0.00205415266925819"
"result.11","Yes","0.00269613552433693"
"result.12","Yes","0.000266384579839334"
"result.13","Yes","0.0411417322109539"
"result.14","No","0.404713935903625"
"result.15","Yes","2.85973259800127e-05"
"result.16","Yes","6.70827825836613e-06"
"result.17","Yes","0.0235293636055773"
"result.18","Yes","0.0344223555608156"
"result.19","Yes","1.13932170822754e-06"
"result.20","No","0.290899484552714"
"result.21","Yes","5.48688724505181e-08"
"result.22","No","0.0651025363593304"
"result.23","Yes","0.0477672428803022"
"result.24","Yes","0.000793216805302378"
"result.25","Yes","0.000114899118361453"
"result.26","Yes","0.00569650148974482"
"result.27","Yes","0.0255612186266354"
"result.28","Yes","0.0325488894871774"
"result.29","Yes","0.00528426943060662"
"result.30","Yes","0.000159455674957053"
"result.31","Yes","0.00129348628646337"
"result.32","Yes","0.00280415218218748"
"result.33","Yes","0.000855380361491707"
"result.34","Yes","3.83349421748582e-05"
"result.35","Yes","0.00589925992395424"
"result.36","No","0.260364732364386"
"result.37","Yes","3.27610816188381e-05"
"result.38","No","0.157084470857171"
"result.39","Yes","0.00454324971433851"
"result.40","Yes","0.00130669037296278"
"result.41","Yes","0.000330548856608972"
"result.42","Yes","0.0113373882946101"
"result.43","Yes","0.0223327104351646"
"result.44","No","0.216168308559237"
"result.45","Yes","0.000719182255202396"
"result.46","Yes","0.0134605985354903"
"result.47","Yes","0.000471510023944285"
"result.48","Yes","3.46455880650896e-05"
"result.49","Yes","0.00280253367317229"
"result.50","No","0.441444154390736"
"result.51","Yes","0.00184593613634008"
"result.52","No","0.120111508001485"
"result.53","No","0.801734939106856"
"result.54","Yes","0.00344851779128742"
"result.55","Yes","0.0281514157111159"
"result.56","No","0.168781991898921"
"result.57","Yes","0.0220976292541396"
"result.58","Yes","0.000144189821015366"
"result.59","Yes","0.0109333128183977"
"result.60","Yes","0.00412692617314594"
"result.61","Yes","0.00653427317804279"
"result.62","Yes","0.0209056829581624"
"result.63","Yes","5.12871439331989e-05"
"result.64","Yes","0.000167248492847563"
"result.65","Yes","2.58842867178976e-05"
"result.66","Yes","0.00340300602016128"
"result.67","Yes","0.000425439443366093"
"result.68","Yes","0.00161689295532912"
"result.69","Yes","0.000127650335721474"
"result.70","Yes","0.000579811869294779"
"result.71","Yes","0.0342998854332574"
"result.72","Yes","0.00304088906453279"
"result.73","Yes","0.000264237367774407"
"result.74","Yes","0.00897367091657696"
"result.75","Yes","0.0144407544922381"
"result.76","Yes","0.012791442286936"
"result.77","Yes","2.71390247723628e-06"
"result.78","No","0.0780680004207899"
"result.79","Yes","0.0186374594732325"
"result.80","Yes","0.00047194524552684"
"result.81","Yes","0.0270335528109115"
"result.82","Yes","0.000283400376431792"
"result.83","Yes","0.000573208249822448"
"result.84","Yes","0.0499510782459908"
"result.85","Yes","5.62126972632126e-07"
"result.86","Yes","0.00515916249455184"
"result.87","Yes","0.0191059950926158"
"result.88","Yes","0.0010062014518258"
"result.89","Yes","0.0479885789814242"
"result.90","Yes","0.000153890725641937"
"result.91","Yes","0.00107809164880797"
"result.92","Yes","0.000410149213050184"
"result.93","Yes","0.000513797561162794"
"result.94","Yes","0.0145602234020685"
"result.95","Yes","0.00662446737651764"
"result.96","No","0.122283275730346"
"result.97","Yes","0.0323393393812539"
"result.98","No","0.0901790462372625"
"result.99","Yes","0.0159917336807763"
"result.100","Yes","0.0442181350876742"
"result.101","Yes","0.000437576251339389"
"result.102","Yes","0.0265192211524889"
"result.103","Yes","0.000139747962603642"
"result.104","No","0.185918690842052"
"result.105","Yes","0.000743806854864145"
"result.106","Yes","0.03008517899989"
"result.107","Yes","0.000879476106881004"
"result.108","No","0.0768119955651736"
"result.109","Yes","4.84632655282648e-05"
"result.110","No","0.079845070440443"
"result.111","Yes","0.00106191017642692"
"result.112","Yes","0.000476101771411483"
"result.113","Yes","0.0159897889330687"
"result.114","Yes","7.20675520117523e-06"
"result.115","Yes","6.44737592499332e-05"
"result.116","Yes","0.00403795838235156"
"result.117","Yes","0.0120962176031941"
"result.118","No","0.0940900999186177"
"result.119","Yes","0.0153483655622118"
"result.120","Yes","0.00611384666079924"
"result.121","Yes","2.43679166179337e-05"
"result.122","Yes","8.00123123503691e-05"
"result.123","Yes","0.000547066540459323"
"result.124","Yes","7.71528555693789e-06"
"result.125","Yes","0.000953596491009949"
"result.126","Yes","3.60378617282834e-07"
"result.127","Yes","0.00268708620404041"
"result.128","Yes","0.0105519406560055"
"result.129","Yes","0.000438207339378841"
"result.130","Yes","0.00391540879662558"
"result.131","Yes","7.12272527378981e-05"
"result.132","Yes","0.00405101653795857"
"result.133","Yes","0.0177030584593746"
"result.134","Yes","0.000144855966232595"
"result.135","Yes","0.00104234118486163"
"result.136","Yes","0.00208799585242541"
"result.137","Yes","0.00184927806477169"
"result.138","No","0.0966552785315498"
"result.139","Yes","0.00131652552213372"
"result.140","Yes","0.0315466810659443"
"result.141","Yes","0.0331515852736672"
"result.142","Yes","0.0013862477603923"
"result.143","Yes","1.32509265559749e-06"
"result.144","Yes","0.0052724043853257"
"result.145","Yes","0.0308367635656727"
"result.146","Yes","0.0111968809348789"
"result.147","Yes","0.00490226558011028"
"result.148","Yes","2.97499249146912e-06"
"result.149","Yes","8.70249054325912e-06"
"result.150","Yes","0.0154743315092232"
"result.151","Yes","0.0404380915578149"
"result.152","Yes","0.000144975398338112"
"result.153","Yes","0.00454489230815579"
"result.154","Yes","6.00906960097368e-06"
"result.155","Yes","0.014378502979349"
"result.156","No","0.0827332060766484"
"result.157","No","0.10391877968165"
"result.158","Yes","0.0018382427327499"
"result.159","No","0.0791170619101915"
"result.160","Yes","0.000342289850016169"
"result.161","Yes","0.00277174469937595"
"result.162","Yes","1.12801858214174e-07"
"result.163","Yes","0.00498877848839653"
"result.164","Yes","0.0122347171567539"
"result.165","Yes","0.0193913344141776"
"result.166","Yes","0.0238284973630351"
"result.167","Yes","0.0108756823424202"
"result.168","Yes","0.00147779935010123"
"result.169","Yes","0.0237155386337981"
"result.170","No","0.191034287394505"
"result.171","Yes","0.000380582943892605"
"result.172","Yes","0.00137753245043782"
