"","V1","V2"
"result.1","No","0.294533641276392"
"result.2","No","0.418305528781946"
"result.3","Yes","0.0305386352170837"
"result.4","No","0.584987877414678"
"result.5","No","0.634406746627223"
"result.6","No","0.279377299926075"
"result.7","No","0.0511490112591061"
"result.8","Yes","0.0443831065123742"
"result.9","No","0.0759423113818131"
"result.10","No","0.134439617792947"
"result.11","No","0.101187603559717"
"result.12","Yes","0.0172386079637828"
"result.13","No","0.800085399842451"
"result.14","No","0.795205918479489"
"result.15","Yes","0.00313839196570302"
"result.16","Yes","0.0124191464846218"
"result.17","No","0.287440896182697"
"result.18","No","0.357573882752657"
"result.19","Yes","0.0011014882013799"
"result.20","No","0.59184748759658"
"result.21","Yes","9.10043100088751e-05"
"result.22","No","0.515081113780831"
"result.23","No","0.452539300891615"
"result.24","Yes","0.0326892897478013"
"result.25","Yes","0.0398335453046704"
"result.26","No","0.123878893587225"
"result.27","No","0.461323284615505"
"result.28","No","0.427983161627143"
"result.29","No","0.118520699454584"
"result.30","Yes","0.0197726711534891"
"result.31","Yes","0.0369146008865021"
"result.32","No","0.180206285057778"
"result.33","Yes","0.0468383209392551"
"result.34","Yes","0.00329354361259286"
"result.35","No","0.10449901765468"
"result.36","No","0.782081446697231"
"result.37","Yes","0.0024519191265341"
"result.38","No","0.888496088004326"
"result.39","No","0.17407851978859"
"result.40","No","0.11183337765766"
"result.41","Yes","0.0172158453263924"
"result.42","No","0.350716095303131"
"result.43","No","0.736610623289413"
"result.44","No","0.903339907383937"
"result.45","No","0.0577972377974895"
"result.46","No","0.1718568569989"
"result.47","Yes","0.0200911285108633"
"result.48","Yes","0.000996765991228254"
"result.49","No","0.207678375296686"
"result.50","No","0.399116533739119"
"result.51","No","0.0578471271541432"
"result.52","No","0.830742336064354"
"result.53","No","0.319347999685212"
"result.54","No","0.174778747631022"
"result.55","No","0.392883921384304"
"result.56","No","0.787158265977533"
"result.57","No","0.596955101030094"
"result.58","Yes","0.0372098695803026"
"result.59","No","0.236735194859732"
"result.60","No","0.168765002808896"
"result.61","No","0.384354803680865"
"result.62","No","0.298820034871196"
"result.63","Yes","0.0222183519522495"
"result.64","Yes","0.03213085949264"
"result.65","Yes","0.00855994919916118"
"result.66","No","0.112309719717544"
"result.67","Yes","0.0348119903376027"
"result.68","No","0.0533358713333945"
"result.69","Yes","0.0182449423718284"
"result.70","Yes","0.0279091907161057"
"result.71","No","0.291155299580724"
"result.72","No","0.0999521450030045"
"result.73","Yes","0.0383348963280067"
"result.74","No","0.195659925008301"
"result.75","No","0.279475517237259"
"result.76","No","0.264109128031732"
"result.77","Yes","0.000554142054863852"
"result.78","No","0.944241822601164"
"result.79","No","0.326573760181571"
"result.80","No","0.0773279648186674"
"result.81","No","0.247710792243776"
"result.82","Yes","0.0454214871970101"
"result.83","Yes","0.0436156826864778"
"result.84","No","0.362808631935072"
"result.85","Yes","0.000706389694716318"
"result.86","No","0.166059140999779"
"result.87","No","0.262303738469718"
"result.88","No","0.102471397965638"
"result.89","No","0.366496238360721"
"result.90","Yes","0.0292117122823649"
"result.91","Yes","0.0305022078996737"
"result.92","Yes","0.0290892243969378"
"result.93","No","0.0826698337460457"
"result.94","No","0.268358711649536"
"result.95","No","0.1956599405356"
"result.96","No","0.977622157492519"
"result.97","No","0.503345369992242"
"result.98","No","0.927088561238249"
"result.99","No","0.272792704342134"
"result.100","No","0.603710501048446"
"result.101","Yes","0.00959858224822652"
"result.102","No","0.352246733513293"
"result.103","Yes","0.0196218475759596"
"result.104","No","0.997590597667603"
"result.105","Yes","0.0283024278215248"
"result.106","No","0.448175190020841"
"result.107","Yes","0.040042562815588"
"result.108","No","0.825143702070181"
"result.109","Yes","0.0082388864546395"
"result.110","No","0.907025132479516"
"result.111","No","0.0787824988474818"
"result.112","Yes","0.0403788409507048"
"result.113","No","0.222129376449465"
"result.114","Yes","0.0044095805354678"
"result.115","Yes","0.00420777884488697"
"result.116","No","0.266746106491714"
"result.117","No","0.174260774301053"
"result.118","No","0.669230646654782"
"result.119","No","0.414450617993455"
"result.120","No","0.138830784791303"
"result.121","Yes","0.0101757285780184"
"result.122","Yes","0.00932145652699073"
"result.123","Yes","0.0283194083984769"
"result.124","Yes","0.00362478237943906"
"result.125","No","0.0562870240871312"
"result.126","Yes","3.69643295996318e-05"
"result.127","No","0.0758125411606391"
"result.128","No","0.201945461668094"
"result.129","Yes","0.0222805131543003"
"result.130","No","0.136347142071493"
"result.131","Yes","0.0101594329945426"
"result.132","No","0.173387480695426"
"result.133","No","0.192716936612706"
"result.134","Yes","0.00415532519515508"
"result.135","Yes","0.047528219195443"
"result.136","No","0.143550307621007"
"result.137","No","0.0701219197033238"
"result.138","No","0.772050513616271"
"result.139","No","0.0520234008330672"
"result.140","No","0.329740468222406"
"result.141","No","0.294566217268082"
"result.142","No","0.0858289450039863"
"result.143","Yes","0.000425191065917391"
"result.144","No","0.257406977600117"
"result.145","No","0.396551013299445"
"result.146","No","0.260842553574352"
"result.147","No","0.121393603561568"
"result.148","Yes","0.00243773778885261"
"result.149","Yes","0.00478272407908566"
"result.150","No","0.45391426545981"
"result.151","No","0.438853604981847"
"result.152","No","0.0590312306057598"
"result.153","No","0.174091790502764"
"result.154","Yes","0.00824032502470068"
"result.155","No","0.150485706376387"
"result.156","No","0.935765006708726"
"result.157","No","0.876159528318199"
"result.158","No","0.235940056009205"
"result.159","No","0.545474440348588"
"result.160","Yes","0.049171904680664"
"result.161","No","0.205697436650392"
"result.162","Yes","0.000385463603206493"
"result.163","No","0.0708811592466127"
"result.164","No","0.188486405592024"
"result.165","No","0.0808975812940555"
"result.166","No","0.23155735330694"
"result.167","No","0.407977525036409"
"result.168","No","0.126229615680177"
"result.169","No","0.281394965590009"
"result.170","No","0.936898364961167"
"result.171","No","0.0868908810004269"
"result.172","No","0.117004788986625"
"result.173","No","0.512198243068174"
"result.174","No","0.508855318292947"
"result.175","No","0.0606985930979012"
"result.176","Yes","0.0246573458192914"
"result.177","No","0.0857654158768944"
"result.178","No","0.181043868069399"
"result.179","Yes","0.0463649152756256"
"result.180","No","0.170967339710567"
"result.181","No","0.490370517872561"
"result.182","Yes","0.0190086468849929"
"result.183","Yes","0.0118502463605832"
"result.184","No","0.199856347540393"
"result.185","Yes","0.000169152591397695"
"result.186","No","0.188854201124732"
"result.187","No","0.347355462099783"
"result.188","No","0.170607838851308"
"result.189","No","0.244458818808153"
"result.190","No","0.480149243977805"
"result.191","No","0.67342414551054"
"result.192","No","0.247977764701978"
"result.193","Yes","0.00906709155293796"
"result.194","Yes","0.0106439172577538"
"result.195","Yes","0.0194302208537644"
"result.196","No","0.195315635133987"
"result.197","Yes","0.00827243733735462"
"result.198","No","0.149990121108822"
"result.199","No","0.813157197027128"
"result.200","Yes","0.00483725981207392"
"result.201","No","0.662988822408575"
"result.202","Yes","0.00426075421756638"
"result.203","No","0.388664485199773"
"result.204","No","0.758869631927299"
"result.205","Yes","0.0441808726048809"
"result.206","No","0.0631522397538077"
"result.207","No","0.446212439540402"
"result.208","No","0.0660304977190496"
"result.209","No","0.221041201061998"
"result.210","Yes","0.00972705125395716"
"result.211","No","0.797675890640957"
"result.212","Yes","0.0209998484545191"
"result.213","Yes","0.000427441496170685"
"result.214","No","0.0519792216287983"
"result.215","No","0.053716152566906"
"result.216","No","0.640488135187478"
"result.217","No","0.258567981788463"
"result.218","No","0.12064492251855"
"result.219","No","0.926906000070998"
"result.220","No","0.688135440457617"
"result.221","Yes","0.0417081472681912"
"result.222","No","0.338345003272687"
"result.223","No","0.895008514327212"
"result.224","Yes","0.00163581703022506"
"result.225","No","0.422160927185942"
"result.226","No","0.123095250909516"
"result.227","No","0.233105551794336"
"result.228","Yes","0.0458142619572765"
"result.229","No","0.0883238091651697"
"result.230","No","0.212937465274844"
"result.231","Yes","0.00355475382923053"
"result.232","Yes","0.00949742524704179"
"result.233","No","0.0656986657117323"
"result.234","No","0.681730936251861"
"result.235","No","0.718856205290293"
"result.236","No","0.0518208797692596"
"result.237","No","0.415047025595496"
"result.238","Yes","0.0482932883803243"
"result.239","Yes","0.0179296491862682"
"result.240","Yes","0.02306438111206"
"result.241","No","0.37578754125667"
"result.242","No","0.404923918084784"
"result.243","Yes","0.0245864600907798"
"result.244","No","0.556480524986182"
"result.245","No","0.661003381729432"
"result.246","No","0.939338443185188"
"result.247","No","0.0506627287270466"
"result.248","No","0.119608044232401"
"result.249","No","0.125286632238301"
"result.250","Yes","0.00745199444619462"
"result.251","No","0.306400591728045"
"result.252","Yes","0.00248542233952774"
"result.253","Yes","0.00691606683559302"
"result.254","No","0.487357992410671"
"result.255","Yes","0.00266972897891963"
"result.256","No","0.422654227857856"
"result.257","No","0.822229439545422"
"result.258","Yes","0.000853733859260084"
"result.259","Yes","0.000821456531107865"
"result.260","No","0.0624130984938322"
"result.261","Yes","0.00844528602432176"
"result.262","No","0.0533369415460255"
"result.263","No","0.208845423629337"
"result.264","Yes","0.0429240382287856"
"result.265","Yes","0.0067946965851221"
"result.266","No","0.097204323399998"
"result.267","No","0.166435253781194"
"result.268","No","0.728355500107846"
"result.269","No","0.608077431754205"
"result.270","No","0.142683053681746"
