"","V1","V2"
"result.1","No","0.894282976866484"
"result.2","No","0.52061869260876"
"result.3","No","0.965256862931093"
"result.4","No","0.0564530025754067"
"result.5","No","0.309614858397099"
"result.6","No","0.804115958532545"
"result.7","No","0.830440312342123"
"result.8","No","0.759698116708382"
"result.9","No","0.728551667917791"
"result.10","No","0.413151110849605"
"result.11","No","0.683034607785535"
"result.12","No","0.357609364804253"
"result.13","No","0.28509521593194"
"result.14","No","0.103380080470171"
"result.15","No","0.141424907423446"
"result.16","No","0.148942380486957"
"result.17","No","0.604455648834401"
"result.18","No","0.462646198827117"
"result.19","No","0.0945348986819503"
"result.20","No","0.0904728862016924"
"result.21","Yes","0.0258393165637688"
"result.22","No","0.45340138389286"
"result.23","No","0.566643267090156"
"result.24","No","0.757841769597541"
"result.25","No","0.599903656015505"
"result.26","No","0.89348947929874"
"result.27","No","0.705368557563181"
"result.28","No","0.492023781672603"
"result.29","No","0.845726652041592"
"result.30","No","0.55486937255823"
"result.31","No","0.721236715562021"
"result.32","No","0.844702136026823"
"result.33","No","0.743173849195543"
"result.34","No","0.31171452430128"
"result.35","No","0.809609266219936"
"result.36","No","0.112165266378255"
"result.37","No","0.149493397368803"
"result.38","No","0.225138207906907"
"result.39","No","0.702020906829188"
"result.40","No","0.888367047762818"
"result.41","No","0.418656510708514"
"result.42","No","0.457722266648532"
"result.43","No","0.166313163372143"
"result.44","No","0.181357939405885"
"result.45","No","0.942749636026649"
"result.46","No","0.878888446102132"
"result.47","No","0.73627522264558"
"result.48","No","0.0729941756384189"
"result.49","No","0.511642881122719"
"result.50","Yes","0.0211164905690627"
"result.51","No","0.318279996112943"
"result.52","No","0.199591748758351"
"result.53","No","0.0803189951091715"
"result.54","No","0.915617211197603"
"result.55","No","0.536205811291714"
"result.56","Yes","0.0311531325128677"
"result.57","No","0.457641432199456"
"result.58","No","0.665624841760714"
"result.59","No","0.852944072440857"
"result.60","No","0.987345736722123"
"result.61","No","0.271684741993307"
"result.62","No","0.967301287658099"
"result.63","No","0.488761867117023"
"result.64","No","0.380975040637736"
"result.65","No","0.346910468502148"
"result.66","No","0.546310252394717"
"result.67","No","0.412762261838995"
"result.68","No","0.843530058647483"
"result.69","No","0.640029926457571"
"result.70","No","0.516024140939582"
"result.71","No","0.871874577448188"
"result.72","No","0.789110766121908"
"result.73","No","0.245635153073371"
"result.74","No","0.992325040614569"
"result.75","No","0.590213846220743"
"result.76","No","0.566082568493375"
"result.77","No","0.0559388683333268"
"result.78","No","0.0846748576280881"
"result.79","No","0.398095042878385"
"result.80","No","0.834363140092758"
"result.81","No","0.899420795858303"
"result.82","No","0.296286733315318"
"result.83","No","0.65963433114102"
"result.84","No","0.685604308278461"
"result.85","No","0.0800629698144695"
"result.86","No","0.548968691419381"
"result.87","No","0.703211444422325"
"result.88","No","0.750408240707149"
"result.89","No","0.1848136962003"
"result.90","No","0.413607191951524"
"result.91","No","0.482357476360165"
"result.92","No","0.353167088623506"
"result.93","No","0.768389334141107"
"result.94","No","0.669121035267272"
"result.95","No","0.775480676007042"
"result.96","No","0.112994480583802"
"result.97","No","0.610034781595056"
"result.98","No","0.161061623817955"
"result.99","No","0.790507485182201"
"result.100","No","0.544151960476158"
"result.101","No","0.23155347474298"
"result.102","No","0.408889270768859"
"result.103","No","0.447538227638884"
"result.104","No","0.33823104366484"
"result.105","No","0.943250328206459"
"result.106","No","0.163892857412788"
"result.107","No","0.692252854931235"
"result.108","No","0.169776481538846"
"result.109","No","0.0959109237535943"
"result.110","No","0.103900082565287"
"result.111","No","0.456173032020273"
"result.112","No","0.253252908034698"
"result.113","No","0.986297787513516"
"result.114","No","0.317623401957658"
"result.115","No","0.0774048949711321"
"result.116","No","0.5439848385971"
"result.117","No","0.774332153106358"
"result.118","No","0.197203091575226"
"result.119","No","0.413977854534642"
"result.120","No","0.789815836024896"
"result.121","No","0.34230629909842"
"result.122","No","0.190765398934414"
"result.123","No","0.497862679060459"
"result.124","No","0.164976315151039"
"result.125","No","0.822127852494352"
"result.126","Yes","0.00495974486537116"
"result.127","No","0.818576817591797"
"result.128","No","0.60158535940826"
"result.129","No","0.30642605315313"
"result.130","No","0.944318876337355"
"result.131","No","0.45689147539991"
"result.132","No","0.855272384473636"
"result.133","No","0.541097347076714"
"result.134","No","0.18636392508787"
"result.135","No","0.622352676363921"
"result.136","No","0.782446813385666"
"result.137","No","0.638656115888601"
"result.138","No","0.349044397285659"
"result.139","No","0.36235049970796"
"result.140","No","0.651168754206234"
"result.141","No","0.683583140312888"
"result.142","No","0.77584341605126"
"result.143","No","0.112968830288025"
"result.144","No","0.99871593534795"
"result.145","No","0.491703567513405"
"result.146","No","0.856280859284432"
"result.147","No","0.774881692277864"
"result.148","Yes","0.0482117320720133"
"result.149","No","0.218685471867367"
"result.150","No","0.600824786261372"
"result.151","No","0.2576324279951"
"result.152","No","0.833592411269229"
"result.153","No","0.812011009335041"
"result.154","No","0.306470156821888"
"result.155","No","0.796233036406973"
"result.156","No","0.28194388957101"
"result.157","No","0.221444748444378"
"result.158","No","0.740301275752276"
"result.159","No","0.594193980602817"
"result.160","No","0.998016606557479"
"result.161","No","0.736290418014513"
"result.162","No","0.0873452263865102"
"result.163","No","0.52404244966135"
"result.164","No","0.685327241782014"
"result.165","No","0.675984162454059"
"result.166","No","0.92622453621897"
"result.167","No","0.812213548417138"
"result.168","No","0.748691593440724"
"result.169","No","0.871941981397296"
"result.170","No","0.141558514738833"
"result.171","No","0.553537199216417"
"result.172","No","0.922288828384297"
"result.173","No","0.289268997906499"
"result.174","No","0.524014545352028"
"result.175","No","0.86878786787505"
"result.176","No","0.636703289665444"
"result.177","No","0.869580913605121"
"result.178","No","0.62150827461987"
"result.179","No","0.630325847500087"
"result.180","No","0.984723083447054"
"result.181","No","0.556732125692837"
"result.182","No","0.641481237091869"
"result.183","No","0.180082223867796"
"result.184","No","0.577248625981455"
"result.185","Yes","0.0251546052550551"
"result.186","No","0.931535700314219"
"result.187","No","0.494923898910549"
"result.188","No","0.846431327317518"
"result.189","No","0.916330092512117"
"result.190","No","0.537620921586477"
"result.191","No","0.127102499336006"
"result.192","No","0.951119447876063"
"result.193","No","0.276046978678044"
"result.194","No","0.271492977295569"
"result.195","No","0.516339023032226"
"result.196","No","0.959934736502679"
"result.197","No","0.105113310012728"
"result.198","No","0.680686060891041"
"result.199","No","0.195014564949042"
"result.200","No","0.126071766270516"
"result.201","No","0.115235771049884"
"result.202","No","0.235083014269039"
"result.203","No","0.516795596559074"
"result.204","No","0.366280421860119"
"result.205","No","0.849433920425114"
"result.206","No","0.527865669443438"
"result.207","No","0.0511077335638007"
"result.208","No","0.866828996226562"
"result.209","No","0.506978019773685"
"result.210","No","0.132147668514906"
"result.211","No","0.0805514493723743"
"result.212","No","0.266270398366784"
"result.213","Yes","0.0395485068648379"
"result.214","No","0.608815396122516"
"result.215","No","0.593473447281342"
"result.216","No","0.191597094890974"
"result.217","No","0.605218373166692"
"result.218","No","0.875654758080907"
"result.219","No","0.1748514275207"
"result.220","No","0.211384683434593"
"result.221","No","0.584954158318995"
"result.222","No","0.475570703338985"
"result.223","No","0.176951290002631"
"result.224","No","0.129607486467734"
"result.225","No","0.640352600509129"
"result.226","No","0.751992329134926"
"result.227","No","0.634855134589396"
"result.228","No","0.446216053584311"
"result.229","No","0.746446318288275"
"result.230","No","0.713075684296411"
"result.231","No","0.217343099534684"
"result.232","No","0.302862634818598"
"result.233","No","0.713191671574236"
"result.234","No","0.144861064333943"
"result.235","No","0.210246623782735"
"result.236","No","0.428863336343886"
"result.237","No","0.445244790041595"
"result.238","No","0.498259275929344"
"result.239","No","0.456137636165911"
"result.240","No","0.49740479413404"
"result.241","Yes","0.024612595445721"
"result.242","No","0.432234257522448"
"result.243","No","0.27788448940449"
"result.244","No","0.309915873748962"
"result.245","No","0.224364438725055"
