"","V1","V2"
"result.1","No","0.184897099558166"
"result.2","No","0.582632975439508"
"result.3","No","0.0867548633214409"
"result.4","No","0.582589695598751"
"result.5","No","0.500300608164381"
"result.6","No","0.320749690951294"
"result.7","No","0.0522622291054924"
"result.8","Yes","0.0311604176956593"
"result.9","No","0.189823467689396"
"result.10","No","0.160912978988471"
"result.11","No","0.142699382392389"
"result.12","Yes","0.0371448036481531"
"result.13","No","0.763116058239817"
"result.14","No","0.514680363216945"
"result.15","Yes","0.0116189010908164"
"result.16","Yes","0.00335530876104736"
"result.17","No","0.499276778992191"
"result.18","No","0.696753531005679"
"result.19","Yes","0.00105167754423518"
"result.20","No","0.634597367386809"
"result.21","Yes","9.45745777263557e-05"
"result.22","No","0.85003191907356"
"result.23","No","0.649554542916456"
"result.24","No","0.0601493222612672"
"result.25","Yes","0.0216233721594348"
"result.26","No","0.229461489395574"
"result.27","No","0.617822633483278"
"result.28","No","0.63824923442246"
"result.29","No","0.235515081277187"
"result.30","Yes","0.0262154889430725"
"result.31","No","0.112275496786637"
"result.32","No","0.203806872978347"
"result.33","No","0.062647238396551"
"result.34","Yes","0.00945015807400819"
"result.35","No","0.18060131047951"
"result.36","No","0.688558834709818"
"result.37","Yes","0.00903988139939142"
"result.38","No","0.943308836698849"
"result.39","No","0.186935888223538"
"result.40","No","0.0949252931398452"
"result.41","No","0.0538741866079988"
"result.42","No","0.415138151028302"
"result.43","No","0.526495879546275"
"result.44","No","0.792475524694177"
"result.45","No","0.0954397708131413"
"result.46","No","0.416886015438816"
"result.47","No","0.0557426211848796"
"result.48","Yes","0.0101366115351063"
"result.49","No","0.130398935152546"
"result.50","No","0.423667813165057"
"result.51","No","0.14095401286662"
"result.52","No","0.806818881820264"
"result.53","No","0.157059825328139"
"result.54","No","0.187127400995692"
"result.55","No","0.589969539872783"
"result.56","No","0.800919185030813"
"result.57","No","0.499146828792581"
"result.58","Yes","0.0209431755727995"
"result.59","No","0.348789266521993"
"result.60","No","0.188969826391361"
"result.61","No","0.305087172966168"
"result.62","No","0.583742740062733"
"result.63","Yes","0.0196265198574674"
"result.64","Yes","0.0235135727849139"
"result.65","Yes","0.0102396739891779"
"result.66","No","0.229972607401335"
"result.67","No","0.0622791577315498"
"result.68","No","0.11222185828054"
"result.69","Yes","0.0358159261789705"
"result.70","Yes","0.045541732603231"
"result.71","No","0.566831407645859"
"result.72","No","0.131246922701441"
"result.73","No","0.0520227186676247"
"result.74","No","0.333657078945366"
"result.75","No","0.417011935735437"
"result.76","No","0.331006456096519"
"result.77","Yes","0.00175629117896588"
"result.78","No","0.974250926614027"
"result.79","No","0.429919541011664"
"result.80","No","0.0509771705661059"
"result.81","No","0.515308016881036"
"result.82","Yes","0.0428533947154784"
