"","V1","V2"
"result.1","No","0.494873108875271"
"result.2","No","0.891277271068581"
"result.3","No","0.363173498237377"
"result.4","No","0.307194513322917"
"result.5","No","0.908084098546199"
"result.6","No","0.92513569932916"
"result.7","No","0.124955942664728"
"result.8","No","0.141754484743854"
"result.9","No","0.470946289163287"
"result.10","No","0.505003025370552"
"result.11","No","0.438838566920076"
"result.12","No","0.0979105763300561"
"result.13","No","0.682951509549643"
"result.14","No","0.178939194727788"
"result.15","No","0.0579795568897952"
"result.16","Yes","0.0150201546016568"
"result.17","No","0.924741888666815"
"result.18","No","0.669084243837766"
"result.19","Yes","0.00197021041880117"
"result.20","No","0.300337346547512"
"result.21","Yes","0.000561059623038654"
"result.22","No","0.523593030767241"
"result.23","No","0.911046142677649"
"result.24","No","0.21623630191318"
"result.25","No","0.158380694149775"
"result.26","No","0.619998280509272"
"result.27","No","0.994137061343618"
"result.28","No","0.748414900845412"
"result.29","No","0.639652544983095"
"result.30","No","0.143985396214632"
"result.31","No","0.41375418759564"
"result.32","No","0.428982812722661"
"result.33","No","0.237164706333516"
"result.34","No","0.0671838795242603"
"result.35","No","0.576779460492614"
"result.36","No","0.153718476988458"
"result.37","No","0.0524471784056573"
"result.38","No","0.457336603272916"
"result.39","No","0.415128144697779"
"result.40","No","0.199128485973572"
"result.41","No","0.21994876932869"
"result.42","No","0.710979705738415"
"result.43","No","0.939282537790524"
"result.44","No","0.36926926332742"
"result.45","No","0.216188430357144"
"result.46","No","0.969552811241261"
"result.47","No","0.238460029661159"
"result.48","No","0.0636022939081885"
"result.49","No","0.393394750662832"
"result.50","No","0.166560319419532"
"result.51","No","0.46008537793491"
"result.52","No","0.599351434821669"
"result.53","Yes","0.0295935328820219"
"result.54","No","0.568027566179053"
"result.55","No","0.815841269028788"
"result.56","No","0.271171748149309"
"result.57","No","0.86312675983597"
"result.58","No","0.100781907671899"
"result.59","No","0.678231602859854"
"result.60","No","0.459578864764326"
"result.61","No","0.60130115493267"
"result.62","No","0.974879337871184"
"result.63","No","0.134999302103743"
"result.64","No","0.0789106895501806"
"result.65","No","0.0709825509719472"
"result.66","No","0.642987587327654"
"result.67","No","0.309094441152368"
"result.68","No","0.396840768361788"
"result.69","No","0.0900553258311785"
"result.70","No","0.213713076729721"
"result.71","No","0.793986760939095"
"result.72","No","0.307062448994795"
"result.73","No","0.231383540219707"
"result.74","No","0.908769694153043"
