"","V1","V2"
"result.1","No","0.722161039104375"
"result.2","No","0.521687307639557"
"result.3","No","0.527608572665147"
"result.4","Yes","0.0359951055954103"
"result.5","No","0.37126084017482"
"result.6","No","0.744717116490492"
"result.7","No","0.557446502188438"
"result.8","No","0.508810949188647"
"result.9","No","0.836801740459454"
"result.10","No","0.953682024523783"
"result.11","No","0.782305909768429"
"result.12","No","0.345884240975481"
"result.13","No","0.181041069248528"
"result.14","No","0.0961151699791147"
"result.15","No","0.163298889218332"
"result.16","No","0.268973211700268"
"result.17","No","0.670206007170877"
"result.18","No","0.477188548153655"
"result.19","No","0.0725183497511916"
"result.20","No","0.0534424240437225"
"result.21","Yes","0.0127532034016761"
"result.22","No","0.388153888360737"
"result.23","No","0.536295582314912"
"result.24","No","0.469731003847143"
"result.25","No","0.525121606327065"
"result.26","No","0.969680611042083"
"result.27","No","0.3984332917603"
"result.28","No","0.466295588735148"
"result.29","No","0.91575591617335"
"result.30","No","0.362560845007159"
"result.31","No","0.573236140868125"
"result.32","No","0.823987358379763"
"result.33","No","0.541785227103543"
"result.34","No","0.130976699677934"
"result.35","No","0.796100116592948"
"result.36","No","0.0955626137019839"
"result.37","No","0.119306389962922"
"result.38","No","0.131959861144369"
"result.39","No","0.964763349752842"
"result.40","No","0.851205542323957"
"result.41","No","0.392494000799821"
"result.42","No","0.515452449828804"
"result.43","No","0.277144540020647"
"result.44","No","0.210795785929808"
"result.45","No","0.740544590296581"
"result.46","No","0.840174194375922"
"result.47","No","0.40675745687993"
"result.48","No","0.0707530002585623"
"result.49","No","0.923609158803811"
"result.50","Yes","0.0247287848907102"
"result.51","No","0.684058039829103"
"result.52","No","0.319451252670958"
"result.53","Yes","0.0112168303272262"
"result.54","No","0.876379574392162"
"result.55","No","0.479892596100863"
"result.56","No","0.0778201312316244"
"result.57","No","0.360401805797564"
"result.58","No","0.492769239901238"
"result.59","No","0.756139974886393"
"result.60","No","0.989553996814916"
"result.61","No","0.52738868264672"
"result.62","No","0.536389683223019"
"result.63","No","0.439700967763218"
"result.64","No","0.439322194050609"
"result.65","No","0.256072873712473"
"result.66","No","0.985599408659042"
"result.67","No","0.557773044585298"
"result.68","No","0.659346072679407"
"result.69","No","0.456907188362074"
"result.70","No","0.378674998019813"
"result.71","No","0.682455100397831"
"result.72","No","0.781490731791345"
"result.73","No","0.588916924333429"
"result.74","No","0.835237526804807"
"result.75","No","0.655321599286918"
"result.76","No","0.797865800166036"
"result.77","Yes","0.0406893598947532"
"result.78","No","0.113202911784124"
"result.79","No","0.61924309647183"
"result.80","No","0.707182504360771"
"result.81","No","0.795464609745029"
"result.82","No","0.581015040277544"
"result.83","No","0.62519093465057"
"result.84","No","0.580788550719027"
"result.85","No","0.0506658484463259"
"result.86","No","0.959249664869771"
"result.87","No","0.668919962337942"
"result.88","No","0.876518841166297"
"result.89","No","0.630349046383968"
"result.90","No","0.461875748672377"
"result.91","No","0.508875680344766"
"result.92","No","0.435860888253393"
"result.93","No","0.691916416343072"
"result.94","No","0.690780072418003"
"result.95","No","0.903430054043489"
"result.96","No","0.127429540303179"
"result.97","No","0.377454563424884"
"result.98","No","0.184757788886319"
"result.99","No","0.771838450577091"
"result.100","No","0.435884787704361"
"result.101","No","0.273018567375828"
"result.102","No","0.505952989477161"
"result.103","No","0.385608036564269"
"result.104","No","0.164710366344899"
"result.105","No","0.452683957588259"
"result.106","No","0.47996535401352"
"result.107","No","0.491604646018784"
"result.108","No","0.184019106664332"
"result.109","No","0.227571227416655"
"result.110","No","0.170215357097803"
"result.111","No","0.803390792304698"
"result.112","No","0.551767639977955"
"result.113","No","0.765069007641893"
"result.114","No","0.21816378020348"
