"","V1","V2"
"result.1","Yes","0.0258212505113434"
"result.2","Yes","0.00382994360180855"
"result.3","Yes","0.0181670975031566"
"result.4","Yes","7.92564792877373e-05"
"result.5","Yes","0.00147795883518655"
"result.6","Yes","0.00861535715678919"
"result.7","No","0.0901812858419743"
"result.8","No","0.0809288937588103"
"result.9","No","0.0568677843643051"
"result.10","Yes","0.00252953480931088"
"result.11","No","0.0712956994505957"
"result.12","No","0.328493101784606"
"result.13","Yes","0.000727544337079458"
"result.14","Yes","0.000219837328587136"
"result.15","No","0.492818366018799"
"result.16","No","0.626751565513885"
"result.17","Yes","0.00349909179281311"
"result.18","Yes","0.00127384265752911"
"result.19","No","0.970393794269447"
"result.20","Yes","0.000215469408957907"
"result.21","No","0.872264832960999"
"result.22","Yes","0.00196975841633937"
"result.23","Yes","0.00832574216424517"
"result.24","No","0.0992023076108734"
"result.25","No","0.064371717883101"
"result.26","Yes","0.0180899223489056"
"result.27","Yes","0.0122131133868984"
"result.28","Yes","0.00274021821898176"
"result.29","Yes","0.0166145764017299"
"result.30","No","0.084851052916661"
"result.31","No","0.0565113340004097"
"result.32","Yes","0.0225667790717066"
"result.33","No","0.0810274027889082"
"result.34","No","0.237191916018445"
"result.35","No","0.0546926096870606"
"result.36","Yes","5.87602067738349e-05"
"result.37","No","0.480355353672136"
"result.38","Yes","0.000717843458530702"
"result.39","No","0.131569877191332"
"result.40","No","0.074308470203163"
"result.41","No","0.131208666600927"
"result.42","Yes","0.00368655323364462"
"result.43","Yes","0.000375197098141862"
"result.44","Yes","0.000496717398750051"
"result.45","Yes","0.0362688158608514"
"result.46","Yes","0.0135624954581264"
"result.47","No","0.0659706501415518"
"result.48","No","0.65745078230363"
"result.49","Yes","0.00659036917272508"
"result.50","Yes","1.36974721940288e-05"
"result.51","No","0.165248083895503"
"result.52","Yes","0.000942558547297646"
"result.53","Yes","4.24148105447973e-05"
"result.54","Yes","0.035684234161041"
"result.55","Yes","0.00338781401817469"
"result.56","Yes","6.06263335519245e-06"
"result.57","Yes","0.00206257395502309"
"result.58","No","0.117218804069851"
"result.59","Yes","0.0179769452134734"
"result.60","Yes","0.0482490783781707"
"result.61","Yes","0.00144906289223107"
"result.62","Yes","0.0225868810385176"
"result.63","No","0.0570298001602494"
"result.64","No","0.263532071961126"
"result.65","No","0.149673186719473"
"result.66","No","0.0720967622718467"
"result.67","No","0.116276709411543"
"result.68","Yes","0.0411088538191627"
"result.69","No","0.110673641319519"
"result.70","No","0.115560966855332"
"result.71","Yes","0.0113463302040255"
"result.72","No","0.108654145946541"
"result.73","No","0.215339977270315"
"result.74","Yes","0.0186745399575576"
"result.75","Yes","0.0061776885342018"
"result.76","Yes","0.0111595460488648"
"result.77","No","0.90107321278369"
"result.78","Yes","6.65648138640451e-05"
"result.79","Yes","0.00281655354689394"
"result.80","No","0.0756197194152221"
"result.81","Yes","0.0203380811248537"
"result.82","No","0.23115446819206"
"result.83","No","0.0856837885654499"
"result.84","Yes","0.00689967365749795"
