"","V1","V2","V3","V4"
"result.1","No","0.422040531590807","0.111228200277848","0.540677531194458"
"result.2","No","0.474791271403909","-0.307742903744888","0.55483633766121"
"result.3","No","0.172249355229971","0.401437660347253","0.564276567269933"
"result.4","No","0.165476253974673","-0.754799039754814","0.537633082518714"
"result.5","No","0.0164463702995689","-0.28993794062903","0.520370732481101"
"result.6","Yes","0.000635870116608706","0.03667811576236","0.523669032776018"
"result.7","No","0.0629220594464585","0.590849671424844","0.554882449642838"
"result.8","No","0.357875537772042","0.579560603580978","0.539935693179782"
"result.9","No","0.906807600723791","0.190728535107857","0.510940115853893"
"result.10","No","0.884760616201373","0.251105697264556","0.537110484100862"
"result.11","Yes","0.00161203865411985","0.124975537847181","0.548795986769509"
"result.12","No","0.0694758587442509","0.585727169487531","0.544367238036831"
"result.13","No","0.839114317605404","-0.271582413871933","0.542215883834602"
"result.14","No","0.000402754584512555","-1.05564336472595","0.54977275671164"
"result.15","No","0.0886653360141927","0.825370111234717","0.545757840199863"
"result.16","Yes","0.00027740918872754","0.962987750612228","0.539409599048265"
"result.17","No","0.0392646621843638","-0.196828901649008","0.546157262755673"
"result.18","No","0.365172095612596","-0.360401246664366","0.548392162497245"
"result.19","Yes","0.0465294095967973","1.28668660521145","0.562441467456223"
"result.20","No","0.334270749460677","-0.770186783398255","0.542794689202381"
"result.21","Yes","0.0186793078791402","1.5584802499295","0.553958885408344"
"result.22","No","5.39122208536025e-05","-0.631658114021497","0.52442334422093"
"result.23","No","0.0558831375193694","-0.367978146657535","0.559639981569502"
"result.24","No","0.216618475478116","0.577878837130274","0.544298193250445"
"result.25","No","0.468142730661775","0.64391601984456","0.531773328976455"
"result.26","No","0.951715408961625","0.170198122390845","0.550830362144235"
"result.27","No","0.784298378914351","-0.215573636732907","0.565251778507755"
"result.28","No","0.626232292903206","-0.436761339160329","0.536374674921778"
"result.29","Yes","0.0379686299230542","0.172020590700645","0.553554733657461"
"result.30","No","0.173256527091067","0.645302960463771","0.543145409299761"
"result.31","No","0.62113162774091","0.32812680398022","0.52732349695303"
"result.32","No","0.862709367706388","-0.012822774275522","0.537134998202336"
"result.33","No","0.0625405176806552","0.29957744850463","0.519421726128369"
"result.34","No","0.115210166297616","0.846034318700124","0.530953708013223"
"result.35","Yes","0.0136498026525316","0.13469955695487","0.538431716378737"
"result.36","No","0.196676755583736","-0.695338623206361","0.552198475746271"
"result.37","No","0.0552793969065124","0.798748936634657","0.54661050396808"
"result.38","No","0.30227404250703","-0.513454760776885","0.563288926708429"
"result.39","No","0.959208167295676","0.192420761192736","0.553484427520464"
"result.40","No","0.0944794456935169","0.44427253993499","0.548590939255964"
"result.41","No","0.054109630127198","0.560718288376035","0.523287365568569"
"result.42","No","0.281721915320561","-0.30482447060365","0.53244775816058"
"result.43","No","0.851962153795321","-0.11792695525514","0.543101595351708"
"result.44","No","0.00236916973287693","-0.722687350469259","0.531771943056821"
"result.45","No","0.38987230227728","0.232530359498957","0.541249693117562"
"result.46","No","0.639838437474645","-0.0724610472297862","0.545454017837138"
"result.47","Yes","0.0123482515697186","0.50691405571714","0.565043264025749"
"result.48","Yes","0.0129342241528612","0.762080265931254","0.529388627802529"
