"","V1","V2","V3","V4"
"result.1","No","0.0451957656828936","-1.30640957523852","0.54120164113952"
"result.2","No","0.0114916690315787","-1.55883568551923","0.5628769359812"
"result.3","No","0.0563046682439301","-1.17183769243279","0.562613347785841"
"result.4","No","0.000189652253376194","-2.17355673026545","0.534940507035846"
"result.5","No","0.00392183494177001","-1.77295085544619","0.517566083838143"
"result.6","No","0.0140662941951649","-1.33360037260007","0.527331584496765"
"result.7","No","0.195954782903921","-0.999605672392489","0.557406050195741"
"result.8","No","0.0641244122872506","-0.913059279499083","0.544894890304706"
"result.9","No","0.0560839962643513","-1.05979386448502","0.513271763866648"
"result.10","No","0.00116098422588462","-1.59284994658185","0.536933675730294"
"result.11","No","0.0298057411348107","-1.08787468775296","0.550213999316204"
"result.12","No","0.419916591003731","-0.710896183862115","0.547841578562941"
"result.13","No","0.000798916794285454","-1.72021882753077","0.535082511724648"
"result.14","No","0.000138942177040802","-2.25333548792044","0.545963139676404"
"result.15","No","0.481291004553282","-0.480202002568142","0.556074071457972"
"result.16","No","0.525168336105659","-0.422771291458461","0.547246263054991"
"result.17","No","0.0230335844146156","-1.48269129594494","0.537986838271012"
"result.18","No","0.00583639756639631","-1.65332977473359","0.549333783541484"
"result.19","No","0.171068545142558","-0.172737832074243","0.566252706335158"
"result.20","No","8.61703464697383e-05","-2.01919427086892","0.543341311525696"
"result.21","No","0.0894767408986703","0.0693765302278952","0.561553033699756"
"result.22","No","0.000562021826844838","-1.84788489359693","0.544434295246875"
"result.23","No","0.0231376597917583","-1.48894190977815","0.564290258239329"
"result.24","No","0.199171915525029","-0.940821714679536","0.549685263260423"
"result.25","No","0.026251529054328","-0.903813696710166","0.53800490993088"
"result.26","No","0.0146332643746996","-1.2383123820915","0.55158509719487"
"result.27","No","0.00940172347507873","-1.42895153295314","0.569789429751902"
"result.28","No","0.000761204484007183","-1.71062305382388","0.544980660321597"
"result.29","No","0.0968067085957955","-1.17755523198383","0.557804719879034"
"result.30","No","0.205438754003516","-0.826610242818932","0.539869209155245"
"result.31","No","0.0715382670279288","-1.00918762217972","0.538006877900197"
"result.32","No","0.0103560928651615","-1.38625328874433","0.540565321168084"
"result.33","No","0.164966360714168","-1.04744896897524","0.517048468789973"
"result.34","No","0.335654830581527","-0.604834750470684","0.537273541262517"
"result.35","No","0.110127878254663","-1.0550855259146","0.53988933435968"
"result.36","No","0.00105376946534752","-1.97690182630778","0.554639546928782"
"result.37","No","0.512692411815974","-0.382860424269046","0.54232772978897"
"result.38","No","0.00763077039870064","-1.7143696610085","0.56347419780947"
"result.39","No","0.0281277571508709","-0.93466488692266","0.558980967119369"
"result.40","No","0.128445731685672","-1.07130176068041","0.554750574539242"
"result.41","No","0.402622294592345","-0.716949047679147","0.533493728822997"
