"","V1","V2","V3","V4","V5","V6"
"result.1",0.9495,1,-0.176352470541638,0.0614361867049969,0.108164519911013,0.0147299081303415
"result.2",0.88775,0.999,-0.133831878922047,0.0512385313876708,0.108432912961928,0.0145495687127476
"result.3",0.98875,1,-0.256601548681818,0.0758807356784111,0.110894787289116,0.0148287589380229
"result.4",0.82025,0.8895,-0.101945005321854,0.0186240221461192,0.111402329182462,0.0147759337322858
"result.5",0.9315,0.9995,-0.165460994595474,0.0457493484709896,0.110692885644315,0.0143407748104322
"result.6",0.965,1,-0.200117092015449,0.0599640322773552,0.110949564361312,0.0145264249471274
"result.7",0.9995,0.997,-0.38265190332506,0.043041192435526,0.111249599892998,0.0148189099581674
"result.8",0.98825,1,-0.2457949860106,0.0832318661467833,0.106535857663273,0.0142304784190724
"result.9",0.91825,1,-0.147861743131237,0.080376504681298,0.10725893838578,0.014788946746805
"result.10",0.95375,1,-0.187124964757081,0.0786855203009224,0.110804626046732,0.0145095156059514
"result.11",0.997,0.98725,-0.305831409728052,0.0312849812489951,0.110786003828264,0.0144991646419771
"result.12",0.99975,0.99925,-0.330021708409691,0.0453362698241407,0.105370332144307,0.0148747976982029
"result.13",0.7115,1,-0.0630061256644376,0.0711780845062828,0.108894478117793,0.0145984364794097
"result.14",0.83775,0.441,-0.10487258222288,-0.00211427894767888,0.106783490872155,0.0142995127308302
"result.15",0.99875,1,-0.329061013816703,0.0750886715919085,0.108606020432094,0.0145466656365965
"result.16",1,0.98425,-0.517239894929171,0.0310982515718241,0.109820918803151,0.0145000248157391
"result.17",0.93225,0.99975,-0.165094142646828,0.0577138864379079,0.110351005694416,0.0145595618140195
"result.18",0.78725,1,-0.0850409728487417,0.0661496890841914,0.10735989637147,0.0145413306850178
"result.19",1,0.99975,-0.506333598592516,0.0502265756428895,0.108366278746713,0.014771289593027
"result.20",0.623,0.9965,-0.0338938050685406,0.0413331119938926,0.106863178812494,0.0146112683282234
"result.21",1,1,-0.401137118510782,0.102202817845342,0.108934885268179,0.014968150083241
"result.22",0.972,0.87675,-0.201410388683568,0.0164422281095255,0.104278814060944,0.0141622340917392
"result.23",0.97475,0.9025,-0.210515078534934,0.0183067809890286,0.108022218918021,0.0142458980527917
"result.24",0.9955,1,-0.268188243436937,0.0663156192012457,0.11025334206574,0.0145213844831494
"result.25",0.9415,1,-0.173877660927319,0.106773105681634,0.111851957080519,0.0147710898972293
"result.26",0.90375,1,-0.141690641544442,0.0779885995455038,0.107028309131721,0.0141805644499671
"result.27",0.954,0.998,-0.179855809163218,0.039862936984969,0.108401043854026,0.0140815578348398
"result.28",0.86475,0.99975,-0.124242390370378,0.0461662876139944,0.112011751858993,0.0143465619831195
"result.29",0.98625,1,-0.226622194675188,0.0561248908239299,0.105538057270485,0.0141064406795493
"result.30",0.99625,1,-0.28148824301526,0.077402687864176,0.108576426510808,0.0147980513970601
