"","V1","V2","V3","V4","V5","V6"
"result.1",0.0105,1,0.237603050662963,0.0786986126381397,0.105727242781454,0.0151760097106146
"result.2",0.0045,1,0.278952055390095,0.074589824709057,0.108553674123167,0.0147124740271603
"result.3",0.00225,1,0.277739180131078,0.109277767616184,0.107044000895437,0.0150482528780155
"result.4",0.001,0.9905,0.34005280432049,0.0375237712090446,0.107165257330092,0.0152916322893968
"result.5",0.0045,0.99975,0.287127917972656,0.0626345680956676,0.109236158215603,0.0148840560555364
"result.6",0.02925,1,0.208634243211409,0.0752349962844193,0.107108787788413,0.0147168932713187
"result.7",0.1635,1,0.103555204298174,0.0645090965171671,0.105735208258301,0.0150199683525206
"result.8",0.01575,1,0.227819751679699,0.110706166626829,0.10639115475589,0.015125833455456
"result.9",0.01625,1,0.228493115909559,0.0983272528603129,0.107123083800269,0.0154058739659834
"result.10",0.001,1,0.331540813593816,0.0899233450735422,0.105774069469317,0.0148663983299967
"result.11",0.12975,1,0.123501784653275,0.0619797079576593,0.109275489972994,0.0146085191054963
"result.12",0.29725,1,0.0543888206960571,0.0614318597645227,0.102049432558298,0.015128831415784
"result.13",5e-04,1,0.374777423266519,0.0898111948779074,0.108758088829454,0.0152753258842666
"result.14",0.003,0.935,0.286717729920586,0.0219979037889421,0.107121545738312,0.0145232965480621
"result.15",0.2145,1,0.0843076090052814,0.0941355142903456,0.105773355353093,0.0150500184483856
"result.16",0.56725,1,-0.0183637369855216,0.0649519047910891,0.107313424381428,0.0153432123297682
"result.17",0.00625,1,0.271845613031759,0.0857414216936241,0.105566374855314,0.0146947475652663
"result.18",5e-04,1,0.357169376108049,0.0931754388125259,0.108670816484131,0.0150969776404616
"result.19",0.5815,1,-0.0207191278473113,0.0782793074545967,0.102529000047175,0.0148876485758084
"result.20",5e-04,1,0.371872442583487,0.0639808422160695,0.105972321023485,0.0146637938504825
"result.21",0.1975,1,0.0869110963331626,0.136034662654221,0.10534036424724,0.0150683376216458
"result.22",0.01925,0.99775,0.226339939735231,0.0422221351824991,0.106967685370409,0.014719136506394
"result.23",0.016,1,0.230078319441133,0.0612501460003303,0.104940717711158,0.0147938091074243
"result.24",0.0765,1,0.15008245562235,0.0735527029969151,0.107445185435019,0.0150795582536344
"result.25",0.0045,1,0.284734746687585,0.128237253801814,0.10581922238345,0.0152855304115744
"result.26",0.008,1,0.258921423652874,0.0908116154374035,0.10733438507246,0.0143724835968589
"result.27",0.01475,1,0.227828804250411,0.0646251975300062,0.10557599699436,0.0146081718997108
"result.28",0.001,1,0.339836755545893,0.0764608586940102,0.107971736087452,0.0143406772446441
"result.29",0.0165,1,0.234896359856919,0.086914486987413,0.106800352683012,0.0146792794883356
"result.30",0.02425,1,0.204019067363114,0.108374316229948,0.108316527447291,0.0148379363976078
"result.31",0.023,1,0.208721634199623,0.101520039631843,0.105420396336575,0.0154781436991228
"result.32",0.00625,1,0.256246438031825,0.0873894814213984,0.10497178363844,0.0152043656992503
"result.33",0.0585,1,0.166286832084441,0.0819444087917886,0.10956873295698,0.0153940536735287
"result.34",0.045,1,0.17501329712596,0.121907064875526,0.103321334509088,0.0155021747626314
"result.35",0.131,0.99975,0.11930770055166,0.0643090198644234,0.106360518130733,0.0150733080683637
"result.36",0,1,0.453115401914792,0.0949253209213268,0.10585992357626,0.0144686985337237
"result.37",0.18725,1,0.0948542704149072,0.104482006071048,0.107123941379415,0.0149679992082173
"result.38",0.00075,1,0.328222107867058,0.0826679562404006,0.1050319148684,0.0150058150223695
"result.39",0.044,1,0.174176220172605,0.0816037161266943,0.102664687847087,0.0149216224040791
"result.40",0.2315,0.9985,0.0781370345768219,0.043842010972027,0.104139203570083,0.0150220088688886
"result.41",0.15775,1,0.105975695314989,0.093933633326111,0.106802322952447,0.0157797794074722
"result.42",0.0055,1,0.271744305538233,0.0525618326659363,0.10568884619678,0.0143903611786138
"result.43",0,1,0.461417660522732,0.121930635995157,0.106542995742202,0.0155190126406758
"result.44",0.013,0.99475,0.232971524358886,0.0389002500097181,0.105912811216833,0.0149370919053961
"result.45",0.02525,1,0.205125221277162,0.0657613271583885,0.106095826725735,0.0148744441265363
"result.46",0.0055,1,0.272603334412095,0.0926575779329216,0.106493180869365,0.0148771964866475
"result.47",0.11175,1,0.127892949104419,0.0695245084855341,0.106496373994997,0.0146491789132671
"result.48",0.43125,1,0.0198007985317006,0.0871409246631023,0.10615919181287,0.0146041670353052
