"","V1","V2","V3","V4","V5","V6"
"result.1",0.945,0.397,-0.178110239983817,-0.00418124633963959,0.110937133026343,0.0147171627536838
"result.2",0.88775,0.0925,-0.133838439685688,-0.0201255316285605,0.110447843717327,0.014956412525401
"result.3",0.98725,0.69825,-0.250688141684785,0.00757503172224454,0.112673921178235,0.0149821777731102
"result.4",0.82025,0.00025,-0.100406377050433,-0.0502018584009229,0.10904284331952,0.0150700567829187
"result.5",0.931,0.04475,-0.160051617916267,-0.0257516148650313,0.109653959569513,0.0150528730908783
"result.6",0.9665,0.24375,-0.202449311648466,-0.0104897515606651,0.108986235155989,0.014532063467868
"result.7",1,0.02975,-0.383396022934711,-0.0278343344500297,0.110108603269434,0.0151635935704463
"result.8",0.9915,0.83925,-0.246753630807846,0.0151335766376158,0.10628193889344,0.015186565048957
"result.9",0.9145,0.824,-0.148658854737035,0.014121528135875,0.110117296124518,0.0148873366725801
"result.10",0.95625,0.7645,-0.188729349767022,0.0105139347145447,0.110611678779039,0.0143826196787809
"result.11",0.997,0.007,-0.307953147959752,-0.0377544782630134,0.111549026513911,0.0149363197545186
"result.12",0.9975,0.09125,-0.330441652322179,-0.0193742612949611,0.108705444792105,0.0146300767924146
"result.13",0.7305,0.553,-0.06739836452954,0.00177200140096799,0.109340223132214,0.0148614271263565
"result.14",0.82225,0,-0.101717996345598,-0.0714602211075833,0.110063527428858,0.015049862960985
"result.15",0.99875,0.72,-0.329242023829875,0.0084659872729023,0.108162013671219,0.0145073745238926
"result.16",1,0.0045,-0.516737874102156,-0.0382963055123299,0.110902775247364,0.015050789147809
"result.17",0.9365,0.1185,-0.163378197623748,-0.0183736116652249,0.107577792217191,0.0157283071542472
"result.18",0.78075,0.31625,-0.0847690843732533,-0.00664887164967432,0.111987958895104,0.0145879526313704
"result.19",1,0.1515,-0.506832405435008,-0.0154692509650964,0.107904218618747,0.0148644789743386
"result.20",0.628,0.0285,-0.0348136127564667,-0.0283897787880787,0.110016545377113,0.0149134014891003
"result.21",1,0.99675,-0.402624527132154,0.0404676715739208,0.106573984408853,0.0147062777833391
"result.22",0.965,0,-0.200732884632473,-0.0585318446317165,0.11154925131969,0.0145489045501467
"result.23",0.976,0,-0.210535830927482,-0.0531483372493929,0.107473247758005,0.015002369480245
"result.24",0.991,0.642,-0.26555117259923,0.00514084812762675,0.110923235606531,0.0147439609287935
"result.25",0.9405,0.9975,-0.172160931197312,0.0429853731908259,0.109065571994133,0.0144166395249273
"result.26",0.90925,0.837,-0.142036526581855,0.0144412139585532,0.108181810403911,0.0144455416613105
"result.27",0.95275,0.0245,-0.182746824866423,-0.0276520499986823,0.110309757429235,0.0141401281948868
"result.28",0.8535,0.06975,-0.120309732758028,-0.0214971376273177,0.114397167614118,0.0144580926912503
"result.29",0.983,0.21175,-0.228372270335617,-0.0117558739302077,0.108526974414598,0.0146095868236508
"result.30",0.995,0.721,-0.281783927575948,0.00865095659390137,0.108440993630835,0.0147976139007889
"result.31",0.9435,0.917,-0.17522436398869,0.0205351535654271,0.11068278797368,0.014756364161053
"result.32",0.96775,0.113,-0.199822697022221,-0.0182602537934287,0.10681050252121,0.014719549583774
"result.33",0.992,0.27575,-0.264275882453321,-0.00876654460279255,0.106934965630448,0.0150116022709559
"result.34",0.99125,0.9945,-0.240360718857335,0.0379691633165658,0.105773292775275,0.0151266621909547
"result.35",0.988,0.08275,-0.246250079650107,-0.0200449855478007,0.108642029704802,0.0146033396449041
"result.36",0.3025,0.7355,0.0562495157733226,0.00899111459034044,0.109232911010326,0.0144486652664142
