"","V1","V2","V3","V4","V5","V6"
"result.1",0.9455,0.00075,-0.177774211168096,-0.0486285244206587,0.109237343804649,0.0148457239747113
"result.2",0.88425,0,-0.134537017908301,-0.070233648214824,0.109228856804548,0.0152626027473943
"result.3",0.99225,0.00325,-0.255874518403463,-0.0425938431461226,0.108235978888095,0.0147058198068894
"result.4",0.81675,0,-0.100394991942739,-0.0974754683932853,0.108177716467126,0.0147356093806402
"result.5",0.923,0,-0.160937675484596,-0.0761037340200221,0.11256600390499,0.0150594478202182
"result.6",0.97225,0,-0.201686499867492,-0.0618060752481717,0.108377354745866,0.0149860951859142
"result.7",0.99975,0,-0.384648923846699,-0.0748856965988658,0.108640057555509,0.0150338897859699
"result.8",0.98575,0.011,-0.240219644746176,-0.0342742232615436,0.108592586404956,0.0149672497544817
"result.9",0.90425,0.023,-0.143192460768214,-0.0303139935661136,0.110947404438041,0.014958646927548
"result.10",0.95625,0.0065,-0.187225491103243,-0.0355224689926253,0.110027192061402,0.0145413790948768
"result.11",0.99925,0,-0.309732080432408,-0.0859902325361829,0.107287297892196,0.0147997049408744
"result.12",0.999,0,-0.329122341523702,-0.0646447025890898,0.105683405853853,0.0151120433305435
"result.13",0.72175,0.00275,-0.0650941939413441,-0.0430314410177058,0.109998845946114,0.0152494873419499
"result.14",0.83475,0,-0.10415466704434,-0.122270602925844,0.108844030230285,0.0148253634374235
"result.15",0.999,0.009,-0.327621230963489,-0.0354641024537596,0.11026677206577,0.0148792423384702
"result.16",1,0,-0.515752863136518,-0.0881203810102704,0.108545556241287,0.0150674934343513
"result.17",0.9365,0,-0.162757397605001,-0.0687723565771816,0.1067103577637,0.0156894587133495
"result.18",0.7725,0.00025,-0.0826617559786168,-0.05449558235804,0.111122454003883,0.0148361533084588
"result.19",1,0,-0.505084142684895,-0.0579723816147493,0.107001918823859,0.0149843530309893
"result.20",0.6235,0,-0.0339843337308759,-0.0740011470839615,0.109099061039642,0.0151085679024505
"result.21",1,0.447,-0.401259921428965,-0.0020174607892552,0.111212564389942,0.0152571671228796
"result.22",0.968,0,-0.200275918812933,-0.113306352899881,0.110986780852142,0.0145873005446833
"result.23",0.97125,0,-0.211795588009857,-0.102607180971708,0.107702904861092,0.0150044926973141
"result.24",0.99225,0.0065,-0.26962411366699,-0.0373103100204141,0.11142909463923,0.0152134426853077
"result.25",0.94475,0.4205,-0.174303763003859,-0.00307958909054039,0.109955081332218,0.0150511450588112
"result.26",0.89975,0.02025,-0.141579639623976,-0.0308556375248803,0.111975611755687,0.0148093075748534
"result.27",0.95625,0,-0.186883482161466,-0.0739592399498724,0.109079564423199,0.0146942945083002
"result.28",0.84525,0,-0.11788991062201,-0.0701310752404467,0.112511856526099,0.0143506674899274
"result.29",0.982,0.00025,-0.228248052578613,-0.0589810841402907,0.109344396804689,0.0145874757469325
"result.30",0.99525,0.00475,-0.277988258007178,-0.0392726100401291,0.110763868549181,0.0150613671249905
"result.31",0.9575,0.02425,-0.181219595447272,-0.028629531891477,0.105670513778966,0.014856127512991
"result.32",0.97225,0,-0.203085099497515,-0.0673909228213289,0.107612494171074,0.0153281378337913
"result.33",0.99025,0,-0.262667554520897,-0.0591271284260858,0.108776509488909,0.0157458450128638
"result.34",0.9855,0.2935,-0.238243105267735,-0.00827370343269153,0.106393498109578,0.0148431962249354
"result.35",0.98475,0.00025,-0.24399007989154,-0.0699066885033222,0.110107944974135,0.015000241570952
"result.36",0.30825,0.004,0.055412472912945,-0.039305270767111,0.110601836902436,0.0145518021450779
"result.37",0.99875,0.00925,-0.329200074840443,-0.0357286182738835,0.106012695732159,0.0151961715209988
"result.38",0.714,0,-0.0632597697159245,-0.0674209632744944,0.106993058702693,0.0148709217170706
"result.39",0.95775,5e-04,-0.184874806771272,-0.0482885305831402,0.10857526869714,0.0149135986183583
"result.40",0.9995,0,-0.372407994155155,-0.0873660948547264,0.110880156418055,0.0146532671620577
"result.41",0.998,0.001,-0.310905747835875,-0.0489961072630619,0.110570232758245,0.0152598081564514
"result.42",0.97675,0,-0.217421135542009,-0.0925761106757222,0.106981308252211,0.0145132674979053
"result.43",0.746,0.0225,-0.0705642945483632,-0.0311705189922552,0.106978204249086,0.0151636219998269
"result.44",0.9325,0,-0.167603557825705,-0.119827345887864,0.109356042264281,0.015334209133021
"result.45",0.997,0,-0.318194406029041,-0.0794208884480074,0.110158227188626,0.0148001706966131
"result.46",0.7965,0.00825,-0.0907802558480039,-0.0348373580667982,0.109803511792361,0.014984006176721
"result.47",0.99975,0,-0.348013627238848,-0.0678547598531613,0.109360667857847,0.0148215246102802
"result.48",0.9995,5e-04,-0.361069334479126,-0.0505115251473796,0.111990976915099,0.0148236690915525
"result.49",0.994,0,-0.256578115132945,-0.0624139819954837,0.105840434580924,0.0150235791585118
"result.50",0.652,0,-0.0431944641625506,-0.095191703812158,0.108173671000315,0.0151712893902623
"result.51",0.9545,0.001,-0.183047227453807,-0.0468076003176576,0.105959317901306,0.0153253200335967
"result.52",0.52775,0.0035,-0.00538754354336984,-0.0403470402247038,0.108344997603559,0.015292422485147
"result.53",0.09375,0,0.14353710387639,-0.0590858652164127,0.109551337191302,0.014761370165447
"result.54",0.97,0,-0.212588925319773,-0.0612511440395397,0.113559070896474,0.0151595422095672
"result.55",0.665,0.003,-0.0473764266253542,-0.0405376142401377,0.108194251612956,0.0147492612016326
"result.56",0.735,0,-0.068013228127832,-0.0762954843157836,0.109870991411371,0.0148319431295709
"result.57",0.92125,0.00025,-0.155633454049177,-0.0624540694703608,0.110004157464485,0.0146898754704658
"result.58",0.998,5e-04,-0.306089198231522,-0.049460534738987,0.108180353804324,0.0150218226753722
"result.59",0.9705,0,-0.207187026786943,-0.0732581221829543,0.108932654716743,0.0153428599408198
"result.60",0.8995,0.00725,-0.137656220165388,-0.036621982899994,0.107070486305186,0.0151201575020364
"result.61",0.98175,0,-0.231182579910397,-0.0763761895442593,0.109543712938397,0.0153406787268074
"result.62",0.98725,0,-0.244397718846458,-0.107327475585038,0.110151276812548,0.0147681072830594
"result.63",0.987,0.1105,-0.246210875005572,-0.0180670651358403,0.110547951203895,0.0148602002261668
"result.64",0.9985,5e-04,-0.323488375611646,-0.0489386264809331,0.108048240768663,0.0149991014897214
"result.65",0.99975,0,-0.366462883467081,-0.0600469471385958,0.110319325915285,0.014595239751223
"result.66",0.94725,0.001,-0.177522704852812,-0.0502318831830694,0.1097340322251,0.0151898847476371
"result.67",0.964,0.08775,-0.193428015564274,-0.0192590258943685,0.109738267236205,0.0145841485466361
"result.68",0.9955,0,-0.295657030313369,-0.069040888713019,0.11381206823448,0.0152524594322687
"result.69",0.9995,0,-0.376718143011672,-0.0613342472552879,0.112185455144558,0.0146872623282579
"result.70",0.987,0.002,-0.264039622275284,-0.0456908456833944,0.114389847692934,0.0151742598477389
"result.71",0.8035,0,-0.0886713975900764,-0.0631073376284768,0.105429879624211,0.0143959930525152
"result.72",0.99425,0,-0.268397908644362,-0.0739320096605815,0.10676484512114,0.0151326593300833
"result.73",0.98975,0.00025,-0.25424117951576,-0.0451819736167845,0.109212536589197,0.0154867255957819
"result.74",0.92375,0,-0.153497874979186,-0.0613227916949505,0.108346467790246,0.0152740496389938
"result.75",0.9195,0,-0.155650149626081,-0.060514703659801,0.111251929244864,0.015451576605022
"result.76",0.98875,0,-0.245670955164466,-0.0930798793962226,0.108508571110234,0.0150609475526009
"result.77",1,0,-0.45315291336419,-0.0535802914696667,0.110224365738057,0.0148612420750956
"result.78",0.9405,0,-0.174321670320932,-0.0983139193573122,0.112629648036013,0.0148109637931677
"result.79",0.9455,0.00025,-0.170115131438087,-0.0575212891682451,0.106695560189387,0.0151607400905205
"result.80",0.99775,0,-0.311452785257151,-0.0538702429845321,0.110442924825724,0.0152249556799393
"result.81",0.97575,0,-0.219832989482648,-0.0955728133769153,0.107321442463989,0.0147897730605962
"result.82",0.99175,0.0055,-0.261011736104245,-0.0382383511999834,0.109968086912897,0.0147328646767995
"result.83",0.98675,0.00025,-0.245840659831523,-0.0475165419198066,0.11044376708344,0.0149228765816541
"result.84",0.83175,0,-0.102623571123872,-0.0655069854731163,0.108565047132481,0.0149868388988203
"result.85",1,0.01475,-0.415561199106923,-0.0337635258620392,0.110075497163472,0.0149529445762414
"result.86",0.968,0,-0.202480391668346,-0.0500639953821915,0.11145575319256,0.0142829636865019
"result.87",0.79225,0.002,-0.0874138974738264,-0.0446663898841584,0.108898260482561,0.0151300596127855
"result.88",0.971,0.00825,-0.210340240684807,-0.0353300064084314,0.10990125042354,0.0150706749143076
"result.89",0.93275,0,-0.165239783479524,-0.0846614582468526,0.11029580195231,0.014537858840969
"result.90",0.9995,0,-0.376310777233365,-0.0649992185513507,0.108236484466515,0.0149899171802309
"result.91",0.98325,0.01225,-0.229308895510976,-0.0355729380062887,0.111094192652362,0.0151843205536333
"result.92",0.99775,0,-0.297936413054463,-0.0650482590456489,0.105468955366294,0.0149485534893647
"result.93",0.975,0.12175,-0.207240256693532,-0.0178270824646911,0.109375403047506,0.0150253921154843
"result.94",0.973,0,-0.20518965596643,-0.0939522974261731,0.107688137462004,0.014865586957078
"result.95",0.94875,5e-04,-0.17032644613762,-0.0485442747312612,0.1077744574737,0.0152178039638951
