"","V1","V2","V3","V4","V5","V6"
"result.1",0.23,0.683,0.0796589526474345,0.00730947716442386,0.107622063638798,0.0149089343386944
"result.2",0.27475,0.24525,0.0664851232196169,-0.0101642299629476,0.10907417725589,0.0148925805681642
"result.3",0.58075,0.9685,-0.0230944101284528,0.0276613623940124,0.109221254659846,0.0146970651350033
"result.4",0.0965,0.004,0.141765488380285,-0.0419162899614316,0.108384522190415,0.0152574753381039
"result.5",0.25675,0.0645,0.0708120781885378,-0.0223243410098948,0.108589387390992,0.0147021716840874
"result.6",0.37325,0.58125,0.0317645841153264,0.00352013322813007,0.107123082023635,0.0152275348698792
"result.7",0.903,0.18675,-0.140236780938603,-0.0133100728315954,0.109684537679991,0.014741797016303
"result.8",0.5285,0.969,-0.00641150835449325,0.0295973108637563,0.108373902074901,0.0157336158836243
"result.9",0.338,0.963,0.0445868363447539,0.0270847761743384,0.107583453059322,0.0152446117602615
"result.10",0.34075,0.91825,0.0458684286648241,0.020833611153496,0.109336515514228,0.0148278320071183
"result.11",0.753,0.08425,-0.0772012071395257,-0.0198456604832735,0.109778346983214,0.0143876289433924
"result.12",0.90775,0.30825,-0.137594674811397,-0.00755851120617026,0.104547407740156,0.0150560689999172
"result.13",0.0375,0.821,0.191696828296929,0.0138991671657406,0.107875792169492,0.0152544238093706
"result.14",0.19075,0,0.0937362825078428,-0.0550529919377723,0.106079347450528,0.0148966258830144
"result.15",0.89475,0.88225,-0.137761737727165,0.017242990368577,0.109046079524486,0.0147353396483192
"result.16",0.955,0.1545,-0.183524216576357,-0.015518581201481,0.109348724165207,0.0150463597175502
"result.17",0.32825,0.47725,0.049643905542817,-0.000773919395630459,0.107673546109015,0.0152017404514765
"result.18",0.1245,0.784,0.122491824922585,0.0117928366983342,0.106664269400814,0.0150431094861511
"result.19",0.993,0.54125,-0.251656576584427,0.00122246796539442,0.106440917398872,0.0151596329351277
"result.20",0.033,0.1545,0.196573566749625,-0.0153492595303365,0.106100886645434,0.0152731935847708
"result.21",0.9455,0.99975,-0.159604296733537,0.0553773287647034,0.103630909219535,0.0154572539695576
"result.22",0.43675,0.004,0.0187815181955727,-0.0383519880469916,0.111702429308267,0.0143060128892407
"result.23",0.41525,0.04725,0.0236656774510254,-0.025929206905503,0.106122053126647,0.0155096329057655
"result.24",0.8045,0.75775,-0.0912075125396922,0.0098420688535011,0.106372149357738,0.0144345551558501
"result.25",0.20025,1,0.0881761046947847,0.0567804993686948,0.105932231311148,0.0151220490051279
"result.26",0.35175,0.923,0.0404040606600477,0.021021327141106,0.107875880345645,0.0147732004179463
"result.27",0.2805,0.22075,0.0612381841996715,-0.0117335485750474,0.105840236367236,0.0146221313937758
"result.28",0.168,0.33225,0.10514756818967,-0.00655881225736921,0.110340358598968,0.0146847269802244
"result.29",0.54075,0.7315,-0.011700566021852,0.00908803783488542,0.107568608252705,0.0148913463687044
"result.30",0.645,0.9755,-0.040360382847332,0.0286004595896061,0.107872280232514,0.0146701065458393
"result.31",0.494,0.98,-0.00051567720977982,0.0314948725261839,0.107510340378364,0.0149159390976551
"result.32",0.30125,0.5375,0.0545821339786965,0.00112514471607251,0.105729391784564,0.0156211193028088
"result.33",0.62925,0.8125,-0.0363986916989615,0.0134486314348647,0.1076915860291,0.0151692538030109
"result.34",0.701,1,-0.0549129713701669,0.0532271323654658,0.105004289109446,0.015278966643961
"result.35",0.7675,0.206,-0.0751803708967361,-0.0126252924685562,0.105789063515959,0.0152341105920624
"result.36",0.004,0.969,0.281408554889702,0.0264813638890821,0.108781806324403,0.014476934728642
"result.37",0.9035,0.95475,-0.140927922401254,0.0258203104449135,0.108590076248917,0.0152461675697427
"result.38",0.0815,0.281,0.146354905363494,-0.00871571271886258,0.105929004275005,0.0153428455615757
"result.39",0.392,0.7005,0.0285167962338639,0.00775033529830282,0.10552360354481,0.0150694730723649
"result.40",0.90475,0.004,-0.141986143985389,-0.0378841836780318,0.108012737288036,0.014527838531004
"result.41",0.8445,0.84625,-0.109038561117858,0.0149871799868542,0.105447685615079,0.0149314804083648
"result.42",0.3655,0.0265,0.0386691296535171,-0.028023891334231,0.107336916855679,0.0147249543173432
"result.43",0.02325,0.994,0.219527436659678,0.0394172691494864,0.109004247086119,0.0153140318101222
"result.44",0.4055,0.00075,0.0250871609994426,-0.0447809969710497,0.105844617900805,0.0153872170800296
"result.45",0.777,0.0895,-0.0835704808176471,-0.0199900186836504,0.109991694206048,0.014687525962032
"result.46",0.25425,0.928,0.0686216716913992,0.0207018318021074,0.10791040266128,0.0141695121413147
