"","V1","V2","V3","V4","V5","V6"
"result.1",0.01175,0.0415,0.239456487846034,-0.0269650314705009,0.105819066130376,0.015654449074572
"result.2",0.0055,0.00575,0.279654816703491,-0.0412042486976859,0.108724295201271,0.0155006454558537
"result.3",0.003,0.46,0.278332330003165,-0.00151325330998201,0.105703871010587,0.0155717524172204
"result.4",0.0015,0,0.336477230183988,-0.0720915684486072,0.104705293052114,0.0157146064698808
"result.5",0.00525,0,0.286256808633166,-0.0541439868678782,0.105925333628227,0.0159614420432346
"result.6",0.02425,0.00475,0.208811810460818,-0.0424290054763184,0.104649835447021,0.0156454180504965
"result.7",0.153,0.00025,0.106132722483677,-0.0507004495735773,0.104429191582136,0.0155717225908328
"result.8",0.0215,0.5475,0.228447082896096,0.00216388494987268,0.107709982224088,0.0157952288577201
"result.9",0.01475,0.27875,0.229602560620881,-0.0091449454050142,0.104228423226602,0.0154282234088239
"result.10",0.00075,0.112,0.328506079819815,-0.0186719982065755,0.108242476053086,0.015338897339462
"result.11",0.12525,0,0.126210917109914,-0.0480531168332384,0.10907108034692,0.0147021154288688
"result.12",0.3065,0.003,0.0538260334953006,-0.043865788157151,0.106793649118692,0.0159055294959465
"result.13",0,0.134,0.374314760418512,-0.0167878688301211,0.105815718086086,0.0155241956126507
"result.14",0.0025,0,0.286935439461626,-0.0900919220367279,0.103242012765562,0.015097034860422
"result.15",0.2315,0.26575,0.0832955727134185,-0.00931559643116578,0.107132344541546,0.0152153547178698
"result.16",0.574,0.00275,-0.0201230721628823,-0.0436683396567265,0.103231083208251,0.015440241660377
"result.17",0.00475,0.011,0.269643235517606,-0.0357243083208598,0.108388802847345,0.0159083692949262
"result.18",5e-04,0.13225,0.353721787113927,-0.017069458382909,0.10580611728903,0.0154535906372814
"result.19",0.572,0.083,-0.0182399717304937,-0.0210259364886027,0.104394625485965,0.0154522259466465
"result.20",0,0.00125,0.368139903568522,-0.0458334547009592,0.10436758608799,0.0153484895203342
"result.21",0.21075,0.98775,0.0834389882698904,0.0369066420422601,0.103603869808425,0.0161468860197537
"result.22",0.01825,0,0.228807705329394,-0.0791996721989585,0.10799797219508,0.0152806589283908
"result.23",0.01475,0.0015,0.233679446109622,-0.0467581235047739,0.104374780747996,0.0152888557496034
"result.24",0.07,0.04825,0.157389820082879,-0.0257778149421627,0.108321900622806,0.0153471317467076
"result.25",0.00275,0.93225,0.286927635702324,0.023338702544972,0.10668154579494,0.0158363837641081
"result.26",0.0075,0.16275,0.25724422586535,-0.0146120815190572,0.107833805270745,0.014848811586391
"result.27",0.01675,0.0025,0.230445793362563,-0.0420361830545591,0.10743680357557,0.0146462211632049
"result.28",0.00075,0.025,0.338477955177177,-0.0298176094240877,0.108458268335326,0.0148670992132358
"result.29",0.0125,0.12775,0.235343843812043,-0.0169589032826463,0.105716547547028,0.0152451647415249
"result.30",0.03225,0.4785,0.205303618006348,-0.000902659623242436,0.107834365641638,0.0153013024930753
"result.31",0.0195,0.21075,0.212300128525497,-0.0120884935738639,0.105691051105764,0.0155694328305406
"result.32",0.007,0.0335,0.256446664909906,-0.0308049119333611,0.105064332376787,0.0161868159007842
"result.33",0.05825,0.01975,0.167557767646447,-0.0321675816434142,0.106539695445577,0.0156539527636111
"result.34",0.05175,0.8165,0.176295916486735,0.0136088571753061,0.107153338037965,0.0157701729106889
"result.35",0.12175,0.00075,0.12098652826269,-0.0481614162862983,0.104390560583386,0.0156215865999364
"result.36",0,0.1705,0.45090319204406,-0.0145303729773178,0.108469975770267,0.0153226692758396
"result.37",0.18625,0.546,0.0942077459021079,0.00200641214654713,0.107493676378594,0.0157089586081632
"result.38",0.00225,0.03275,0.32510102664416,-0.0296556345562472,0.105707391266731,0.0159462303526731
"result.39",0.05025,0.09475,0.172596266472928,-0.0198741169173882,0.105663981682728,0.0154670815682065
"result.40",0.23425,0,0.0790035662415249,-0.0679420344189707,0.105785194092362,0.0156820277742457
