"","V1","V2","V3"
"result.1",0.66368516876166,-0.04,0.095
"result.2",0.576213516140942,-0.018,0.095
"result.3",0.961179147408218,-0.168,0.095
"result.4",0.206358957899312,0.078,0.095
"result.5",0.563455741868445,-0.015,0.095
"result.6",0.562218277741818,-0.015,0.095
"result.7",0.971034463605898,-0.18,0.095
"result.8",0.883493464775139,-0.113,0.095
"result.9",0.764338875873525,-0.068,0.095
"result.10",0.909293857016584,-0.127,0.095
"result.11",0.88234999591708,-0.113,0.095
"result.12",0.980956312472195,-0.198,0.095
"result.13",0.473112414456112,0.007,0.095
"result.14",0.369522318775756,0.032,0.095
"result.15",0.99396256274921,-0.238,0.095
"result.16",0.983681939151047,-0.204,0.096
"result.17",0.420428070302907,0.019,0.095
"result.18",0.526282732713413,-0.006,0.095
"result.19",0.999504696332297,-0.314,0.096
"result.20",0.23485999976023,0.069,0.095
"result.21",0.99614353674524,-0.254,0.095
"result.22",0.358590657748938,0.035,0.095
"result.23",0.569916006076059,-0.017,0.095
"result.24",0.93521816740636,-0.144,0.095
"result.25",0.859709017832615,-0.102,0.095
"result.26",0.909204388326976,-0.127,0.095
"result.27",0.644352742910751,-0.035,0.095
"result.28",0.60923163199578,-0.026,0.095
"result.29",0.783690774024064,-0.074,0.095
"result.30",0.934356470203828,-0.144,0.095
"result.31",0.90256200176437,-0.123,0.095
"result.32",0.856732767239238,-0.101,0.095
"result.33",0.905664485399648,-0.125,0.095
"result.34",0.962524518177322,-0.169,0.095
"result.35",0.92342477556637,-0.136,0.095
"result.36",0.0899806257750044,0.128,0.095
"result.37",0.996992793357396,-0.261,0.095
"result.38",0.177237063385544,0.089,0.095
"result.39",0.808963717303216,-0.083,0.095
"result.40",0.968617421305301,-0.177,0.095
"result.41",0.913322569615458,-0.129,0.095
"result.42",0.787942457122153,-0.076,0.095
"result.43",0.216344914203861,0.075,0.095
"result.44",0.406113822527779,0.023,0.095
"result.45",0.915753166933572,-0.131,0.095
"result.46",0.611685890357022,-0.027,0.095
"result.47",0.985613530337974,-0.208,0.095
"result.48",0.999183341305662,-0.299,0.095
"result.49",0.775540934843583,-0.072,0.095
"result.50",0.0990574846841928,0.123,0.095
"result.51",0.821702687522329,-0.088,0.095
"result.52",0.304583377331851,0.049,0.095
"result.53",0.0295876274347025,0.179,0.095
"result.54",0.772295821614999,-0.071,0.095
"result.55",0.585345291587691,-0.02,0.095
"result.56",0.125056182308073,0.109,0.095
"result.57",0.377492824851281,0.03,0.095
"result.58",0.960492928398633,-0.167,0.095
"result.59",0.860771292515772,-0.103,0.095
"result.60",0.764403092882879,-0.068,0.095
"result.61",0.590719772703749,-0.022,0.095
"result.62",0.7954991528575,-0.078,0.095
"result.63",0.857352992067133,-0.102,0.095
"result.64",0.980644067527424,-0.197,0.095
"result.65",0.959120672173122,-0.165,0.095
"result.66",0.687637686628716,-0.046,0.095
"result.67",0.92369808979102,-0.136,0.095
"result.68",0.890280059678227,-0.117,0.095
"result.69",0.991407289673655,-0.226,0.095
"result.70",0.939230111167581,-0.148,0.096
"result.71",0.572591813846024,-0.017,0.095
"result.72",0.925939316315721,-0.137,0.095
"result.73",0.893072848254087,-0.118,0.095
"result.74",0.612663983956341,-0.027,0.095
"result.75",0.759145893135099,-0.067,0.095
"result.76",0.713485618150563,-0.053,0.095
"result.77",0.997754122260495,-0.27,0.095
"result.78",0.333562416288617,0.041,0.095
"result.79",0.710683322465447,-0.053,0.095
"result.80",0.967801525209908,-0.176,0.095
"result.81",0.798386145738196,-0.079,0.095
"result.82",0.922978550516902,-0.135,0.095
"result.83",0.949059008206094,-0.155,0.095
"result.84",0.445907900977066,0.013,0.095
"result.85",0.998313660941445,-0.279,0.095
"result.86",0.833757546753974,-0.092,0.095
"result.87",0.505658130369823,-0.001,0.095
"result.88",0.722972614264707,-0.056,0.095
"result.89",0.508071877785294,-0.002,0.095
"result.90",0.978039491435564,-0.192,0.095
"result.91",0.93951377863058,-0.147,0.095
"result.92",0.971683995187062,-0.181,0.095
"result.93",0.91163886274919,-0.129,0.096
"result.94",0.781935380609328,-0.074,0.095
"result.95",0.823746507925857,-0.088,0.095
"result.96",0.306295237829378,0.048,0.095
"result.97",0.630059560681699,-0.031,0.095
"result.98",0.36975112709579,0.032,0.095
"result.99",0.620281474762311,-0.029,0.095
"result.100",0.400136292028778,0.024,0.095
"result.101",0.979116776817969,-0.194,0.095
"result.102",0.602605287198385,-0.025,0.095
"result.103",0.947028754872533,-0.154,0.095
"result.104",0.354657991810306,0.036,0.095
"result.105",0.946379407212687,-0.153,0.095
"result.106",0.449169185744865,0.012,0.095
"result.107",0.948363115129826,-0.155,0.095
"result.108",0.34106039208909,0.039,0.095
"result.109",0.993352440609755,-0.235,0.095
"result.110",0.563306440234014,-0.015,0.095
"result.111",0.865884288779087,-0.105,0.095
"result.112",0.792231821605027,-0.077,0.095
