"","V1","V2","V3"
"result.1",0.202843529130208,0.08,0.095
"result.2",0.0778892053209924,0.135,0.095
"result.3",0.276638619976748,0.057,0.096
"result.4",0.00794349612545188,0.23,0.096
"result.5",0.0665377419232121,0.143,0.095
"result.6",0.089087126018767,0.129,0.096
"result.7",0.453214045188326,0.011,0.095
"result.8",0.229463817618214,0.071,0.096
"result.9",0.212633841725161,0.076,0.095
"result.10",0.115915799729904,0.114,0.095
"result.11",0.369337420074688,0.032,0.095
"result.12",0.684047372663827,-0.046,0.096
"result.13",0.0618614283991862,0.147,0.095
"result.14",0.0292085743630658,0.181,0.096
"result.15",0.792629703535751,-0.078,0.095
"result.16",0.822162018942416,-0.088,0.096
"result.17",0.0245024323273959,0.188,0.095
"result.18",0.0355267274192841,0.173,0.096
"result.19",0.939262760252069,-0.148,0.096
"result.20",0.0169707964335544,0.202,0.095
"result.21",0.758428803978546,-0.067,0.096
"result.22",0.025231776871241,0.186,0.095
"result.23",0.0780223568886568,0.136,0.096
"result.24",0.359783443408787,0.034,0.095
"result.25",0.27602847261624,0.057,0.095
"result.26",0.295355382106996,0.051,0.095
"result.27",0.172110182735012,0.09,0.095
"result.28",0.0630812598360855,0.146,0.095
"result.29",0.125319172820691,0.11,0.096
"result.30",0.276780089328608,0.057,0.096
"result.31",0.294513346499985,0.052,0.095
"result.32",0.240237318381393,0.068,0.095
"result.33",0.302390345816354,0.05,0.095
"result.34",0.400769495040376,0.024,0.096
"result.35",0.434562862210464,0.016,0.096
"result.36",0.00282047589235391,0.264,0.095
"result.37",0.829693411911597,-0.091,0.095
"result.38",0.0111134458364924,0.219,0.096
"result.39",0.421999347894729,0.019,0.095
"result.40",0.526444340546335,-0.006,0.095
"result.41",0.363798717570943,0.033,0.095
"result.42",0.107577296812602,0.118,0.095
"result.43",0.00261456240032906,0.268,0.096
"result.44",0.0296099388409946,0.181,0.096
"result.45",0.185217492028134,0.086,0.095
"result.46",0.0800473357963231,0.134,0.095
"result.47",0.469250977257399,0.008,0.095
"result.48",0.93156864172348,-0.141,0.095
"result.49",0.100477618935721,0.122,0.096
"result.50",0.00184909221081619,0.278,0.096
"result.51",0.43569637414173,0.016,0.096
"result.52",0.0114242324005851,0.219,0.096
"result.53",0.00202335682372847,0.274,0.095
"result.54",0.240044508754315,0.067,0.095
"result.55",0.0693223579726957,0.141,0.095
"result.56",0.000610500256958604,0.309,0.096
"result.57",0.0397742296569484,0.167,0.095
"result.58",0.460489361707075,0.01,0.095
"result.59",0.236827403123785,0.069,0.096
"result.60",0.230394510777262,0.071,0.095
"result.61",0.0222513304311725,0.192,0.096
"result.62",0.369052378817496,0.032,0.095
"result.63",0.19282403323348,0.083,0.096
"result.64",0.723069175004232,-0.056,0.095
"result.65",0.404358834127971,0.023,0.096
"result.66",0.226494382978588,0.072,0.095
"result.67",0.500812461557906,0,0.095
"result.68",0.230707958665885,0.07,0.095
"result.69",0.593374628886183,-0.022,0.095
"result.70",0.43289332780119,0.016,0.096
"result.71",0.101965656153826,0.121,0.095
"result.72",0.45440773316018,0.011,0.096
"result.73",0.56920944858965,-0.016,0.095
"result.74",0.139465794324061,0.104,0.096
"result.75",0.138351110081095,0.104,0.095
"result.76",0.0777423028893948,0.136,0.096
"result.77",0.864942933720904,-0.105,0.095
"result.78",0.00602353664296817,0.239,0.095
"result.79",0.0722575175111583,0.139,0.095
"result.80",0.538609753095273,-0.009,0.095
"result.81",0.260984500403367,0.061,0.095
"result.82",0.614567752007819,-0.028,0.095
"result.83",0.451425256394117,0.012,0.095
"result.84",0.057789059280419,0.15,0.095
"result.85",0.86441264399956,-0.105,0.096
"result.86",0.0919261894492367,0.127,0.095
"result.87",0.0385536911882659,0.168,0.095
"result.88",0.192091266891379,0.083,0.095
"result.89",0.00572613758404876,0.241,0.096
"result.90",0.654439808481009,-0.038,0.096
"result.91",0.477298664258665,0.006,0.095
"result.92",0.629023171858581,-0.031,0.096
"result.93",0.158847356879501,0.096,0.096
"result.94",0.182896238270146,0.087,0.095
"result.95",0.173692972395843,0.09,0.095
"result.96",0.0153667703836841,0.206,0.095
"result.97",0.156109025199145,0.097,0.095
"result.98",0.0263891960487008,0.185,0.095
"result.99",0.122367160264265,0.112,0.096
"result.100",0.0585484709163404,0.15,0.096
"result.101",0.641785942142294,-0.034,0.095
"result.102",0.0423689541859079,0.165,0.096
"result.103",0.428202369702266,0.017,0.096
"result.104",0.0579537165016098,0.15,0.095
"result.105",0.238254212037277,0.068,0.095
"result.106",0.00661527311362065,0.236,0.096
"result.107",0.395309509183213,0.026,0.096
"result.108",0.0223344791650585,0.192,0.095
"result.109",0.906685674712095,-0.126,0.095
"result.110",0.0225562769425325,0.192,0.096
"result.111",0.471950332643337,0.007,0.095
"result.112",0.405098753485101,0.023,0.095
"result.113",0.380785505959163,0.029,0.095
"result.114",0.406899521605722,0.023,0.095
"result.115",0.911402293244011,-0.128,0.095
"result.116",0.0295386501403674,0.18,0.096
"result.117",0.475450936462412,0.006,0.095
"result.118",0.03396452787202,0.174,0.095
"result.119",0.0772352032864094,0.136,0.095
"result.120",0.115455249415612,0.114,0.095
"result.121",0.381302564428318,0.029,0.095
"result.122",0.731014212496207,-0.059,0.095
"result.123",0.424402064187961,0.018,0.095
"result.124",0.662100222216814,-0.04,0.095
"result.125",0.327778510035896,0.043,0.095
"result.126",0.992283471975504,-0.231,0.096
"result.127",0.507011207274654,-0.001,0.095
"result.128",0.0839434776316533,0.132,0.096
"result.129",0.611969609834385,-0.027,0.095
"result.130",0.152344523730449,0.098,0.095
"result.131",0.454141396766629,0.011,0.095
"result.132",0.291396405483745,0.053,0.095
"result.133",0.09076601472552,0.128,0.096
"result.134",0.783299460095016,-0.074,0.095
"result.135",0.256070305164108,0.063,0.095
"result.136",0.227496162490306,0.071,0.095
"result.137",0.39255052358926,0.026,0.096
"result.138",0.03883800709867,0.169,0.096
"result.139",0.531690282679403,-0.007,0.095
"result.140",0.148660346200581,0.1,0.096
"result.141",0.156538221844217,0.097,0.096
"result.142",0.355419868825713,0.036,0.095
"result.143",0.869416325745383,-0.107,0.095
"result.144",0.301119529600457,0.05,0.095
"result.145",0.0621362759449434,0.147,0.095
"result.146",0.192997932270263,0.083,0.095
"result.147",0.351515550378341,0.037,0.095
"result.148",0.896835410942482,-0.12,0.095
"result.149",0.774001977656549,-0.072,0.096
"result.150",0.0747266073725748,0.138,0.095
"result.151",0.0358561603429782,0.172,0.096
"result.152",0.45504126506894,0.011,0.095
"result.153",0.311569123669255,0.047,0.096
"result.154",0.318830631415489,0.045,0.095
"result.155",0.138942880795723,0.104,0.095
"result.156",0.0390570309230451,0.169,0.096
"result.157",0.0325075716994139,0.176,0.095
"result.158",0.363353560833229,0.033,0.095
"result.159",0.248593199411685,0.065,0.095
"result.160",0.156282877604855,0.097,0.095
"result.161",0.0552273557410377,0.153,0.096
"result.162",0.648145546861134,-0.036,0.095
"result.163",0.478953099384472,0.005,0.095
"result.164",0.107829449210222,0.118,0.095
"result.165",0.335970763752719,0.04,0.095
"result.166",0.338363034924088,0.04,0.096
"result.167",0.207742957538905,0.078,0.095
"result.168",0.198415899596267,0.081,0.095
"result.169",0.273042603113173,0.058,0.095
"result.170",0.0122318062434455,0.215,0.096
"result.171",0.3850197252148,0.028,0.096
"result.172",0.253207008059402,0.064,0.095
"result.173",0.0702540441180488,0.141,0.095
"result.174",0.137392834333235,0.104,0.095
"result.175",0.229813489947282,0.071,0.095
"result.176",0.328984372925029,0.042,0.095
"result.177",0.33327221274155,0.041,0.095
"result.178",0.127620921260127,0.109,0.096
"result.179",0.27044796381384,0.059,0.095
"result.180",0.362613038884321,0.034,0.095
"result.181",0.0691338073965188,0.141,0.095
"result.182",0.368659942670677,0.032,0.096
"result.183",0.554759015836186,-0.013,0.095
"result.184",0.161066762967568,0.094,0.095
"result.185",0.9536840370515,-0.16,0.095
"result.186",0.292341168522439,0.052,0.095
"result.187",0.0656273879702795,0.144,0.096
"result.188",0.249648198357254,0.065,0.095
"result.189",0.0683922200927107,0.142,0.095
"result.190",0.0321529893610824,0.176,0.095
"result.191",0.0118009847742826,0.217,0.096
"result.192",0.191821216466837,0.083,0.095
"result.193",0.328076303250636,0.043,0.095
"result.194",0.59845411793272,-0.024,0.095
"result.195",0.402351512872183,0.024,0.095
"result.196",0.299475220949659,0.05,0.095
"result.197",0.857335623545592,-0.102,0.095
"result.198",0.140710183440132,0.103,0.095
"result.199",0.00642215473505427,0.238,0.096
"result.200",0.683394753880562,-0.045,0.096
"result.201",0.0083050497704127,0.229,0.096
"result.202",0.589331817920114,-0.021,0.095
"result.203",0.0730539821675416,0.139,0.095
"result.204",0.0461750611987295,0.161,0.095
"result.205",0.394596441178567,0.026,0.096
"result.206",0.472016153555385,0.007,0.095
"result.207",0.00329723787675643,0.259,0.096
"result.208",0.148308754879723,0.1,0.095
"result.209",0.137699816226271,0.104,0.096
"result.210",0.716502418035464,-0.054,0.095
"result.211",0.00970901420488515,0.223,0.096
"result.212",0.600980362824639,-0.024,0.095
"result.213",0.81977592788481,-0.087,0.095
"result.214",0.430189810978376,0.017,0.096
"result.215",0.309168129416057,0.048,0.095
"result.216",0.029294413792628,0.181,0.095
"result.217",0.0698031757537891,0.141,0.096
