"","V1","V2","V3"
"result.1",0.951063336895526,-0.157,0.095
"result.2",0.760402140292979,-0.067,0.095
"result.3",0.98958739123561,-0.219,0.095
"result.4",0.388839153415921,0.027,0.095
"result.5",0.747848088794106,-0.063,0.095
"result.6",0.830910023074984,-0.091,0.095
"result.7",0.994762630032101,-0.243,0.095
"result.8",0.990360475582409,-0.222,0.095
"result.9",0.917813939545386,-0.132,0.095
"result.10",0.968202102802084,-0.176,0.095
"result.11",0.97733673656276,-0.19,0.095
"result.12",0.993860237526498,-0.238,0.095
"result.13",0.812919164629337,-0.084,0.095
"result.14",0.485088594645779,0.004,0.095
"result.15",0.998601246781825,-0.284,0.095
"result.16",0.999786022653145,-0.334,0.095
"result.17",0.715884317846007,-0.054,0.095
"result.18",0.726512680089935,-0.057,0.095
"result.19",0.999998589796166,-0.403,0.095
"result.20",0.505532575606812,-0.001,0.095
"result.21",0.999926887828221,-0.358,0.095
"result.22",0.574274676594129,-0.018,0.095
"result.23",0.711207270445734,-0.053,0.095
"result.24",0.974907069392248,-0.186,0.095
"result.25",0.990840310471343,-0.223,0.095
"result.26",0.966150216947396,-0.173,0.095
"result.27",0.907701922090643,-0.126,0.095
"result.28",0.786055465772987,-0.075,0.095
"result.29",0.836946075892154,-0.093,0.095
"result.30",0.992851492365506,-0.232,0.095
"result.31",0.946490131007516,-0.153,0.095
"result.32",0.981164246331543,-0.197,0.095
"result.33",0.986627481187308,-0.21,0.095
"result.34",0.986990977650102,-0.211,0.095
"result.35",0.950572432032108,-0.156,0.095
"result.36",0.19356643593786,0.082,0.095
"result.37",0.999635353928948,-0.321,0.095
"result.38",0.465020113161551,0.009,0.095
"result.39",0.963305286603752,-0.17,0.095
"result.40",0.994114610572537,-0.239,0.095
"result.41",0.964369362210806,-0.171,0.095
"result.42",0.97241967966995,-0.182,0.095
"result.43",0.763451478000147,-0.068,0.095
"result.44",0.544488159744123,-0.01,0.095
"result.45",0.986713127578049,-0.21,0.095
"result.46",0.751572762933982,-0.064,0.095
"result.47",0.992578616305706,-0.231,0.095
"result.48",0.999332050514757,-0.304,0.095
"result.49",0.97786314365465,-0.191,0.095
"result.50",0.40446636479504,0.023,0.095
"result.51",0.954074163822078,-0.16,0.095
"result.52",0.540331209043502,-0.009,0.095
"result.53",0.0941425927274369,0.125,0.095
"result.54",0.911153451923257,-0.128,0.095
"result.55",0.750016626268932,-0.064,0.095
"result.56",0.371775422678661,0.031,0.095
"result.57",0.730229676163118,-0.058,0.095
"result.58",0.996834309143101,-0.259,0.095
"result.59",0.947494735964912,-0.154,0.095
"result.60",0.907684495147292,-0.126,0.095
"result.61",0.880931300742169,-0.112,0.095
"result.62",0.920540139273384,-0.133,0.095
"result.63",0.986637220620898,-0.211,0.095
"result.64",0.998655251418842,-0.285,0.095
"result.65",0.996924297455608,-0.26,0.095
"result.66",0.854607265758902,-0.1,0.095
"result.67",0.973553903529938,-0.184,0.095
"result.68",0.951321386829424,-0.157,0.095
"result.69",0.998590766645138,-0.283,0.095
"result.70",0.978255861526012,-0.192,0.095
"result.71",0.68317367746112,-0.045,0.095
"result.72",0.980635441720349,-0.196,0.095
"result.73",0.982298889320802,-0.199,0.095
"result.74",0.857683200618573,-0.101,0.095
"result.75",0.916331139164088,-0.131,0.095
"result.76",0.937388702731549,-0.145,0.095
"result.77",0.999837144325704,-0.34,0.095
"result.78",0.789417679766111,-0.076,0.095
"result.79",0.865212361549975,-0.105,0.095
"result.80",0.998471250957389,-0.281,0.095
"result.81",0.851393221354619,-0.099,0.095
"result.82",0.99318561258519,-0.233,0.095
"result.83",0.972042419633842,-0.181,0.095
"result.84",0.663815232654131,-0.04,0.095
"result.85",0.99994847061103,-0.365,0.095
"result.86",0.934957960168078,-0.143,0.095
"result.87",0.712192816209934,-0.053,0.095
"result.88",0.945160231044612,-0.152,0.095
"result.89",0.762257399085897,-0.067,0.095
"result.90",0.996764161422609,-0.258,0.095
"result.91",0.961769785423995,-0.168,0.095
"result.92",0.993885351000985,-0.237,0.095
"result.93",0.992760968732718,-0.232,0.095
"result.94",0.934557296045254,-0.143,0.095
"result.95",0.937744472307285,-0.145,0.095
"result.96",0.588956097309799,-0.021,0.095
"result.97",0.835292259663134,-0.092,0.095
"result.98",0.704970145219994,-0.051,0.095
"result.99",0.859235034376691,-0.102,0.095
"result.100",0.698400398203869,-0.049,0.095
"result.101",0.98848841783213,-0.215,0.095
"result.102",0.850311616287859,-0.098,0.095
"result.103",0.994120047347541,-0.239,0.095
"result.104",0.61576383167408,-0.028,0.095
"result.105",0.990818002474203,-0.223,0.095
"result.106",0.651782010886472,-0.037,0.095
"result.107",0.979383007639473,-0.194,0.095
"result.108",0.68472479253054,-0.045,0.095
"result.109",0.998766199794673,-0.287,0.095
"result.110",0.728767889764967,-0.058,0.095
"result.111",0.968942818728515,-0.177,0.095
"result.112",0.946157385133172,-0.152,0.095
"result.113",0.913429459376931,-0.129,0.095
"result.114",0.996664913790876,-0.257,0.095
"result.115",0.999081137300949,-0.295,0.095
"result.116",0.835257815933505,-0.092,0.095
"result.117",0.900311539650983,-0.121,0.095
"result.118",0.617665377957455,-0.028,0.095
"result.119",0.909195878511709,-0.126,0.095
"result.120",0.918077982043056,-0.132,0.095
"result.121",0.99393715508986,-0.238,0.095
"result.122",0.995717153459993,-0.249,0.095
"result.123",0.985772648429084,-0.207,0.095
"result.124",0.99721137794475,-0.262,0.095
"result.125",0.987595038699532,-0.213,0.095
"result.126",0.999976629449667,-0.379,0.095
"result.127",0.984453209806148,-0.204,0.095
"result.128",0.897119184513042,-0.12,0.095
"result.129",0.983339862257916,-0.202,0.095
"result.130",0.930024430006873,-0.14,0.095
"result.131",0.996049818734816,-0.252,0.095
"result.132",0.918868475922462,-0.132,0.095
"result.133",0.877255380732167,-0.11,0.095
"result.134",0.997610002992853,-0.267,0.095
"result.135",0.963624425456175,-0.17,0.095
"result.136",0.862351007512288,-0.103,0.095
"result.137",0.96877070335258,-0.177,0.095
"result.138",0.62412095377732,-0.03,0.095
"result.139",0.950145776350941,-0.156,0.095
"result.140",0.832089447839816,-0.091,0.095
"result.141",0.79074243821176,-0.077,0.095
"result.142",0.983293505188165,-0.201,0.095
"result.143",0.999911915705762,-0.354,0.095
"result.144",0.903081838928622,-0.123,0.095
"result.145",0.718439133734133,-0.055,0.095
"result.146",0.879842091135139,-0.111,0.095
"result.147",0.965757055162414,-0.173,0.095
"result.148",0.999598720408992,-0.318,0.095
"result.149",0.99940639651139,-0.307,0.095
"result.150",0.757875328996748,-0.066,0.095
"result.151",0.804275410344892,-0.081,0.095
"result.152",0.997739792535689,-0.269,0.095
"result.153",0.980535573436743,-0.196,0.095
"result.154",0.992884125395918,-0.232,0.095
"result.155",0.895950739743712,-0.119,0.095
"result.156",0.717016434217906,-0.054,0.095
"result.157",0.605771774961899,-0.025,0.095
"result.158",0.993226680961962,-0.234,0.095
"result.159",0.802049429047482,-0.08,0.095
"result.160",0.962830646323781,-0.169,0.095
"result.161",0.8719604284139,-0.108,0.095
"result.162",0.999735273132587,-0.328,0.095
"result.163",0.911644507801069,-0.128,0.095
"result.164",0.777968787515361,-0.072,0.095
"result.165",0.709697634997394,-0.052,0.095
"result.166",0.856348550244276,-0.101,0.095
"result.167",0.927712410199644,-0.138,0.095
"result.168",0.956486900208872,-0.162,0.095
"result.169",0.825507830124646,-0.089,0.095
"result.170",0.55576476874076,-0.013,0.095
"result.171",0.993859937966147,-0.237,0.095
"result.172",0.979774723512269,-0.194,0.095
"result.173",0.882984045109652,-0.113,0.095
"result.174",0.906713509996877,-0.125,0.095
"result.175",0.949397482717733,-0.155,0.095
"result.176",0.982432330083395,-0.2,0.095
"result.177",0.967219027351581,-0.175,0.095
"result.178",0.964500088278503,-0.171,0.095
"result.179",0.96350861459152,-0.17,0.095
"result.180",0.9310759133808,-0.14,0.095
"result.181",0.717574115199676,-0.054,0.095
"result.182",0.984395577051244,-0.204,0.095
"result.183",0.986372902316498,-0.209,0.095
"result.184",0.921072162609335,-0.134,0.095
"result.185",0.999959248956895,-0.369,0.095
"result.186",0.989114729340834,-0.217,0.095
"result.187",0.93165511659288,-0.141,0.095
"result.188",0.907363817385366,-0.125,0.095
"result.189",0.68078131783735,-0.044,0.095
"result.190",0.4495893381443,0.012,0.095
"result.191",0.567023093491771,-0.016,0.095
"result.192",0.938089219220262,-0.146,0.095
"result.193",0.963924276268795,-0.17,0.095
"result.194",0.990312620951051,-0.221,0.095
"result.195",0.977399011263386,-0.19,0.095
"result.196",0.971890300361492,-0.181,0.095
"result.197",0.999594691019952,-0.317,0.095
"result.198",0.933405434902931,-0.142,0.095
"result.199",0.438243719874335,0.015,0.095
"result.200",0.9939160763863,-0.238,0.095
"result.201",0.608939597328848,-0.026,0.095
"result.202",0.99487615045657,-0.243,0.095
"result.203",0.853787218709134,-0.1,0.095
"result.204",0.682788878447057,-0.045,0.095
"result.205",0.995746553917211,-0.249,0.095
"result.206",0.958486578041103,-0.164,0.095
"result.207",0.448717972960276,0.012,0.095
"result.208",0.873079367926511,-0.108,0.095
"result.209",0.924962981810548,-0.136,0.095
"result.210",0.990193019925656,-0.221,0.095
"result.211",0.513549297450587,-0.003,0.095
"result.212",0.983008395857756,-0.201,0.095
"result.213",0.998989375387843,-0.293,0.095
"result.214",0.982138416744641,-0.199,0.095
"result.215",0.975355728072537,-0.187,0.095
"result.216",0.879948290829401,-0.111,0.095
"result.217",0.901235127123755,-0.122,0.095
"result.218",0.922707070012426,-0.135,0.095
"result.219",0.651198333433364,-0.037,0.095
"result.220",0.407097586217804,0.022,0.095
"result.221",0.973195194245506,-0.183,0.095
"result.222",0.836436469403676,-0.093,0.095
"result.223",0.660787066608274,-0.039,0.095
"result.224",0.999745312727625,-0.329,0.095
"result.225",0.975984743441269,-0.187,0.095
"result.226",0.936792514944233,-0.145,0.095
"result.227",0.92513790432031,-0.136,0.095
"result.228",0.993311976046491,-0.234,0.095
"result.229",0.967469010276951,-0.175,0.095
"result.230",0.790762488523853,-0.077,0.095
"result.231",0.999328694219545,-0.305,0.095
"result.232",0.986029598106512,-0.208,0.095
"result.233",0.995624628342364,-0.248,0.095
"result.234",0.36774649471304,0.032,0.095
"result.235",0.504910067315002,-0.001,0.095
"result.236",0.972038083413005,-0.181,0.095
"result.237",0.916131051128457,-0.131,0.095
"result.238",0.964850183036003,-0.172,0.095
"result.239",0.989818258089299,-0.22,0.095
