"","V1","V2","V3"
"result.1",0.875939928953836,-0.109,0.095
"result.2",0.618620076888107,-0.028,0.095
"result.3",0.942659185649087,-0.149,0.095
"result.4",0.220069414568145,0.073,0.095
"result.5",0.546644985148697,-0.011,0.095
"result.6",0.69506530294386,-0.048,0.095
"result.7",0.987575050832344,-0.213,0.095
"result.8",0.955141001941588,-0.161,0.095
"result.9",0.812339371216243,-0.084,0.095
"result.10",0.870095484742637,-0.107,0.095
"result.11",0.923177208989041,-0.135,0.095
"result.12",0.977469733871992,-0.19,0.095
"result.13",0.621907351731654,-0.029,0.095
"result.14",0.250987936726621,0.064,0.095
"result.15",0.985513448237868,-0.207,0.095
"result.16",0.997712835322688,-0.269,0.095
"result.17",0.57076479662481,-0.017,0.095
"result.18",0.461283816389493,0.009,0.095
"result.19",0.999929903030629,-0.359,0.095
"result.20",0.302340380881705,0.049,0.095
"result.21",0.999463883262733,-0.31,0.095
"result.22",0.406596713091909,0.023,0.095
"result.23",0.489624786779694,0.003,0.095
"result.24",0.942243662373731,-0.149,0.095
"result.25",0.968273404180037,-0.176,0.095
"result.26",0.893484139587072,-0.118,0.095
"result.27",0.762947552150132,-0.068,0.095
"result.28",0.66241396741781,-0.04,0.095
"result.29",0.636618413902753,-0.033,0.095
"result.30",0.957970173044697,-0.164,0.095
"result.31",0.780057822714372,-0.073,0.095
"result.32",0.940714986230977,-0.148,0.095
"result.33",0.968266330574532,-0.176,0.095
"result.34",0.965073658599513,-0.172,0.095
"result.35",0.852552500348643,-0.099,0.095
"result.36",0.0591679613552838,0.148,0.095
"result.37",0.997390125801143,-0.266,0.095
"result.38",0.301992951462581,0.05,0.095
"result.39",0.886655351548154,-0.115,0.095
"result.40",0.97126193318798,-0.18,0.095
"result.41",0.907899509993215,-0.126,0.095
"result.42",0.890249939697963,-0.116,0.095
"result.43",0.563118907833849,-0.015,0.095
"result.44",0.367187214916425,0.032,0.095
"result.45",0.942440494441301,-0.149,0.095
"result.46",0.519842424062206,-0.005,0.095
"result.47",0.938802557896772,-0.146,0.095
"result.48",0.993359004627357,-0.234,0.095
"result.49",0.921945809219535,-0.134,0.095
"result.50",0.153519552415525,0.097,0.095
"result.51",0.903566828355516,-0.123,0.095
"result.52",0.451341312211536,0.012,0.095
"result.53",0.0173801810675788,0.2,0.095
"result.54",0.761185558518977,-0.067,0.095
"result.55",0.500830956514377,0,0.095
"result.56",0.189356749401972,0.084,0.095
"result.57",0.478817221891158,0.005,0.095
"result.58",0.989266339323696,-0.218,0.095
"result.59",0.823570346656737,-0.088,0.095
"result.60",0.806996725335315,-0.082,0.095
"result.61",0.798472875698589,-0.079,0.095
"result.62",0.804831628709433,-0.081,0.095
"result.63",0.927544622756566,-0.139,0.095
"result.64",0.992386973317417,-0.23,0.095
"result.65",0.97597190340469,-0.187,0.095
"result.66",0.73507659871252,-0.059,0.095
"result.67",0.905929295276245,-0.125,0.095
"result.68",0.839253636780843,-0.094,0.095
"result.69",0.994495506222322,-0.241,0.095
"result.70",0.918474456803847,-0.132,0.095
"result.71",0.527783457461164,-0.006,0.095
"result.72",0.923141033117092,-0.135,0.095
"result.73",0.951071727862985,-0.157,0.095
"result.74",0.711122494221964,-0.053,0.095
"result.75",0.684574419038105,-0.045,0.095
"result.76",0.834913502355265,-0.092,0.095
"result.77",0.998092122894184,-0.275,0.095
"result.78",0.531617902270926,-0.007,0.095
"result.79",0.639008646894746,-0.034,0.095
"result.80",0.989931609274616,-0.221,0.095
"result.81",0.688188276514854,-0.046,0.095
"result.82",0.972479347974524,-0.182,0.095
"result.83",0.902331072761145,-0.123,0.095
"result.84",0.525645029803366,-0.006,0.095
"result.85",0.99878093938271,-0.287,0.095
"result.86",0.773700209425979,-0.071,0.095
"result.87",0.50106242346462,0,0.095
"result.88",0.811078470824823,-0.083,0.095
"result.89",0.541153631252508,-0.01,0.095
"result.90",0.986428851582627,-0.21,0.095
"result.91",0.906645624151642,-0.125,0.095
"result.92",0.976373495611397,-0.188,0.095
"result.93",0.961602952166602,-0.168,0.095
"result.94",0.83735188829672,-0.093,0.095
"result.95",0.872579839958017,-0.108,0.095
"result.96",0.367698948347656,0.032,0.095
"result.97",0.685440680154784,-0.046,0.095
"result.98",0.535187725540056,-0.008,0.095
"result.99",0.684988343338387,-0.046,0.095
"result.100",0.541361397133203,-0.01,0.095
"result.101",0.964622838789293,-0.171,0.095
"result.102",0.699115239763525,-0.049,0.095
"result.103",0.965631202292217,-0.173,0.095
"result.104",0.313637729644417,0.046,0.095
"result.105",0.967418691729969,-0.175,0.095
"result.106",0.493119878764515,0.002,0.095
"result.107",0.8999946233658,-0.121,0.095
"result.108",0.430401789247996,0.017,0.095
"result.109",0.994503730738938,-0.241,0.095
"result.110",0.515549929677725,-0.003,0.095
"result.111",0.93859131775442,-0.146,0.095
"result.112",0.87896283457081,-0.111,0.095
"result.113",0.836705761551223,-0.093,0.095
"result.114",0.978531866217514,-0.192,0.095
"result.115",0.992931755056905,-0.232,0.095
"result.116",0.712680103800053,-0.053,0.095
"result.117",0.774434114505639,-0.071,0.095
"result.118",0.48497521842322,0.004,0.095
"result.119",0.765186581037082,-0.068,0.095
"result.120",0.792401395407676,-0.077,0.095
"result.121",0.973384709419183,-0.183,0.095
"result.122",0.982708317511333,-0.2,0.095
"result.123",0.944424448698042,-0.151,0.095
"result.124",0.992000325330561,-0.228,0.095
"result.125",0.954523992802694,-0.16,0.095
"result.126",0.999698181371372,-0.325,0.095
"result.127",0.936791541109578,-0.145,0.095
"result.128",0.717050992898734,-0.054,0.095
"result.129",0.945359450078868,-0.152,0.095
"result.130",0.804794902389348,-0.081,0.095
"result.131",0.982124166564579,-0.199,0.095
"result.132",0.835969859854125,-0.093,0.095
"result.133",0.696607374058121,-0.049,0.095
"result.134",0.986543604968803,-0.21,0.095
"result.135",0.885846699266298,-0.114,0.095
"result.136",0.732661224943211,-0.059,0.095
"result.137",0.877174403394962,-0.11,0.095
"result.138",0.392763383784373,0.026,0.095
"result.139",0.855504233116118,-0.1,0.095
"result.140",0.610914104527695,-0.027,0.095
"result.141",0.637864149027999,-0.033,0.095
"result.142",0.961151064653123,-0.167,0.095
"result.143",0.999111757733557,-0.297,0.095
"result.144",0.810700368122768,-0.083,0.095
"result.145",0.509594431055581,-0.002,0.095
"result.146",0.760102644935774,-0.067,0.095
"result.147",0.915475864420491,-0.13,0.095
"result.148",0.996769598063399,-0.258,0.095
"result.149",0.995104253208959,-0.245,0.095
"result.150",0.48695627962318,0.003,0.095
"result.151",0.566237164844868,-0.016,0.095
"result.152",0.978424835767483,-0.192,0.095
"result.153",0.951507506046688,-0.157,0.095
"result.154",0.974866183880183,-0.185,0.095
"result.155",0.735907385105384,-0.06,0.095
"result.156",0.571890559861352,-0.017,0.095
"result.157",0.45350554560977,0.011,0.095
"result.158",0.97324678648848,-0.183,0.095
"result.159",0.621915987470527,-0.029,0.095
"result.160",0.880691257569963,-0.111,0.095
"result.161",0.677919373099246,-0.044,0.095
"result.162",0.998870917646311,-0.29,0.095
"result.163",0.780528804649983,-0.073,0.095
"result.164",0.596576982845848,-0.023,0.095
"result.165",0.481325567856045,0.005,0.095
"result.166",0.721703026483894,-0.056,0.095
"result.167",0.800658920599274,-0.08,0.095
"result.168",0.8913783771314,-0.117,0.095
"result.169",0.640629526415283,-0.034,0.095
"result.170",0.377927163877184,0.03,0.095
"result.171",0.977811439454902,-0.191,0.095
"result.172",0.952350042195262,-0.158,0.095
"result.173",0.663664127922176,-0.04,0.095
"result.174",0.815200368490319,-0.085,0.095
"result.175",0.78815750455863,-0.076,0.095
"result.176",0.954523061004446,-0.16,0.095
"result.177",0.904154632569561,-0.124,0.095
"result.178",0.902861758063276,-0.123,0.095
"result.179",0.907933340732963,-0.126,0.095
"result.180",0.739302071874219,-0.061,0.095
"result.181",0.431170079128271,0.017,0.095
"result.182",0.910512932402043,-0.127,0.095
"result.183",0.939376172935026,-0.147,0.095
"result.184",0.782406325067464,-0.074,0.095
"result.185",0.999507679510498,-0.312,0.095
"result.186",0.970738473466555,-0.179,0.095
"result.187",0.688457892196452,-0.046,0.095
"result.188",0.822234648581748,-0.087,0.095
"result.189",0.48969555736737,0.003,0.095
"result.190",0.235214296911854,0.069,0.095
"result.191",0.377346775944355,0.03,0.095
"result.192",0.827194140423377,-0.089,0.095
"result.193",0.886845413714813,-0.114,0.095
"result.194",0.9548682196912,-0.16,0.095
"result.195",0.926587926114707,-0.137,0.095
"result.196",0.900103646597224,-0.121,0.095
"result.197",0.996399209504156,-0.254,0.095
"result.198",0.853761371832492,-0.1,0.095
"result.199",0.255126276782464,0.063,0.095
"result.200",0.980176484330588,-0.195,0.095
"result.201",0.371090696138464,0.031,0.095
"result.202",0.964622609699117,-0.171,0.095
"result.203",0.703029925348121,-0.05,0.095
"result.204",0.415122579199135,0.021,0.095
"result.205",0.955098030090173,-0.161,0.095
"result.206",0.884073964121705,-0.113,0.095
"result.207",0.285888046910847,0.054,0.095
"result.208",0.757063954135831,-0.066,0.095
"result.209",0.806594402756659,-0.082,0.095
"result.210",0.961657992855175,-0.168,0.095
"result.211",0.273474004474095,0.057,0.095
"result.212",0.942599630268871,-0.149,0.095
"result.213",0.996464591200609,-0.256,0.095
"result.214",0.956259777846748,-0.162,0.095
"result.215",0.897313425235401,-0.12,0.095
"result.216",0.754852565765867,-0.065,0.095
"result.217",0.769965156092379,-0.07,0.095
"result.218",0.776101887863001,-0.072,0.095
"result.219",0.450375840152888,0.012,0.095
"result.220",0.200926016193336,0.08,0.095
"result.221",0.911310934123612,-0.128,0.095
