"","V1","V2","V3"
"result.1",0.376318997072643,0.03,0.095
"result.2",0.213164020173664,0.076,0.095
"result.3",0.807392651508407,-0.082,0.095
"result.4",0.0218799245247263,0.192,0.095
"result.5",0.123049132388511,0.11,0.095
"result.6",0.259419444965096,0.062,0.095
"result.7",0.820708574505155,-0.087,0.095
"result.8",0.678020485774287,-0.044,0.095
"result.9",0.490830198582449,0.002,0.095
"result.10",0.575344901835067,-0.018,0.095
"result.11",0.654515873752125,-0.038,0.095
"result.12",0.864902239470226,-0.105,0.095
"result.13",0.141363300398184,0.102,0.095
"result.14",0.0938656858077808,0.126,0.095
"result.15",0.954936215048738,-0.161,0.095
"result.16",0.888140784803608,-0.116,0.095
"result.17",0.184953711304655,0.085,0.095
"result.18",0.212917797953891,0.076,0.095
"result.19",0.992287123462539,-0.23,0.095
"result.20",0.0421967431929756,0.164,0.095
"result.21",0.976466252853698,-0.189,0.095
"result.22",0.11876402840779,0.112,0.095
"result.23",0.189590097649091,0.084,0.095
"result.24",0.734391185073175,-0.059,0.095
"result.25",0.622446908299346,-0.029,0.095
"result.26",0.671505102135779,-0.042,0.095
"result.27",0.41601911841769,0.02,0.095
"result.28",0.265005203547096,0.06,0.095
"result.29",0.356608319157473,0.035,0.095
"result.30",0.765417443451357,-0.069,0.095
"result.31",0.653169961893764,-0.037,0.095
"result.32",0.567906442059328,-0.016,0.095
"result.33",0.714375303373716,-0.054,0.095
"result.34",0.808082369632481,-0.083,0.095
"result.35",0.665354924627321,-0.04,0.095
"result.36",0.00800956195608638,0.229,0.095
"result.37",0.979795867140623,-0.195,0.095
"result.38",0.0344909320700802,0.174,0.095
"result.39",0.546166486386656,-0.011,0.095
"result.40",0.779307872311193,-0.073,0.095
"result.41",0.680408811253697,-0.044,0.095
"result.42",0.518720487940004,-0.004,0.095
"result.43",0.070918282244489,0.14,0.095
"result.44",0.108560711447242,0.118,0.095
"result.45",0.719230245276244,-0.055,0.095
"result.46",0.295317303359208,0.051,0.095
"result.47",0.87918307238423,-0.111,0.095
"result.48",0.985130706099527,-0.206,0.095
"result.49",0.529154062372223,-0.007,0.095
"result.50",0.0165078545485529,0.203,0.095
"result.51",0.617640751987268,-0.028,0.095
"result.52",0.0896577551304086,0.128,0.095
"result.53",0.00362115822572608,0.255,0.095
"result.54",0.37440295808847,0.031,0.095
"result.55",0.236829248781683,0.068,0.095
"result.56",0.0163370513514035,0.203,0.095
"result.57",0.102625599442121,0.12,0.095
"result.58",0.822095877650565,-0.088,0.095
"result.59",0.509746093397483,-0.002,0.095
"result.60",0.386224614630331,0.028,0.095
"result.61",0.194395774015057,0.082,0.095
"result.62",0.511728631103131,-0.003,0.095
"result.63",0.555737133782702,-0.013,0.095
"result.64",0.87248699463022,-0.108,0.095
"result.65",0.819447120707774,-0.087,0.095
"result.66",0.321810067618527,0.044,0.095
"result.67",0.684950742710483,-0.046,0.095
"result.68",0.646347862672779,-0.035,0.095
"result.69",0.908328485490586,-0.126,0.095
"result.70",0.695571860623888,-0.049,0.095
"result.71",0.233565041883958,0.069,0.095
"result.72",0.725195797596851,-0.057,0.095
"result.73",0.600255591985218,-0.024,0.095
"result.74",0.360422196583616,0.034,0.095
"result.75",0.456343328793078,0.011,0.095
"result.76",0.47732237526471,0.006,0.095
"result.77",0.9852847367331,-0.207,0.095
"result.78",0.130309881704347,0.107,0.095
"result.79",0.353663389969214,0.036,0.095
"result.80",0.856892525109491,-0.101,0.095
"result.81",0.427660694836002,0.018,0.095
"result.82",0.746812263749418,-0.063,0.095
"result.83",0.631060922011128,-0.032,0.095
"result.84",0.188100617170125,0.084,0.095
"result.85",0.978506478722999,-0.192,0.095
"result.86",0.440748289874323,0.014,0.095
"result.87",0.241972448021938,0.067,0.095
"result.88",0.436976653921009,0.015,0.095
"result.89",0.297706449636441,0.051,0.095
"result.90",0.84391367568378,-0.096,0.095
"result.91",0.699465763150718,-0.049,0.095
"result.92",0.830207558964461,-0.091,0.095
"result.93",0.696516757261558,-0.049,0.095
"result.94",0.564285041002655,-0.015,0.095
"result.95",0.491196566839476,0.002,0.095
"result.96",0.0610861985325658,0.147,0.095
"result.97",0.256178179743695,0.062,0.095
"result.98",0.10837636513448,0.117,0.095
"result.99",0.318941404264946,0.045,0.095
"result.100",0.144995554044866,0.101,0.095
"result.101",0.871227844015477,-0.107,0.095
"result.102",0.308088831260234,0.048,0.095
"result.103",0.812572407191417,-0.084,0.095
"result.104",0.0798687187125121,0.134,0.095
"result.105",0.820439237664133,-0.087,0.095
"result.106",0.128356105175526,0.108,0.095
"result.107",0.73519909596488,-0.06,0.095
"result.108",0.123564665842083,0.11,0.095
"result.109",0.924269856223574,-0.136,0.095
"result.110",0.125794397543674,0.109,0.095
"result.111",0.589281819069901,-0.021,0.095
"result.112",0.496751988474272,0.001,0.095
"result.113",0.510561771766015,-0.002,0.095
"result.114",0.829271674743649,-0.09,0.095
"result.115",0.963736508520905,-0.17,0.095
