"","V1","V2","V3"
"result.1",0.0256197705416524,0.186,0.095
"result.2",0.00267470302171882,0.265,0.095
"result.3",0.0215536373856883,0.193,0.095
"result.4",2.17134841240193e-05,0.382,0.096
"result.5",0.000519735358842791,0.312,0.095
"result.6",0.00681851317701344,0.235,0.095
"result.7",0.119287074919861,0.113,0.095
"result.8",0.0323633617659595,0.177,0.096
"result.9",0.0271846855551963,0.183,0.095
"result.10",0.00206465700429977,0.273,0.095
"result.11",0.0615217783855686,0.147,0.095
"result.12",0.192929865122238,0.083,0.096
"result.13",0.00122232704686668,0.289,0.095
"result.14",0.000338652459860465,0.325,0.096
"result.15",0.287927151528098,0.053,0.095
"result.16",0.310893038632088,0.047,0.095
"result.17",0.00166502197170386,0.28,0.095
"result.18",0.000679514933372384,0.305,0.095
"result.19",0.597938910909243,-0.023,0.096
"result.20",0.000177817085114645,0.339,0.095
"result.21",0.362607873239454,0.034,0.095
"result.22",0.00128719436629007,0.287,0.095
"result.23",0.00165211805398658,0.281,0.096
"result.24",0.0692680181806169,0.141,0.095
"result.25",0.0434176775091257,0.163,0.095
"result.26",0.0259663223039615,0.185,0.095
"result.27",0.0189541420696967,0.198,0.095
"result.28",0.00364765723934563,0.255,0.095
"result.29",0.00248069355846973,0.268,0.095
"result.30",0.0266410807838266,0.185,0.095
"result.31",0.0152465692406703,0.206,0.095
"result.32",0.0259456417349058,0.186,0.096
"result.33",0.0746845440559073,0.138,0.095
"result.34",0.0719940119504672,0.14,0.096
"result.35",0.0566597866947673,0.151,0.095
"result.36",1.88801767228142e-07,0.418,0.095
"result.37",0.405258190694706,0.023,0.095
"result.38",0.000206577991225807,0.337,0.096
"result.39",0.0868505265195818,0.13,0.095
"result.40",0.0722640833616872,0.139,0.095
"result.41",0.0563826986063848,0.151,0.095
"result.42",0.00677170435708424,0.235,0.095
"result.43",3.70041813085265e-05,0.375,0.096
"result.44",0.000425863591418605,0.319,0.096
"result.45",0.0199961595857388,0.196,0.095
"result.46",0.00290643099115366,0.263,0.095
"result.47",0.0362443788372399,0.171,0.095
"result.48",0.448109591599073,0.013,0.095
"result.49",0.00737908963649962,0.233,0.096
"result.50",1.23994946730306e-06,0.406,0.096
"result.51",0.133850064485972,0.106,0.095
"result.52",0.000688089625168326,0.307,0.096
"result.53",1.88801321001575e-07,0.41,0.095
"result.54",0.0190331284837887,0.197,0.095
"result.55",0.00158166099099659,0.281,0.095
"result.56",1.88790448693809e-07,0.444,0.096
"result.57",0.000655513944206271,0.306,0.095
"result.58",0.120308219020843,0.112,0.095
"result.59",0.0141020623502476,0.209,0.095
"result.60",0.0158466200572278,0.205,0.095
"result.61",0.000795295434583668,0.302,0.096
"result.62",0.0562320581237407,0.151,0.095
"result.63",0.0106992771401259,0.22,0.096
"result.64",0.205285619733754,0.079,0.095
"result.65",0.0468850395555613,0.16,0.095
"result.66",0.0223362311040338,0.192,0.095
"result.67",0.0701392292773832,0.14,0.095
"result.68",0.014276805968918,0.209,0.095
"result.69",0.122193980513412,0.111,0.095
"result.70",0.0392878847383013,0.168,0.096
