"","V1","V2","V3"
"result.1",0.994100047341775,-0.239,0.095
"result.2",0.955122135616401,-0.161,0.095
"result.3",0.999526960713441,-0.314,0.095
"result.4",0.851017640800414,-0.099,0.095
"result.5",0.980039796848388,-0.195,0.095
"result.6",0.966085165563234,-0.173,0.095
"result.7",0.999905992164272,-0.353,0.095
"result.8",0.998931793795045,-0.292,0.095
"result.9",0.985965239700468,-0.208,0.095
"result.10",0.998931986943191,-0.292,0.095
"result.11",0.997638673670947,-0.268,0.095
"result.12",0.999863412734362,-0.345,0.095
"result.13",0.978429223293441,-0.192,0.095
"result.14",0.835603274971303,-0.093,0.095
"result.15",0.999966364355081,-0.373,0.095
"result.16",1,-0.431,0.095
"result.17",0.902793910957155,-0.123,0.095
"result.18",0.941018148284493,-0.148,0.095
"result.19",1,-0.488,0.096
"result.20",0.860440537185934,-0.102,0.095
"result.21",1,-0.426,0.095
"result.22",0.857342978221322,-0.101,0.095
"result.23",0.946629535913405,-0.153,0.095
"result.24",0.997828168020176,-0.271,0.095
"result.25",0.999115878800229,-0.297,0.095
"result.26",0.99705752013654,-0.261,0.095
"result.27",0.984494717368268,-0.204,0.095
"result.28",0.961030382075961,-0.167,0.095
"result.29",0.98603077201919,-0.209,0.095
"result.30",0.999459971964048,-0.311,0.095
"result.31",0.995793123237551,-0.25,0.095
"result.32",0.998999231554434,-0.293,0.095
"result.33",0.998750047583961,-0.287,0.095
"result.34",0.999292612091551,-0.304,0.095
"result.35",0.997265326954613,-0.264,0.095
"result.36",0.606289259498018,-0.025,0.095
"result.37",0.999991437538136,-0.393,0.095
"result.38",0.798408895625427,-0.079,0.095
"result.39",0.994682294399329,-0.242,0.095
"result.40",0.999902327512652,-0.352,0.095
"result.41",0.997141741623278,-0.262,0.095
"result.42",0.996588409336791,-0.257,0.095
"result.43",0.936852574188625,-0.145,0.095
"result.44",0.879038365115682,-0.111,0.095
"result.45",0.998953119452066,-0.292,0.095
"result.46",0.941442261728007,-0.149,0.095
"result.47",0.999756502665435,-0.33,0.095
"result.48",0.999997336310657,-0.4,0.095
"result.49",0.997586730602871,-0.267,0.095
"result.50",0.748138324150307,-0.063,0.095
"result.51",0.989587499398902,-0.219,0.095
"result.52",0.84137872303904,-0.095,0.095
"result.53",0.324708339043672,0.043,0.095
"result.54",0.994009743486135,-0.238,0.095
