"","V1","V2","V3"
"result.1",0.999150426917694,0.309,0.099
"result.2",0.992077156533557,0.236,0.098
"result.3",1,0.433,0.098
"result.4",0.902738595591495,0.127,0.098
"result.5",0.99544014327465,0.254,0.098
"result.6",0.999668393110465,0.333,0.098
"result.7",1,0.465,0.099
"result.8",0.99999716836921,0.412,0.098
"result.9",0.999689939551317,0.335,0.098
"result.10",0.999963146893664,0.381,0.098
"result.11",0.999839235181677,0.351,0.098
"result.12",1,0.444,0.099
"result.13",0.994546305758111,0.248,0.098
"result.14",0.861550551022133,0.107,0.098
"result.15",1,0.489,0.098
"result.16",1,0.549,0.099
"result.17",0.997694214364819,0.276,0.098
"result.18",0.988145159103997,0.221,0.098
"result.19",1,0.621,0.099
"result.20",0.884878572867174,0.117,0.098
"result.21",1,0.608,0.099
"result.22",0.982594859797189,0.206,0.098
"result.23",0.988878998602366,0.224,0.098
"result.24",0.999996169766681,0.412,0.098
"result.25",0.999997312791206,0.413,0.098
"result.26",0.999775254951168,0.343,0.098
"result.27",0.998155032971909,0.283,0.098
"result.28",0.990909764136382,0.229,0.097
"result.29",0.999721207129309,0.338,0.098
"result.30",1,0.438,0.098
"result.31",0.999790864330128,0.344,0.098
"result.32",0.999401704579582,0.316,0.098
"result.33",0.999953834764875,0.379,0.098
"result.34",1,0.463,0.099
"result.35",0.9998027564113,0.348,0.099
"result.36",0.866456334940961,0.108,0.098
"result.37",1,0.5,0.099
"result.38",0.958141390827729,0.17,0.099
"result.39",0.999602468274471,0.329,0.098
"result.40",0.99999750002957,0.414,0.099
"result.41",1,0.452,0.098
"result.42",0.997599263156331,0.276,0.098
"result.43",0.996031173420083,0.26,0.098
"result.44",0.968231847199406,0.182,0.098
"result.45",0.999962862168372,0.382,0.098
"result.46",0.99703631679045,0.269,0.098
"result.47",1,0.437,0.098
"result.48",1,0.492,0.098
"result.49",0.999932067934042,0.371,0.098
"result.50",0.804077342078612,0.084,0.098
"result.51",0.999708795326663,0.338,0.099
"result.52",0.948492145000174,0.161,0.099
"result.53",0.547103909539761,0.011,0.098
"result.54",0.999221809208809,0.309,0.098
"result.55",0.992391201087286,0.236,0.098
"result.56",0.91256224466673,0.133,0.098
"result.57",0.997285338604845,0.27,0.097
"result.58",1,0.426,0.098
"result.59",0.998958290007746,0.302,0.098
"result.60",0.998895527854247,0.3,0.098
"result.61",0.999679163428212,0.333,0.098
"result.62",0.998205371337181,0.284,0.098
"result.63",1,0.443,0.098
"result.64",1,0.449,0.099
"result.65",1,0.466,0.098
"result.66",0.999690924724763,0.334,0.098
"result.67",0.999991129445711,0.403,0.098
"result.68",0.999934604145133,0.371,0.098
"result.69",1,0.497,0.098
"result.70",0.999977035759351,0.393,0.099
"result.71",0.983132831777905,0.208,0.098
"result.72",0.99986628621126,0.357,0.099
"result.73",1,0.432,0.098
"result.74",0.998586778164892,0.292,0.098
"result.75",0.996974794509013,0.268,0.098
"result.76",0.997842371826344,0.28,0.098
"result.77",1,0.576,0.099
"result.78",0.974811833061187,0.191,0.098
"result.79",0.997897106167281,0.279,0.098
"result.80",1,0.44,0.099
"result.81",0.998117042843129,0.284,0.098
"result.82",1,0.425,0.098
"result.83",0.999983490526982,0.395,0.098
"result.84",0.990946899098957,0.231,0.098
"result.85",1,0.58,0.098
"result.86",0.999756490424523,0.339,0.098
"result.87",0.994506555748843,0.248,0.098
"result.88",0.999966036541866,0.384,0.098
"result.89",0.99336993690885,0.242,0.098
"result.90",1,0.461,0.099
"result.91",0.999990395770835,0.402,0.098
"result.92",0.999981456092558,0.396,0.099
"result.93",0.999999997758508,0.421,0.099
"result.94",0.996621876483169,0.266,0.098
"result.95",0.999855470005806,0.353,0.098
"result.96",0.981538245023911,0.204,0.098
"result.97",0.99568289115135,0.256,0.098
"result.98",0.986175154194185,0.215,0.098
"result.99",0.995376103794284,0.256,0.099
"result.100",0.983329882703389,0.209,0.099
"result.101",0.999968558634354,0.387,0.099
"result.102",0.996990433315784,0.269,0.098
"result.103",1,0.442,0.098
"result.104",0.955541785906281,0.166,0.098
"result.105",0.999997216050529,0.413,0.098
"result.106",0.99854674913084,0.291,0.098
"result.107",1,0.434,0.099
"result.108",0.989796297487328,0.226,0.098
"result.109",1,0.52,0.098
"result.110",0.988593641266541,0.222,0.098
"result.111",0.999977547496984,0.392,0.098
"result.112",0.999957075493905,0.38,0.098
"result.113",0.999566951194732,0.326,0.098
"result.114",1,0.511,0.098
"result.115",1,0.468,0.099
"result.116",0.999816979380867,0.347,0.098
"result.117",0.997923058956418,0.28,0.098
"result.118",0.981506652430501,0.204,0.098
"result.119",0.997154164455435,0.271,0.098
"result.120",0.999244674694019,0.31,0.098
"result.121",1,0.505,0.098
"result.122",1,0.477,0.099
"result.123",0.999963478639226,0.382,0.098
"result.124",1,0.492,0.098
"result.125",0.999974606379608,0.389,0.098
"result.126",1,0.623,0.099
"result.127",0.999954338047941,0.38,0.098
"result.128",0.999432432019551,0.319,0.098
"result.129",0.999996153383451,0.411,0.098
"result.130",0.999570413729828,0.327,0.098
"result.131",1,0.48,0.098
"result.132",0.999691876742853,0.334,0.098
"result.133",0.996954027718794,0.269,0.098
"result.134",1,0.449,0.098
"result.135",0.999989957389846,0.402,0.098
"result.136",0.999972376312618,0.386,0.098
"result.137",0.99998817477094,0.403,0.099
"result.138",0.976482728551223,0.195,0.098
"result.139",0.999791326313928,0.345,0.098
"result.140",0.998915823639372,0.301,0.098
"result.141",0.993594788251536,0.244,0.098
"result.142",0.999995587302521,0.408,0.098
"result.143",1,0.602,0.098
"result.144",0.999413588146527,0.317,0.098
"result.145",0.996091899783969,0.26,0.098
"result.146",0.997734438955219,0.278,0.098
"result.147",0.999562675321001,0.325,0.098
"result.148",1,0.529,0.098
"result.149",1,0.543,0.098
"result.150",0.998032487910457,0.283,0.098
"result.151",0.989271097245378,0.225,0.098
"result.152",1,0.504,0.098
"result.153",0.999944703054132,0.376,0.099
"result.154",1,0.5,0.098
"result.155",0.998909033381091,0.3,0.098
"result.156",0.977154916338097,0.196,0.098
