"","V1","V2","V3"
"result.1",0.751881603941258,0.067,0.099
"result.2",0.736074147793579,0.062,0.098
"result.3",0.996877208476594,0.268,0.098
"result.4",0.18134354802153,-0.09,0.099
"result.5",0.636090661882448,0.034,0.098
"result.6",0.909595244903734,0.132,0.099
"result.7",0.99623227039532,0.263,0.099
"result.8",0.979675952474238,0.201,0.099
"result.9",0.958443372284032,0.171,0.099
"result.10",0.96023516813398,0.172,0.098
"result.11",0.958412274966993,0.171,0.099
"result.12",0.997282565056483,0.275,0.099
"result.13",0.561429635065356,0.015,0.098
"result.14",0.305411118546526,-0.051,0.099
"result.15",0.999478435510235,0.323,0.099
"result.16",0.997764345427742,0.281,0.099
"result.17",0.862229501307972,0.107,0.098
"result.18",0.716974711012396,0.056,0.098
"result.19",0.999992058076194,0.41,0.099
"result.20",0.185724157468679,-0.088,0.098
"result.21",0.99998446737561,0.401,0.099
"result.22",0.685077310707366,0.047,0.098
"result.23",0.691914094243572,0.049,0.099
"result.24",0.994437438043982,0.25,0.099
"result.25",0.962893281684824,0.176,0.099
"result.26",0.965224868419725,0.178,0.098
"result.27",0.808557732728186,0.086,0.098
"result.28",0.703695129107903,0.052,0.098
"result.29",0.955157360780015,0.167,0.099
"result.30",0.992919328722848,0.241,0.099
"result.31",0.975930506444163,0.194,0.098
"result.32",0.844043265054984,0.099,0.098
"result.33",0.978778509130152,0.2,0.099
"result.34",0.998929667561495,0.303,0.099
"result.35",0.976652857227773,0.197,0.099
"result.36",0.217502745679878,-0.077,0.098
"result.37",0.99981594157387,0.35,0.099
"result.38",0.351833173275551,-0.038,0.099
"result.39",0.913255625269154,0.134,0.099
"result.40",0.979615026578955,0.202,0.099
"result.41",0.998503498391996,0.291,0.098
"result.42",0.744093411731816,0.064,0.099
"result.43",0.483738782714228,-0.004,0.099
"result.44",0.614665055931125,0.029,0.099
"result.45",0.972314489636319,0.188,0.098
"result.46",0.895032697393501,0.123,0.099
"result.47",0.997694265970154,0.278,0.098
