"","V1","V2","V3"
"result.1",0.181526512454555,-0.091,0.1
"result.2",0.0877179801413516,-0.134,0.099
"result.3",0.380759469094003,-0.03,0.099
"result.4",0.0021838779811071,-0.283,0.099
"result.5",0.0459624938157218,-0.167,0.099
"result.6",0.299170248035187,-0.052,0.099
"result.7",0.584765430744383,0.021,0.099
"result.8",0.383719789114223,-0.03,0.099
"result.9",0.411663669329674,-0.022,0.099
"result.10",0.0848893928566405,-0.136,0.099
"result.11",0.496814114341119,-0.001,0.099
"result.12",0.777608587502911,0.076,0.1
"result.13",0.0410950576867277,-0.172,0.099
"result.14",0.00680894816956518,-0.245,0.1
"result.15",0.885545081603209,0.119,0.099
"result.16",0.920322915526345,0.14,0.1
"result.17",0.141065954718367,-0.106,0.099
"result.18",0.043861719598598,-0.17,0.099
"result.19",0.972568495788458,0.191,0.1
"result.20",0.00634264512657537,-0.246,0.099
"result.21",0.954363878144621,0.168,0.1
"result.22",0.0748598918365012,-0.142,0.099
"result.23",0.0839267399257033,-0.137,0.1
"result.24",0.521016856788444,0.005,0.099
"result.25",0.385027664278632,-0.029,0.099
"result.26",0.325055959601072,-0.045,0.099
"result.27",0.252280168913283,-0.066,0.099
"result.28",0.0690575280106003,-0.146,0.098
"result.29",0.226716424346906,-0.075,0.099
"result.30",0.502030973309793,0,0.099
"result.31",0.37419458593561,-0.032,0.099
"result.32",0.156119069479297,-0.1,0.099
"result.33",0.416324613434822,-0.021,0.099
"result.34",0.687467318413904,0.049,0.1
"result.35",0.531589051060814,0.008,0.1
"result.36",0.00433140840230962,-0.259,0.099
"result.37",0.914782616713494,0.136,0.099
"result.38",0.0239935373147116,-0.197,0.1
"result.39",0.515438271588599,0.004,0.099
"result.40",0.520956526106605,0.005,0.099
"result.41",0.806196777072325,0.085,0.099
"result.42",0.0494407608551166,-0.164,0.099
"result.43",0.00626817655718093,-0.249,0.1
"result.44",0.0371614477300599,-0.178,0.1
"result.45",0.21845876728172,-0.077,0.099
"result.46",0.228009848194513,-0.074,0.099
"result.47",0.55404013536251,0.013,0.099
"result.48",0.963734474973905,0.177,0.099
"result.49",0.110149442032108,-0.122,0.1
"result.50",0.000285981456684452,-0.343,0.1
"result.51",0.67976554022166,0.046,0.1
"result.52",0.00976720689020251,-0.234,0.1
"result.53",0.00290795609527245,-0.272,0.099
"result.54",0.264573403034731,-0.062,0.099
"result.55",0.0738189768348935,-0.143,0.099
"result.56",0.000292150250438103,-0.341,0.099
"result.57",0.101704008563135,-0.126,0.099
"result.58",0.417937863122656,-0.021,0.099
"result.59",0.223461979354446,-0.076,0.099
"result.60",0.232407536402074,-0.073,0.099
"result.61",0.0376476627870811,-0.177,0.099
"result.62",0.393299155958136,-0.027,0.098
"result.63",0.409773534804559,-0.023,0.099
"result.64",0.713842097275838,0.056,0.1
"result.65",0.536131177065002,0.009,0.1
"result.66",0.553588933370568,0.013,0.099
"result.67",0.665076772776784,0.042,0.099
"result.68",0.412580745661182,-0.022,0.099
"result.69",0.692443704611268,0.05,0.099
"result.70",0.564046781912411,0.016,0.1
"result.71",0.142535465560879,-0.106,0.099
"result.72",0.449389142110634,-0.013,0.1
"result.73",0.841281386593365,0.099,0.099
"result.74",0.300599147162578,-0.052,0.099
"result.75",0.0901275927958202,-0.133,0.099
"result.76",0.100408450576364,-0.127,0.1
"result.77",0.982120424676274,0.208,0.099
"result.78",0.00251869774177591,-0.278,0.099
"result.79",0.0829874006314522,-0.137,0.099
"result.80",0.520330735402494,0.005,0.1
"result.81",0.381134426203672,-0.03,0.099
"result.82",0.769391895042818,0.073,0.099
"result.83",0.511831958192673,0.003,0.099
"result.84",0.176703690235217,-0.092,0.099
"result.85",0.943465326441719,0.157,0.099
"result.86",0.124523938919914,-0.114,0.099
"result.87",0.117852111407289,-0.117,0.099
"result.88",0.424578498372614,-0.019,0.099
"result.89",0.0157817194946449,-0.214,0.099
"result.90",0.730118410782336,0.061,0.1
"result.91",0.708300199819659,0.054,0.099
"result.92",0.641108432044121,0.036,0.1
"result.93",0.175610092445207,-0.093,0.1
"result.94",0.13833662762595,-0.108,0.099
"result.95",0.261951837473235,-0.063,0.099
"result.96",0.0158159589463445,-0.212,0.099
"result.97",0.160000178833468,-0.099,0.099
"result.98",0.023280276139985,-0.197,0.099
"result.99",0.146278433327305,-0.105,0.1
"result.100",0.066389607646509,-0.15,0.1
"result.101",0.760266828944722,0.07,0.099
"result.102",0.0694064604518869,-0.147,0.1
"result.103",0.653920473585963,0.039,0.099
"result.104",0.0593659234276685,-0.154,0.099
"result.105",0.411040019808522,-0.022,0.099
"result.106",0.0261913525380872,-0.193,0.099
"result.107",0.657920185950396,0.041,0.1
"result.108",0.0306413610846922,-0.185,0.099
"result.109",0.974803046455109,0.193,0.099
"result.110",0.00905026193385356,-0.234,0.099
"result.111",0.714829260653113,0.056,0.099
"result.112",0.748359327979024,0.066,0.099
"result.113",0.524247303831235,0.006,0.099
"result.114",0.682978671990638,0.047,0.099
"result.115",0.937217711999905,0.152,0.099
"result.116",0.10994868633919,-0.122,0.099
"result.117",0.454775731842411,-0.011,0.099
"result.118",0.0234969870044786,-0.197,0.099
"result.119",0.0589005976829566,-0.155,0.099
"result.120",0.164747237928682,-0.097,0.099
"result.121",0.75526156823751,0.068,0.099
"result.122",0.901503006650212,0.128,0.099
"result.123",0.576849684596414,0.019,0.099
"result.124",0.806930493186621,0.085,0.099
"result.125",0.45745896104468,-0.011,0.099
"result.126",0.999124406648169,0.311,0.099
"result.127",0.514552037555795,0.003,0.099
"result.128",0.138874180143249,-0.108,0.1
"result.129",0.801511267420368,0.084,0.099
"result.130",0.224013684984172,-0.075,0.099
"result.131",0.708160912785856,0.054,0.099
"result.132",0.239098198252034,-0.07,0.099
"result.133",0.0807643088232694,-0.139,0.1
"result.134",0.881651918310567,0.117,0.099
"result.135",0.577348873683514,0.019,0.099
"result.136",0.576907314414676,0.019,0.099
"result.137",0.634514659650823,0.034,0.1
"result.138",0.057875697187098,-0.156,0.099
"result.139",0.629870931834601,0.033,0.099
"result.140",0.287710005878067,-0.056,0.099
"result.141",0.19489708099815,-0.086,0.1
"result.142",0.525154039013962,0.006,0.099
"result.143",0.961577018087683,0.174,0.099
"result.144",0.290668715165508,-0.055,0.099
"result.145",0.0975611247368088,-0.129,0.099
"result.146",0.181861398537605,-0.09,0.099
"result.147",0.412502862159127,-0.022,0.099
"result.148",0.95649143075877,0.17,0.099
"result.149",0.849676984207076,0.103,0.099
"result.150",0.134640855303827,-0.11,0.099
"result.151",0.0252392632623338,-0.194,0.099
"result.152",0.608420242983201,0.027,0.099
