"","V1","V2","V3"
"result.1",0.955341041724967,0.167,0.098
"result.2",0.763079367850003,0.07,0.098
"result.3",0.993455683373395,0.241,0.097
"result.4",0.432853399106402,-0.017,0.098
"result.5",0.822288809243405,0.09,0.097
"result.6",0.953053036704652,0.163,0.098
"result.7",0.999206757329555,0.309,0.098
"result.8",0.995427573382951,0.254,0.098
"result.9",0.947487601117028,0.158,0.098
"result.10",0.985724959389256,0.213,0.097
"result.11",0.963994356803859,0.176,0.098
"result.12",0.998146910189229,0.285,0.098
"result.13",0.783130749474308,0.076,0.097
"result.14",0.272204442171223,-0.06,0.098
"result.15",0.999613810995052,0.328,0.098
"result.16",0.999975590806009,0.39,0.098
"result.17",0.869047894125979,0.109,0.097
"result.18",0.726630686675184,0.059,0.098
"result.19",1,0.461,0.098
"result.20",0.372349377171324,-0.032,0.097
"result.21",1,0.482,0.099
"result.22",0.648858835711201,0.037,0.098
"result.23",0.795075494080119,0.081,0.098
"result.24",0.995326119743591,0.254,0.098
"result.25",0.993733050083465,0.243,0.098
"result.26",0.968224181032102,0.181,0.098
"result.27",0.876115369062959,0.112,0.097
"result.28",0.707763201627698,0.053,0.097
"result.29",0.969624821265317,0.183,0.098
"result.30",0.997688251287409,0.276,0.098
"result.31",0.970273795772482,0.184,0.098
"result.32",0.942467976735207,0.154,0.098
"result.33",0.986282223795013,0.215,0.098
"result.34",0.998989569634682,0.303,0.098
"result.35",0.973585274323999,0.19,0.098
"result.36",0.329271315778145,-0.043,0.097
"result.37",0.999569097195169,0.326,0.098
"result.38",0.588449812702907,0.022,0.098
"result.39",0.967881041806294,0.181,0.098
"result.40",0.996705623389255,0.266,0.098
"result.41",0.997527322096654,0.273,0.097
"result.42",0.864634545094333,0.107,0.098
"result.43",0.842637673952611,0.098,0.098
"result.44",0.577140165400002,0.019,0.098
"result.45",0.985054956103413,0.211,0.098
"result.46",0.902326229104613,0.126,0.098
"result.47",0.997826018125408,0.278,0.098
"result.48",0.99969308204226,0.333,0.098
"result.49",0.979189727356346,0.199,0.098
"result.50",0.228424173101079,-0.073,0.098
"result.51",0.964677740613947,0.177,0.098
"result.52",0.559449878833067,0.015,0.098
"result.53",0.0472550914776189,-0.163,0.097
"result.54",0.943439632457341,0.154,0.098
"result.55",0.799671467339923,0.082,0.097
"result.56",0.379577071791814,-0.03,0.098
"result.57",0.86536595297642,0.107,0.097
"result.58",0.996604992572178,0.264,0.098
"result.59",0.919843550717067,0.137,0.098
"result.60",0.929652083893456,0.144,0.098
"result.61",0.947653084343505,0.158,0.098
"result.62",0.85107672375943,0.101,0.097
"result.63",0.998659273095509,0.294,0.098
"result.64",0.999080926626168,0.306,0.098
"result.65",0.999012054157613,0.302,0.098
"result.66",0.95075909740045,0.161,0.098
"result.67",0.990790311797146,0.229,0.098
"result.68",0.98396478329606,0.209,0.098
"result.69",0.999324533420379,0.313,0.098
"result.70",0.993490211856254,0.243,0.098
"result.71",0.658727543654571,0.04,0.098
"result.72",0.973805375371966,0.19,0.098
"result.73",0.99367907027694,0.242,0.097
"result.74",0.915570442122001,0.134,0.098
"result.75",0.85278269123663,0.102,0.098
"result.76",0.898052705767723,0.124,0.098
"result.77",0.999999773006947,0.417,0.098
"result.78",0.564634388844721,0.016,0.097
"result.79",0.891125158867196,0.12,0.098
"result.80",0.99792983305242,0.281,0.098
"result.81",0.861198105015515,0.106,0.098
"result.82",0.995416501620976,0.254,0.098
"result.83",0.988020238946651,0.22,0.098
"result.84",0.738230678134341,0.062,0.098
"result.85",1,0.423,0.098
"result.86",0.958759647146102,0.169,0.097
"result.87",0.826433798585681,0.091,0.097
"result.88",0.988748657874936,0.223,0.098
"result.89",0.817823646107515,0.088,0.098
"result.90",0.999320861670724,0.314,0.098
"result.91",0.9945034877977,0.247,0.098
"result.92",0.993872817498975,0.245,0.098
"result.93",0.995378695362062,0.255,0.098
"result.94",0.875962927541709,0.113,0.098
"result.95",0.973987445558868,0.189,0.098
"result.96",0.662899846085062,0.041,0.098
"result.97",0.784545453940915,0.076,0.097
"result.98",0.697409963618668,0.05,0.098
"result.99",0.850942229505214,0.102,0.098
"result.100",0.760219529944133,0.069,0.098
"result.101",0.992332611072155,0.238,0.098
"result.102",0.846990414797227,0.1,0.098
"result.103",0.998212967794856,0.285,0.098
"result.104",0.560939967669239,0.015,0.098
"result.105",0.99698835045134,0.268,0.098
"result.106",0.9078001216636,0.129,0.097
"result.107",0.998673536469922,0.296,0.099
"result.108",0.735840038506546,0.061,0.097
"result.109",0.999823066340182,0.348,0.098
"result.110",0.758491760972634,0.068,0.098
"result.111",0.990437187048021,0.229,0.098
"result.112",0.986887216977903,0.217,0.098
"result.113",0.938908109891105,0.151,0.098
"result.114",0.999608136695632,0.326,0.097
"result.115",0.999128768434194,0.307,0.098
