"","V1","V2","V3"
"result.1",0.767765073493125,0.071,0.098
"result.2",0.368270995669231,-0.033,0.098
"result.3",0.926938715974226,0.141,0.097
"result.4",0.0948973607837349,-0.128,0.098
"result.5",0.422752155656361,-0.019,0.097
"result.6",0.665284077490413,0.041,0.097
"result.7",0.97765190194467,0.196,0.098
"result.8",0.951083238935762,0.161,0.098
"result.9",0.745138392810613,0.064,0.098
"result.10",0.855295062735328,0.103,0.097
"result.11",0.804551515783009,0.084,0.098
"result.12",0.973744525304291,0.19,0.098
"result.13",0.391338434080656,-0.027,0.097
"result.14",0.0482156474990468,-0.164,0.098
"result.15",0.989357718042663,0.225,0.098
"result.16",0.998610768765104,0.293,0.098
"result.17",0.512393833529171,0.003,0.097
"result.18",0.330432607083635,-0.043,0.098
"result.19",0.999923132365214,0.368,0.098
"result.20",0.071026708445246,-0.143,0.097
"result.21",0.999950209725552,0.377,0.098
"result.22",0.2329189564222,-0.071,0.097
"result.23",0.405239981308037,-0.024,0.098
"result.24",0.933400039220177,0.147,0.098
"result.25",0.917240152205506,0.135,0.098
"result.26",0.780332934120898,0.075,0.098
"result.27",0.514290380884583,0.003,0.097
"result.28",0.254222547609625,-0.064,0.097
"result.29",0.761834139756432,0.069,0.098
"result.30",0.956234095616126,0.166,0.098
"result.31",0.795329136839783,0.08,0.098
"result.32",0.697801604791524,0.05,0.098
"result.33",0.850813362954117,0.101,0.098
"result.34",0.986538463315425,0.217,0.098
"result.35",0.816466838624737,0.088,0.098
"result.36",0.0537698294944004,-0.157,0.097
"result.37",0.988402260617011,0.222,0.098
"result.38",0.220917185593373,-0.076,0.098
"result.39",0.769241446232264,0.072,0.098
"result.40",0.95179905979287,0.163,0.098
"result.41",0.961684377427397,0.172,0.097
"result.42",0.532447112267106,0.008,0.098
"result.43",0.49457421375067,-0.002,0.098
"result.44",0.196590429273904,-0.084,0.098
"result.45",0.872395454777113,0.11,0.097
"result.46",0.499319050427773,0,0.097
"result.47",0.958119853074643,0.168,0.098
"result.48",0.991256872065333,0.231,0.098
"result.49",0.829320368282006,0.093,0.098
"result.50",0.0557316255502108,-0.156,0.098
"result.51",0.791894188870211,0.079,0.098
"result.52",0.219199923427263,-0.076,0.098
"result.53",0.0062150814781163,-0.243,0.097
"result.54",0.663430701185883,0.041,0.097
"result.55",0.444614165960066,-0.014,0.097
"result.56",0.104102062299978,-0.123,0.098
"result.57",0.466857568682128,-0.008,0.097
"result.58",0.95023639283759,0.161,0.098
"result.59",0.670402451833677,0.043,0.098
"result.60",0.712771788671355,0.055,0.098
"result.61",0.759018514753187,0.068,0.098
"result.62",0.47125199657297,-0.007,0.097
"result.63",0.975217672946917,0.192,0.098
"result.64",0.975888404381496,0.193,0.098
"result.65",0.978684406199345,0.197,0.098
"result.66",0.711510775903805,0.054,0.097
"result.67",0.885201043576376,0.117,0.097
"result.68",0.873720102133994,0.111,0.098
"result.69",0.987753434294802,0.219,0.098
"result.70",0.932307050366458,0.146,0.098
"result.71",0.262163229240178,-0.062,0.098
"result.72",0.847142159586585,0.1,0.098
"result.73",0.929408715387953,0.143,0.097
"result.74",0.526925101004694,0.006,0.097
"result.75",0.551851410798719,0.012,0.097
"result.76",0.647344922430914,0.037,0.098
"result.77",0.999461437428123,0.319,0.098
"result.78",0.216482903774815,-0.077,0.097
"result.79",0.56331476275164,0.015,0.097
"result.80",0.971861969800649,0.187,0.098
"result.81",0.555007033408882,0.013,0.098
"result.82",0.952513454328864,0.163,0.098
"result.83",0.892832222897511,0.121,0.097
"result.84",0.335348552903354,-0.042,0.098
"result.85",0.999339741705698,0.313,0.098
"result.86",0.769316721252966,0.071,0.097
"result.87",0.432761821708515,-0.017,0.097
"result.88",0.908449238483168,0.13,0.098
"result.89",0.391023544297209,-0.027,0.098
"result.90",0.980449670073141,0.202,0.098
"result.91",0.914912974895963,0.133,0.097
"result.92",0.92747797102794,0.143,0.098
