"","V1","V2","V3"
"result.1",0.278893910636585,-0.058,0.099
"result.2",0.173643614742106,-0.092,0.098
"result.3",0.811907189844346,0.086,0.098
"result.4",0.0119426370934924,-0.222,0.098
"result.5",0.120360789294337,-0.115,0.098
"result.6",0.406707124254388,-0.023,0.098
"result.7",0.89370316151412,0.123,0.099
"result.8",0.720515995400955,0.057,0.098
"result.9",0.521231180295306,0.005,0.098
"result.10",0.594546880508719,0.023,0.098
"result.11",0.569118530624919,0.017,0.098
"result.12",0.89849401125413,0.125,0.099
"result.13",0.0761715606848084,-0.14,0.098
"result.14",0.0190891998741695,-0.205,0.099
"result.15",0.963465866843708,0.176,0.098
"result.16",0.929566931119206,0.145,0.099
"result.17",0.309254616494026,-0.049,0.098
"result.18",0.167334540502766,-0.095,0.098
"result.19",0.996587406081503,0.267,0.099
"result.20",0.0117550631097484,-0.222,0.098
"result.21",0.997991938856796,0.284,0.099
"result.22",0.133476565238832,-0.109,0.098
"result.23",0.211906526437593,-0.079,0.099
"result.24",0.855419352958684,0.104,0.098
"result.25",0.596764215002246,0.024,0.098
"result.26",0.603641205216041,0.026,0.098
"result.27",0.230718700038599,-0.072,0.098
"result.28",0.13938841348747,-0.106,0.097
"result.29",0.608578294720419,0.027,0.098
"result.30",0.841388584877908,0.098,0.098
"result.31",0.678286693815357,0.045,0.098
"result.32",0.3130362462703,-0.048,0.098
"result.33",0.688896008924671,0.048,0.098
"result.34",0.942934894307159,0.156,0.099
"result.35",0.688493974661799,0.048,0.099
"result.36",0.0142595459473816,-0.215,0.098
"result.37",0.971805652575662,0.187,0.098
"result.38",0.0403871205941171,-0.173,0.099
"result.39",0.495101862702625,-0.001,0.099
"result.40",0.761167833464482,0.07,0.099
"result.41",0.90080923615432,0.126,0.098
"result.42",0.177337932311246,-0.091,0.098
"result.43",0.0723666360686099,-0.144,0.099
"result.44",0.107377670860808,-0.122,0.099
"result.45",0.630100205778373,0.032,0.098
"result.46",0.467952077359973,-0.008,0.098
"result.47",0.915400804992861,0.135,0.098
"result.48",0.990266832422134,0.228,0.098
"result.49",0.428992034776246,-0.018,0.098
"result.50",0.00245610208964965,-0.278,0.099
"result.51",0.608425038728855,0.027,0.099
"result.52",0.0623057666951531,-0.152,0.099
"result.53",0.000539370774257126,-0.32,0.098
"result.54",0.36158757196446,-0.035,0.098
"result.55",0.197283306653157,-0.084,0.098
"result.56",0.00938288355218516,-0.231,0.098
"result.57",0.150639976874251,-0.101,0.098
"result.58",0.717256632165208,0.056,0.098
"result.59",0.363253016068294,-0.035,0.098
"result.60",0.360372507425132,-0.035,0.099
"result.61",0.264371303575978,-0.062,0.098
"result.62",0.2914207857114,-0.054,0.098
"result.63",0.74353292205298,0.064,0.099
"result.64",0.842138792846894,0.099,0.099
"result.65",0.855583456489535,0.104,0.098
"result.66",0.491720359331404,-0.002,0.098
"result.67",0.729094375974279,0.059,0.098
"result.68",0.733353123689599,0.061,0.098
"result.69",0.902597014563115,0.127,0.098
"result.70",0.808225155410923,0.086,0.099
"result.71",0.185279201830882,-0.088,0.098
"result.72",0.605403323753446,0.026,0.099
"result.73",0.710885378685621,0.054,0.098
"result.74",0.392845793854135,-0.027,0.098
"result.75",0.269311871291635,-0.06,0.098
"result.76",0.324759766832899,-0.045,0.099
"result.77",0.9968467259054,0.268,0.098
"result.78",0.0218321760861442,-0.198,0.098
"result.79",0.307687462402789,-0.049,0.098
"result.80",0.764314769536496,0.071,0.099
"result.81",0.424492747950213,-0.019,0.098
"result.82",0.700026510933612,0.051,0.098
"result.83",0.690057882497881,0.048,0.098
"result.84",0.242083123781583,-0.069,0.098
"result.85",0.990134643164493,0.229,0.098
"result.86",0.472140239769625,-0.007,0.098
"result.87",0.269590875323693,-0.06,0.098
"result.88",0.562077650745934,0.015,0.098
"result.89",0.299167705608028,-0.052,0.098
