"","V1","V2","V3"
"result.1",0.00184416888074717,-0.288,0.099
"result.2",0.000114566422216304,-0.361,0.099
"result.3",0.00390997520670772,-0.262,0.099
"result.4",1.88949908435735e-07,-0.49,0.099
"result.5",3.17690344667222e-05,-0.388,0.099
"result.6",0.00138393584278097,-0.295,0.099
"result.7",0.0213143238587639,-0.201,0.099
"result.8",0.00975058526074387,-0.231,0.099
"result.9",0.00485173114270305,-0.255,0.099
"result.10",0.000183344212761282,-0.35,0.099
"result.11",0.0112775840776475,-0.225,0.099
"result.12",0.0834848267938414,-0.137,0.099
"result.13",1.92461225264283e-05,-0.396,0.099
"result.14",1.88965061002698e-07,-0.469,0.1
"result.15",0.152780149868104,-0.101,0.099
"result.16",0.257081780257398,-0.065,0.099
"result.17",0.000296753163935412,-0.337,0.099
"result.18",3.32050190019032e-05,-0.388,0.099
"result.19",0.473428147634596,-0.007,0.099
"result.20",1.88903166972926e-07,-0.463,0.099
"result.21",0.441062204100487,-0.015,0.099
"result.22",5.76760207105924e-05,-0.376,0.099
"result.23",0.000351033862318248,-0.336,0.099
"result.24",0.0156271890357559,-0.213,0.099
"result.25",0.00448645098999326,-0.258,0.099
"result.26",0.00299010097635692,-0.271,0.099
"result.27",0.000910349328319692,-0.307,0.098
"result.28",2.48787175763651e-05,-0.39,0.098
"result.29",0.00209033267000918,-0.283,0.099
"result.30",0.0151057545071714,-0.214,0.099
"result.31",0.00503692950504,-0.253,0.099
"result.32",0.000550521451968266,-0.322,0.099
"result.33",0.00651361128644832,-0.245,0.099
"result.34",0.0596301592244342,-0.155,0.099
"result.35",0.0135241343172899,-0.219,0.099
"result.36",1.88899934342672e-07,-0.482,0.099
"result.37",0.167491051434781,-0.095,0.099
"result.38",2.14879824740182e-05,-0.398,0.1
"result.39",0.0157694327154081,-0.213,0.099
"result.40",0.0183119021495559,-0.207,0.099
"result.41",0.0556830765793404,-0.156,0.098
"result.42",2.97637838603314e-05,-0.391,0.099
"result.43",1.8887114632102e-07,-0.451,0.1
"result.44",1.41833088553819e-05,-0.403,0.099
"result.45",0.00136108002945276,-0.296,0.099
"result.46",0.00107842266854963,-0.302,0.099
"result.47",0.0200112844473678,-0.203,0.099
"result.48",0.338383714137436,-0.041,0.098
"result.49",0.000241111477716176,-0.345,0.099
"result.50",1.88975991310691e-07,-0.541,0.1
"result.51",0.0362306479547207,-0.178,0.099
"result.52",1.88861070650072e-07,-0.426,0.1
"result.53",1.88934769928613e-07,-0.487,0.099
"result.54",0.00151039552524919,-0.292,0.098
"result.55",0.000175860198731445,-0.351,0.099
"result.56",1.88958663304609e-07,-0.548,0.099
"result.57",0.000120473096746574,-0.359,0.098
"result.58",0.00845602868611047,-0.236,0.099
"result.59",0.001561929981698,-0.292,0.099
"result.60",0.00275334060385642,-0.274,0.099
"result.61",4.27252024232446e-05,-0.384,0.099
"result.62",0.00182609511003661,-0.285,0.098
"result.63",0.0125996534990625,-0.222,0.099
"result.64",0.062771053810396,-0.152,0.099
"result.65",0.0221914753800777,-0.199,0.099
"result.66",0.0140077559481806,-0.217,0.099
"result.67",0.0219307762923898,-0.198,0.098
"result.68",0.00674303748538184,-0.244,0.099
"result.69",0.0366601388642106,-0.177,0.099
"result.70",0.0267929464523707,-0.192,0.099
"result.71",0.000291090037520387,-0.338,0.099
"result.72",0.0110541325715327,-0.227,0.099
"result.73",0.0658056109996696,-0.148,0.098
"result.74",0.00143884682017332,-0.294,0.099
"result.75",0.000218980746370383,-0.345,0.099
"result.76",0.000545052431643494,-0.324,0.099
"result.77",0.472750033032475,-0.007,0.099
"result.78",1.88959824578378e-07,-0.496,0.099
"result.79",0.000120444555393927,-0.36,0.099
"result.80",0.0209254437776916,-0.202,0.099
"result.81",0.00429647905927888,-0.259,0.099
"result.82",0.0634782532734834,-0.151,0.099
"result.83",0.0111873962208516,-0.225,0.099
"result.84",0.000422588025258251,-0.329,0.099
"result.85",0.251506869134167,-0.066,0.099
"result.86",0.000303472337590556,-0.337,0.099
"result.87",0.000202873443899507,-0.347,0.099
"result.88",0.00940937457121697,-0.232,0.099
"result.89",1.88873212770573e-07,-0.435,0.099
"result.90",0.0660245936007295,-0.149,0.099
"result.91",0.0473695625798019,-0.164,0.098
"result.92",0.0335244850801843,-0.182,0.099
