"","post_prob_death_CR","post_prob_liberation_CR","trt_death_CR","trt_liberation_CR","trt_interaction_trt_ext_CR_inla","sd_death_CR","sd_liberation_CR","sd_interaction_trt_ext_CR_inla"
"result.1",0.94054174383646,0.999959049192966,-0.136,2.234,0.357,0.087,0.093,0.104
"result.2",0.850886727139999,0.994352747160811,-0.093,2.477,0.235,0.089,0.081,0.106
"result.3",0.990798451340974,0.999999811382766,-0.215,2.403,0.53,0.091,0.08,0.107
"result.4",0.825933367768514,0.998549143565309,-0.082,2.39,0.251,0.088,0.087,0.105
"result.5",0.90556409035368,0.99945273398831,-0.117,2.434,0.301,0.089,0.082,0.105
"result.6",0.95827823583604,0.999999811416899,-0.154,2.377,0.416,0.089,0.078,0.105
"result.7",0.999892822992446,0.999807878770594,-0.324,2.241,0.524,0.088,0.083,0.105
"result.8",0.991187658898014,0.99999981138607,-0.206,2.24,0.504,0.087,0.082,0.104
"result.9",0.886662332216793,0.999996666357753,-0.106,2.322,0.344,0.088,0.085,0.104
"result.10",0.979575466245678,0.999999811430068,-0.186,2.425,0.452,0.091,0.082,0.107
"result.11",0.996167523690678,0.99933359854127,-0.241,2.412,0.422,0.09,0.085,0.107
"result.12",0.998270264325156,0.999994937578684,-0.25,2.217,0.485,0.086,0.082,0.102
"result.13",0.779903286302089,0.999994483227957,-0.069,2.409,0.303,0.09,0.091,0.106
"result.14",0.834859611689686,0.99509623057343,-0.084,2.453,0.229,0.087,0.08,0.103
"result.15",0.99848002042807,0.999999811427757,-0.264,2.267,0.54,0.089,0.087,0.105
"result.16",1,0.999999811441473,-0.423,2.206,0.672,0.089,0.076,0.105
"result.17",0.927397710150539,0.99999981143259,-0.128,2.212,0.381,0.088,0.09,0.105
"result.18",0.770905833009493,0.999999811440155,-0.066,2.397,0.312,0.09,0.088,0.106
"result.19",1,0.999995045448439,-0.393,2.194,0.629,0.088,0.077,0.104
"result.20",0.649910854758875,0.995649361745367,-0.034,2.399,0.183,0.09,0.096,0.106
"result.21",0.999791998973939,0.999999811422391,-0.308,2.161,0.588,0.088,0.085,0.104
"result.22",0.98129409940903,0.999578014267161,-0.189,2.268,0.376,0.091,0.091,0.107
"result.23",0.976818770962139,0.999610193216753,-0.173,2.333,0.364,0.087,0.085,0.104
"result.24",0.995151880644744,0.999962640150421,-0.231,2.327,0.451,0.09,0.09,0.106
"result.25",0.943030330506915,0.999999811432957,-0.14,2.375,0.42,0.089,0.082,0.105
"result.26",0.917961545174852,0.999999811426979,-0.125,2.385,0.385,0.09,0.09,0.106
"result.27",0.949755947249927,0.999985090968846,-0.148,2.429,0.376,0.09,0.083,0.106
"result.28",0.820888059894778,0.998404086984224,-0.086,2.625,0.251,0.094,0.084,0.109
"result.29",0.981452366684841,0.999999811433662,-0.184,2.401,0.441,0.088,0.079,0.105
"result.30",0.996637635665168,0.999997210479169,-0.241,2.35,0.478,0.089,0.079,0.105
"result.31",0.964464657061717,0.999995451327973,-0.159,2.361,0.395,0.088,0.088,0.105
"result.32",0.961236502635535,0.999879251209003,-0.153,2.308,0.358,0.087,0.086,0.103
"result.33",0.990796383528014,0.999859300837674,-0.205,2.285,0.41,0.087,0.082,0.104
"result.34",0.984539684827424,0.99999981143723,-0.184,2.186,0.446,0.085,0.089,0.102
"result.35",0.981795413356483,0.999994678926952,-0.181,2.24,0.418,0.087,0.086,0.104
"result.36",0.358419544599523,0.999999811436804,0.033,2.525,0.208,0.091,0.089,0.107
"result.37",0.998430810303235,0.999999811443534,-0.263,2.335,0.524,0.089,0.081,0.106
"result.38",0.727032520505639,0.999998586685047,-0.051,2.298,0.292,0.085,0.08,0.102
"result.39",0.950746277286776,0.999866882750756,-0.145,2.416,0.349,0.088,0.078,0.104
"result.40",0.999675607851829,0.99996346076039,-0.302,2.298,0.523,0.089,0.081,0.105
"result.41",0.998142306234979,0.999999811437653,-0.263,2.334,0.534,0.091,0.078,0.107
"result.42",0.988619848598007,0.999924320271206,-0.202,2.41,0.412,0.089,0.084,0.105
"result.43",0.732757090853785,0.99993577645929,-0.054,2.28,0.27,0.087,0.09,0.104
"result.44",0.912011963086227,0.999420894604037,-0.116,2.36,0.299,0.086,0.075,0.103
"result.45",0.996976737535795,0.999997782987026,-0.247,2.313,0.486,0.09,0.084,0.106
"result.46",0.775261557237858,0.999960528831815,-0.067,2.474,0.284,0.088,0.082,0.105
"result.47",0.998614933282015,0.999905849576636,-0.267,2.283,0.477,0.089,0.088,0.106
"result.48",0.999442850721018,0.999999811441,-0.295,2.249,0.541,0.091,0.092,0.107
"result.49",0.98870229342414,0.999999811436054,-0.197,2.237,0.443,0.087,0.087,0.104
