"","post_prob_death_CR","post_prob_liberation_CR","trt_death_CR","trt_liberation_CR","trt_interaction_trt_ext_CR_inla","sd_death_CR","sd_liberation_CR","sd_interaction_trt_ext_CR_inla"
"result.1",0.228444649253597,0.990316502264047,0.062,2.378,0.07,0.084,0.086,0.101
"result.2",0.199508472311391,0.873690906932645,0.073,2.546,-0.009,0.086,0.082,0.103
"result.3",0.617152666274212,0.99989892405991,-0.026,2.499,0.231,0.088,0.079,0.104
"result.4",0.101025123727864,0.911698278346637,0.108,2.48,-0.032,0.085,0.085,0.102
"result.5",0.21164934912086,0.936808732328406,0.069,2.537,0.017,0.086,0.08,0.102
"result.6",0.349691722186289,0.999568080989697,0.033,2.456,0.153,0.085,0.078,0.102
"result.7",0.934719189819882,0.979109162586804,-0.127,2.346,0.241,0.084,0.081,0.101
"result.8",0.58018132935687,0.999975406363682,-0.017,2.327,0.241,0.083,0.08,0.101
"result.9",0.274032129486994,0.995572106267465,0.051,2.396,0.096,0.085,0.087,0.102
"result.10",0.47622652565626,0.999522954940686,0.005,2.509,0.178,0.087,0.082,0.103
"result.11",0.731523729439117,0.945056188409531,-0.053,2.512,0.143,0.087,0.082,0.103
"result.12",0.866261889139469,0.996339544749234,-0.091,2.29,0.242,0.083,0.083,0.1
"result.13",0.0630299031253175,0.99645354347415,0.132,2.507,0.018,0.086,0.089,0.103
"result.14",0.18553254456331,0.828554996871099,0.075,2.529,-0.022,0.084,0.08,0.101
"result.15",0.888880773350592,0.99901565424878,-0.105,2.351,0.278,0.086,0.087,0.103
"result.16",0.976245688312484,0.998015709419487,-0.165,2.311,0.326,0.083,0.074,0.1
"result.17",0.314856930955395,0.981301154621012,0.041,2.351,0.076,0.085,0.09,0.102
"result.18",0.120994856861291,0.998297741312682,0.101,2.482,0.063,0.087,0.087,0.103
"result.19",0.988600778429218,0.97906192744352,-0.19,2.318,0.303,0.083,0.075,0.1
"result.20",0.0421382791038527,0.900506686053143,0.15,2.487,-0.077,0.087,0.095,0.103
"result.21",0.917442659581863,0.999721523791603,-0.116,2.261,0.31,0.084,0.084,0.101
"result.22",0.559758168926407,0.973763224580864,-0.013,2.367,0.122,0.087,0.091,0.104
"result.23",0.426787142880145,0.97274056048083,0.016,2.419,0.093,0.084,0.083,0.101
"result.24",0.82454588565092,0.991906014824419,-0.081,2.383,0.215,0.087,0.09,0.103
"result.25",0.221299503809552,0.999705372473425,0.066,2.462,0.127,0.085,0.082,0.102
"result.26",0.372181769627331,0.999500173854739,0.029,2.415,0.156,0.087,0.092,0.103
"result.27",0.29034761421321,0.989860630344429,0.048,2.533,0.082,0.086,0.082,0.103
"result.28",0.13312317564112,0.959806146968151,0.101,2.688,-0.003,0.09,0.086,0.106
"result.29",0.529106507568717,0.999377209197126,-0.006,2.477,0.186,0.085,0.078,0.102
"result.30",0.713499658793963,0.997328652761137,-0.048,2.44,0.203,0.085,0.077,0.102
"result.31",0.550009622928443,0.997935136057361,-0.011,2.423,0.171,0.086,0.089,0.102
"result.32",0.299257454033497,0.983028108893767,0.044,2.413,0.074,0.083,0.086,0.1
"result.33",0.612471189177388,0.981423006443511,-0.024,2.373,0.141,0.084,0.083,0.101
"result.34",0.65557154202328,0.99937299461786,-0.033,2.26,0.214,0.083,0.089,0.1
"result.35",0.677529263722742,0.997328805310147,-0.039,2.313,0.196,0.084,0.085,0.101
"result.36",0.00788187727775667,0.995204368926969,0.213,2.624,-0.068,0.088,0.086,0.105
"result.37",0.885638742572877,0.997584800049983,-0.104,2.424,0.262,0.086,0.082,0.103
"result.38",0.0720782584571016,0.997665610226307,0.12,2.372,0.04,0.082,0.081,0.1
"result.39",0.357435979739818,0.981747557256272,0.031,2.511,0.086,0.085,0.078,0.101
"result.40",0.911947456348977,0.99130169533413,-0.115,2.393,0.248,0.085,0.08,0.102
"result.41",0.85648427221088,0.999339479788032,-0.093,2.427,0.273,0.087,0.077,0.104
"result.42",0.483808331481627,0.987899961457298,0.004,2.493,0.122,0.085,0.082,0.102
"result.43",0.0243070111308244,0.990027036771664,0.164,2.405,-0.033,0.083,0.086,0.101
"result.44",0.29322136460498,0.950797961942301,0.046,2.442,0.047,0.083,0.075,0.1
"result.45",0.744236857477745,0.998687976779787,-0.056,2.389,0.226,0.086,0.084,0.103
"result.46",0.197623677454646,0.989735864162669,0.073,2.528,0.056,0.086,0.085,0.102
"result.47",0.894576563772798,0.989722306810522,-0.108,2.35,0.238,0.086,0.089,0.103
"result.48",0.954489315797876,0.998253073627452,-0.148,2.294,0.312,0.088,0.091,0.104
"result.49",0.519287358781377,0.9946639264051,-0.004,2.352,0.148,0.083,0.082,0.1
"result.50",0.0187771305324468,0.975834477217204,0.174,2.517,-0.063,0.084,0.078,0.101
"result.51",0.45129029385482,0.997083828087212,0.01,2.309,0.145,0.082,0.084,0.1
"result.52",0.0315060753460085,0.992191673023896,0.155,2.476,-0.019,0.083,0.077,0.101
"result.53",0.00110135660460778,0.861323654861973,0.266,2.555,-0.205,0.087,0.092,0.103
"result.54",0.405107533812559,0.987166428689312,0.021,2.539,0.103,0.087,0.08,0.103
"result.55",0.10316615794225,0.996547460367819,0.111,2.621,0.039,0.088,0.08,0.104
"result.56",0.0459303785968387,0.98976963851103,0.146,2.586,-0.017,0.086,0.081,0.103
"result.57",0.179703600932225,0.986170014348049,0.08,2.612,0.042,0.087,0.079,0.103
"result.58",0.795962349608293,0.991644412474719,-0.071,2.463,0.204,0.086,0.082,0.102
"result.59",0.425428341221101,0.941214410243194,0.016,2.431,0.072,0.084,0.078,0.101
"result.60",0.215367601017181,0.999629413554493,0.066,2.426,0.122,0.084,0.085,0.1
"result.61",0.391362757564477,0.998854185028162,0.023,2.332,0.149,0.083,0.084,0.101
"result.62",0.706589829865145,0.947745522212161,-0.047,2.49,0.138,0.087,0.08,0.103
"result.63",0.316411748469805,0.99972157793255,0.041,2.42,0.154,0.086,0.087,0.103
"result.64",0.755036218550053,0.999822389665021,-0.058,2.392,0.257,0.084,0.077,0.101
"result.65",0.792255234887713,0.997708803205883,-0.069,2.368,0.228,0.085,0.086,0.102
"result.66",0.391668986140224,0.999596774448179,0.023,2.373,0.165,0.084,0.082,0.101
"result.67",0.3733807102795,0.996285189467449,0.029,2.571,0.12,0.088,0.083,0.104
"result.68",0.791312897388723,0.995475042708772,-0.07,2.435,0.214,0.086,0.082,0.102
"result.69",0.903042049591665,0.976747737190899,-0.111,2.408,0.223,0.086,0.082,0.102
"result.70",0.780016860298483,0.998473928456434,-0.065,2.286,0.232,0.084,0.085,0.101
"result.71",0.24670596618261,0.96583235249372,0.06,2.395,0.043,0.087,0.092,0.103
"result.72",0.738438193682911,0.955917933626355,-0.053,2.405,0.149,0.084,0.077,0.101
"result.73",0.558140966991205,0.999927362998564,-0.012,2.402,0.224,0.085,0.078,0.102
"result.74",0.278411435362666,0.999326897912888,0.05,2.501,0.128,0.085,0.08,0.102
"result.75",0.394656308179683,0.993130670974796,0.023,2.453,0.115,0.087,0.084,0.103
"result.76",0.617538421205523,0.93893739255038,-0.025,2.426,0.111,0.084,0.076,0.101
"result.77",0.985909043685472,0.999977343036066,-0.184,2.324,0.408,0.084,0.075,0.101
"result.78",0.202496259148655,0.966414180840753,0.073,2.538,0.03,0.087,0.086,0.104
"result.79",0.331110242679422,0.98159108359604,0.039,2.581,0.078,0.088,0.083,0.104
"result.80",0.683670500513416,0.998034902870818,-0.04,2.43,0.201,0.084,0.078,0.101
"result.81",0.583167201554695,0.949931255439874,-0.018,2.404,0.11,0.085,0.088,0.102
"result.82",0.599279195661346,0.998119302048437,-0.021,2.417,0.183,0.085,0.084,0.102
"result.83",0.603410460580504,0.987720557578495,-0.022,2.481,0.149,0.086,0.085,0.103
"result.84",0.18401649348314,0.982075021355402,0.077,2.511,0.04,0.085,0.086,0.102
"result.85",0.926009324737075,0.999989947036886,-0.122,2.322,0.352,0.085,0.084,0.101
"result.86",0.363811071510496,0.979825696134573,0.031,2.534,0.084,0.088,0.09,0.104
"result.87",0.147992874761344,0.972820090562018,0.091,2.523,0.017,0.087,0.09,0.103
"result.88",0.442245099437944,0.999349769704733,0.013,2.458,0.167,0.085,0.08,0.102
"result.89",0.385661090467606,0.994066118962983,0.025,2.358,0.117,0.085,0.09,0.102
"result.90",0.898663732409809,0.987544384158846,-0.106,2.372,0.231,0.083,0.076,0.1
