"","post_prob_death_CR","post_prob_liberation_CR","trt_death_CR","trt_liberation_CR","trt_interaction_trt_ext_CR_inla","sd_death_CR","sd_liberation_CR","sd_interaction_trt_ext_CR_inla"
"result.1",0.00893244749140763,0.999839503164552,0.194,2.109,0.014,0.082,0.088,0.1
"result.2",0.00226705076340703,0.996986858716168,0.239,2.32,-0.081,0.084,0.092,0.102
"result.3",0.00860270144397514,0.999999811443111,0.199,2.297,0.104,0.084,0.09,0.101
"result.4",0.00071262720986257,0.994706763019417,0.263,2.263,-0.116,0.083,0.089,0.101
"result.5",0.00201702013863715,0.998327294135752,0.239,2.289,-0.071,0.083,0.089,0.101
"result.6",0.0156928969977156,0.999970763312314,0.178,2.228,0.049,0.083,0.087,0.101
"result.7",0.229154008603106,0.999516159634749,0.06,2.142,0.129,0.081,0.087,0.099
"result.8",0.0223996610449328,0.999999811442879,0.162,2.107,0.155,0.081,0.087,0.099
"result.9",0.00799280916195073,0.999963019415296,0.199,2.113,0.028,0.083,0.088,0.101
"result.10",0.00474876246300298,0.999999811443046,0.217,2.323,0.032,0.084,0.09,0.101
"result.11",0.0984790257151195,0.997986161268012,0.109,2.257,0.056,0.084,0.089,0.102
"result.12",0.229631767936521,0.999842639852164,0.06,2.065,0.147,0.08,0.084,0.099
"result.13",0.000549199594238343,0.999673755722482,0.275,2.279,-0.08,0.084,0.09,0.102
"result.14",0.00249730181444209,0.986932029646511,0.23,2.304,-0.103,0.082,0.09,0.1
"result.15",0.208127361003079,0.999999811443219,0.068,2.111,0.221,0.083,0.087,0.101
"result.16",0.626439943302881,0.999997055720492,-0.026,2.07,0.267,0.081,0.084,0.099
"result.17",0.00496494813821125,0.999961603124014,0.213,2.074,0.014,0.083,0.087,0.101
"result.18",0.00043028629221342,0.999999811442859,0.279,2.232,-0.031,0.084,0.088,0.102
"result.19",0.545347699316804,0.999999085075066,-0.009,2.033,0.255,0.08,0.085,0.099
"result.20",0.000332276633224587,0.994532622545411,0.288,2.267,-0.141,0.085,0.09,0.102
"result.21",0.194916610304876,0.999999811443146,0.07,2.038,0.207,0.081,0.085,0.099
"result.22",0.040286891222765,0.99900128189027,0.148,2.162,0.028,0.085,0.088,0.102
"result.23",0.0153100925174324,0.999037013748345,0.176,2.177,0.003,0.081,0.089,0.1
"result.24",0.112224606207934,0.999988168153745,0.102,2.157,0.133,0.084,0.088,0.102
"result.25",0.00369153362617154,0.999999811442971,0.222,2.215,0.069,0.083,0.09,0.101
"result.26",0.00981439941387964,0.999999811442927,0.197,2.216,0.054,0.084,0.089,0.102
"result.27",0.0125411609194553,0.999977472313058,0.189,2.272,0.039,0.084,0.09,0.102
"result.28",0.000592824159890056,0.997903519528916,0.283,2.483,-0.12,0.087,0.095,0.104
"result.29",0.0126779618287644,0.999999811443227,0.184,2.337,0.07,0.082,0.091,0.1
"result.30",0.0450249525637632,0.99999949329046,0.139,2.236,0.105,0.082,0.088,0.1
"result.31",0.0283915139552575,0.999989038786749,0.159,2.218,0.076,0.083,0.09,0.101
"result.32",0.00566732607794759,0.99969931938733,0.205,2.194,-0.009,0.081,0.088,0.099
"result.33",0.047503172253134,0.999841394721357,0.136,2.09,0.071,0.081,0.086,0.1
"result.34",0.0413351299701028,0.999999811443036,0.14,2.044,0.12,0.08,0.087,0.099
"result.35",0.0795223451196921,0.999968234794424,0.115,2.092,0.112,0.082,0.085,0.1
"result.36",1.10008431081774e-05,0.999976700005703,0.353,2.343,-0.125,0.086,0.091,0.104
"result.37",0.172216629567575,0.999999811443077,0.079,2.16,0.181,0.084,0.09,0.102
"result.38",0.000560264732075881,0.999993749525963,0.262,2.131,-0.021,0.08,0.087,0.099
"result.39",0.0290602096610704,0.999922515226662,0.157,2.278,0.058,0.083,0.09,0.101
"result.40",0.23877163407842,0.999853190401284,0.059,2.138,0.148,0.082,0.087,0.1
"result.41",0.181335121422474,0.99999981144305,0.077,2.201,0.179,0.084,0.088,0.102
"result.42",0.0141065874059945,0.99993162478435,0.181,2.245,0.034,0.082,0.089,0.1
"result.43",3.31767284327726e-06,0.999781821979263,0.339,2.189,-0.136,0.081,0.087,0.099
"result.44",0.00487714934473801,0.9979131767484,0.209,2.226,-0.044,0.081,0.087,0.099
