"","post_prob_death_CR","post_prob_liberation_CR","trt_death_CR","trt_liberation_CR","trt_interaction_trt_ext_CR_inla","sd_death_CR","sd_liberation_CR","sd_interaction_trt_ext_CR_inla"
"result.1",0.940778422980487,0.503582016480451,-0.136,2.327,0.136,0.087,0.094,0.104
"result.2",0.851392000731617,0.123355237476952,-0.093,2.552,0.027,0.089,0.081,0.106
"result.3",0.990869129930364,0.878447450954868,-0.215,2.502,0.28,0.091,0.079,0.107
"result.4",0.826642261900115,0.18362266376323,-0.083,2.482,0.032,0.088,0.086,0.105
"result.5",0.906087148806557,0.194491594460697,-0.117,2.541,0.069,0.089,0.08,0.105
"result.6",0.958227063846319,0.78360815742504,-0.153,2.44,0.198,0.089,0.082,0.105
"result.7",0.999895035870832,0.400492157108584,-0.324,2.343,0.31,0.088,0.081,0.105
"result.8",0.991217473280977,0.899931726513509,-0.206,2.32,0.278,0.087,0.082,0.104
"result.9",0.886805305107297,0.509605104397386,-0.106,2.396,0.107,0.088,0.088,0.104
"result.10",0.979710011991335,0.718422419628502,-0.186,2.508,0.218,0.091,0.082,0.107
"result.11",0.996221477087537,0.18843849465264,-0.241,2.515,0.192,0.09,0.082,0.107
"result.12",0.998275080028085,0.621786793565041,-0.25,2.305,0.267,0.086,0.082,0.102
"result.13",0.780600219258626,0.644454874272538,-0.069,2.494,0.09,0.09,0.091,0.106
"result.14",0.835474539110046,0.0755834866999668,-0.084,2.539,0.004,0.087,0.079,0.103
"result.15",0.998472795023015,0.613344118617688,-0.264,2.354,0.28,0.089,0.089,0.105
"result.16",1,0.576550222338756,-0.423,2.295,0.434,0.089,0.076,0.105
"result.17",0.928242249134756,0.395118466440354,-0.129,2.361,0.114,0.088,0.089,0.105
"result.18",0.771497093406766,0.577070944244561,-0.066,2.477,0.077,0.09,0.089,0.106
"result.19",1,0.259845709655926,-0.394,2.314,0.358,0.088,0.075,0.104
"result.20",0.651024598926106,0.162245324192721,-0.035,2.499,-0.021,0.09,0.095,0.106
"result.21",0.999788578617264,0.884185780359067,-0.308,2.223,0.376,0.088,0.087,0.104
"result.22",0.981362723782244,0.329853211503522,-0.189,2.345,0.164,0.091,0.091,0.107
"result.23",0.977002904016446,0.324115685034694,-0.174,2.427,0.148,0.087,0.081,0.104
"result.24",0.995142982935014,0.623716004372918,-0.231,2.403,0.249,0.09,0.091,0.106
