"","post_prob_death_CR","post_prob_liberation_CR","trt_death_CR","trt_liberation_CR","trt_interaction_trt_ext_CR_inla","sd_death_CR","sd_liberation_CR","sd_interaction_trt_ext_CR_inla"
"result.1",0.94132187990376,0.064998942629962,-0.136,2.348,0.049,0.087,0.091,0.104
"result.2",0.851573148640008,0.00363618438830138,-0.093,2.552,-0.06,0.089,0.081,0.106
"result.3",0.990868895491682,0.280719676770577,-0.215,2.5,0.182,0.091,0.08,0.107
"result.4",0.826658128523379,0.0055893561839685,-0.083,2.479,-0.062,0.088,0.087,0.105
"result.5",0.906282354374916,0.0113214824784437,-0.117,2.547,-0.011,0.089,0.079,0.105
"result.6",0.958481437831327,0.299820018116503,-0.154,2.454,0.124,0.089,0.079,0.105
"result.7",0.999895349574289,0.0546788288718579,-0.324,2.345,0.233,0.088,0.081,0.105
"result.8",0.991125277522687,0.38738009538138,-0.205,2.31,0.189,0.087,0.085,0.104
"result.9",0.887119920732696,0.0458723591372973,-0.106,2.407,0.009,0.088,0.086,0.105
"result.10",0.979711533365556,0.164729762590125,-0.186,2.504,0.131,0.091,0.082,0.107
"result.11",0.996215457386536,0.0106907063979423,-0.241,2.508,0.111,0.09,0.083,0.107
"result.12",0.998272019463973,0.096829282159921,-0.25,2.301,0.176,0.086,0.083,0.103
"result.13",0.780725576416711,0.0931390170627991,-0.069,2.487,-0.006,0.09,0.092,0.106
"result.14",0.83565205970969,0.00234456550007189,-0.084,2.539,-0.075,0.087,0.079,0.104
"result.15",0.998484085291173,0.154173011173907,-0.264,2.362,0.206,0.089,0.087,0.106
"result.16",1,0.0989372346229231,-0.423,2.295,0.35,0.089,0.076,0.105
"result.17",0.928349868072394,0.0371394729678483,-0.129,2.36,0.027,0.088,0.089,0.105
"result.18",0.771890408964044,0.0803866241767734,-0.067,2.482,-0.013,0.09,0.088,0.106
"result.19",1,0.0184995122530697,-0.394,2.312,0.275,0.088,0.075,0.104
"result.20",0.651293576602155,0.00395101429075551,-0.035,2.497,-0.117,0.09,0.096,0.106
"result.21",0.999792796884097,0.402991934845569,-0.308,2.235,0.294,0.088,0.087,0.105
"result.22",0.98153684058976,0.0194319356149235,-0.189,2.355,0.072,0.091,0.091,0.107
"result.23",0.976969549018134,0.0211568542422338,-0.174,2.413,0.057,0.087,0.085,0.104
"result.24",0.995172660328453,0.114898092236334,-0.231,2.409,0.164,0.09,0.09,0.106
"result.25",0.943290153107025,0.218739735834218,-0.14,2.449,0.096,0.089,0.085,0.106
"result.26",0.918176341931379,0.345923823910079,-0.125,2.441,0.102,0.09,0.092,0.106
"result.27",0.949877904863168,0.0503470042370701,-0.148,2.523,0.055,0.09,0.085,0.106
"result.28",0.821587556618086,0.0198299866998822,-0.086,2.689,-0.03,0.094,0.086,0.109
"result.29",0.981582490881823,0.188023168757269,-0.184,2.479,0.134,0.088,0.078,0.105
"result.30",0.996677056218637,0.133365646058199,-0.241,2.437,0.178,0.089,0.078,0.106
"result.31",0.964585227098316,0.0662046412364382,-0.159,2.445,0.075,0.088,0.089,0.105
"result.32",0.961524826068719,0.006112602950616,-0.153,2.396,0.011,0.087,0.086,0.104
"result.33",0.990874876084375,0.0352607236187227,-0.206,2.386,0.103,0.087,0.08,0.104
"result.34",0.984764209436029,0.252042661628638,-0.185,2.272,0.147,0.085,0.09,0.103
"result.35",0.982167215084252,0.134835985386021,-0.182,2.352,0.119,0.087,0.082,0.104
"result.36",0.359537468610243,0.119010990894797,0.033,2.627,-0.1,0.091,0.087,0.108
"result.37",0.998444614787744,0.148735542034801,-0.264,2.432,0.204,0.089,0.082,0.106
"result.38",0.7277463077704,0.0616556909265873,-0.051,2.376,-0.037,0.085,0.081,0.102
"result.39",0.951090749059842,0.0295902048115767,-0.145,2.512,0.038,0.088,0.078,0.104
"result.40",0.999678850560157,0.0699109353609281,-0.302,2.386,0.218,0.089,0.081,0.105
"result.41",0.998165365220344,0.169893726041887,-0.263,2.431,0.209,0.091,0.077,0.107
"result.42",0.988685070239095,0.00999623859484844,-0.202,2.483,0.07,0.089,0.084,0.106
"result.43",0.733299802320784,0.0635400734698058,-0.054,2.361,-0.033,0.087,0.09,0.104
"result.44",0.912527691954871,0.0040328145415619,-0.117,2.447,-0.035,0.086,0.075,0.103
"result.45",0.996947513335229,0.103038398552377,-0.246,2.371,0.174,0.09,0.087,0.107
"result.46",0.776428218611712,0.0397385407230183,-0.067,2.552,-0.032,0.088,0.081,0.105
"result.47",0.998567026048462,0.0263426680380077,-0.266,2.335,0.155,0.089,0.091,0.106
"result.48",0.999440517185584,0.200466997712523,-0.294,2.321,0.247,0.091,0.092,0.107
"result.49",0.988930862342241,0.171536599732324,-0.198,2.357,0.144,0.087,0.081,0.104
"result.50",0.594389649531721,0.0160817200231567,-0.021,2.511,-0.101,0.087,0.08,0.104
"result.51",0.962899757901614,0.140128613362264,-0.152,2.327,0.091,0.085,0.084,0.102
"result.52",0.447950985844992,0.0661485309261575,0.011,2.487,-0.097,0.086,0.076,0.103
"result.53",0.108771510269243,0.0049605187756584,0.11,2.576,-0.256,0.089,0.092,0.106
"result.54",0.967133261987732,0.0307877997301287,-0.165,2.538,0.06,0.09,0.08,0.106
"result.55",0.713422130673389,0.0537945179479389,-0.051,2.623,-0.04,0.091,0.08,0.107
"result.56",0.730809118299043,0.0215000247806738,-0.055,2.578,-0.06,0.09,0.082,0.106
"result.57",0.917080536912182,0.0295099338785589,-0.126,2.612,0.02,0.091,0.079,0.107
"result.58",0.998619077509197,0.0514873950984396,-0.268,2.459,0.175,0.09,0.083,0.106
"result.59",0.967872052938615,0.00573520576617015,-0.161,2.426,0.016,0.087,0.08,0.104
"result.60",0.894121722029471,0.155446337134249,-0.108,2.412,0.051,0.086,0.087,0.103
"result.61",0.984315509891904,0.125126466747137,-0.187,2.322,0.121,0.087,0.085,0.104
"result.62",0.990157659821608,0.00265674281912953,-0.208,2.489,0.05,0.09,0.081,0.106
"result.63",0.982704369451036,0.270318351289283,-0.19,2.343,0.155,0.09,0.097,0.107
"result.64",0.998802581423166,0.394650860399594,-0.266,2.383,0.251,0.088,0.078,0.104
"result.65",0.99935358095862,0.133581536907563,-0.287,2.347,0.224,0.089,0.088,0.106
"result.66",0.95259115321167,0.245309827267052,-0.146,2.381,0.106,0.087,0.081,0.104
"result.67",0.948578993256105,0.143605106308082,-0.148,2.577,0.088,0.091,0.083,0.107
"result.68",0.994030875590787,0.0581829661775076,-0.223,2.434,0.134,0.089,0.083,0.105
"result.69",0.999667148317371,0.0123075945031318,-0.305,2.4,0.177,0.09,0.084,0.106
"result.70",0.99627758718053,0.0807757521597068,-0.233,2.282,0.153,0.087,0.085,0.104
"result.71",0.79969643060329,0.0129277168297838,-0.075,2.44,-0.053,0.089,0.095,0.106
"result.72",0.99330515363014,0.0250880556083026,-0.213,2.416,0.102,0.087,0.076,0.104
"result.73",0.991950827531677,0.39935287439064,-0.213,2.402,0.198,0.089,0.079,0.105
"result.74",0.902021418825651,0.127915369536438,-0.114,2.501,0.05,0.088,0.085,0.105
"result.75",0.944337766651725,0.0402736074655429,-0.142,2.452,0.042,0.089,0.085,0.106
"result.76",0.9912891885529,0.00379835610021828,-0.206,2.421,0.053,0.087,0.077,0.104
"result.77",0.999993695026122,0.631041340839708,-0.363,2.329,0.382,0.087,0.075,0.104
"result.78",0.941332047848719,0.00704585707679817,-0.143,2.499,0.003,0.091,0.092,0.108
"result.79",0.930662121455486,0.0227322960788489,-0.135,2.579,0.022,0.091,0.086,0.107
"result.80",0.997266782385129,0.107856927500561,-0.243,2.429,0.173,0.088,0.078,0.104
"result.81",0.980930641813596,0.011287368911894,-0.182,2.419,0.052,0.088,0.088,0.105
"result.82",0.99427761375377,0.101206286941342,-0.224,2.363,0.151,0.089,0.091,0.106
"result.83",0.991847828549223,0.0663741888390086,-0.215,2.451,0.13,0.09,0.091,0.106
"result.84",0.82417325191136,0.013736572738091,-0.082,2.535,-0.043,0.088,0.084,0.105
"result.85",0.999921169901768,0.43199738608201,-0.333,2.319,0.323,0.089,0.084,0.105
"result.86",0.966585452563232,0.0438710854176625,-0.168,2.514,0.071,0.092,0.093,0.108
"result.87",0.777601884046377,0.0246139420940034,-0.068,2.563,-0.043,0.09,0.084,0.106
"result.88",0.98151054020714,0.148357355235685,-0.185,2.455,0.126,0.089,0.08,0.105
"result.89",0.939888698875133,0.0900562525579579,-0.136,2.373,0.06,0.088,0.09,0.105
"result.90",0.999821364749852,0.038721742272653,-0.31,2.37,0.21,0.087,0.078,0.104
"result.91",0.979211839314407,0.17733172866571,-0.184,2.487,0.131,0.09,0.079,0.107
"result.92",0.996630217984895,0.283216193367947,-0.238,2.347,0.205,0.088,0.082,0.105
"result.93",0.970364263596227,0.102969905137707,-0.167,2.491,0.095,0.089,0.075,0.105
"result.94",0.970576841939102,0.00375426662191192,-0.163,2.426,0.011,0.087,0.08,0.104
"result.95",0.924076230583462,0.0852340332702307,-0.126,2.459,0.048,0.088,0.083,0.105
"result.96",0.804793169130125,0.00759206876160468,-0.076,2.532,-0.061,0.089,0.084,0.106
"result.97",0.876358778524717,0.0409193028578161,-0.105,2.473,0.005,0.091,0.094,0.107
"result.98",0.783305943167009,0.0448046398204445,-0.069,2.365,-0.029,0.088,0.093,0.106
"result.99",0.869863323937857,0.0323883144132213,-0.095,2.389,-0.01,0.084,0.078,0.102
"result.100",0.738822354786573,0.0520466260280518,-0.054,2.425,-0.039,0.085,0.078,0.103
"result.101",0.954492387905128,0.0969581549710224,-0.147,2.414,0.073,0.087,0.083,0.104
"result.102",0.977118687739066,0.00939370570984654,-0.174,2.442,0.04,0.087,0.079,0.104
"result.103",0.999417558963589,0.485267383387988,-0.28,2.261,0.278,0.086,0.08,0.104
"result.104",0.857817384064246,0.0978266575362724,-0.096,2.506,0.022,0.09,0.085,0.106
"result.105",0.997842929227204,0.028410555920513,-0.254,2.464,0.146,0.089,0.079,0.105
"result.106",0.919843426071805,0.174875178899147,-0.126,2.487,0.073,0.09,0.085,0.106
"result.107",0.998774410271763,0.0420948312075848,-0.259,2.32,0.16,0.085,0.075,0.103
"result.108",0.871978310318386,0.00921469455112578,-0.099,2.377,-0.036,0.087,0.09,0.104
"result.109",0.99999891033365,0.173056325113363,-0.379,2.244,0.326,0.089,0.091,0.106
"result.110",0.970450844967206,0.017201880669145,-0.171,2.553,0.052,0.091,0.081,0.107
"result.111",0.995505963682209,0.172768145168743,-0.23,2.359,0.177,0.088,0.088,0.105
"result.112",0.956839455018416,0.32329762254864,-0.151,2.456,0.125,0.088,0.079,0.105
"result.113",0.997847921072102,0.0194626706832015,-0.248,2.295,0.13,0.087,0.088,0.104
"result.114",0.997896682580041,0.283360388176492,-0.263,2.303,0.23,0.092,0.093,0.108
"result.115",0.997042395359741,0.125581507205039,-0.245,2.452,0.18,0.089,0.076,0.105
"result.116",0.988437216097796,0.129237540842142,-0.205,2.469,0.141,0.09,0.079,0.107
"result.117",0.96883392024925,0.0396344658022802,-0.165,2.388,0.065,0.089,0.088,0.105
"result.118",0.838646422207763,0.003866976538769,-0.089,2.573,-0.063,0.09,0.083,0.106
