"","post_prob_death_CR","post_prob_liberation_CR","trt_death_CR","trt_liberation_CR","trt_interaction_trt_ext_CR_inla","sd_death_CR","sd_liberation_CR","sd_interaction_trt_ext_CR_inla"
"result.1",0.613512971522515,0.726285228140528,-0.025,2.474,0.059,0.088,0.08,0.104
"result.2",0.753581269952216,0.789555281994029,-0.058,2.332,0.104,0.084,0.085,0.102
"result.3",0.332556695815158,0.688470122475134,0.037,2.492,-0.009,0.085,0.075,0.102
"result.4",0.539390709360531,0.213889443519425,-0.008,2.399,-0.037,0.084,0.084,0.101
"result.5",0.274228636922683,0.63151501985428,0.051,2.455,-0.032,0.085,0.083,0.102
"result.6",0.0897111803969683,0.162019571619097,0.116,2.534,-0.171,0.086,0.083,0.103
"result.7",0.213012553707168,0.514924323663835,0.07,2.491,-0.068,0.088,0.091,0.104
"result.8",0.108376412325696,0.384483272846809,0.106,2.362,-0.123,0.086,0.093,0.103
"result.9",0.215316499486105,0.493408017133967,0.065,2.379,-0.066,0.082,0.081,0.1
"result.10",0.0762918917834431,0.44649896786918,0.118,2.426,-0.126,0.082,0.077,0.1
"result.11",0.578882620299079,0.706609518764558,-0.017,2.381,0.048,0.085,0.087,0.102
"result.12",0.485988720145045,0.228832901728442,0.003,2.439,-0.045,0.084,0.078,0.101
"result.13",0.871484609610965,0.925710972448169,-0.094,2.247,0.176,0.083,0.082,0.101
"result.14",0.1487813532278,0.49004364647584,0.09,2.512,-0.091,0.086,0.083,0.103
"result.15",0.865020640901723,0.435861283755734,-0.095,2.454,0.086,0.086,0.08,0.103
"result.16",0.236883616247217,0.742454128609656,0.062,2.5,-0.025,0.086,0.082,0.103
"result.17",0.880825876643507,0.385857895961948,-0.097,2.313,0.081,0.083,0.076,0.1
"result.18",0.198281878464359,0.224277561167274,0.072,2.381,-0.115,0.084,0.088,0.102
"result.19",0.987089663690288,0.742417474028219,-0.19,2.294,0.227,0.086,0.089,0.102
"result.20",0.287442157761568,0.290692318277034,0.049,2.561,-0.08,0.086,0.079,0.103
"result.21",0.733005339193863,0.735043801807123,-0.053,2.355,0.088,0.085,0.088,0.102
"result.22",0.343296116817984,0.842874970937316,0.035,2.453,0.023,0.085,0.079,0.102
"result.23",0.832204180690833,0.282637266222926,-0.081,2.3,0.048,0.084,0.088,0.101
