"","post_prob_death_CR","post_prob_liberation_CR","trt_death_CR","trt_liberation_CR","trt_interaction_trt_ext_CR_inla","sd_death_CR","sd_liberation_CR","sd_interaction_trt_ext_CR_inla"
"result.1",0.0092312833462284,0.0526454313377355,0.193,2.354,-0.286,0.082,0.088,0.1
"result.2",0.0023528273767553,0.00682568518293114,0.238,2.543,-0.379,0.084,0.082,0.102
"result.3",0.00873959431118843,0.325757321605907,0.199,2.513,-0.224,0.084,0.079,0.101
"result.4",0.000744062190993457,0.00514356068873922,0.262,2.474,-0.41,0.083,0.086,0.101
"result.5",0.00220716347630276,0.0100938645373676,0.237,2.548,-0.368,0.083,0.079,0.101
"result.6",0.0162594666108858,0.222266917273711,0.177,2.449,-0.221,0.083,0.079,0.101
"result.7",0.230473271198474,0.0679237946118521,0.06,2.361,-0.145,0.081,0.078,0.099
"result.8",0.022704040300487,0.430280683836859,0.162,2.328,-0.172,0.081,0.081,0.099
"result.9",0.00833713967503696,0.0325783242429089,0.198,2.371,-0.305,0.083,0.089,0.101
"result.10",0.00447055598057583,0.135042010090454,0.219,2.516,-0.282,0.084,0.079,0.101
"result.11",0.101495153987001,0.00972682418299486,0.107,2.511,-0.241,0.084,0.082,0.102
"result.12",0.238101340388559,0.0852307122303536,0.057,2.269,-0.136,0.08,0.084,0.099
"result.13",0.000524056382363649,0.0707655538256217,0.276,2.491,-0.36,0.084,0.09,0.102
"result.14",0.00258232761585334,0.00225657271215052,0.229,2.524,-0.391,0.082,0.081,0.1
"result.15",0.211425604525815,0.201412017300168,0.067,2.351,-0.114,0.083,0.087,0.101
"result.16",0.623524354093658,0.130030047651814,-0.025,2.302,-0.039,0.081,0.075,0.099
"result.17",0.005250264439083,0.0520268911268993,0.211,2.351,-0.305,0.083,0.089,0.101
"result.18",0.000440083406495941,0.104367302192966,0.278,2.494,-0.35,0.084,0.085,0.101
"result.19",0.548923391027689,0.0201710757025713,-0.01,2.317,-0.108,0.08,0.074,0.099
"result.20",0.000340080325445586,0.00823136420182091,0.287,2.495,-0.425,0.085,0.094,0.102
"result.21",0.199407721319565,0.398671081518417,0.068,2.276,-0.083,0.081,0.081,0.099
"result.22",0.0398828568044581,0.0168605022602298,0.149,2.378,-0.27,0.085,0.09,0.102
"result.23",0.0151870281374721,0.0312304385943868,0.176,2.414,-0.284,0.081,0.084,0.1
"result.24",0.111398579722686,0.106219715413099,0.102,2.395,-0.173,0.084,0.09,0.101
"result.25",0.00370444820066561,0.265541379195057,0.222,2.451,-0.258,0.083,0.083,0.101
"result.26",0.0101111065156711,0.309135388608313,0.196,2.419,-0.224,0.084,0.091,0.102
"result.27",0.013125756982792,0.0779076243880111,0.188,2.496,-0.268,0.084,0.088,0.102
"result.28",0.000635442017594494,0.0181694268219583,0.281,2.695,-0.4,0.087,0.084,0.104
"result.29",0.0129336942008014,0.221703599007106,0.183,2.473,-0.226,0.082,0.077,0.1
"result.30",0.0446967864471011,0.135670021541623,0.14,2.444,-0.202,0.082,0.076,0.1
"result.31",0.0294207775632904,0.0544842913861382,0.158,2.432,-0.249,0.083,0.088,0.101
"result.32",0.00617733395043826,0.00773208370268996,0.203,2.392,-0.341,0.081,0.086,0.099
"result.33",0.0487173804650528,0.0460080955646575,0.135,2.351,-0.232,0.081,0.086,0.1
"result.34",0.042265267919968,0.281598559019593,0.139,2.295,-0.172,0.08,0.088,0.099
"result.35",0.0823120742263307,0.18856569895407,0.113,2.327,-0.164,0.082,0.083,0.1
"result.36",1.14362732530626e-05,0.142288035167902,0.353,2.587,-0.414,0.086,0.091,0.103
"result.37",0.17186421693629,0.203319251741056,0.079,2.427,-0.127,0.084,0.082,0.101
"result.38",0.000614110832741331,0.0730478163245447,0.26,2.344,-0.344,0.08,0.085,0.099
"result.39",0.0298565020973839,0.0279549077563427,0.156,2.501,-0.265,0.083,0.078,0.101
"result.40",0.239058346313338,0.0594791599601751,0.058,2.386,-0.148,0.082,0.081,0.1
"result.41",0.179946483281972,0.139299628655148,0.077,2.425,-0.139,0.084,0.077,0.102
"result.42",0.0129675573191345,0.0129546921670834,0.184,2.483,-0.31,0.082,0.084,0.1
"result.43",3.78477859701925e-06,0.0614573597080438,0.339,2.42,-0.428,0.081,0.083,0.099
"result.44",0.00517118089273784,0.00451689396853194,0.207,2.44,-0.357,0.081,0.075,0.099
"result.45",0.0301778580044026,0.118238580183248,0.155,2.41,-0.223,0.082,0.079,0.101
"result.46",0.00301626551932648,0.0465009051645019,0.229,2.516,-0.325,0.084,0.085,0.101
"result.47",0.111108270688413,0.026444414143419,0.101,2.364,-0.212,0.083,0.088,0.101
"result.48",0.417980327084761,0.190109284118528,0.018,2.31,-0.068,0.085,0.09,0.102
"result.49",0.0117383372668943,0.250573783810845,0.182,2.369,-0.22,0.08,0.078,0.099
"result.50",2.18069224525463e-05,0.0106860022554112,0.326,2.512,-0.458,0.081,0.079,0.1
"result.51",0.0547168290209544,0.145441396543764,0.129,2.277,-0.19,0.081,0.084,0.099
"result.52",2.24075703170608e-05,0.0684362715162439,0.323,2.476,-0.408,0.081,0.076,0.099
"result.53",1.88556802265668e-07,0.00953563607288543,0.379,2.523,-0.513,0.085,0.09,0.103
"result.54",0.022433236290638,0.0466543987763015,0.169,2.536,-0.264,0.084,0.08,0.102
"result.55",0.000635856597441284,0.0785524626563884,0.275,2.612,-0.355,0.085,0.081,0.102
"result.56",1.52995400480606e-05,0.0262143645206474,0.339,2.589,-0.449,0.084,0.08,0.101
"result.57",0.00293818105824525,0.0389020550145327,0.234,2.607,-0.334,0.085,0.079,0.102
"result.58",0.0952007160081231,0.0458462662909954,0.108,2.463,-0.205,0.083,0.081,0.1
"result.59",0.0125272646190641,0.0100413871637588,0.182,2.415,-0.316,0.081,0.082,0.1
"result.60",0.00659998037849225,0.124407474447019,0.202,2.386,-0.268,0.082,0.086,0.1
"result.61",0.00411950273176703,0.139353339153555,0.213,2.354,-0.275,0.081,0.079,0.099
"result.62",0.153868886251327,0.00536898788579587,0.086,2.446,-0.232,0.084,0.086,0.102
"result.63",0.00315167737618197,0.305849426208428,0.227,2.421,-0.256,0.083,0.087,0.101
"result.64",0.141793335860794,0.404282242419391,0.088,2.377,-0.101,0.082,0.08,0.1
"result.65",0.048605679271832,0.133159215195188,0.135,2.41,-0.198,0.081,0.079,0.099
"result.66",0.0220130687393374,0.264626709987858,0.165,2.359,-0.201,0.082,0.084,0.1
"result.67",0.0185679860045258,0.151837163772937,0.178,2.566,-0.236,0.086,0.085,0.103
"result.68",0.0802304988711376,0.0503807455934158,0.116,2.443,-0.21,0.083,0.081,0.1
"result.69",0.152707484700067,0.0116824643069231,0.085,2.415,-0.215,0.082,0.08,0.1
"result.70",0.124661643857029,0.112333403135236,0.094,2.258,-0.164,0.081,0.085,0.1
"result.71",0.00463468542774258,0.0179947797805915,0.219,2.416,-0.339,0.084,0.092,0.102
"result.72",0.0895745232675205,0.0319565796512021,0.109,2.408,-0.215,0.081,0.076,0.099
"result.73",0.0893982828560055,0.346146766835852,0.112,2.387,-0.135,0.083,0.082,0.101
"result.74",0.00956625517108641,0.105033100874951,0.194,2.48,-0.265,0.083,0.082,0.101
"result.75",0.00915043225884589,0.0372184376827602,0.198,2.444,-0.3,0.084,0.085,0.102
"result.76",0.0264247656596769,0.00505462048613192,0.156,2.423,-0.304,0.081,0.076,0.099
"result.77",0.596355694808578,0.628630508223906,-0.02,2.324,0.038,0.081,0.075,0.099
"result.78",0.000810569243628053,0.00758257353357539,0.265,2.548,-0.404,0.084,0.084,0.102
"result.79",0.00374818614824529,0.0280306774698341,0.227,2.592,-0.335,0.085,0.081,0.102
"result.80",0.0565317309610985,0.123103455663952,0.129,2.428,-0.195,0.082,0.078,0.099
"result.81",0.0692941394318479,0.0180652740176137,0.123,2.391,-0.242,0.083,0.088,0.101
"result.82",0.110764525025791,0.128054774538089,0.102,2.369,-0.167,0.083,0.088,0.101
"result.83",0.0499152341344617,0.0986103718994833,0.138,2.461,-0.211,0.084,0.088,0.101
"result.84",0.00466932126519762,0.00979235521719901,0.217,2.493,-0.35,0.083,0.086,0.101
"result.85",0.298922628381022,0.381734231888504,0.043,2.331,-0.06,0.082,0.08,0.1
"result.86",0.00282384933958727,0.0438769289008623,0.234,2.566,-0.332,0.085,0.083,0.102
"result.87",0.00105885905655873,0.0337221163508072,0.259,2.561,-0.363,0.084,0.083,0.102
"result.88",0.0200201873188829,0.161855516982105,0.17,2.448,-0.227,0.083,0.082,0.101
"result.89",0.00174467049699291,0.0933357950140734,0.238,2.414,-0.314,0.082,0.083,0.1
"result.90",0.22750416709203,0.0334268216442591,0.06,2.37,-0.165,0.081,0.077,0.099
"result.91",0.0441098777882612,0.219465104337142,0.145,2.476,-0.189,0.085,0.08,0.102
"result.92",0.132895428013192,0.322586135323098,0.091,2.319,-0.118,0.082,0.085,0.1
"result.93",0.0024898980090279,0.121329937636288,0.229,2.495,-0.295,0.081,0.075,0.099
"result.94",0.026096694745447,0.00765042707711039,0.158,2.406,-0.297,0.081,0.083,0.099
"result.95",0.00269674195821049,0.0764210048883306,0.229,2.465,-0.311,0.082,0.081,0.1
"result.96",0.000658105899584444,0.0088967339147612,0.269,2.527,-0.405,0.084,0.084,0.102
"result.97",0.00535869898976075,0.0420386356991638,0.217,2.467,-0.317,0.085,0.092,0.103
"result.98",0.000882201332870409,0.0532326644387999,0.26,2.37,-0.354,0.083,0.091,0.101
"result.99",0.0042575323012113,0.0366813681121826,0.21,2.354,-0.313,0.08,0.083,0.098
"result.100",0.00106438099408854,0.0584309217401688,0.248,2.413,-0.338,0.081,0.078,0.099
"result.101",0.0563673696578185,0.124433872835025,0.131,2.365,-0.197,0.083,0.088,0.101
"result.102",0.010470134066636,0.0129712103085119,0.187,2.425,-0.314,0.081,0.083,0.099
"result.103",0.219532005411048,0.492045970898156,0.063,2.243,-0.064,0.081,0.082,0.099
"result.104",0.00418112469360073,0.0962417880074575,0.222,2.478,-0.296,0.084,0.088,0.102
"result.105",0.0737825054147589,0.0346870073492158,0.119,2.471,-0.222,0.082,0.078,0.1
"result.106",0.000754946799761626,0.177152281821985,0.264,2.513,-0.316,0.083,0.079,0.101
"result.107",0.199308547763397,0.0411148725014454,0.068,2.31,-0.168,0.08,0.077,0.099
"result.108",0.00237488686913346,0.0141388433896933,0.232,2.378,-0.358,0.082,0.087,0.1
"result.109",0.759615926648263,0.192839329877325,-0.059,2.253,0.009,0.083,0.087,0.101
"result.110",0.00185030655404874,0.018289965981885,0.242,2.567,-0.36,0.083,0.078,0.101
"result.111",0.192863158105307,0.150373273108273,0.072,2.329,-0.131,0.083,0.087,0.1
"result.112",0.0304664728611087,0.293585497173253,0.157,2.442,-0.187,0.083,0.079,0.101
"result.113",0.238365358610677,0.0174691554144649,0.058,2.301,-0.18,0.082,0.086,0.1
"result.114",0.0485259551465131,0.352773789680255,0.14,2.363,-0.162,0.084,0.091,0.102
"result.115",0.224968345077184,0.101121017735105,0.063,2.439,-0.136,0.084,0.077,0.101
