"","post_prob_death_BM","post_prob_extubation_surv","trt_death_BM","trt_extubation_surv","sd_death_BM","sd_extubation_surv"
"result.1",0.948592159249878,0.997243371225703,-0.176,0.157,0.108,0.056
"result.2",0.890567917098674,0.938037928736407,-0.135,0.086,0.11,0.056
"result.3",0.989084034010023,0.999999811347641,-0.253,0.256,0.111,0.055
"result.4",0.821760095296865,0.935219549021934,-0.1,0.085,0.109,0.056
"result.5",0.932557231094232,0.981927550009652,-0.163,0.117,0.109,0.056
"result.6",0.967626141515983,0.999990411842561,-0.202,0.231,0.109,0.056
"result.7",0.999800514176132,0.988953562094572,-0.383,0.128,0.109,0.056
"result.8",0.987890026792853,0.999999810850928,-0.243,0.256,0.108,0.056
"result.9",0.910263143907704,0.999039114250532,-0.145,0.174,0.108,0.056
"result.10",0.955905839512259,0.999921681790565,-0.188,0.208,0.111,0.056
"result.11",0.997367282866439,0.97435790414821,-0.307,0.109,0.11,0.056
"result.12",0.998969880580309,0.999034209169236,-0.33,0.173,0.108,0.056
"result.13",0.719363418289373,0.999075368809281,-0.064,0.174,0.11,0.056
"result.14",0.830363859624343,0.870760543565678,-0.103,0.063,0.108,0.056
"result.15",0.998673697564672,0.999945147867511,-0.328,0.213,0.109,0.056
"result.16",1,0.99978007640346,-0.516,0.196,0.11,0.056
"result.17",0.934231004085592,0.997374335484947,-0.164,0.157,0.109,0.056
"result.18",0.773629535792839,0.999684768703319,-0.082,0.191,0.11,0.056
"result.19",1,0.99507663474638,-0.506,0.144,0.109,0.056
"result.20",0.622112292776241,0.943894117615307,-0.034,0.089,0.11,0.056
"result.21",0.999908730253315,0.999999811137387,-0.402,0.241,0.109,0.056
"result.22",0.965881081405363,0.989809609836523,-0.201,0.13,0.11,0.056
"result.23",0.974792413360143,0.981532181460279,-0.211,0.118,0.108,0.056
"result.24",0.992543257533893,0.999186376786595,-0.266,0.176,0.11,0.056
"result.25",0.942941633674994,0.999995040077839,-0.172,0.234,0.109,0.056
"result.26",0.902754176841463,0.999935302501156,-0.142,0.212,0.11,0.056
"result.27",0.952007951630444,0.99700473721484,-0.183,0.153,0.11,0.056
"result.28",0.856995845751294,0.984986165895815,-0.12,0.121,0.112,0.056
"result.29",0.981372815737455,0.999868525370637,-0.226,0.203,0.109,0.056
"result.30",0.994779769782181,0.998863322043617,-0.279,0.17,0.109,0.056
"result.31",0.950141727344284,0.999542167745254,-0.179,0.185,0.109,0.056
"result.32",0.967641782316732,0.992089921243529,-0.199,0.134,0.108,0.056
"result.33",0.992606317016166,0.991428872856934,-0.263,0.134,0.108,0.056
"result.34",0.987108551524974,0.999976669343353,-0.239,0.223,0.107,0.056
"result.35",0.988675545381959,0.99953490543854,-0.245,0.186,0.108,0.056
"result.36",0.308049664662937,0.999642086442149,0.056,0.189,0.111,0.056
"result.37",0.998601698582368,0.999782761924387,-0.327,0.196,0.11,0.056
"result.38",0.727425370833005,0.999583424218587,-0.065,0.188,0.107,0.057
"result.39",0.957476398116624,0.996203156926312,-0.187,0.149,0.109,0.056
"result.40",0.999710432332997,0.997719145282814,-0.374,0.159,0.109,0.056
"result.41",0.997478281809268,0.999867218274241,-0.309,0.204,0.111,0.056
"result.42",0.977726300310823,0.989207534148997,-0.219,0.127,0.109,0.055
"result.43",0.737891430845644,0.99689423422192,-0.069,0.154,0.108,0.056
"result.44",0.940632903444497,0.980447580473835,-0.168,0.116,0.108,0.056
"result.45",0.998084885700688,0.99979618743999,-0.317,0.199,0.11,0.056
"result.46",0.804168857247635,0.998235838682462,-0.093,0.162,0.109,0.055
"result.47",0.999199259846557,0.995580650171957,-0.345,0.147,0.11,0.056
"result.48",0.999515396743603,0.999780682266664,-0.363,0.197,0.11,0.056
"result.49",0.990852526299685,0.999795350360437,-0.254,0.198,0.108,0.056
"result.50",0.659678941210122,0.97563349974302,-0.044,0.11,0.108,0.056
"result.51",0.956092455469957,0.999804927640602,-0.183,0.198,0.107,0.056
"result.52",0.515194105606135,0.999187312754865,-0.004,0.177,0.107,0.056
"result.53",0.0984664626843223,0.939547316541038,0.141,0.087,0.109,0.056
"result.54",0.972668852832783,0.99869946711867,-0.211,0.168,0.11,0.056
"result.55",0.673103505193755,0.999533607290946,-0.049,0.183,0.11,0.055
"result.56",0.731676830502298,0.996371959284531,-0.068,0.149,0.11,0.056
"result.57",0.916182562312816,0.997657658143598,-0.153,0.157,0.111,0.055
"result.58",0.997354881640703,0.998464236019635,-0.305,0.165,0.11,0.056
"result.59",0.97171785824494,0.973200923237762,-0.206,0.109,0.108,0.056
"result.60",0.901996636113007,0.999999810562287,-0.139,0.238,0.108,0.056
"result.61",0.984378000756359,0.999898839168406,-0.233,0.208,0.108,0.056
"result.62",0.987083852387348,0.973002934002679,-0.244,0.107,0.11,0.056
"result.63",0.987184477620382,0.999987369813023,-0.245,0.23,0.11,0.057
"result.64",0.998523756975243,0.999996515434378,-0.322,0.234,0.109,0.056
"result.65",0.999606272659037,0.999723071298011,-0.366,0.193,0.11,0.056
"result.66",0.94734283072798,0.999994075697856,-0.175,0.233,0.108,0.056
